Date,Open,High,Low,Close,Volume
2016-01-04,2.39,2.39,2.33,2.36,7871
2016-01-05,2.35,2.36,2.3,2.3,7390
2016-01-06,2.34,2.34,2.27,2.27,1538
2016-01-07,2.26,2.26,1.87,1.95,57948
2016-01-08,2.01,2.21,2.01,2.21,20869
2016-01-11,2.31,2.31,2.2,2.24,10295
2016-01-12,2.24,2.24,2.2,2.21,6251
2016-01-13,2.12,2.23,2.06,2.07,16574
2016-01-14,2.03,2.05,1.96,2.01,14812
2016-01-15,2.06,2.14,2.05,2.07,6912
2016-01-19,2.11,2.11,2.02,2.02,4267
2016-01-20,2.02,2.02,1.97,1.98,3010
2016-01-21,2.02,2.28,1.95,2.28,10169
2016-01-22,2.28,2.28,2.22,2.25,1118
2016-01-25,2.25,2.25,1.98,1.98,8937
2016-01-26,2.03,2.07,2.0,2.0,3039
2016-01-27,1.96,2.01,1.95,1.95,1208
2016-01-28,1.98,2.14,1.98,2.14,6581
2016-01-29,2.15,2.19,2.01,2.05,5242
2016-02-01,2.05,2.08,2.05,2.05,3269
2016-02-02,2.05,2.09,2.0,2.0,6266
2016-02-03,2.03,2.07,2.0,2.04,3063
2016-02-04,2.02,2.04,2.02,2.04,943
2016-02-05,2.03,2.05,2.02,2.05,9542
2016-02-08,2.09,2.19,2.06,2.06,6739
2016-02-09,2.09,2.17,2.08,2.12,6364
2016-02-10,2.1,2.29,2.1,2.23,4886
2016-02-11,2.23,2.23,2.05,2.05,1481
2016-02-12,2.11,2.12,2.03,2.12,40464
2016-02-16,2.02,2.06,1.95,1.99,26892
2016-02-17,2.05,2.11,2.05,2.1,8354
2016-02-18,2.1,2.11,2.06,2.1,17953
2016-02-19,2.11,2.12,2.08,2.08,8843
2016-02-22,2.14,2.16,2.07,2.16,6280
2016-02-23,2.15,2.18,2.12,2.12,1155
2016-02-24,2.07,2.07,2.07,2.07,288
2016-02-25,2.05,2.09,2.0,2.01,5725
2016-02-26,2.06,2.07,2.02,2.05,10164
2016-02-29,2.06,2.21,2.06,2.19,7030
2016-03-01,2.17,2.19,2.12,2.14,7538
2016-03-02,2.1,2.12,2.04,2.09,5421
2016-03-03,2.01,2.1,2.0,2.03,7934
2016-03-04,2.07,2.33,2.01,2.33,14492
2016-03-07,2.31,2.33,2.28,2.28,2301
2016-03-08,2.3,2.3,2.28,2.28,715
2016-03-09,2.24,2.25,2.23,2.23,563
2016-03-10,2.23,2.23,2.07,2.15,3333
2016-03-11,2.2,2.28,2.1,2.28,1962
2016-03-14,2.3,2.3,2.25,2.3,1512
2016-03-15,2.3,2.3,2.14,2.14,1705
2016-03-16,2.22,2.22,2.16,2.18,2815
2016-03-17,2.2,2.2,2.16,2.17,2437
2016-03-18,2.15,2.15,2.03,2.03,11292
2016-03-21,2.03,2.17,2.03,2.12,5143
2016-03-22,2.09,2.09,2.09,2.09,281
2016-03-23,2.15,2.15,2.07,2.13,850
2016-03-24,2.07,2.19,2.0,2.15,11941
2016-03-28,2.16,2.19,2.14,2.14,628
2016-03-29,2.19,2.19,2.02,2.02,6300
2016-03-30,2.04,2.04,1.95,1.99,5839
2016-03-31,1.99,1.99,1.79,1.8,11178
2016-04-01,1.86,1.95,1.86,1.91,11585
2016-04-04,1.99,1.99,1.87,1.9,8333
2016-04-05,1.91,1.91,1.89,1.89,2885
2016-04-06,1.87,1.87,1.8,1.8,18753
2016-04-07,1.8,1.91,1.8,1.91,19743
2016-04-08,1.85,1.88,1.77,1.8,13670
2016-04-11,1.81,1.99,1.76,1.91,37844
2016-04-12,1.95,1.95,1.84,1.91,13370
2016-04-13,1.85,1.91,1.85,1.9,36795
2016-04-14,1.87,2.01,1.87,1.98,9104
2016-04-15,2.03,2.03,1.93,1.93,4914
2016-04-18,1.93,1.98,1.9,1.9,1634
2016-04-19,2.01,2.01,1.82,1.89,19618
2016-04-20,1.89,1.89,1.8,1.8,9587
2016-04-21,1.84,1.84,1.8,1.82,2596
2016-04-22,1.8,1.9,1.62,1.78,25464
2016-04-25,1.76,1.76,1.68,1.69,9312
2016-04-26,1.65,1.7,1.53,1.7,18915
2016-04-27,1.65,1.7,1.65,1.69,1096
2016-04-28,1.63,1.7,1.61,1.7,1918
2016-04-29,1.74,1.75,1.68,1.7,8526
2016-05-02,1.72,1.85,1.72,1.75,6909
2016-05-03,1.77,1.81,1.77,1.79,3431
2016-05-04,1.79,1.79,1.74,1.77,1141
2016-05-05,1.8,1.83,1.77,1.77,3655
2016-05-06,1.76,1.76,1.66,1.7,6614
2016-05-09,1.69,1.69,1.64,1.65,3428
2016-05-10,1.64,1.72,1.64,1.7,1574
2016-05-11,1.64,1.76,1.64,1.74,10475
2016-05-12,1.68,1.68,1.56,1.56,6807
2016-05-13,1.56,1.56,1.5,1.5,2879
2016-05-16,1.5,1.5,1.27,1.28,24672
2016-05-17,1.14,1.37,1.01,1.32,387926
2016-05-18,1.31,1.37,1.28,1.37,22178
2016-05-19,1.35,1.35,1.32,1.34,110143
2016-05-20,1.34,1.39,1.27,1.35,37895
2016-05-23,1.39,1.59,1.39,1.59,82157
2016-05-24,1.57,1.59,1.52,1.58,10764
2016-05-25,1.6,1.6,1.54,1.54,104058
2016-05-26,1.52,1.54,1.5,1.5,3240
2016-05-27,1.5,1.59,1.5,1.59,9072
2016-05-31,1.53,1.61,1.53,1.61,3290
2016-06-01,1.61,1.65,1.49,1.52,8632
2016-06-02,1.55,1.6,1.49,1.56,3872
2016-06-03,1.6,1.6,1.6,1.6,275
2016-06-06,1.61,1.64,1.61,1.64,4473
2016-06-07,1.6,1.6,1.6,1.6,367
2016-06-08,1.64,1.65,1.58,1.6,5886
2016-06-09,1.58,1.64,1.53,1.54,39750
2016-06-10,1.56,1.57,1.49,1.57,6194
2016-06-13,1.56,1.56,1.49,1.49,7732
2016-06-14,1.53,1.53,1.45,1.47,3806
2016-06-15,1.48,1.49,1.46,1.49,608
2016-06-16,1.48,1.52,1.46,1.48,4150
2016-06-17,1.45,1.46,1.45,1.46,285
2016-06-20,1.45,1.47,1.31,1.4,22692
2016-06-21,1.39,1.39,1.31,1.31,14112
2016-06-22,1.31,1.35,1.31,1.31,7371
2016-06-23,1.31,1.31,1.27,1.27,9055
2016-06-24,1.31,1.31,1.22,1.25,6406
2016-06-27,1.23,1.23,1.23,1.23,1005
2016-06-28,1.22,1.22,1.22,1.22,1262
2016-06-29,1.22,1.36,1.22,1.34,19471
2016-06-30,1.4,1.46,1.4,1.4,24492
2016-07-01,1.36,1.45,1.34,1.36,231707
2016-07-05,1.41,1.42,1.29,1.29,3318
2016-07-06,1.35,1.37,1.29,1.29,9451
2016-07-07,1.31,1.31,1.23,1.23,7738
2016-07-08,1.21,1.27,1.21,1.22,5764
2016-07-11,1.22,1.25,1.22,1.24,4601
2016-07-12,1.28,1.3,1.19,1.21,60481
2016-07-13,1.2,1.21,1.18,1.19,4628
2016-07-14,1.22,1.25,1.14,1.14,2750
2016-07-15,1.18,1.22,1.18,1.21,4778
2016-07-18,1.19,1.25,1.15,1.25,3415
2016-07-19,1.2,1.27,1.2,1.25,12473
2016-07-20,1.29,1.34,1.29,1.31,11686
