Date,Open,High,Low,Close,Volume
2016-01-04,9.98,10.02,9.97,9.99,137378
2016-01-05,9.97,10.11,9.97,10.03,58973
2016-01-06,10.02,10.05,9.98,10.05,68167
2016-01-07,9.98,10.0,9.93,9.95,114237
2016-01-08,9.96,9.98,9.95,9.96,95966
2016-01-11,9.95,9.96,9.93,9.94,117648
2016-01-12,9.94,9.96,9.78,9.93,226430
2016-01-13,9.92,9.93,9.86,9.91,292549
2016-01-14,9.88,9.93,9.83,9.92,99529
2016-01-15,9.87,9.88,9.78,9.85,104107
2016-01-19,9.83,9.86,9.83,9.85,101515
2016-01-20,9.8,9.81,9.64,9.67,141550
2016-01-21,9.63,9.73,9.63,9.68,28566
2016-01-22,9.72,9.75,9.68,9.72,47496
2016-01-25,9.7,9.76,9.69,9.69,18498
2016-01-26,9.68,9.82,9.68,9.82,25475
2016-01-27,9.81,9.84,9.71,9.71,94711
2016-01-28,9.73,9.84,9.73,9.78,96148
2016-01-29,9.8,9.96,9.8,9.95,28725
2016-02-01,9.86,9.91,9.85,9.9,29168
2016-02-02,9.9,9.94,9.9,9.91,46864
2016-02-03,9.91,9.98,9.88,9.98,31550
2016-02-04,9.93,10.08,9.93,10.03,16191
2016-02-05,10.0,10.06,10.0,10.0,17264
2016-02-08,9.98,10.03,9.92,9.95,69575
2016-02-09,9.94,10.04,9.91,9.93,31980
2016-02-10,9.98,10.07,9.92,9.92,40889
2016-02-11,9.88,9.9,9.71,9.72,70137
2016-02-12,9.75,9.86,9.75,9.78,32016
2016-02-16,9.89,9.9,9.8,9.81,73385
2016-02-17,9.89,9.94,9.81,9.81,54180
2016-02-18,9.82,9.93,9.82,9.86,19658
2016-02-19,9.87,9.96,9.87,9.9,11913
2016-02-22,9.95,10.03,9.92,10.01,20990
2016-02-23,10.01,10.13,9.98,10.03,25153
2016-02-24,9.98,10.17,9.98,10.16,15231
2016-02-25,10.11,10.17,10.1,10.11,25907
2016-02-26,10.1,10.16,10.1,10.15,9265
2016-02-29,10.1,10.18,10.1,10.11,30554
2016-03-01,10.1,10.28,10.1,10.18,39985
2016-03-02,10.14,10.2,10.12,10.18,28648
2016-03-03,10.17,10.28,10.16,10.28,16794
2016-03-04,10.27,10.39,10.25,10.34,30294
2016-03-07,10.34,10.45,10.34,10.45,189617
2016-03-08,10.43,10.43,10.35,10.36,15074
