Date,Open,High,Low,Close,Volume
2016-10-10,22.25,22.25,21.68,21.95,44768
2016-10-11,21.7,22.27,21.7,21.91,85874
2016-10-12,21.84,21.97,21.51,21.57,87733
2016-10-13,21.5,21.62,21.05,21.25,26293
2016-10-14,21.61,21.85,21.08,21.55,33788
2016-10-17,21.49,21.49,21.1,21.15,39079
2016-10-18,21.16,21.5,21.13,21.17,50228
2016-10-19,21.23,21.3,21.0,21.04,47031
2016-10-20,21.03,21.56,21.03,21.36,22587
2016-10-21,21.3,21.4,21.19,21.25,22881
2016-10-24,21.3,21.52,21.01,21.41,12439
2016-10-25,21.38,21.9,21.38,21.75,20792
2016-10-26,21.8,22.0,21.71,21.82,138502
2016-10-27,21.75,22.0,21.54,21.64,53369
2016-10-28,21.75,21.84,20.25,20.8,56659
2016-10-31,20.91,20.99,20.8,20.85,27476
2016-11-01,20.91,21.19,20.91,21.06,26868
2016-11-02,20.95,21.4,20.95,21.05,11077
2016-11-03,21.1,21.5,21.0,21.48,21293
2016-11-04,21.56,21.74,21.35,21.43,13047
2016-11-07,21.45,21.5,21.36,21.43,12162
2016-11-08,21.36,21.36,20.66,20.84,36887
2016-11-09,20.77,21.2,20.65,21.18,244531
2016-11-10,21.21,22.76,21.21,22.53,49013
2016-11-11,22.53,22.53,22.0,22.25,15496
2016-11-14,22.25,22.34,21.86,22.33,66114
2016-11-15,22.15,22.94,22.01,22.65,33420
2016-11-16,22.59,22.75,22.38,22.75,34141
2016-11-17,22.58,23.76,22.58,23.42,70546
2016-11-18,23.44,23.71,23.25,23.25,13228
2016-11-21,23.32,23.34,22.85,23.12,8732
2016-11-22,23.22,23.71,22.27,22.27,126948
2016-11-23,22.57,23.42,22.27,23.4,51102
2016-11-25,23.3,23.49,23.3,23.32,1538
2016-11-28,23.25,23.7,23.0,23.37,23879
2016-11-29,23.33,23.75,22.9,23.53,83677
2016-11-30,23.89,23.89,23.43,23.7,55570
2016-12-01,23.79,23.8,23.16,23.42,36144
2016-12-02,23.47,23.95,23.4,23.85,30464
2016-12-05,23.85,23.99,23.4,23.83,74689
2016-12-06,23.64,23.9,23.4,23.78,40527
2016-12-07,23.86,23.9,23.68,23.89,44637
2016-12-08,23.82,23.85,23.31,23.46,37616
2016-12-09,23.5,23.98,23.3,23.97,116438
2016-12-12,23.96,24.76,23.92,24.6,111625
2016-12-13,24.7,24.7,23.85,24.03,38736
2016-12-14,23.87,24.0,23.36,23.61,52787
2016-12-15,23.62,25.66,23.62,24.72,316105
2016-12-16,24.66,26.02,24.5,24.88,914556
2016-12-19,24.92,26.25,24.78,25.72,87134
2016-12-20,25.65,26.26,25.55,25.81,107616
2016-12-21,25.95,26.0,25.54,25.82,67415
2016-12-22,25.72,25.74,25.45,25.55,69451
2016-12-23,25.45,25.91,25.45,25.81,27915
2016-12-27,25.97,26.12,25.62,26.03,41704
2016-12-28,26.02,26.34,25.87,26.32,38308
2016-12-29,26.32,26.45,26.04,26.4,31908
2016-12-30,26.35,26.35,25.9,25.95,27351
2017-01-03,26.09,26.34,25.52,26.06,39046
2017-01-04,26.07,26.84,25.7,26.81,71630
2017-01-05,26.82,27.2,26.5,26.9,48346
2017-01-06,26.9,27.05,26.63,27.03,69779
2017-01-09,27.11,27.11,25.75,26.32,50556
2017-01-10,26.4,27.11,26.33,26.74,30552
2017-01-11,26.75,28.04,26.57,27.65,52989
2017-01-12,27.74,27.89,26.79,26.94,30138
2017-01-13,27.02,27.4,26.46,26.7,71114
2017-01-17,26.65,27.0,26.36,26.58,97130
2017-01-18,26.59,27.12,26.4,27.11,43026
2017-01-19,26.95,27.13,26.58,26.62,53876
2017-01-20,26.62,26.8,26.26,26.5,84473
2017-01-23,26.5,26.63,25.97,26.06,84416
2017-01-24,26.1,26.25,25.5,25.62,136514
2017-01-25,25.61,25.61,25.1,25.21,106325
2017-01-26,25.23,25.23,24.58,24.99,36426
2017-01-27,24.96,26.2,24.72,25.69,139869
2017-01-30,25.61,25.61,23.71,24.87,99668
