Date,Open,High,Low,Close,Volume
2016-01-04,34.18,34.33,33.52,33.8,260679
2016-01-05,33.82,34.08,33.48,33.61,178082
2016-01-06,33.15,33.42,32.94,32.96,198317
2016-01-07,32.39,33.01,32.34,32.7,339362
2016-01-08,32.91,33.37,32.63,32.71,311833
2016-01-11,32.8,33.17,32.67,32.89,122333
2016-01-12,33.12,33.38,32.4,32.96,255506
2016-01-13,33.02,33.18,29.91,30.41,611320
2016-01-14,30.61,31.74,30.36,31.25,237306
2016-01-15,30.53,31.34,30.24,31.31,276446
2016-01-19,31.51,31.91,30.99,31.19,295728
2016-01-20,30.77,32.3,30.47,31.95,222255
2016-01-21,31.7,32.34,31.25,31.75,350996
2016-01-22,32.23,32.51,31.76,31.94,198684
2016-01-25,31.73,32.09,31.33,31.4,148950
2016-01-26,31.54,32.24,31.48,32.07,422338
2016-01-27,32.02,32.48,31.59,31.77,231482
2016-01-28,32.05,32.92,32.0,32.75,255390
2016-01-29,32.94,33.89,32.94,33.89,307686
2016-02-01,33.62,34.11,33.3,34.0,208933
2016-02-02,33.59,33.7,33.42,33.59,213690
2016-02-03,33.77,33.96,33.3,33.71,211487
2016-02-04,33.72,34.17,33.72,34.02,172311
2016-02-05,33.83,34.22,33.41,33.65,327017
2016-02-08,33.24,34.01,32.63,33.93,243527
2016-02-09,33.59,35.4,33.52,35.16,310468
2016-02-10,35.3,35.4,34.04,34.07,210551
2016-02-11,33.1,33.56,32.62,33.17,376413
2016-02-12,33.45,33.64,33.25,33.5,254109
2016-02-16,33.91,34.01,33.64,33.71,179812
2016-02-17,33.86,34.04,33.71,33.85,275238
2016-02-18,33.95,34.08,33.36,33.56,175013
2016-02-19,33.54,34.99,33.41,34.39,430991
2016-02-22,34.75,35.0,34.22,34.45,271342
2016-02-23,34.38,34.57,33.2,33.24,343077
2016-02-24,32.98,33.03,32.17,32.76,535451
2016-02-25,34.39,35.61,33.76,34.29,742712
2016-02-26,34.35,34.35,31.99,32.62,465609
2016-02-29,32.62,33.71,32.39,32.91,427903
2016-03-01,33.07,34.33,33.05,34.33,161033
2016-03-02,34.21,34.41,34.0,34.39,173324
2016-03-03,34.4,34.77,34.09,34.57,200499
2016-03-04,34.59,35.07,34.44,34.69,161291
2016-03-07,34.56,35.38,34.56,35.23,245784
2016-03-08,35.12,35.42,34.79,34.86,189621
2016-03-09,34.92,35.35,34.92,35.28,152234
2016-03-10,35.12,35.49,34.13,34.45,250419
2016-03-11,33.96,33.96,32.71,33.48,318609
2016-03-14,33.39,33.88,32.6,33.03,228480
2016-03-15,32.88,34.31,32.73,34.26,354827
2016-03-16,34.06,34.19,33.39,33.51,200660
2016-03-17,33.47,34.46,33.35,34.36,232063
2016-03-18,34.55,35.4,34.24,34.43,550813
2016-03-21,34.29,34.68,33.87,34.39,170948
2016-03-22,34.13,34.52,33.94,34.27,180967
2016-03-23,34.23,34.8,33.82,34.27,229060
2016-03-24,34.04,34.24,33.68,33.96,123682
2016-03-28,34.04,34.24,33.52,33.77,100784
2016-03-29,33.72,34.26,33.42,34.26,394440
2016-03-30,34.37,35.21,34.34,35.08,161662
2016-03-31,35.04,35.59,34.62,35.51,238478
2016-04-01,35.2,35.8,34.89,35.64,260467
2016-04-04,35.67,35.87,35.35,35.64,198296
2016-04-05,35.35,35.83,35.22,35.24,188029
2016-04-06,35.24,35.24,34.64,34.98,147217
2016-04-07,34.7,34.94,33.95,34.38,203990
2016-04-08,34.59,35.14,34.42,34.81,263956
2016-04-11,35.0,35.22,34.64,34.86,151257
2016-04-12,34.86,35.24,34.52,35.04,202497
2016-04-13,35.26,35.72,35.21,35.71,315106
2016-04-14,35.8,36.23,35.49,36.16,188289
2016-04-15,36.02,36.42,35.94,36.41,229063
2016-04-18,36.3,36.64,36.15,36.41,87814
2016-04-19,36.57,36.86,36.4,36.81,102166
2016-04-20,36.86,36.86,36.47,36.62,140079
2016-04-21,36.7,36.7,35.29,35.33,233273
2016-04-22,35.25,35.79,34.9,35.07,456298
2016-04-25,35.0,35.11,34.3,34.52,361288
2016-04-26,34.64,34.69,34.2,34.23,349565
2016-04-27,34.36,34.8,34.28,34.64,434560
2016-04-28,38.0,41.87,37.48,39.96,1803037
2016-04-29,40.11,41.45,39.57,40.3,472864
2016-05-02,40.41,41.24,40.01,41.06,369718
2016-05-03,40.86,40.98,40.3,40.44,235172
2016-05-04,40.26,40.9,40.25,40.52,263841
2016-05-05,40.77,41.21,40.61,40.68,194984
2016-05-06,40.5,41.16,40.3,40.96,283470
2016-05-09,40.53,41.34,40.53,41.04,243607
2016-05-10,41.25,41.4,40.93,41.21,321837
2016-05-11,41.11,41.44,40.6,41.03,256547
2016-05-12,41.26,41.4,40.55,40.96,125005
2016-05-13,40.85,40.94,40.21,40.4,203985
2016-05-16,40.51,41.16,40.43,40.94,206471
2016-05-17,40.88,41.24,39.95,40.04,166010
2016-05-18,39.98,40.54,39.66,39.98,181494
2016-05-19,39.85,40.14,39.19,39.9,176664
2016-05-20,40.07,40.28,39.82,40.26,162427
2016-05-23,40.21,40.66,40.2,40.5,162528
2016-05-24,40.7,41.75,40.7,41.7,190039
2016-05-25,41.77,42.06,41.67,41.87,156798
2016-05-26,41.8,42.14,41.65,41.86,76961
2016-05-27,41.95,42.41,41.73,41.76,217720
2016-05-31,41.91,42.05,41.59,41.85,208563
2016-06-01,41.63,42.36,41.61,42.21,238239
2016-06-02,42.05,42.69,42.03,42.67,156081
2016-06-03,42.87,43.38,42.59,42.66,376109
2016-06-06,42.78,43.32,42.41,43.15,153213
2016-06-07,43.14,43.25,42.97,43.12,159908
2016-06-08,43.27,43.61,42.74,43.0,171426
2016-06-09,42.79,43.69,42.58,43.38,749611
2016-06-10,42.57,43.44,42.34,42.98,346417
2016-06-13,42.95,43.34,42.47,42.49,186470
2016-06-14,42.29,42.78,42.28,42.53,145139
2016-06-15,42.79,43.0,42.36,42.36,131817
2016-06-16,41.91,42.27,41.48,42.21,194210
2016-06-17,41.93,41.99,41.39,41.4,479336
2016-06-20,41.64,42.49,41.64,42.1,213561
2016-06-21,42.24,42.24,41.75,41.82,117804
2016-06-22,41.85,42.1,41.42,41.44,166535
2016-06-23,41.9,42.38,41.73,41.96,215341
2016-06-24,40.53,40.86,40.22,40.25,416621
2016-06-27,39.88,39.88,38.78,39.43,340355
2016-06-28,39.63,39.63,38.59,38.6,416083
2016-06-29,39.04,39.68,38.79,39.66,202075
2016-06-30,39.93,40.7,39.66,40.68,308250
2016-07-01,40.74,41.43,40.35,40.95,266356
2016-07-05,40.94,41.22,40.54,40.75,277519
2016-07-06,40.67,41.09,40.46,40.9,265058
2016-07-07,40.98,41.26,40.73,40.91,144909
2016-07-08,41.15,42.22,41.14,41.94,270757
2016-07-11,42.07,42.71,41.95,42.62,267040
2016-07-12,42.87,43.42,42.77,42.86,203293
2016-07-13,42.9,43.53,42.64,42.65,213654
2016-07-14,42.94,43.28,42.69,42.81,182556
2016-07-15,43.07,43.23,42.68,43.0,155059
2016-07-18,42.94,43.13,42.16,42.42,111963
2016-07-19,42.42,43.2,42.19,42.91,157306
2016-07-20,42.82,43.24,42.57,43.21,178480
2016-07-21,43.27,43.4,42.86,43.36,211237
2016-07-22,43.52,44.87,43.18,44.39,341136
2016-07-25,44.5,44.72,44.1,44.11,200269
2016-07-26,44.3,44.53,43.83,44.1,279440
2016-07-27,44.19,44.5,43.49,43.84,227359
2016-07-28,43.84,44.19,42.24,42.94,439030
2016-07-29,42.76,43.03,41.99,42.84,362979
2016-08-01,43.04,43.32,42.61,43.28,276833
2016-08-02,43.38,43.5,42.94,43.25,348131
2016-08-03,43.24,43.24,42.34,42.58,198612
2016-08-04,42.43,42.69,42.27,42.28,138705
2016-08-05,42.4,43.46,42.17,43.26,130380
2016-08-08,43.1,43.28,42.67,42.81,135844
2016-08-09,42.8,43.28,42.75,42.81,102290
2016-08-10,42.96,43.3,42.71,43.14,136646
