Date,Open,High,Low,Close,Volume
2016-01-04,3.34,3.55,3.18,3.38,173580
2016-01-05,3.38,3.38,3.11,3.13,38413
2016-01-06,3.18,3.26,2.97,3.05,91912
2016-01-07,2.97,2.97,2.73,2.75,66575
2016-01-08,2.75,2.76,2.64,2.67,35697
2016-01-11,2.64,2.64,2.1,2.11,84089
2016-01-12,2.11,2.2,1.86,2.0,96321
2016-01-13,2.0,2.1,1.85,2.0,124946
2016-01-14,2.0,2.05,1.98,1.99,65849
2016-01-15,1.99,2.05,1.72,1.76,52936
2016-01-19,1.74,1.93,1.55,1.62,128268
2016-01-20,1.59,1.7,1.51,1.68,79251
2016-01-21,1.62,1.76,1.61,1.67,51988
2016-01-22,1.7,2.01,1.68,1.83,126582
2016-01-25,1.82,1.86,1.7,1.7,46537
2016-01-26,1.79,1.84,1.65,1.76,96016
2016-01-27,1.63,1.78,1.61,1.65,38451
2016-01-28,1.85,2.24,1.65,1.74,99645
2016-01-29,1.75,1.99,1.72,1.95,168951
2016-02-01,1.89,1.94,1.85,1.89,37359
2016-02-02,1.83,1.95,1.76,1.91,84358
2016-02-03,1.94,2.08,1.94,2.02,66244
2016-02-04,2.09,2.14,1.91,2.14,311144
2016-02-05,2.09,2.25,2.01,2.25,78626
2016-02-08,2.03,2.18,1.6,2.1,144189
2016-02-09,2.07,2.35,2.07,2.16,87554
2016-02-10,2.2,2.27,1.93,1.99,142012
2016-02-11,1.99,1.99,1.85,1.9,56658
2016-02-12,1.91,2.02,1.85,1.98,58068
2016-02-16,1.98,1.98,1.86,1.91,101379
2016-02-17,1.91,1.97,1.82,1.95,66875
2016-02-18,1.96,2.05,1.91,2.02,49074
2016-02-19,1.99,2.03,1.86,1.93,45415
2016-02-22,2.14,2.14,1.96,2.05,31509
2016-02-23,2.05,2.1,2.01,2.03,16301
2016-02-24,2.02,2.04,1.86,2.01,37349
2016-02-25,2.01,2.04,1.89,2.0,53113
2016-02-26,2.0,2.0,1.9,1.97,29026
2016-02-29,1.97,2.07,1.83,2.02,137586
2016-03-01,2.01,2.01,1.9,1.95,17351
2016-03-02,1.97,2.0,1.86,1.95,42921
2016-03-03,1.95,2.05,1.93,2.04,172963
2016-03-04,2.07,2.4,2.07,2.34,235269
2016-03-07,2.43,2.74,2.43,2.62,230263
2016-03-08,2.6,3.0,2.48,2.48,172083
2016-03-09,2.5,2.64,2.5,2.5,41400
2016-03-10,2.52,2.52,2.36,2.4,26079
2016-03-11,2.41,2.41,2.27,2.32,42389
2016-03-14,2.34,2.36,2.11,2.18,305548
2016-03-15,2.07,2.07,1.52,1.62,528317
2016-03-16,1.58,1.66,1.55,1.6,256782
2016-03-17,1.6,1.68,1.46,1.5,139829
2016-03-18,1.5,1.52,1.35,1.45,519397
2016-03-21,1.35,1.41,1.26,1.29,176152
2016-03-22,1.3,1.36,1.16,1.21,206439
2016-03-23,1.19,1.26,1.11,1.12,108311
2016-03-24,1.12,1.15,1.07,1.09,334432
2016-03-28,1.09,1.17,1.07,1.09,215671
2016-03-29,1.09,1.11,1.07,1.1,92746
2016-03-30,1.12,1.16,1.09,1.1,191363
