Date,Open,High,Low,Close,Volume
2016-01-04,12.47,13.1,12.25,12.47,1885200
2016-01-05,12.62,12.67,11.92,12.19,1210450
2016-01-06,11.76,11.86,11.2,11.28,1328324
2016-01-07,10.94,11.32,10.84,10.91,1703675
2016-01-08,11.03,11.13,10.59,10.7,960856
2016-01-11,10.71,10.77,10.18,10.41,1047948
2016-01-12,10.66,10.66,9.83,10.22,1013868
2016-01-13,10.4,10.6,9.78,9.86,1053174
2016-01-14,9.95,10.68,9.74,10.52,1302122
2016-01-15,9.78,10.4,9.78,10.31,1148489
2016-01-19,10.38,10.45,9.33,9.75,1294777
2016-01-20,9.46,9.92,8.87,9.66,1633373
2016-01-21,9.48,10.38,9.39,9.98,2362442
2016-01-22,10.48,10.62,9.76,10.06,1111419
2016-01-25,9.71,10.12,9.37,9.39,679346
2016-01-26,9.68,9.95,9.38,9.75,1327852
2016-01-27,9.63,10.37,9.58,10.17,1411269
2016-01-28,10.76,10.8,10.19,10.35,1100103
2016-01-29,10.39,11.28,10.39,11.21,1465289
2016-02-01,10.97,11.01,10.5,10.78,1429481
2016-02-02,10.44,10.52,10.17,10.36,1202099
2016-02-03,10.37,10.61,9.78,10.38,1636593
2016-02-04,10.49,11.55,10.49,11.24,1687789
2016-02-05,11.02,11.33,10.54,10.73,1607956
2016-02-08,10.5,10.56,9.93,10.24,1307876
2016-02-09,9.98,10.06,9.14,9.44,1115477
2016-02-10,9.4,9.81,9.23,9.36,860435
2016-02-11,9.1,9.14,8.7,8.97,2152170
2016-02-12,8.97,9.58,8.47,8.54,2906896
2016-02-16,8.54,9.34,8.5,9.1,3201328
2016-02-17,9.24,9.84,9.18,9.53,1683910
2016-02-18,9.65,9.72,9.19,9.45,1942274
2016-02-19,9.16,9.43,9.02,9.39,1358890
2016-02-22,9.73,10.36,9.73,10.02,1291558
2016-02-23,9.93,10.22,9.6,9.62,1167241
2016-02-24,9.36,10.01,9.15,9.95,1377905
2016-02-25,9.92,10.16,9.62,10.03,1240910
2016-02-26,10.35,11.51,10.28,10.98,1743084
2016-02-29,11.08,11.94,10.95,11.76,2448093
2016-03-01,11.85,12.03,11.1,11.49,1744857
2016-03-02,11.39,11.92,11.24,11.88,1522306
2016-03-03,11.76,12.87,11.73,12.8,1331258
2016-03-04,12.97,13.63,12.48,13.22,1790139
2016-03-07,13.26,13.64,13.08,13.39,1375855
2016-03-08,13.25,13.29,12.35,12.58,996935
2016-03-09,12.88,13.1,12.29,12.77,1026057
2016-03-10,12.61,12.71,12.2,12.51,1213992
2016-03-11,12.98,13.64,12.9,13.52,1365588
2016-03-14,13.28,13.78,13.16,13.21,1400299
2016-03-15,12.89,12.91,12.22,12.56,1176011
2016-03-16,12.71,13.05,12.64,12.93,1128203
2016-03-17,12.99,13.52,12.88,13.43,755824
2016-03-18,13.54,13.65,12.93,13.15,1117274
2016-03-21,13.01,13.31,12.86,13.27,674923
2016-03-22,13.12,13.28,12.98,13.12,432150
2016-03-23,12.89,13.11,12.64,12.66,647795
2016-03-24,12.45,12.9,12.34,12.89,550352
2016-03-28,12.98,13.04,12.58,12.84,608301
2016-03-29,12.6,13.15,12.46,13.08,819287
2016-03-30,13.26,13.34,12.66,12.94,660451
2016-03-31,12.95,13.39,12.88,13.2,550291
2016-04-01,12.71,12.97,12.52,12.89,550015
2016-04-04,12.86,13.11,12.5,12.54,961886
2016-04-05,12.37,12.79,12.26,12.62,1256578
2016-04-06,12.79,13.04,12.49,12.95,1255236
2016-04-07,12.87,13.02,12.54,12.64,1249080
2016-04-08,13.08,13.41,12.93,13.21,821748
2016-04-11,13.33,13.78,13.23,13.25,977622
