Date,Open,High,Low,Close,Volume
2016-01-04,16.52,16.81,16.3,16.54,649713
2016-01-05,16.55,16.66,16.1,16.29,305412
2016-01-06,16.01,16.37,16.0,16.31,279425
2016-01-07,16.0,16.26,15.97,16.24,257359
2016-01-08,16.25,16.4,16.1,16.26,242645
2016-01-11,16.36,16.47,15.91,16.08,373792
2016-01-12,16.18,16.37,15.6,15.75,347639
2016-01-13,15.9,16.12,15.3,15.33,269318
2016-01-14,15.2,15.94,15.02,15.76,343483
2016-01-15,15.69,15.74,15.18,15.42,255956
2016-01-19,15.41,15.61,15.0,15.16,351497
2016-01-20,15.0,15.45,13.76,14.36,756515
2016-01-21,14.29,15.5,14.29,15.39,412767
2016-01-22,15.62,15.96,15.3,15.88,511818
2016-01-25,15.81,15.9,15.46,15.79,231422
2016-01-26,15.8,15.85,15.54,15.73,260025
2016-01-27,15.75,15.75,15.41,15.59,302665
2016-01-28,15.86,16.08,15.7,15.78,232567
2016-01-29,15.92,16.1,15.8,15.94,240102
2016-02-01,15.94,15.94,15.55,15.85,213581
2016-02-02,15.73,15.79,15.31,15.44,254165
2016-02-03,15.62,15.75,15.05,15.17,265919
2016-02-04,15.24,15.35,15.05,15.16,420631
2016-02-05,15.26,16.47,15.09,16.18,489835
2016-02-08,16.12,16.48,15.61,16.42,347309
2016-02-09,16.35,16.35,15.75,16.12,253509
2016-02-10,16.21,16.43,15.96,16.06,208331
2016-02-11,16.03,16.13,15.6,15.69,240056
2016-02-12,15.82,16.88,15.82,16.77,297647
2016-02-16,16.96,17.25,16.84,17.07,406771
2016-02-17,17.35,18.22,17.12,18.19,498444
2016-02-18,18.19,18.36,17.87,17.99,275054
2016-02-19,17.99,18.06,17.55,17.88,216624
2016-02-22,18.25,18.83,18.07,18.56,477769
2016-02-23,18.6,18.6,17.97,18.16,211443
2016-02-24,17.95,18.44,17.55,18.14,369206
2016-02-25,18.3,18.4,17.88,18.38,299811
2016-02-26,18.5,18.85,18.2,18.65,415351
2016-02-29,18.68,18.89,18.25,18.54,511959
2016-03-01,18.66,18.9,18.5,18.81,411181
2016-03-02,18.88,18.97,18.44,18.5,418079
2016-03-03,18.69,19.13,18.55,18.55,540074
2016-03-04,18.79,18.87,18.32,18.45,651893
2016-03-07,18.05,18.33,17.68,17.7,494263
2016-03-08,17.74,17.82,17.3,17.35,359971
2016-03-09,17.33,17.5,17.03,17.15,560047
2016-03-10,16.72,17.18,16.03,16.03,780546
2016-03-11,16.35,16.84,16.21,16.22,755977
2016-03-14,16.14,16.2,15.3,15.3,740359
2016-03-15,15.25,16.11,15.17,16.11,504722
2016-03-16,16.09,17.21,16.09,16.97,546273
2016-03-17,16.99,17.6,16.78,17.37,435794
2016-03-18,17.51,17.7,17.14,17.57,542715
2016-03-21,17.44,17.52,17.05,17.16,250624
2016-03-22,17.15,17.49,17.02,17.26,196425
2016-03-23,17.25,17.25,16.93,16.95,198535
2016-03-24,16.9,17.29,16.68,17.27,160677
2016-03-28,17.3,17.34,16.85,16.93,219764
2016-03-29,16.8,17.11,16.68,17.06,170726
2016-03-30,17.08,17.44,16.93,17.25,141445
2016-03-31,17.15,17.46,17.07,17.4,123086
2016-04-01,17.17,17.43,16.93,16.95,243472
2016-04-04,16.95,17.29,16.95,17.01,221591
2016-04-05,17.01,17.31,17.01,17.07,212474
2016-04-06,17.25,17.8,17.1,17.77,369902
2016-04-07,17.7,17.89,17.57,17.67,143304
2016-04-08,17.77,18.01,17.7,17.82,148624
2016-04-11,17.92,18.0,17.76,17.8,209325
2016-04-12,17.8,18.25,17.74,18.09,253980
2016-04-13,18.25,18.35,17.89,17.95,201154
2016-04-14,18.08,18.22,17.6,18.13,222164
2016-04-15,17.86,18.46,17.81,18.01,269750
2016-04-18,18.0,18.44,17.99,18.23,160005
2016-04-19,18.18,18.46,18.1,18.27,160420
2016-04-20,18.32,18.38,18.08,18.12,156407
2016-04-21,18.1,18.45,18.02,18.19,172832
2016-04-22,18.27,18.5,18.0,18.23,231233
2016-04-25,18.21,18.44,18.09,18.44,129794
2016-04-26,18.39,18.62,18.26,18.34,215844
2016-04-27,18.57,18.7,18.36,18.56,228255
2016-04-28,18.6,18.73,18.03,18.64,279018
2016-04-29,18.64,18.76,18.38,18.74,203935
2016-05-02,18.75,18.85,18.16,18.69,221329
2016-05-03,18.64,18.82,18.45,18.79,259680
2016-05-04,18.79,18.99,18.72,18.84,150243
2016-05-05,18.93,19.13,18.63,18.82,212287
2016-05-06,18.7,18.96,18.6,18.86,232446
2016-05-09,18.92,19.16,18.69,18.95,213725
2016-05-10,19.0,19.2,18.85,19.16,202709
2016-05-11,19.19,19.66,19.15,19.43,273116
2016-05-12,19.44,19.84,19.44,19.69,169575
2016-05-13,19.8,19.89,19.41,19.41,201852
2016-05-16,19.58,19.89,19.5,19.87,204381
2016-05-17,19.9,19.99,19.75,19.94,205275
2016-05-18,20.0,20.0,19.46,19.57,225335
2016-05-19,19.57,20.1,19.36,19.97,293113
2016-05-20,20.12,20.17,19.89,20.03,214395
2016-05-23,20.06,20.13,19.78,19.9,174513
2016-05-24,20.0,20.2,19.8,20.1,273763
2016-05-25,20.15,20.45,20.07,20.28,257053
2016-05-26,20.38,20.72,20.25,20.68,270047
2016-05-27,20.71,20.85,20.18,20.26,439102
2016-05-31,20.5,20.66,19.81,19.89,614212
2016-06-01,19.9,20.2,19.82,20.07,338877
2016-06-02,20.28,20.76,20.12,20.26,942039
2016-06-03,19.51,19.88,19.26,19.54,528502
2016-06-06,19.55,19.62,18.88,19.2,591257
