Date,Open,High,Low,Close,Volume
2016-01-04,14.39,14.44,13.86,14.31,179320
2016-01-05,14.39,14.49,14.11,14.48,57728
2016-01-06,14.33,14.33,13.63,13.63,54675
2016-01-07,13.4,13.68,13.23,13.27,83996
2016-01-08,13.39,13.56,13.27,13.42,58169
2016-01-11,13.5,13.52,12.88,13.06,79072
2016-01-12,13.27,13.47,12.49,12.86,139716
2016-01-13,12.92,13.13,12.04,12.19,125341
2016-01-14,12.19,12.81,12.05,12.73,256102
2016-01-15,12.36,12.41,11.86,12.06,195652
2016-01-19,12.06,12.18,11.47,11.7,181037
2016-01-20,11.49,11.59,10.64,10.86,179352
2016-01-21,10.96,12.19,10.91,12.11,340604
2016-01-22,12.57,12.99,12.45,12.84,196973
2016-01-25,12.72,13.19,12.25,12.27,157782
2016-01-26,12.41,12.92,12.14,12.92,140832
2016-01-27,12.89,13.04,12.55,12.89,145315
2016-01-28,13.21,13.76,13.16,13.76,142299
2016-01-29,13.92,14.12,13.71,13.97,96848
2016-02-01,13.72,13.75,13.2,13.64,133812
2016-02-02,13.38,13.44,13.14,13.44,81490
2016-02-03,13.74,13.82,13.12,13.73,211025
2016-02-04,13.81,14.42,13.76,14.19,190528
2016-02-05,14.19,14.23,13.74,13.74,41956
2016-02-08,13.55,13.55,12.74,12.94,89147
2016-02-09,12.65,12.95,12.58,12.81,81714
2016-02-10,12.88,13.29,12.7,12.88,86581
2016-02-11,12.71,12.82,12.11,12.44,73769
2016-02-12,12.7,12.92,12.39,12.92,90102
2016-02-16,13.31,13.48,13.08,13.32,97310
2016-02-17,13.77,13.92,13.48,13.76,118716
2016-02-18,13.85,13.92,13.43,13.88,88395
2016-02-19,13.8,13.8,13.45,13.62,62460
2016-02-22,14.01,14.25,14.01,14.23,68733
2016-02-23,14.21,14.21,13.75,13.83,63177
2016-02-24,13.62,14.07,13.34,14.03,63627
2016-02-25,13.95,14.01,13.83,14.0,47906
2016-02-26,14.25,14.47,14.13,14.26,91482
2016-02-29,14.44,14.55,14.29,14.42,59645
2016-03-01,14.49,14.52,14.31,14.41,90561
2016-03-02,14.35,14.8,14.17,14.71,77976
2016-03-03,14.64,15.1,14.62,15.09,102845
2016-03-04,15.04,15.44,14.86,15.33,121495
2016-03-07,15.23,15.42,15.12,15.34,82520
2016-03-08,15.12,15.12,14.76,14.8,70892
2016-03-09,15.1,15.23,14.94,15.21,53081
2016-03-10,15.09,15.19,15.0,15.19,52303
2016-03-11,15.23,15.45,15.23,15.45,31779
2016-03-14,15.31,15.38,15.02,15.34,50322
2016-03-15,15.26,15.3,14.95,15.05,45236
2016-03-16,15.14,15.65,15.14,15.55,66137
2016-03-17,15.82,15.86,15.62,15.66,53296
2016-03-18,15.75,16.03,15.52,15.76,76100
2016-03-21,15.82,15.82,15.35,15.5,45495
2016-03-22,15.49,15.77,15.46,15.69,46619
2016-03-23,15.42,15.57,15.11,15.11,80118
2016-03-24,14.93,15.12,14.77,15.01,52065
2016-03-28,15.11,15.11,14.82,14.99,45792
2016-03-29,14.8,15.04,14.69,15.0,69155
2016-03-30,15.17,15.44,15.17,15.36,34950
2016-03-31,15.35,15.5,15.26,15.42,34491
2016-04-01,15.2,15.27,15.0,15.14,41456
2016-04-04,15.13,15.15,14.82,14.92,38475
2016-04-05,14.84,14.9,14.6,14.67,59548
2016-04-06,14.7,14.85,14.64,14.77,64974
2016-04-07,14.75,14.9,14.62,14.64,60247
2016-04-08,14.87,15.1,14.85,15.04,50282
2016-04-11,15.14,15.3,15.14,15.17,68368
2016-04-12,15.23,15.6,15.18,15.58,65731
2016-04-13,15.5,15.6,15.42,15.54,55687
2016-04-14,15.63,15.63,15.39,15.52,65727
2016-04-15,15.44,15.56,15.31,15.33,47416
2016-04-18,15.16,15.87,15.07,15.75,96442
