Date,Open,High,Low,Close,Volume
2016-01-04,19.07,19.37,19.03,19.36,83289
2016-01-05,19.47,19.53,19.35,19.43,68772
2016-01-06,19.33,19.66,19.26,19.51,74097
2016-01-07,19.41,19.63,19.38,19.38,52778
2016-01-08,19.43,19.64,19.41,19.44,48995
2016-01-11,19.54,19.6,19.26,19.41,62456
2016-01-12,19.51,19.58,19.41,19.55,42217
2016-01-13,19.55,19.63,19.34,19.4,46891
2016-01-14,19.39,19.52,19.18,19.24,56892
2016-01-15,19.13,19.35,18.96,19.06,47059
2016-01-19,19.26,19.39,19.03,19.16,68207
2016-01-20,18.99,18.99,18.51,18.69,63514
2016-01-21,18.85,19.11,18.75,19.09,35885
2016-01-22,19.39,19.49,19.19,19.34,46711
2016-01-25,19.34,19.47,19.07,19.08,36991
2016-01-26,19.04,19.28,19.0,19.24,33970
2016-01-27,19.15,19.36,19.1,19.22,37321
2016-01-28,19.21,19.4,19.15,19.39,25554
2016-01-29,19.51,19.79,19.48,19.79,42607
2016-02-01,19.84,20.23,19.8,20.18,91545
2016-02-02,20.13,20.3,20.02,20.19,65690
2016-02-03,20.27,20.28,20.06,20.24,28959
2016-02-04,20.22,20.49,19.98,20.15,48160
2016-02-05,20.09,20.3,19.66,19.81,36610
2016-02-08,19.52,19.59,19.25,19.4,49702
2016-02-09,19.21,19.5,19.03,19.2,122790
2016-02-10,19.38,19.55,19.26,19.44,27748
2016-02-11,19.23,19.39,18.82,18.86,42011
2016-02-12,18.95,19.22,18.82,19.12,34443
2016-02-16,19.24,19.4,19.07,19.4,28293
2016-02-17,19.39,20.02,19.39,19.98,40554
2016-02-18,19.85,20.03,19.78,19.96,24854
2016-02-19,19.9,20.08,19.79,20.0,25922
2016-02-22,20.04,20.05,19.82,19.82,32013
2016-02-23,19.9,19.95,19.57,19.64,52162
2016-02-24,19.6,19.99,19.55,19.89,33969
2016-02-25,19.9,19.98,19.88,19.95,17763
2016-02-26,19.97,19.97,19.8,19.95,21487
2016-02-29,19.94,19.98,19.9,19.96,17675
2016-03-01,19.98,19.98,19.84,19.93,27685
2016-03-02,19.93,19.98,19.92,19.98,35430
