Date,Open,High,Low,Close,Volume
2016-01-04,14.3,14.51,14.3,14.41,1741
2016-01-05,14.42,14.46,14.42,14.46,6548
2016-01-06,14.33,14.66,14.33,14.55,11146
2016-01-07,14.5,14.64,14.5,14.53,4894
2016-01-08,14.6,14.6,14.53,14.53,7293
2016-01-11,14.55,14.61,14.51,14.61,3051
2016-01-12,14.52,14.58,14.51,14.51,4215
2016-01-13,14.53,14.53,14.21,14.22,8934
2016-01-14,14.27,14.27,14.07,14.14,4843
2016-01-15,14.19,14.19,13.84,13.96,8308
2016-01-19,13.96,14.1,13.8,13.96,19655
2016-01-20,13.77,13.91,13.63,13.91,4262
2016-01-21,13.89,13.91,13.88,13.91,2648
2016-01-22,14.02,14.26,14.02,14.14,7245
2016-01-25,14.37,14.39,14.28,14.32,7870
2016-01-26,14.34,14.39,14.34,14.39,4100
2016-01-27,14.35,14.4,14.35,14.35,1974
2016-01-28,14.4,14.4,14.36,14.37,1603
2016-01-29,14.4,14.57,14.4,14.41,4501
2016-02-01,14.4,14.42,14.35,14.37,2390
2016-02-02,14.22,14.43,14.22,14.22,1412
2016-02-03,14.42,14.42,14.3,14.3,1986
2016-02-04,14.13,14.28,14.13,14.2,18210
2016-02-05,14.1,15.1,14.1,14.4,52473
2016-02-08,14.3,14.5,14.26,14.5,4331
2016-02-09,14.35,14.44,14.29,14.42,5490
2016-02-10,14.45,14.45,14.39,14.43,3966
2016-02-11,14.47,14.47,14.4,14.4,891
2016-02-12,14.4,14.4,14.18,14.36,6943
2016-02-16,14.36,14.49,14.17,14.25,9555
2016-02-17,14.27,14.37,14.07,14.36,27161
2016-02-18,14.26,14.33,14.17,14.25,15957
2016-02-19,14.14,14.23,14.14,14.19,1565
2016-02-22,14.18,14.3,14.18,14.29,9442
2016-02-23,14.25,14.25,14.23,14.23,679
2016-02-24,14.25,14.27,14.25,14.25,2420
2016-02-25,14.23,14.3,13.97,14.23,65701
2016-02-26,14.2,14.42,14.2,14.36,11026
2016-02-29,14.27,14.34,14.07,14.34,4498
2016-03-01,14.44,14.45,14.18,14.18,10732
2016-03-02,14.27,14.27,14.16,14.17,1961
2016-03-03,14.19,14.21,14.18,14.19,3365
2016-03-04,14.24,14.31,14.23,14.31,7381
2016-03-07,14.24,14.35,14.24,14.32,2997
2016-03-08,14.25,14.32,14.24,14.24,2669
2016-03-09,14.23,14.33,14.23,14.32,2236
2016-03-10,14.29,14.33,14.24,14.28,3949
2016-03-11,14.35,14.44,14.29,14.44,13976
2016-03-14,14.44,14.47,14.41,14.45,15626
2016-03-15,14.48,14.5,14.4,14.47,15195
2016-03-16,14.4,14.4,14.32,14.36,639
2016-03-17,14.49,14.5,14.42,14.42,2996
2016-03-18,14.44,14.45,14.42,14.43,5626
2016-03-21,14.29,14.42,14.29,14.36,8338
2016-03-22,14.35,14.45,14.35,14.37,8900
2016-03-23,14.53,14.53,14.42,14.42,2023
2016-03-24,14.42,14.42,14.35,14.36,942
2016-03-28,14.59,14.59,14.41,14.41,462
2016-03-29,,,,14.41,0
2016-03-30,,,,14.41,0
2016-03-31,14.38,14.38,14.37,14.37,1327
2016-04-01,14.45,14.49,14.45,14.48,2202
2016-04-04,14.45,14.45,14.36,14.36,960
2016-04-05,14.19,14.48,14.19,14.46,2697
2016-04-06,14.3,14.61,14.3,14.61,2801
2016-04-07,14.5,14.6,14.5,14.54,9204
2016-04-08,14.63,14.63,14.43,14.5,2187
2016-04-11,14.49,14.56,14.38,14.56,1228
2016-04-12,14.49,14.56,14.49,14.53,1669
2016-04-13,14.53,14.53,14.43,14.43,1455
2016-04-14,,,,14.43,0
2016-04-15,14.53,14.53,14.44,14.51,7301
2016-04-18,14.5,14.5,14.49,14.49,877
2016-04-19,14.53,14.53,14.36,14.36,1452
2016-04-20,14.45,14.5,14.45,14.5,1305
2016-04-21,14.47,14.47,14.46,14.47,2286
2016-04-22,14.4,14.52,14.39,14.52,3697
2016-04-25,14.45,14.5,14.44,14.48,4267
2016-04-26,14.46,14.46,14.36,14.36,6102
