Date,Open,High,Low,Close,Volume
2017-04-27,30.25,32.45,29.37,32.05,9424200
2017-04-28,31.64,32.4,31.0,32.4,978693
2017-05-01,32.4,35.44,32.4,33.54,330015
2017-05-02,34.0,34.37,33.3,33.51,172205
2017-05-03,33.45,38.49,33.41,36.36,814166
2017-05-04,36.5,37.63,35.67,36.93,360314
2017-05-05,37.21,37.52,36.51,36.73,234438
2017-05-08,36.38,36.9,35.17,35.5,490161
2017-05-09,35.68,36.56,35.53,36.11,377898
2017-05-10,36.35,37.49,35.64,36.77,297642
2017-05-11,36.84,36.95,36.0,36.73,161277
2017-05-12,36.93,37.95,36.75,37.31,294401
2017-05-15,37.62,39.49,37.56,37.91,369425
2017-05-16,38.14,39.06,36.55,36.62,308635
2017-05-17,36.74,36.99,35.61,36.28,159344
2017-05-18,36.34,37.52,36.33,37.25,90037
2017-05-19,37.44,38.25,36.59,37.05,134631
2017-05-22,37.23,37.35,35.88,36.28,325413
2017-05-23,36.45,37.69,36.35,37.4,305358
2017-05-24,37.25,37.97,36.03,37.23,266995
2017-05-25,37.35,39.5,36.62,38.14,578159
2017-05-26,39.0,43.1,37.25,42.38,646207
