Date,Open,High,Low,Close,Volume
2016-01-04,34.09,34.18,33.35,33.5,1638763
2016-01-05,33.58,34.36,33.38,34.35,1221662
2016-01-06,33.92,34.14,33.5,33.76,1008755
2016-01-07,33.2,33.52,33.06,33.23,1665240
2016-01-08,33.24,33.55,32.31,32.33,1866644
2016-01-11,32.35,32.52,32.15,32.31,1412945
2016-01-12,32.49,32.68,32.03,32.2,1711446
2016-01-13,32.48,32.72,32.14,32.18,2679888
2016-01-14,32.18,33.03,32.07,32.7,1364250
2016-01-15,32.16,32.43,31.75,31.8,2250966
2016-01-19,32.04,32.33,31.49,31.82,1263163
2016-01-20,31.34,31.5,30.38,31.07,963592
2016-01-21,31.11,31.6,30.93,31.44,788312
2016-01-22,31.79,32.33,31.77,32.04,903390
2016-01-25,32.0,32.0,31.51,31.57,1273248
2016-01-26,31.65,32.39,31.59,32.14,683831
2016-01-27,32.02,32.25,31.63,31.73,820510
2016-01-28,32.02,32.17,31.55,31.65,647725
2016-01-29,31.76,32.52,31.71,32.38,1642525
2016-02-01,32.17,32.76,32.1,32.5,1262146
2016-02-02,32.24,32.41,31.93,32.06,1124160
2016-02-03,32.23,32.42,31.62,31.91,2107119
2016-02-04,31.85,31.95,31.13,31.34,1679187
2016-02-05,31.29,31.4,30.4,30.59,1236454
2016-02-08,30.21,30.21,29.43,29.58,1143232
2016-02-09,29.26,29.92,29.2,29.61,944912
2016-02-10,29.75,30.7,29.66,29.79,1482109
2016-02-11,28.53,31.0,28.24,30.72,1629009
2016-02-12,31.0,33.13,31.0,32.55,2476020
2016-02-16,32.9,33.13,32.48,32.5,1425997
2016-02-17,32.69,32.99,32.4,32.47,1182785
2016-02-18,32.47,33.4,32.17,33.24,1160476
2016-02-19,33.17,33.33,32.62,32.93,954139
2016-02-22,33.18,33.35,32.86,32.96,743442
2016-02-23,32.87,32.91,32.41,32.65,754886
2016-02-24,32.39,32.92,32.1,32.91,841511
2016-02-25,32.91,33.24,32.87,33.19,975561
2016-02-26,33.27,33.52,32.67,32.9,1126195
2016-02-29,32.89,33.1,32.79,32.98,1116741
2016-03-01,33.21,33.21,32.72,33.04,1361844
2016-03-02,32.95,33.14,32.04,32.36,1325682
2016-03-03,32.38,32.49,31.96,32.26,1694829
2016-03-04,32.2,32.67,31.79,32.61,848888
2016-03-07,32.47,32.56,31.62,31.81,1122514
2016-03-08,31.62,31.8,31.37,31.39,758342
2016-03-09,31.54,31.63,31.02,31.28,733925
2016-03-10,31.38,31.61,31.02,31.54,708348
2016-03-11,31.8,32.36,31.67,32.2,848399
2016-03-14,32.03,32.18,31.44,31.67,858861
2016-03-15,31.38,31.61,31.11,31.46,771301
2016-03-16,31.38,31.92,31.17,31.74,1502242
2016-03-17,31.81,32.78,31.68,32.54,1236340
2016-03-18,32.49,32.79,32.21,32.23,1189095
2016-03-21,32.18,32.78,32.03,32.66,1045650
2016-03-22,32.59,32.97,32.44,32.67,868439
2016-03-23,32.67,32.92,32.48,32.75,950623
2016-03-24,32.61,33.16,32.61,32.94,1236276
2016-03-28,32.94,33.12,32.81,32.93,676251
2016-03-29,32.84,33.7,32.84,33.69,1096065
2016-03-30,33.72,34.44,33.57,33.98,892501
2016-03-31,33.89,34.02,33.61,33.9,981907
2016-04-01,33.59,33.91,33.49,33.89,1397009
2016-04-04,33.87,34.06,33.46,33.68,811144
2016-04-05,33.52,33.74,33.2,33.21,668306
2016-04-06,33.15,33.52,32.87,33.48,1015349
2016-04-07,33.19,33.73,33.18,33.7,1622298
2016-04-08,33.91,34.13,33.68,33.76,1050221
2016-04-11,33.75,33.79,32.62,32.64,1396412
2016-04-12,32.68,32.93,32.1,32.92,1644390
2016-04-13,32.94,33.21,32.59,33.16,906864
2016-04-14,33.01,33.01,32.58,32.82,989364
2016-04-15,32.86,33.25,32.76,32.86,654020
2016-04-18,32.61,32.98,32.53,32.94,518328
2016-04-19,33.0,33.17,32.62,32.8,1634762
2016-04-20,32.79,33.01,32.57,32.86,660549
2016-04-21,32.8,33.08,32.43,32.67,747135
2016-04-22,32.68,33.0,32.45,32.67,905680
2016-04-25,32.42,32.81,32.31,32.66,770241
2016-04-26,32.65,32.94,32.29,32.46,805536
2016-04-27,32.39,32.79,32.1,32.32,1050030
2016-04-28,32.01,32.3,30.62,31.74,4213775
2016-04-29,31.78,31.98,31.5,31.9,2701571
2016-05-02,31.87,32.63,31.58,32.5,2157649
2016-05-03,32.32,32.81,32.16,32.75,1437760
2016-05-04,32.59,32.77,32.5,32.72,784769
2016-05-05,32.74,32.94,32.67,32.81,826392
2016-05-06,32.7,32.91,32.56,32.9,1409653
2016-05-09,32.89,33.91,32.89,33.75,1875387
2016-05-10,33.72,33.84,33.39,33.52,1334749
2016-05-11,33.46,33.68,33.26,33.49,1307935
2016-05-12,33.59,33.83,33.46,33.76,905636
2016-05-13,33.69,33.86,33.5,33.54,809670
2016-05-16,33.49,33.75,33.36,33.67,607722
2016-05-17,33.61,33.69,33.27,33.46,914013
2016-05-18,33.37,33.49,33.1,33.48,1046907
