Date,Open,High,Low,Close,Volume
2016-01-04,10.96,11.0,10.63,10.75,432246
2016-01-05,10.73,10.76,10.46,10.58,329361
2016-01-06,10.34,10.42,10.0,10.05,674474
2016-01-07,9.82,9.99,9.52,9.52,530999
2016-01-08,9.56,9.76,9.48,9.61,778852
2016-01-11,9.69,9.7,9.55,9.59,916088
2016-01-12,9.74,9.89,9.57,9.76,723187
2016-01-13,10.36,10.39,9.46,9.62,831831
2016-01-14,9.66,10.07,9.57,9.89,756742
2016-01-15,9.53,9.7,9.36,9.5,661622
2016-01-19,9.56,9.62,8.71,8.92,789985
2016-01-20,8.73,9.02,8.49,8.9,854354
2016-01-21,8.9,9.0,8.7,8.8,713806
2016-01-22,9.04,9.39,9.04,9.3,665837
2016-01-25,9.19,9.29,8.82,8.86,496894
2016-01-26,8.93,9.25,8.93,9.11,618636
2016-01-27,8.97,9.24,8.94,9.02,479263
2016-01-28,9.09,9.26,8.98,9.06,506469
2016-01-29,9.1,9.3,8.81,9.29,614825
2016-02-01,9.05,9.21,8.86,9.13,681062
2016-02-02,8.99,9.13,8.81,8.85,458079
2016-02-03,8.76,8.92,8.55,8.92,510677
2016-02-04,8.98,9.33,8.89,9.22,335645
2016-02-05,9.08,9.23,8.91,8.91,487035
2016-02-08,8.73,8.87,8.47,8.66,357620
2016-02-09,8.52,8.71,8.49,8.62,446859
2016-02-10,8.97,9.62,8.94,9.12,1223052
2016-02-11,8.89,9.09,8.73,8.92,683786
2016-02-12,9.0,9.39,8.95,9.28,461950
2016-02-16,9.41,9.49,9.1,9.33,502483
2016-02-17,9.46,9.85,9.46,9.6,487892
2016-02-18,9.69,9.69,9.31,9.32,285290
2016-02-19,9.27,9.27,8.97,9.1,563777
2016-02-22,9.25,9.64,9.25,9.49,1152238
2016-02-23,9.45,9.49,9.28,9.38,678157
2016-02-24,9.14,9.69,9.07,9.68,509363
2016-02-25,9.51,9.77,8.51,9.11,1520551
2016-02-26,9.14,10.17,9.14,9.95,1421306
2016-02-29,9.99,10.21,9.91,9.93,829654
2016-03-01,10.09,10.26,9.96,10.12,578426
2016-03-02,10.08,10.36,10.06,10.33,619546
2016-03-03,10.36,10.7,10.3,10.7,475128
2016-03-04,10.74,10.76,10.33,10.63,638012
2016-03-07,10.59,10.92,10.55,10.91,361007
2016-03-08,10.81,10.81,10.2,10.2,961410
2016-03-09,10.3,10.45,10.18,10.28,405898
2016-03-10,10.33,10.39,10.11,10.18,339686
2016-03-11,10.28,10.62,10.28,10.59,472706
2016-03-14,10.49,11.06,10.45,10.87,558037
2016-03-15,10.76,12.76,10.44,11.38,3783832
2016-03-16,11.45,11.84,11.36,11.59,904711
2016-03-17,11.55,11.9,11.53,11.86,574273
2016-03-18,11.97,12.22,11.75,11.9,954761
2016-03-21,11.95,12.58,11.56,12.27,1956646
