Date,Open,High,Low,Close,Volume
2016-01-04,21.0,21.19,20.93,20.97,409901
2016-01-05,21.06,21.39,21.05,21.39,647953
2016-01-06,21.3,21.69,21.29,21.47,570976
2016-01-07,21.35,21.57,21.28,21.44,533277
2016-01-08,21.48,21.52,21.38,21.42,180300
2016-01-11,21.47,21.48,21.21,21.38,255381
2016-01-12,21.43,21.53,21.34,21.52,217728
2016-01-13,21.47,21.55,21.34,21.46,233812
2016-01-14,21.46,21.58,21.31,21.43,254595
2016-01-15,21.28,21.4,21.16,21.29,259040
2016-01-19,21.34,21.62,21.15,21.54,712954
2016-01-20,21.48,21.63,21.23,21.57,730506
2016-01-21,21.58,21.79,21.45,21.62,442807
2016-01-22,21.72,21.88,21.66,21.75,321490
2016-01-25,21.7,21.77,21.65,21.68,247544
2016-01-26,21.69,21.82,21.69,21.72,278928
2016-01-27,21.8,21.82,21.66,21.72,259844
2016-01-28,21.75,21.83,21.67,21.71,406657
2016-01-29,21.78,21.88,21.74,21.83,455209
2016-02-01,21.73,22.11,21.68,22.03,388893
2016-02-02,21.96,22.06,21.81,21.88,269487
2016-02-03,21.86,21.87,21.62,21.65,280678
2016-02-04,21.71,21.8,21.54,21.63,246875
2016-02-05,21.61,21.65,21.45,21.49,215020
2016-02-08,21.46,21.47,20.98,21.19,658935
2016-02-09,20.99,21.1,20.51,20.7,601995
2016-02-10,20.82,20.91,20.71,20.79,187360
2016-02-11,20.67,20.67,20.06,20.24,644182
2016-02-12,20.49,20.55,20.23,20.34,323984
2016-02-16,20.5,20.61,20.34,20.5,205075
2016-02-17,20.6,20.82,20.56,20.76,323381
2016-02-18,20.83,20.92,20.69,20.85,219516
2016-02-19,20.85,21.04,20.74,21.04,172888
2016-02-22,21.06,21.24,21.0,21.23,157524
2016-02-23,21.23,21.25,21.06,21.25,133998
2016-02-24,21.17,21.35,21.05,21.24,213816
2016-02-25,21.2,21.49,21.16,21.28,243619
2016-02-26,21.43,21.59,21.35,21.51,160984
