Date,Open,High,Low,Close,Volume
2016-01-04,11.35,11.35,11.0,11.03,220600
2016-01-05,11.04,11.34,11.01,11.31,237113
2016-01-06,11.2,11.46,11.2,11.39,382688
2016-01-07,11.26,11.34,11.02,11.03,135324
2016-01-08,11.03,11.05,10.63,10.67,285814
2016-01-11,10.69,10.81,10.67,10.72,233081
2016-01-12,10.77,10.77,10.4,10.52,304761
2016-01-13,10.53,10.64,10.25,10.33,255013
2016-01-14,10.36,10.43,10.05,10.17,316620
2016-01-15,9.97,10.05,9.65,9.84,585456
2016-01-19,9.93,10.04,9.79,9.92,194189
2016-01-20,9.85,9.88,9.43,9.69,418649
2016-01-21,9.63,9.82,9.51,9.64,421960
2016-01-22,9.67,9.97,9.6,9.88,448955
2016-01-25,9.86,10.1,9.75,9.86,349544
2016-01-26,9.94,10.11,9.87,10.02,652112
2016-01-27,10.02,10.02,9.64,9.72,307203
2016-01-28,9.79,9.9,9.62,9.65,140645
2016-01-29,9.69,9.83,9.64,9.79,366511
2016-02-01,9.75,9.82,9.62,9.69,222279
2016-02-02,9.66,9.66,9.42,9.54,176126
2016-02-03,9.6,9.73,9.41,9.58,168779
2016-02-04,9.56,9.59,9.26,9.33,293774
2016-02-05,9.17,9.33,9.0,9.0,332657
2016-02-08,8.89,8.99,8.4,8.56,1108388
2016-02-09,8.5,8.74,8.44,8.65,335890
2016-02-10,8.7,8.89,8.6,8.64,227861
2016-02-11,8.51,8.56,8.15,8.23,355795
2016-02-12,8.22,8.51,7.9,8.08,632028
2016-02-16,8.13,8.4,8.1,8.36,346028
2016-02-17,8.41,8.54,8.34,8.36,300814
2016-02-18,8.37,8.46,8.23,8.37,241977
2016-02-19,8.35,8.45,8.25,8.35,450823
2016-02-22,8.46,9.05,8.38,8.42,680245
2016-02-23,8.3,8.45,8.06,8.1,777044
2016-02-24,8.07,8.34,8.03,8.1,657310
2016-02-25,8.14,8.44,8.12,8.33,342535
2016-02-26,8.34,8.5,8.33,8.36,243344
2016-02-29,8.36,8.55,8.34,8.46,390397
2016-03-01,8.49,8.67,8.48,8.65,343242
2016-03-02,8.57,8.75,8.55,8.74,229950
2016-03-03,8.72,8.83,8.7,8.83,191981
2016-03-04,8.83,8.83,8.7,8.76,177402
2016-03-07,8.75,8.83,8.69,8.79,272408
2016-03-08,8.78,8.87,8.61,8.62,199945
2016-03-09,8.65,8.82,8.63,8.75,140521
2016-03-10,8.75,8.87,8.58,8.62,214223
2016-03-11,8.72,8.92,8.71,8.91,125600
2016-03-14,8.9,8.91,8.72,8.74,168504
2016-03-15,8.72,8.87,8.65,8.82,133583
2016-03-16,8.78,8.86,8.68,8.81,128478
2016-03-17,8.8,9.1,8.74,9.04,220382
2016-03-18,9.11,9.14,9.02,9.11,519277
2016-03-21,9.07,9.14,8.79,8.82,153519
2016-03-22,8.77,8.79,8.61,8.72,156102
2016-03-23,8.69,8.76,8.59,8.62,117432
2016-03-24,8.59,8.7,8.51,8.65,119819
2016-03-28,8.65,8.73,8.54,8.73,134760
2016-03-29,8.75,9.28,8.75,9.2,253798
2016-03-30,9.2,9.21,9.05,9.09,126868
2016-03-31,9.1,9.13,8.96,9.06,170649
