Date,Open,High,Low,Close,Volume
2016-01-04,30.84,31.62,29.54,30.86,52363
2016-01-05,30.9,31.0,29.57,30.83,43972
2016-01-06,30.14,30.77,29.9,30.65,17727
2016-01-07,30.0,30.4,29.0,29.61,57511
2016-01-08,29.81,29.84,27.66,27.97,62684
2016-01-11,27.8,28.79,27.61,28.7,49402
2016-01-12,28.91,29.23,28.57,29.17,45251
2016-01-13,29.36,29.36,27.5,28.05,51186
2016-01-14,28.79,28.79,27.84,27.99,18862
2016-01-15,27.31,28.02,26.89,27.43,41833
2016-01-19,27.46,27.46,26.5,27.09,30775
2016-01-20,26.59,28.34,26.59,28.21,48554
2016-01-21,28.35,28.9,27.67,28.62,56618
2016-01-22,29.0,29.17,28.18,28.55,37315
2016-01-25,28.5,28.81,28.19,28.51,55116
2016-01-26,28.73,29.0,28.31,28.59,32204
2016-01-27,28.5,28.61,25.77,26.62,110033
2016-01-28,26.85,27.57,26.51,26.83,65933
2016-01-29,26.73,27.85,26.73,27.82,28409
2016-02-01,27.51,27.72,26.96,27.09,45003
2016-02-02,26.79,26.79,26.22,26.23,49950
2016-02-03,26.51,26.69,25.55,25.57,43526
2016-02-04,25.57,26.46,25.57,25.95,62922
2016-02-05,25.95,25.95,24.72,24.83,22456
2016-02-08,24.76,24.76,23.91,24.33,72013
2016-02-09,24.16,24.79,24.07,24.51,19830
2016-02-10,24.77,27.0,24.73,26.99,90498
2016-02-11,26.45,26.45,24.36,25.31,49123
2016-02-12,25.42,25.94,22.83,25.4,42666
2016-02-16,25.64,26.73,25.52,25.6,21702
2016-02-17,25.93,25.93,25.45,25.57,15239
2016-02-18,25.43,25.63,24.7,24.85,28840
2016-02-19,24.69,25.9,24.56,25.72,47788
2016-02-22,25.97,26.32,25.51,26.07,32562
2016-02-23,26.11,26.11,25.17,25.53,27541
2016-02-24,25.19,25.64,24.61,25.62,27020
2016-02-25,25.5,25.67,25.23,25.66,11293
2016-02-26,25.39,27.15,25.16,27.12,38193
2016-02-29,27.17,27.6,27.05,27.47,48127
2016-03-01,27.46,28.0,27.3,27.86,24520
2016-03-02,27.69,28.08,27.11,27.82,29429
2016-03-03,27.65,28.11,27.65,27.98,36725
2016-03-04,27.95,28.21,27.51,27.73,54739
2016-03-07,27.6,28.25,27.47,27.9,38541
2016-03-08,27.21,27.65,26.49,26.94,31260
2016-03-09,26.94,27.05,26.38,26.95,22886
2016-03-10,26.95,27.1,26.06,26.49,11116
2016-03-11,26.78,27.04,26.49,26.83,16215
2016-03-14,26.82,26.82,26.36,26.62,7429
2016-03-15,26.68,26.68,25.77,25.97,18602
2016-03-16,25.95,26.49,25.95,26.23,23123
2016-03-17,26.05,26.73,25.9,26.62,38694
2016-03-18,26.74,27.15,26.74,27.15,27412
2016-03-21,27.0,27.1,26.37,26.86,15480
2016-03-22,26.6,28.67,26.6,28.3,84363
2016-03-23,28.02,28.02,26.8,26.91,39541
2016-03-24,26.28,27.16,26.19,27.04,28944
2016-03-28,27.3,28.0,26.97,27.86,35114
2016-03-29,27.41,28.47,27.41,28.35,25954
2016-03-30,28.35,29.03,27.0,27.12,41819
2016-03-31,27.28,27.3,26.11,27.0,46946
2016-04-01,26.9,27.13,26.46,26.97,11571
2016-04-04,26.98,27.78,26.69,27.46,41129
2016-04-05,27.69,27.69,26.69,26.81,37052
2016-04-06,26.78,27.02,25.75,25.91,25456
2016-04-07,25.68,25.68,24.8,25.07,25710
2016-04-08,25.34,25.41,25.01,25.1,18591
2016-04-11,25.16,26.25,25.16,26.08,32572
2016-04-12,25.87,26.9,25.77,26.67,37176
2016-04-13,26.8,27.5,26.3,27.25,30219
2016-04-14,27.3,27.95,27.06,27.27,23712
2016-04-15,27.36,27.69,27.05,27.37,25444
2016-04-18,27.0,27.75,26.98,27.47,41822
2016-04-19,27.37,28.0,27.37,27.75,24076
2016-04-20,27.92,27.97,27.35,27.7,18768
2016-04-21,27.84,27.94,27.32,27.5,17234
2016-04-22,27.53,28.3,27.37,28.17,21888
2016-04-25,28.12,28.28,27.6,28.1,19787
2016-04-26,28.15,28.41,27.8,27.86,38534
2016-04-27,28.05,30.99,28.01,30.96,142074
