Date,Open,High,Low,Close,Volume
2016-01-04,5.71,5.73,5.65,5.72,53243
2016-01-05,5.71,5.72,5.6,5.68,100109
2016-01-06,5.68,5.71,5.62,5.69,67767
2016-01-07,5.69,5.69,5.62,5.65,36665
2016-01-08,5.69,5.7,5.61,5.7,72687
2016-01-11,5.68,5.68,5.63,5.68,33451
2016-01-12,5.65,5.67,5.57,5.58,92325
2016-01-13,5.54,5.55,5.47,5.48,87830
2016-01-14,5.5,5.53,5.43,5.53,54369
2016-01-15,5.46,5.56,5.45,5.56,78675
2016-01-19,5.45,5.53,5.43,5.47,99794
2016-01-20,5.47,5.47,5.13,5.3,103739
2016-01-21,5.3,5.35,5.2,5.3,105696
2016-01-22,5.35,5.43,5.35,5.37,41432
2016-01-25,5.37,5.44,5.37,5.41,70568
2016-01-26,5.44,5.55,5.43,5.51,55235
2016-01-27,5.48,5.51,5.46,5.51,47943
2016-01-28,5.51,5.59,5.5,5.56,75723
2016-01-29,5.56,5.69,5.54,5.6,43656
2016-02-01,5.6,5.68,5.6,5.62,30259
2016-02-02,5.64,5.76,5.61,5.65,56329
2016-02-03,5.7,5.7,5.62,5.62,25043
2016-02-04,5.66,5.72,5.6,5.62,62698
2016-02-05,5.61,5.64,5.61,5.61,45241
2016-02-08,5.54,5.61,5.54,5.59,20861
2016-02-09,5.59,5.64,5.57,5.61,64518
2016-02-10,5.58,5.7,5.56,5.62,101256
2016-02-11,5.57,5.65,5.5,5.53,89165
2016-02-12,5.63,5.68,5.52,5.66,73854
2016-02-16,5.66,5.67,5.6,5.63,59332
2016-02-17,5.63,5.69,5.61,5.68,29337
2016-02-18,5.67,5.79,5.67,5.72,44763
2016-02-19,5.72,5.72,5.68,5.72,33258
2016-02-22,5.77,5.89,5.74,5.85,69091
2016-02-23,5.8,5.93,5.8,5.87,54974
2016-02-24,5.74,5.99,5.74,5.94,90396
2016-02-25,5.97,5.97,5.8,5.88,58284
2016-02-26,5.87,6.09,5.87,6.03,101249
2016-02-29,5.98,6.02,5.94,5.96,35969
2016-03-01,6.02,6.06,5.97,6.03,45370
2016-03-02,6.07,6.07,5.94,6.03,53144
2016-03-03,6.06,6.06,6.02,6.05,26285
2016-03-04,6.11,6.11,6.01,6.03,66148
2016-03-07,6.02,6.06,5.97,6.04,77108
2016-03-08,6.05,6.05,6.0,6.0,64154
2016-03-09,6.01,6.09,6.01,6.07,68905
2016-03-10,6.13,6.16,6.09,6.13,68108
