Date,Open,High,Low,Close,Volume
2016-01-04,11.06,11.23,10.64,11.11,1257578
2016-01-05,11.09,11.19,10.25,10.27,873690
2016-01-06,9.97,10.15,9.46,9.5,1031424
2016-01-07,9.22,10.01,9.11,9.6,745457
2016-01-08,9.68,9.87,9.48,9.67,681662
2016-01-11,9.69,9.69,8.93,8.95,517341
2016-01-12,9.18,9.18,8.42,8.61,1006778
2016-01-13,8.69,8.85,7.8,7.96,865091
2016-01-14,8.08,8.1,7.55,7.67,1333733
2016-01-15,7.43,7.6,7.16,7.33,2499546
2016-01-19,7.24,7.32,5.46,5.52,5392953
2016-01-20,5.55,5.92,4.9,5.86,3326749
2016-01-21,5.7,6.06,5.59,5.97,1892148
2016-01-22,6.18,6.41,6.07,6.29,995664
2016-01-25,6.13,6.34,5.67,5.73,579630
2016-01-26,5.73,5.85,5.51,5.81,689349
2016-01-27,5.96,6.29,5.82,5.95,1603549
2016-01-28,5.93,6.3,5.58,6.12,2495208
2016-01-29,6.22,6.68,6.07,6.68,1212138
2016-02-01,6.68,6.82,6.18,6.8,1694997
2016-02-02,6.61,6.61,6.1,6.19,872388
2016-02-03,6.24,6.75,6.03,6.75,720358
2016-02-04,6.81,7.49,6.72,6.97,966772
2016-02-05,6.79,7.18,6.73,6.78,595221
2016-02-08,6.61,6.83,6.34,6.62,574479
2016-02-09,6.45,6.61,6.25,6.36,614555
2016-02-10,6.31,6.6,6.12,6.3,418653
2016-02-11,6.1,6.36,5.92,6.24,621085
2016-02-12,6.41,6.6,6.11,6.26,587385
2016-02-16,6.43,6.8,6.26,6.64,666769
2016-02-17,6.72,7.18,6.72,6.92,688674
2016-02-18,6.99,7.16,6.87,7.08,695611
2016-02-19,7.05,7.07,6.75,6.89,369522
2016-02-22,7.07,7.29,7.01,7.14,781508
2016-02-23,6.99,7.36,6.76,6.78,442797
2016-02-24,6.62,6.84,6.37,6.76,471788
2016-02-25,6.69,6.88,6.26,6.6,343735
2016-02-26,6.8,7.27,6.78,7.0,727589
2016-02-29,7.02,7.68,6.96,7.28,1091985
