Date,Open,High,Low,Close,Volume
2016-01-04,4.71,4.71,4.65,4.67,16040
2016-01-05,4.65,4.75,4.64,4.75,32865
2016-01-06,4.68,4.73,4.63,4.67,18937
2016-01-07,4.62,4.66,4.56,4.56,29389
2016-01-08,4.56,4.61,4.49,4.5,26658
2016-01-11,4.51,4.52,4.42,4.47,27035
2016-01-12,4.53,4.53,4.39,4.48,36577
2016-01-13,4.5,4.5,4.35,4.35,22267
2016-01-14,4.35,4.41,4.3,4.33,44046
2016-01-15,4.22,4.22,3.96,4.18,47074
2016-01-19,4.25,4.27,4.12,4.13,37474
2016-01-20,4.09,4.09,3.93,4.04,33385
2016-01-21,4.07,4.16,4.02,4.06,23798
2016-01-22,4.14,4.24,4.14,4.22,35495
2016-01-25,4.19,4.2,4.15,4.15,10578
2016-01-26,4.15,4.19,4.11,4.19,35259
2016-01-27,4.16,4.22,4.12,4.12,19172
2016-01-28,4.17,4.19,4.11,4.16,21914
2016-01-29,4.19,4.3,4.18,4.25,44036
2016-02-01,4.21,4.29,4.21,4.26,24451
2016-02-02,4.27,4.27,4.17,4.18,22979
2016-02-03,4.16,4.2,4.12,4.2,26029
2016-02-04,4.17,4.24,4.17,4.22,10333
2016-02-05,4.19,4.19,4.11,4.12,56617
2016-02-08,4.11,4.14,3.95,4.04,87368
2016-02-09,4.04,4.07,3.99,4.05,23609
2016-02-10,4.08,4.15,4.03,4.05,10508
2016-02-11,3.95,3.99,3.91,3.98,29796
2016-02-12,3.99,4.05,3.97,4.04,36077
2016-02-16,4.09,4.14,4.08,4.13,16170
2016-02-17,4.14,4.23,4.14,4.2,14836
2016-02-18,4.24,4.24,4.18,4.2,38249
2016-02-19,4.16,4.24,4.15,4.22,8789
2016-02-22,4.23,4.26,4.2,4.24,24993
2016-02-23,4.24,4.24,4.2,4.2,3275
2016-02-24,4.18,4.23,4.14,4.23,9319
2016-02-25,4.19,4.27,4.19,4.27,29966
2016-02-26,4.28,4.3,4.28,4.28,9619
2016-02-29,4.23,4.34,4.23,4.28,31469
2016-03-01,4.28,4.34,4.28,4.3,34763
2016-03-02,4.34,4.37,4.33,4.34,21620
2016-03-03,4.35,4.39,4.35,4.38,9694
2016-03-04,4.4,4.48,4.4,4.46,34020
2016-03-07,4.41,4.5,4.38,4.5,41587
2016-03-08,4.48,4.51,4.41,4.43,30706
2016-03-09,4.43,4.48,4.43,4.47,9359
2016-03-10,4.45,4.5,4.42,4.48,22019
2016-03-11,4.47,4.54,4.47,4.52,23566
2016-03-14,4.44,4.47,4.32,4.41,70155
2016-03-15,4.36,4.39,4.35,4.39,31921
2016-03-16,4.4,4.43,4.37,4.43,8884
2016-03-17,4.45,4.48,4.39,4.47,50898
2016-03-18,4.5,4.55,4.41,4.55,58664
2016-03-21,4.55,4.56,4.49,4.54,65372
2016-03-22,4.53,4.55,4.5,4.54,41071
2016-03-23,4.53,4.54,4.47,4.47,30428
2016-03-24,4.44,4.52,4.44,4.48,72899
2016-03-28,4.47,4.52,4.47,4.5,67202
2016-03-29,4.46,4.54,4.46,4.52,55653
2016-03-30,4.52,4.64,4.52,4.6,17571
2016-03-31,4.58,4.61,4.55,4.6,21890
2016-04-01,4.55,4.59,4.54,4.59,14918
2016-04-04,4.57,4.57,4.54,4.54,4346
2016-04-05,4.48,4.5,4.46,4.46,14509
