Date,Open,High,Low,Close,Volume
2016-01-04,70.0,70.27,68.75,69.26,64332
2016-01-05,69.1,70.08,68.12,68.48,112575
2016-01-06,67.55,69.73,67.55,68.58,65403
2016-01-07,67.34,68.46,67.21,67.49,55388
2016-01-08,68.05,68.05,66.03,66.09,80169
2016-01-11,66.06,67.34,65.55,65.95,94734
2016-01-12,66.37,67.22,66.08,66.75,53058
2016-01-13,66.77,67.68,66.01,66.64,69261
2016-01-14,66.77,68.1,66.17,67.59,59575
2016-01-15,66.11,66.24,64.58,65.08,69363
2016-01-19,64.84,65.7,63.49,64.48,89859
2016-01-20,63.48,64.9,61.17,64.65,94220
2016-01-21,64.62,65.05,64.16,64.6,46207
2016-01-22,65.89,66.18,65.16,65.65,70698
2016-01-25,65.23,65.61,65.03,65.09,40410
2016-01-26,65.53,66.1,65.35,65.92,29722
2016-01-27,65.99,66.89,65.03,65.63,49075
2016-01-28,66.66,67.45,66.51,66.93,43710
2016-01-29,66.98,70.52,66.98,70.14,52748
2016-02-01,69.6,70.62,69.42,70.5,24963
2016-02-02,69.66,69.66,66.69,67.12,59839
2016-02-03,67.58,69.53,67.21,69.31,58781
2016-02-04,69.73,70.37,68.85,69.33,64581
2016-02-05,69.1,69.1,67.93,68.31,28661
2016-02-08,67.47,68.09,66.88,67.92,25600
2016-02-09,67.14,67.96,66.7,67.7,26652
2016-02-10,67.99,69.64,67.76,68.78,36540
2016-02-11,67.51,67.82,66.25,67.68,54122
2016-02-12,68.08,70.09,68.08,70.08,39698
2016-02-16,70.77,72.95,70.44,72.05,58551
2016-02-17,72.2,74.53,72.13,72.8,71333
2016-02-18,73.13,73.94,71.89,72.37,68297
2016-02-19,71.94,73.24,71.8,72.55,46753
2016-02-22,73.42,74.1,72.72,73.0,60544
2016-02-23,72.22,73.75,71.77,72.03,74966
2016-02-24,72.26,72.9,71.17,72.29,158928
2016-02-25,72.57,73.84,71.45,73.84,71246
2016-02-26,74.44,74.44,72.35,72.95,60967
2016-02-29,72.96,74.22,72.8,73.45,73787
2016-03-01,73.92,75.58,73.65,75.16,69508
2016-03-02,74.69,76.44,74.69,75.64,41396
2016-03-03,75.65,76.35,74.92,75.89,66534
2016-03-04,76.12,78.22,76.12,77.6,69209
2016-03-07,77.23,77.67,76.66,77.49,53145
2016-03-08,76.79,77.15,75.68,77.05,97043
2016-03-09,77.4,78.72,77.4,78.45,52821
2016-03-10,78.56,78.56,75.84,77.15,64328
2016-03-11,77.87,78.48,76.56,77.3,51651
2016-03-14,77.48,78.55,75.38,76.54,131586
2016-03-15,76.8,76.8,75.16,75.53,73352
2016-03-16,75.13,76.93,74.18,76.92,137599
2016-03-17,77.41,81.0,77.01,80.34,70136
2016-03-18,80.47,81.75,78.94,80.0,121036
2016-03-21,79.38,80.09,79.25,79.35,57676
2016-03-22,79.21,81.73,79.21,81.56,122949
2016-03-23,81.35,81.35,79.94,80.48,43902
2016-03-24,80.48,81.12,79.85,80.98,81463
2016-03-28,81.25,81.34,80.88,81.18,61185
2016-03-29,81.28,81.93,80.67,81.62,190473
2016-03-30,82.0,83.49,79.42,83.13,92143
2016-03-31,83.12,83.97,81.16,83.05,137443
2016-04-01,82.2,84.61,81.73,84.38,67417
2016-04-04,84.1,84.19,82.0,82.54,91747
2016-04-05,81.78,81.78,80.84,81.19,128210
2016-04-06,80.33,82.15,80.33,82.05,74373
2016-04-07,81.08,82.24,80.42,82.18,127251
2016-04-08,83.2,83.76,80.82,81.18,117510
2016-04-11,81.54,82.45,81.14,81.26,48735
2016-04-12,81.15,84.09,81.15,83.66,91471
2016-04-13,84.25,84.59,83.81,84.33,148963
2016-04-14,84.6,85.23,83.21,83.48,124614
2016-04-15,83.18,84.86,83.18,83.89,65964
2016-04-18,83.64,84.97,82.03,82.54,164329
2016-04-19,83.34,86.82,83.01,86.47,327347
2016-04-20,86.33,86.57,84.59,85.83,194995
2016-04-21,85.45,85.76,84.5,85.05,162420
2016-04-22,84.71,85.86,84.71,85.61,104918
2016-04-25,85.45,85.97,85.01,85.94,90798
2016-04-26,86.41,86.67,84.99,86.04,95598
2016-04-27,85.72,86.35,84.1,84.76,101973
2016-04-28,84.29,87.17,83.57,86.94,195175
2016-04-29,86.92,87.58,86.11,87.29,65586
2016-05-02,86.85,87.34,86.09,86.09,99224
2016-05-03,85.6,86.09,83.73,84.11,116028
2016-05-04,83.49,83.88,83.03,83.75,132391
2016-05-05,84.16,84.39,83.25,83.71,134683
2016-05-06,82.93,83.84,82.54,83.37,95543
2016-05-09,82.52,83.49,81.17,82.0,140625
2016-05-10,82.44,83.49,82.16,83.11,124758
2016-05-11,82.73,83.84,82.66,82.82,109572
2016-05-12,83.11,83.14,81.79,82.63,89555
2016-05-13,81.49,82.14,80.73,81.19,54223
2016-05-16,81.39,82.04,81.19,81.39,106685
2016-05-17,80.98,81.25,79.75,80.04,90074
2016-05-18,79.75,79.87,78.82,79.44,116535
2016-05-19,79.04,79.3,77.5,79.06,73109
2016-05-20,79.01,79.77,77.56,78.11,91887
