Date,Open,High,Low,Close,Volume
2016-01-04,8.17,8.24,8.12,8.23,37931
2016-01-05,8.22,8.26,8.18,8.22,59413
2016-01-06,8.13,8.3,8.13,8.26,73958
2016-01-07,8.13,8.2,8.08,8.12,75128
2016-01-08,8.13,8.19,8.02,8.08,71884
2016-01-11,8.07,8.08,8.03,8.06,72410
2016-01-12,8.1,8.1,7.96,8.01,30077
2016-01-13,8.01,8.06,7.83,7.83,69479
2016-01-14,7.85,7.94,7.85,7.94,60228
2016-01-15,7.75,7.79,7.65,7.69,47427
2016-01-19,7.75,7.75,7.6,7.64,27156
2016-01-20,7.5,7.55,7.34,7.54,79639
2016-01-21,7.53,7.68,7.47,7.54,48021
2016-01-22,7.62,7.78,7.59,7.75,55793
2016-01-25,7.73,7.74,7.66,7.69,28249
2016-01-26,7.7,7.9,7.68,7.9,32902
2016-01-27,7.86,7.92,7.79,7.83,42570
2016-01-28,7.87,7.87,7.77,7.82,62132
2016-01-29,7.84,7.89,7.8,7.88,27936
2016-02-01,7.87,7.88,7.8,7.87,32129
2016-02-02,7.82,7.84,7.75,7.78,46877
2016-02-03,7.81,7.89,7.76,7.89,43566
2016-02-04,7.89,7.89,7.76,7.85,35626
2016-02-05,7.82,7.82,7.67,7.72,63809
2016-02-08,7.66,7.69,7.51,7.55,53204
2016-02-09,7.46,7.55,7.4,7.53,53057
2016-02-10,7.37,7.42,7.26,7.26,31834
2016-02-11,7.18,7.18,6.91,7.11,73245
2016-02-12,7.18,7.29,7.14,7.25,38345
2016-02-16,7.26,7.37,7.2,7.35,46579
2016-02-17,7.48,7.49,7.38,7.49,48307
2016-02-18,7.48,7.51,7.41,7.45,38306
2016-02-19,7.44,7.48,7.39,7.46,33177
2016-02-22,7.55,7.57,7.49,7.57,82474
2016-02-23,7.58,7.58,7.49,7.57,26664
2016-02-24,7.55,7.62,7.48,7.62,13647
2016-02-25,7.6,7.69,7.59,7.69,24016
2016-02-26,7.73,7.79,7.66,7.72,24653
2016-02-29,7.76,7.82,7.75,7.81,24810
2016-03-01,7.89,7.95,7.83,7.89,32286
2016-03-02,7.86,7.89,7.83,7.89,15129
2016-03-03,7.9,8.01,7.84,8.01,38556
2016-03-04,8.0,8.1,8.0,8.03,7302
2016-03-07,8.01,8.05,7.96,8.04,19379
2016-03-08,8.06,8.08,8.03,8.08,16308
2016-03-09,8.1,8.1,8.03,8.03,13181
2016-03-10,8.08,8.09,7.96,8.02,8258
2016-03-11,8.07,8.16,8.07,8.14,36004
2016-03-14,8.17,8.2,8.05,8.13,31162
2016-03-15,8.08,8.08,8.04,8.06,17770
2016-03-16,8.05,8.13,8.05,8.1,23255
2016-03-17,8.08,8.18,8.08,8.13,32257
2016-03-18,8.09,8.15,8.07,8.1,42827
2016-03-21,8.13,8.14,8.1,8.13,49965
2016-03-22,8.14,8.21,8.12,8.17,22782
2016-03-23,8.16,8.19,8.14,8.16,21578
2016-03-24,8.08,8.13,8.07,8.09,18113
2016-03-28,8.13,8.14,8.09,8.12,26099
2016-03-29,8.14,8.16,8.08,8.16,9047
2016-03-30,8.16,8.24,8.16,8.23,12750
2016-03-31,8.22,8.27,8.17,8.21,23939
2016-04-01,8.17,8.2,8.17,8.19,8976
2016-04-04,8.19,8.19,8.18,8.18,14352
2016-04-05,8.14,8.16,8.09,8.16,10100
2016-04-06,8.15,8.23,8.14,8.21,19310
2016-04-07,8.15,8.19,8.14,8.19,6827
2016-04-08,8.24,8.28,8.22,8.23,32056
2016-04-11,8.27,8.29,8.21,8.24,19062
2016-04-12,8.26,8.28,8.22,8.24,22343
2016-04-13,8.25,8.34,8.21,8.33,23821
2016-04-14,8.32,8.35,8.32,8.34,8043
2016-04-15,8.37,8.39,8.29,8.32,14589
2016-04-18,8.33,8.39,8.3,8.39,12622
2016-04-19,8.4,8.4,8.36,8.38,29555
2016-04-20,8.39,8.44,8.36,8.41,49514
2016-04-21,8.47,8.48,8.4,8.46,37154
2016-04-22,8.45,8.48,8.41,8.44,32826
2016-04-25,8.4,8.41,8.38,8.39,28186
2016-04-26,8.42,8.47,8.42,8.46,15348
2016-04-27,8.41,8.52,8.41,8.52,53118
2016-04-28,8.5,8.52,8.48,8.48,20960
2016-04-29,8.42,8.46,8.42,8.44,47517
2016-05-02,8.4,8.46,8.4,8.44,35032
2016-05-03,8.36,8.42,8.35,8.41,35315
2016-05-04,8.36,8.41,8.35,8.39,16812
2016-05-05,8.41,8.46,8.38,8.42,13131
2016-05-06,8.41,8.41,8.35,8.41,11335
2016-05-09,8.4,8.44,8.36,8.4,19461
2016-05-10,8.36,8.43,8.36,8.4,40753
2016-05-11,8.23,8.25,8.15,8.15,44323
2016-05-12,8.17,8.21,8.14,8.16,32420
2016-05-13,8.17,8.2,8.04,8.06,52466
2016-05-16,8.09,8.17,8.09,8.16,18393
2016-05-17,8.12,8.14,8.06,8.09,49514
2016-05-18,8.08,8.17,8.08,8.12,31817
2016-05-19,8.12,8.12,8.03,8.07,55164
2016-05-20,8.1,8.1,8.06,8.08,18681
2016-05-23,8.1,8.13,8.08,8.08,49432
2016-05-24,8.11,8.17,8.11,8.15,51506
2016-05-25,8.14,8.21,8.14,8.18,33686
