Date,Open,High,Low,Close,Volume
2016-01-04,2.9,2.9,2.76,2.82,10151
2016-01-05,2.83,3.29,2.78,2.84,46946
2016-01-06,2.9,2.9,2.77,2.77,4432
2016-01-07,2.76,2.76,2.73,2.73,5574
2016-01-08,,,,2.73,0
2016-01-11,2.75,2.79,2.69,2.77,4088
2016-01-12,,,,2.77,0
2016-01-13,2.75,3.0,2.66,2.66,12625
2016-01-14,,,,2.66,0
2016-01-15,2.67,2.68,2.67,2.67,1200
2016-01-19,2.63,2.68,2.6,2.6,3245
2016-01-20,2.61,2.65,2.5,2.5,5251
2016-01-21,2.5,2.51,2.43,2.43,1610
2016-01-22,2.52,2.52,2.52,2.52,414
2016-01-25,2.58,2.68,2.56,2.68,1795
2016-01-26,2.47,2.53,2.35,2.41,15795
2016-01-27,2.34,2.4,2.2,2.2,7346
2016-01-28,2.26,2.36,2.18,2.25,12056
2016-01-29,2.28,2.33,2.25,2.33,901
2016-02-01,2.32,2.32,2.32,2.32,874
2016-02-02,2.3,2.3,2.22,2.22,930
2016-02-03,2.3,2.31,2.3,2.31,701
2016-02-04,2.39,2.42,2.39,2.4,5400
2016-02-05,2.35,2.4,2.25,2.4,2710
2016-02-08,2.4,2.4,2.15,2.32,2776
2016-02-09,2.38,2.38,2.24,2.24,414
2016-02-10,2.34,2.36,2.24,2.24,333
2016-02-11,2.35,2.39,2.35,2.39,4184
2016-02-12,2.45,2.51,2.45,2.51,1827
2016-02-16,2.55,2.55,2.49,2.49,226
2016-02-17,2.6,2.7,2.59,2.7,1000
2016-02-18,,,,2.7,0
2016-02-19,,,,2.7,0
2016-02-22,,,,2.7,0
2016-02-23,2.72,2.95,2.43,2.95,7300
2016-02-24,2.98,2.98,2.84,2.84,1400
2016-02-25,2.82,2.82,2.73,2.73,4135
2016-02-26,,,,2.73,0
2016-02-29,2.72,2.72,2.72,2.72,213
2016-03-01,2.69,2.72,2.69,2.72,453
2016-03-02,,,,2.72,0
2016-03-03,2.81,2.81,2.79,2.79,505
2016-03-04,2.9,2.9,2.89,2.9,2251
2016-03-07,2.91,3.14,2.91,2.94,9122
2016-03-08,2.95,2.97,2.95,2.97,3092
2016-03-09,3.05,3.14,3.04,3.06,2438
2016-03-10,3.03,3.03,3.03,3.03,118
2016-03-11,3.15,3.15,3.15,3.15,147
2016-03-14,3.15,3.15,3.13,3.14,7705
2016-03-15,3.1,3.1,2.98,3.01,2205
2016-03-16,2.98,3.09,2.92,2.96,2970
2016-03-17,3.04,3.04,3.04,3.04,100
2016-03-18,3.13,3.15,3.04,3.15,1006
2016-03-21,3.1,3.1,3.1,3.1,948
2016-03-22,3.1,3.15,3.1,3.15,3660
2016-03-23,3.0,3.0,3.0,3.0,178
2016-03-24,,,,3.0,0
2016-03-28,3.09,3.15,3.09,3.14,300
2016-03-29,,,,3.14,0
2016-03-30,3.14,3.14,3.14,3.14,500
2016-03-31,,,,3.14,0
2016-04-01,,,,3.14,0
2016-04-04,3.16,3.16,3.01,3.12,2903
2016-04-05,3.18,3.18,3.09,3.09,3991
2016-04-06,3.24,3.24,3.14,3.17,702
2016-04-07,3.24,3.24,3.11,3.11,1001
2016-04-08,3.1,3.28,2.99,3.19,55741
2016-04-11,3.28,3.28,3.27,3.28,7500
2016-04-12,3.28,3.28,3.28,3.28,141
2016-04-13,3.28,3.32,3.28,3.32,6612
2016-04-14,,,,3.32,0
2016-04-15,3.42,3.48,3.42,3.48,627
2016-04-18,3.46,3.46,3.38,3.38,3110
2016-04-19,3.5,3.54,3.5,3.54,303
2016-04-20,,,,3.54,0
2016-04-21,3.52,3.55,3.52,3.55,950
2016-04-22,3.47,3.47,3.39,3.39,6849
2016-04-25,3.45,3.5,3.45,3.48,2482
2016-04-26,,,,3.48,0
2016-04-27,3.38,3.41,3.29,3.35,3219
2016-04-28,3.48,3.48,3.48,3.48,206
2016-04-29,3.43,3.53,3.38,3.38,3567
2016-05-02,3.62,3.62,3.33,3.41,5307
2016-05-03,,,,3.41,0
2016-05-04,3.32,3.37,3.26,3.32,2934
2016-05-05,3.45,3.48,3.4,3.4,540
2016-05-06,3.42,3.42,3.42,3.42,280
2016-05-09,3.36,3.36,3.27,3.36,4475
2016-05-10,3.46,3.5,3.38,3.39,19902
2016-05-11,3.5,3.5,3.5,3.5,340
2016-05-12,3.45,3.45,3.38,3.38,1746
2016-05-13,3.44,3.44,3.44,3.44,1000
2016-05-16,3.53,3.53,3.43,3.43,706
2016-05-17,3.4,3.4,3.4,3.4,1077
2016-05-18,3.39,3.39,3.39,3.39,334
2016-05-19,3.3,3.31,3.3,3.31,388
2016-05-20,3.34,3.4,3.25,3.25,3951
2016-05-23,3.3,3.3,3.3,3.3,500
2016-05-24,,,,3.3,0
2016-05-25,3.25,3.34,3.25,3.25,5245
2016-05-26,,,,3.25,0
2016-05-27,3.27,3.4,3.25,3.25,5182
2016-05-31,3.27,3.28,3.2,3.2,325
2016-06-01,3.2,3.29,3.2,3.29,2790
2016-06-02,3.29,3.29,3.23,3.23,413
2016-06-03,3.28,3.32,3.26,3.27,16544
2016-06-06,3.25,3.25,3.24,3.25,5201
2016-06-07,3.25,3.25,3.25,3.25,2307
2016-06-08,3.27,3.33,3.25,3.33,6651
2016-06-09,3.3,3.3,3.3,3.3,2501
2016-06-10,3.2,3.21,3.2,3.21,725
2016-06-13,3.2,3.2,3.12,3.12,3201
2016-06-14,,,,3.12,0
2016-06-15,3.17,3.31,3.15,3.31,8104
2016-06-16,3.31,3.31,3.31,3.31,256
2016-06-17,3.31,3.31,3.25,3.3,3377
2016-06-20,3.31,3.43,3.3,3.35,3127
2016-06-21,3.21,3.25,3.17,3.17,1340
2016-06-22,,,,3.17,0
2016-06-23,3.4,3.66,3.4,3.54,17411
2016-06-24,3.31,3.51,3.31,3.43,16185
2016-06-27,3.43,3.58,3.37,3.4,16736
2016-06-28,3.53,3.55,3.53,3.55,1569
2016-06-29,3.69,3.69,3.5,3.5,4435
2016-06-30,3.62,3.65,3.55,3.6,14245
2016-07-01,3.63,3.69,3.62,3.69,1304
2016-07-05,3.74,3.88,3.63,3.65,16427
2016-07-06,3.68,3.68,3.68,3.68,823
2016-07-07,3.68,3.68,3.68,3.68,3000
2016-07-08,3.7,3.75,3.69,3.7,3288
2016-07-11,3.8,3.9,3.8,3.81,4719
2016-07-12,,,,3.81,0
2016-07-13,3.7,3.75,3.67,3.69,4381
2016-07-14,3.88,3.9,3.8,3.81,8675
2016-07-15,3.81,3.81,3.75,3.76,2835
2016-07-18,3.8,3.8,3.77,3.77,1410
2016-07-19,3.8,3.81,3.69,3.8,6026
2016-07-20,3.74,3.85,3.74,3.84,1700
2016-07-21,,,,3.84,0
2016-07-22,3.91,4.0,3.8,3.95,20765
2016-07-25,3.98,3.99,3.79,3.99,2179
2016-07-26,4.01,4.11,4.0,4.06,2184
2016-07-27,3.94,4.05,3.94,4.04,1937
2016-07-28,4.04,4.04,3.8,3.8,10527
2016-07-29,4.01,4.01,3.93,3.93,2346
2016-08-01,4.1,4.1,3.96,3.96,5005
2016-08-02,,,,3.96,0
2016-08-03,3.91,3.91,3.91,3.91,870
2016-08-04,3.95,3.95,3.95,3.95,201
2016-08-05,,,,3.95,0
2016-08-08,4.1,4.1,3.95,3.97,39106
2016-08-09,4.01,4.06,4.0,4.05,12982
2016-08-10,4.11,4.11,3.94,3.98,3579
2016-08-11,4.09,4.09,3.83,3.86,12577
2016-08-12,3.81,3.87,3.81,3.85,5581
2016-08-15,3.91,3.94,3.89,3.91,7368
2016-08-16,3.9,3.92,3.86,3.87,2371
2016-08-17,3.8,3.8,3.8,3.8,150
2016-08-18,3.8,3.92,3.72,3.92,6393
2016-08-19,3.69,3.77,3.69,3.77,3880
2016-08-22,3.85,3.85,3.81,3.83,1920
2016-08-23,3.7,3.83,3.7,3.83,405
2016-08-24,3.84,3.84,3.84,3.84,143
2016-08-25,3.84,3.84,3.84,3.84,208
2016-08-26,3.84,3.84,3.84,3.84,100
2016-08-29,3.7,3.81,3.67,3.79,2379
2016-08-30,3.84,3.84,3.72,3.76,2832
2016-08-31,3.78,3.78,3.76,3.76,4700
2016-09-01,3.77,3.77,3.68,3.68,5141
2016-09-02,3.72,3.75,3.7,3.74,3655
2016-09-06,3.74,3.76,3.65,3.66,3702
2016-09-07,3.65,3.65,3.55,3.58,1734
2016-09-08,3.61,3.61,3.61,3.61,1322
2016-09-09,3.55,3.59,3.48,3.48,17122
2016-09-12,3.45,3.45,3.39,3.4,900
2016-09-13,3.4,3.4,3.25,3.25,8905
2016-09-14,3.25,3.34,3.25,3.34,2320
2016-09-15,3.37,3.42,3.33,3.35,1100
2016-09-16,3.35,3.35,3.35,3.35,700
2016-09-19,3.36,3.37,3.36,3.37,250
2016-09-20,3.41,3.41,3.41,3.41,200
2016-09-21,3.46,3.51,3.46,3.47,923
2016-09-22,3.56,3.57,3.56,3.57,1000
2016-09-23,3.52,3.52,3.52,3.52,100
2016-09-26,3.43,3.54,3.4,3.5,29621
2016-09-27,3.53,3.55,3.5,3.52,18301
2016-09-28,3.5,3.53,3.49,3.53,1900
2016-09-29,3.53,3.53,3.49,3.49,6000
2016-09-30,3.47,3.47,3.47,3.47,100
2016-10-03,3.51,3.58,3.51,3.58,719
2016-10-04,3.63,3.63,3.44,3.55,5997
2016-10-05,3.53,3.57,3.53,3.54,8298
2016-10-06,3.58,3.58,3.53,3.56,17112
2016-10-07,3.55,3.58,3.52,3.55,18417
2016-10-10,3.6,3.6,3.58,3.58,18490
2016-10-11,3.58,3.58,3.58,3.58,256
2016-10-12,3.62,3.62,3.61,3.61,3378
2016-10-13,3.56,3.57,3.56,3.56,6774
2016-10-14,3.59,3.59,3.58,3.59,1202
2016-10-17,3.55,3.55,3.47,3.47,1200
2016-10-18,3.57,3.6,3.52,3.52,3213
2016-10-19,3.63,3.63,3.59,3.59,707
2016-10-20,3.64,3.65,3.58,3.64,3518
2016-10-21,3.66,3.66,3.52,3.53,11226
2016-10-24,3.54,3.55,3.4,3.5,23373
2016-10-25,3.48,3.48,3.41,3.48,450
2016-10-26,3.45,3.45,3.41,3.44,1150
2016-10-27,3.4,3.41,3.36,3.41,8230
2016-10-28,3.41,3.46,3.41,3.46,16137
2016-10-31,3.41,3.45,3.22,3.3,57634
2016-11-01,3.32,3.32,3.15,3.15,21300
2016-11-02,,,,3.15,0
2016-11-03,3.07,3.2,3.06,3.06,18353
2016-11-04,3.17,3.17,3.12,3.15,16300
2016-11-07,3.23,3.34,3.23,3.25,7594
2016-11-08,3.12,3.5,3.12,3.5,20601
2016-11-09,3.21,3.21,3.07,3.1,53147
2016-11-10,3.15,3.15,2.84,2.98,15650
2016-11-11,2.9,2.91,2.8,2.86,20791
2016-11-14,2.87,2.89,2.81,2.81,6082
2016-11-15,2.88,2.89,2.85,2.85,4384
2016-11-16,2.88,2.94,2.87,2.91,1509
2016-11-17,3.02,3.06,2.95,2.95,4518
2016-11-18,3.0,3.06,2.96,2.99,1773
2016-11-21,3.02,3.05,2.98,2.98,2115
2016-11-22,,,,2.98,0
2016-11-23,,,,2.98,0
2016-11-25,2.94,3.0,2.94,2.97,5699
2016-11-28,3.04,3.04,2.91,2.92,4266
2016-11-29,3.07,3.07,2.97,2.97,867
2016-11-30,2.98,2.98,2.98,2.98,100
2016-12-01,2.98,2.99,2.72,2.85,14212
2016-12-02,2.89,2.89,2.88,2.89,1583
2016-12-05,2.86,2.86,2.86,2.86,257
2016-12-06,2.86,2.91,2.86,2.91,1398
2016-12-07,2.93,2.93,2.87,2.88,6403
2016-12-08,2.87,2.95,2.87,2.95,1820
2016-12-09,2.94,2.94,2.94,2.94,374
2016-12-12,2.98,3.0,2.92,2.97,4324
2016-12-13,3.0,3.02,3.0,3.0,3401
2016-12-14,3.05,3.18,3.0,3.18,142676
2016-12-15,3.18,3.18,3.09,3.12,816
2016-12-16,3.13,3.13,3.12,3.12,1420
2016-12-19,3.11,3.11,3.08,3.08,386
2016-12-20,3.08,3.11,3.02,3.02,2177
2016-12-21,3.11,3.13,3.11,3.13,4200
2016-12-22,3.14,3.17,3.06,3.14,33485
2016-12-23,3.21,3.37,3.15,3.3,37474
2016-12-27,3.35,3.45,3.3,3.45,4593
2016-12-28,3.41,3.41,3.29,3.29,510
2016-12-29,3.3,3.35,3.06,3.35,16047
2016-12-30,3.24,3.25,3.14,3.25,17066
2017-01-03,3.3,3.45,3.3,3.38,18054
2017-01-04,3.38,3.38,3.27,3.36,5652
2017-01-05,3.38,3.4,3.04,3.4,18710
2017-01-06,3.43,3.45,3.34,3.45,6546
2017-01-09,3.41,3.44,3.32,3.44,20858
2017-01-10,3.35,3.38,3.34,3.38,2600
2017-01-11,3.4,3.46,3.31,3.44,63665
2017-01-12,3.48,3.65,3.17,3.46,28303
2017-01-13,3.38,3.5,3.38,3.49,8300
2017-01-17,3.45,3.8,3.45,3.66,22507
2017-01-18,3.63,3.63,3.49,3.53,1247
2017-01-19,3.61,3.62,3.28,3.28,8468
2017-01-20,3.5,3.8,3.5,3.8,3945
2017-01-23,3.79,3.79,3.71,3.76,1216
2017-01-24,3.68,3.68,3.63,3.64,2140
2017-01-25,3.59,3.59,3.58,3.58,1549
2017-01-26,3.65,3.66,3.52,3.53,54434
2017-01-27,3.69,3.77,3.67,3.77,10607
2017-01-30,3.78,3.79,3.7,3.7,11609
2017-01-31,,,,3.7,0
2017-02-01,,,,3.7,0
2017-02-02,3.74,3.74,3.74,3.74,156
2017-02-03,,,,3.74,0
2017-02-06,3.8,3.8,3.72,3.73,2602
2017-02-07,3.66,3.7,3.6,3.61,16709
2017-02-08,3.7,3.7,3.59,3.69,2771
2017-02-09,3.69,3.7,3.69,3.7,300
2017-02-10,3.68,3.68,3.68,3.68,2072
2017-02-13,3.67,3.73,3.67,3.73,3573
2017-02-14,3.76,3.76,3.74,3.74,242
2017-02-15,3.84,3.84,3.62,3.62,11908
2017-02-16,3.9,3.94,3.79,3.79,8613
2017-02-17,3.96,4.0,3.88,3.9,6935
2017-02-21,3.86,3.96,3.81,3.95,11451
2017-02-22,3.97,3.98,3.81,3.82,26863
2017-02-23,3.86,3.87,3.75,3.76,6371
2017-02-24,3.77,3.77,3.77,3.77,136
2017-02-27,,,,3.77,0
2017-02-28,3.67,3.94,3.67,3.94,713
2017-03-01,3.95,3.95,3.69,3.75,3957
2017-03-02,3.68,3.68,3.66,3.66,2292
2017-03-03,,,,3.66,0
2017-03-06,3.77,3.91,3.77,3.8,4912
2017-03-07,3.95,4.09,3.86,3.97,92315
2017-03-08,4.01,4.01,3.89,3.91,3466
2017-03-09,3.84,3.93,3.78,3.78,3750
2017-03-10,3.74,3.93,3.74,3.91,10672
2017-03-13,3.88,3.89,3.75,3.75,1965
2017-03-14,3.78,3.88,3.74,3.74,26597
2017-03-15,3.7,3.7,3.64,3.7,2548
2017-03-16,3.74,3.86,3.74,3.81,1222
2017-03-17,3.87,3.88,3.67,3.79,3000
2017-03-20,,,,3.79,0
2017-03-21,3.74,3.74,3.63,3.74,18024
2017-03-22,3.71,3.71,3.67,3.67,4900
2017-03-23,3.74,3.76,3.68,3.74,25392
2017-03-24,3.66,3.66,3.66,3.66,700
2017-03-27,3.52,3.68,3.52,3.67,803
2017-03-28,3.6,3.74,3.6,3.74,1074
2017-03-29,3.79,3.81,3.79,3.81,801
2017-03-30,,,,3.81,0
2017-03-31,3.75,3.81,3.68,3.73,2367
2017-04-03,3.7,3.7,3.7,3.7,187
2017-04-04,3.79,3.93,3.79,3.92,5300
2017-04-05,3.91,3.93,3.88,3.88,5100
2017-04-06,,,,3.88,0
2017-04-07,,,,3.88,0
2017-04-10,3.86,3.92,3.73,3.73,3307
2017-04-11,3.89,3.91,3.85,3.89,1217
2017-04-12,3.89,3.92,3.89,3.9,702
2017-04-13,3.84,3.84,3.83,3.83,372
2017-04-17,3.9,3.93,3.9,3.93,4200
2017-04-18,3.92,4.06,3.91,4.06,9040
2017-04-19,4.1,4.1,3.99,3.99,2500
2017-04-20,,,,3.99,0
2017-04-21,,,,3.99,0
2017-04-24,4.08,4.08,3.98,3.98,902
2017-04-25,4.03,4.03,4.0,4.0,372
2017-04-26,,,,4.0,0
2017-04-27,3.94,3.94,3.92,3.92,702
2017-04-28,3.86,3.86,3.86,3.86,250
2017-05-01,3.93,4.03,3.87,4.03,4837
2017-05-02,3.97,3.99,3.97,3.99,234
2017-05-03,,,,3.99,0
2017-05-04,3.97,3.98,3.94,3.98,5644
2017-05-05,3.96,3.96,3.96,3.96,6151
2017-05-08,4.07,4.19,3.97,4.17,5727
2017-05-09,3.99,3.99,3.93,3.96,85625
2017-05-10,,,,3.96,0
2017-05-11,4.0,4.01,4.0,4.01,25051
2017-05-12,4.05,4.05,4.05,4.05,1162
2017-05-15,4.11,4.11,4.09,4.11,56071
2017-05-16,4.15,4.15,4.12,4.15,5645
2017-05-17,4.1,4.1,4.05,4.07,63482
2017-05-18,3.58,3.73,3.45,3.45,47635
2017-05-19,3.71,3.72,3.56,3.71,13494
2017-05-22,3.69,3.69,3.53,3.6,8482
2017-05-23,3.63,3.66,3.61,3.65,3512
2017-05-24,3.7,3.7,3.68,3.68,1257
2017-05-25,3.7,3.7,3.67,3.67,2055
2017-05-26,,,,3.67,0
