Date,Open,High,Low,Close,Volume
2016-01-04,11.6,11.78,11.2,11.37,146849
2016-01-05,11.43,11.43,10.97,11.08,251670
2016-01-06,10.87,11.0,10.57,10.75,251104
2016-01-07,10.63,10.63,10.15,10.24,307784
2016-01-08,10.29,10.48,10.03,10.29,408726
2016-01-11,10.24,10.44,9.83,10.04,271084
2016-01-12,10.1,10.13,9.51,9.89,353824
2016-01-13,10.02,10.11,9.51,9.67,388224
2016-01-14,9.7,10.25,9.59,10.02,236652
2016-01-15,9.72,9.84,9.62,9.73,187269
2016-01-19,9.8,10.09,9.62,9.74,305759
2016-01-20,9.61,9.92,9.31,9.75,377065
2016-01-21,9.72,10.12,9.63,9.84,212610
2016-01-22,10.05,10.92,10.05,10.83,606749
2016-01-25,10.83,10.99,10.4,10.55,418039
2016-01-26,10.53,10.55,9.89,10.21,480770
2016-01-27,10.14,10.19,9.66,9.89,485300
2016-01-28,10.03,10.49,10.01,10.2,498244
2016-01-29,11.0,11.75,10.26,10.58,891483
2016-02-01,10.52,10.52,9.88,10.18,459520
2016-02-02,10.0,10.06,9.74,9.88,470378
2016-02-03,9.98,9.99,9.32,9.97,612833
2016-02-04,10.11,10.23,9.98,10.15,391457
2016-02-05,10.2,10.2,9.53,9.63,682306
2016-02-08,9.55,9.79,9.2,9.64,429865
2016-02-09,9.48,9.56,9.05,9.5,318560
2016-02-10,9.37,9.93,9.21,9.56,419047
2016-02-11,9.39,9.63,9.26,9.46,282207
2016-02-12,9.61,9.95,9.5,9.94,659273
2016-02-16,10.07,10.14,9.55,9.6,455454
2016-02-17,9.63,10.15,9.6,9.89,536612
2016-02-18,9.95,10.0,9.68,9.73,460715
2016-02-19,9.71,10.17,9.59,10.15,614624
2016-02-22,10.36,10.81,10.35,10.49,325992
2016-02-23,10.43,10.49,10.25,10.32,160729
2016-02-24,10.12,10.13,9.68,10.01,327418
2016-02-25,9.95,10.35,9.87,10.32,232017
2016-02-26,10.33,10.69,10.33,10.48,333651
2016-02-29,10.53,10.86,10.53,10.77,344553
2016-03-01,10.87,11.08,10.75,10.91,280474
2016-03-02,10.93,11.31,10.64,11.29,351232
2016-03-03,11.26,11.72,11.26,11.41,428856
2016-03-04,11.45,11.81,11.27,11.63,383720
2016-03-07,11.69,12.35,11.62,12.21,507998
2016-03-08,12.13,12.19,11.06,11.06,311323
2016-03-09,11.14,11.35,10.92,11.16,281027
2016-03-10,11.15,11.15,10.66,11.04,214232
2016-03-11,11.21,11.38,10.94,11.29,264417
2016-03-14,11.29,11.36,11.17,11.19,255765
2016-03-15,11.15,11.16,10.75,10.99,166430
2016-03-16,10.96,11.52,10.96,11.41,338407
2016-03-17,11.48,11.64,11.37,11.43,175181
2016-03-18,11.51,11.65,11.18,11.39,353936
2016-03-21,11.46,11.51,11.12,11.38,135880
2016-03-22,10.69,10.84,9.63,9.94,990788
2016-03-23,9.81,9.95,9.31,9.33,610762
2016-03-24,9.26,9.37,8.67,8.99,801153
2016-03-28,9.04,9.49,8.95,9.41,309209
2016-03-29,9.38,9.41,9.05,9.36,211205
2016-03-30,9.49,9.52,9.0,9.08,370418
2016-03-31,9.1,9.63,9.04,9.4,561054
2016-04-01,9.36,9.38,9.11,9.23,332570
2016-04-04,9.19,9.35,9.0,9.0,219925
2016-04-05,9.01,9.18,8.81,9.02,255607
2016-04-06,9.09,9.18,8.88,9.05,252391
2016-04-07,8.95,9.16,8.92,8.98,153045
2016-04-08,9.13,9.24,9.01,9.04,130604
2016-04-11,9.11,9.32,9.05,9.05,172078
2016-04-12,9.09,9.47,9.08,9.44,278921
2016-04-13,9.44,9.7,9.34,9.67,410721
2016-04-14,9.84,10.23,9.69,10.11,475423
2016-04-15,10.09,10.22,9.94,9.99,332206
2016-04-18,9.85,10.35,9.76,10.34,259893
2016-04-19,10.38,10.55,10.1,10.21,259700
2016-04-20,10.17,10.52,10.1,10.45,178447
2016-04-21,10.49,10.53,10.1,10.18,330131
2016-04-22,10.23,10.67,10.22,10.46,245670
2016-04-25,10.46,10.6,10.12,10.25,234704
2016-04-26,10.3,10.54,10.25,10.51,250637
2016-04-27,10.55,10.83,10.43,10.53,897416
2016-04-28,10.55,10.58,10.19,10.22,294696
2016-04-29,10.25,10.36,9.72,10.16,410155
2016-05-02,10.14,10.33,9.97,10.17,211159
2016-05-03,10.01,10.07,9.67,9.84,364935
2016-05-04,9.82,10.03,9.65,9.84,206793
2016-05-05,9.96,10.11,9.72,9.75,205590
2016-05-06,9.72,10.03,9.56,9.94,171858
2016-05-09,9.84,9.84,9.44,9.47,139048
2016-05-10,9.54,9.81,9.45,9.62,170081
2016-05-11,9.6,9.93,9.49,9.68,209571
2016-05-12,9.84,9.89,9.42,9.47,204846
2016-05-13,9.39,9.59,9.37,9.42,131174
2016-05-16,9.54,9.68,9.45,9.5,185430
2016-05-17,9.51,9.93,9.51,9.57,126877
2016-05-18,9.55,9.66,9.34,9.35,193840
2016-05-19,9.26,9.26,8.74,8.81,297200
2016-05-20,8.86,8.86,8.55,8.72,340741
2016-05-23,8.68,8.91,8.68,8.7,166953
2016-05-24,8.75,8.98,8.7,8.88,194374
2016-05-25,8.94,9.03,8.83,8.98,155563
2016-05-26,9.06,9.14,8.73,8.75,115932
2016-05-27,8.8,8.86,8.55,8.82,210967
2016-05-31,9.31,9.71,8.93,8.94,1062408
2016-06-01,8.9,8.9,8.34,8.63,340245
2016-06-02,8.58,8.98,8.5,8.98,320503
2016-06-03,8.97,9.0,8.68,8.88,413260
2016-06-06,8.93,9.01,8.8,9.0,382567
2016-06-07,9.02,9.06,8.9,8.94,319438
2016-06-08,9.03,9.26,8.93,9.19,378757
2016-06-09,9.1,9.18,8.62,8.66,563671
2016-06-10,8.54,8.56,8.11,8.31,368348
2016-06-13,8.3,8.41,8.09,8.28,299675
2016-06-14,8.23,8.29,7.72,7.88,401842
2016-06-15,7.87,7.89,7.6,7.82,324460
2016-06-16,7.75,7.79,7.52,7.64,204640
2016-06-17,7.86,7.86,7.07,7.15,405878
2016-06-20,7.21,7.46,7.18,7.25,322345
2016-06-21,7.21,7.25,6.9,7.03,215181
2016-06-22,7.08,7.13,7.0,7.06,186995
2016-06-23,7.13,7.29,7.13,7.26,139536
2016-06-24,7.05,7.1,6.94,7.01,409715
2016-06-27,6.98,7.04,6.92,6.99,375104
2016-06-28,7.1,7.34,7.1,7.26,191795
2016-06-29,7.43,7.44,7.25,7.36,231200
2016-06-30,7.22,7.29,6.9,7.05,642918
2016-07-01,7.29,7.74,7.19,7.6,343686
2016-07-05,7.48,7.56,6.98,6.99,313851
2016-07-06,7.0,7.1,6.85,7.05,255587
2016-07-07,7.12,7.3,6.93,7.02,238556
2016-07-08,7.1,7.37,7.09,7.23,169025
2016-07-11,7.3,7.45,7.19,7.25,172202
2016-07-12,7.36,7.58,7.36,7.46,173672
2016-07-13,7.46,7.52,7.08,7.12,228059
2016-07-14,7.23,7.3,7.09,7.21,231239
2016-07-15,7.27,7.28,7.12,7.13,162059
2016-07-18,7.07,7.35,7.02,7.26,266877
2016-07-19,7.22,7.36,7.08,7.08,186382
2016-07-20,7.02,7.21,6.99,7.07,216169
2016-07-21,7.1,7.19,6.9,6.9,136396
2016-07-22,6.94,7.0,6.65,6.69,217382
2016-07-25,6.69,6.76,6.58,6.7,235044
2016-07-26,6.65,6.73,6.46,6.5,276798
2016-07-27,6.55,6.6,6.19,6.2,283663
2016-07-28,6.13,6.16,5.66,6.11,508761
2016-07-29,6.11,6.17,5.99,6.17,293278
2016-08-01,6.14,6.14,5.76,5.83,231167
2016-08-02,5.88,5.94,5.67,5.83,308675
2016-08-03,5.8,6.0,5.74,5.99,268340
2016-08-04,6.01,6.27,5.95,6.02,240870
2016-08-05,6.05,6.31,6.04,6.27,170981
2016-08-08,6.3,6.45,6.25,6.31,224486
2016-08-09,6.31,6.31,6.04,6.07,176540
2016-08-10,6.09,6.09,5.84,5.84,335921
2016-08-11,5.9,6.39,5.85,6.31,307269
2016-08-12,6.29,6.36,6.07,6.14,240155
2016-08-15,6.15,6.38,6.14,6.3,309813
2016-08-16,6.32,6.41,6.24,6.25,238914
2016-08-17,6.24,6.3,6.13,6.27,186922
2016-08-18,6.3,6.37,6.21,6.34,156108
2016-08-19,6.34,6.36,6.18,6.3,119070
2016-08-22,6.3,6.33,6.15,6.3,312561
2016-08-23,6.33,6.41,6.18,6.39,339719
2016-08-24,6.34,6.38,5.99,6.0,471424
2016-08-25,5.97,6.04,5.9,6.02,381921
2016-08-26,6.02,6.02,5.79,5.79,401318
2016-08-29,5.75,5.75,5.57,5.6,263183
2016-08-30,5.62,5.84,5.55,5.62,334410
2016-08-31,5.58,5.59,5.25,5.33,343641
2016-09-01,5.3,5.36,5.07,5.09,316870
2016-09-02,5.1,5.31,5.1,5.14,224811
2016-09-06,5.13,5.57,5.13,5.52,242455
2016-09-07,5.57,5.87,5.56,5.81,320669
2016-09-08,5.85,6.02,5.8,5.89,255232
2016-09-09,5.83,5.87,5.7,5.72,198347
2016-09-12,5.64,5.78,5.61,5.7,177144
2016-09-13,5.59,5.69,5.51,5.62,156281
2016-09-14,5.55,5.56,5.37,5.39,117182
2016-09-15,5.4,5.5,5.32,5.4,141055
2016-09-16,5.36,5.55,5.31,5.44,259534
2016-09-19,5.49,5.63,5.42,5.56,210459
2016-09-20,5.51,5.54,5.32,5.36,144838
2016-09-21,5.46,5.54,5.4,5.51,146304
2016-09-22,5.58,6.08,5.58,6.07,259887
2016-09-23,6.03,6.07,5.58,5.75,311347
2016-09-26,5.82,5.99,5.74,5.86,290297
2016-09-27,5.74,5.85,5.6,5.71,180641
2016-09-28,5.7,6.05,5.65,5.99,284364
2016-09-29,6.05,6.17,5.78,5.84,208657
2016-09-30,5.92,6.14,5.83,6.0,404889
2016-10-03,6.06,6.32,6.06,6.27,221844
2016-10-04,6.26,6.26,5.95,6.07,321693
2016-10-05,6.2,6.31,6.14,6.28,336146
2016-10-06,6.35,6.8,6.25,6.71,546733
2016-10-07,6.7,7.11,6.62,6.94,491711
2016-10-10,7.07,7.12,6.78,6.81,287927
2016-10-11,6.77,6.82,6.53,6.6,155240
2016-10-12,6.56,6.64,6.4,6.46,107476
2016-10-13,6.43,6.62,6.28,6.47,161014
2016-10-14,6.52,6.59,6.44,6.45,154272
2016-10-17,6.45,6.5,5.97,5.99,287349
2016-10-18,6.01,6.28,6.01,6.18,207093
2016-10-19,6.21,6.47,6.19,6.32,106990
2016-10-20,6.22,6.46,6.2,6.36,82948
2016-10-21,6.3,6.46,6.3,6.4,66912
2016-10-24,6.38,6.68,6.22,6.28,160918
2016-10-25,6.21,6.33,6.07,6.1,121318
2016-10-26,6.07,6.26,6.01,6.08,96466
2016-10-27,6.15,6.37,6.12,6.29,258419
2016-10-28,5.91,6.11,5.81,6.03,485057
2016-10-31,5.97,6.26,5.63,5.63,426994
2016-11-01,5.67,6.26,5.67,6.18,257743
2016-11-02,6.11,6.11,5.7,5.82,184231
2016-11-03,5.83,6.16,5.82,5.84,201715
2016-11-04,5.77,5.97,5.76,5.82,129322
2016-11-07,5.91,6.05,5.87,5.9,138147
2016-11-08,5.86,6.0,5.76,5.93,135446
2016-11-09,5.9,6.4,5.85,6.27,202750
2016-11-10,6.26,6.71,6.26,6.56,280182
2016-11-11,6.49,7.0,6.45,6.97,277547
2016-11-14,6.85,7.04,6.66,6.72,279190
2016-11-15,6.79,7.03,6.77,6.96,196022
2016-11-16,6.9,7.82,6.89,7.31,515723
2016-11-17,7.39,7.59,6.84,6.99,306937
2016-11-18,6.99,7.24,6.99,7.16,131724
2016-11-21,7.48,7.48,7.26,7.35,171088
2016-11-22,7.38,7.55,7.31,7.49,124455
2016-11-23,7.37,7.59,7.35,7.48,96385
2016-11-25,7.5,7.55,7.42,7.48,68871
2016-11-28,7.5,7.54,7.3,7.3,137665
2016-11-29,7.14,7.31,6.92,6.96,187269
2016-11-30,7.26,7.48,6.9,6.98,239123
2016-12-01,7.13,7.31,6.97,7.21,235995
2016-12-02,7.22,7.46,7.1,7.3,138326
2016-12-05,7.41,7.7,7.35,7.62,156973
2016-12-06,7.62,8.44,7.49,8.32,290067
2016-12-07,8.31,8.65,8.25,8.58,169936
2016-12-08,8.61,9.59,8.61,9.5,353954
2016-12-09,9.68,9.85,9.29,9.42,269220
2016-12-12,9.42,9.5,8.5,8.55,192069
2016-12-13,8.58,8.77,8.5,8.61,353548
2016-12-14,8.54,8.67,8.1,8.15,205505
2016-12-15,8.08,8.62,8.04,8.53,116970
2016-12-16,8.62,8.87,8.57,8.64,224691
2016-12-19,8.6,8.78,8.34,8.39,159618
2016-12-20,8.42,8.57,8.25,8.36,88604
2016-12-21,8.51,9.25,8.41,9.19,413720
2016-12-22,9.1,9.19,8.68,8.73,144455
2016-12-23,8.72,8.87,8.47,8.68,113196
2016-12-27,8.75,8.79,8.06,8.11,234608
2016-12-28,8.5,9.18,8.47,8.5,335904
2016-12-29,8.47,8.57,8.3,8.43,117752
2016-12-30,8.41,8.42,8.2,8.21,165155
2017-01-03,8.35,8.96,8.35,8.87,218430
2017-01-04,8.92,9.39,8.85,9.37,186012
2017-01-05,9.35,9.48,9.31,9.37,188725
2017-01-06,9.38,9.38,8.94,9.18,169687
2017-01-09,9.11,9.32,8.99,9.21,257710
2017-01-10,9.3,9.45,9.17,9.25,171825
2017-01-11,9.36,9.4,9.12,9.33,251108
2017-01-12,9.44,9.44,9.0,9.31,163679
2017-01-13,9.34,9.46,9.19,9.34,155842
2017-01-17,9.4,9.53,9.21,9.5,155633
2017-01-18,9.56,10.59,9.49,10.5,337667
