Date,Open,High,Low,Close,Volume
2016-01-04,11.82,11.91,11.82,11.91,66973
2016-01-05,11.94,12.11,11.93,12.08,76249
2016-01-06,12.17,12.26,12.1,12.17,132712
2016-01-07,12.2,12.22,12.14,12.18,72918
2016-01-08,12.15,12.15,12.05,12.11,94340
2016-01-11,12.14,12.19,12.06,12.14,72819
2016-01-12,12.15,12.23,12.12,12.19,58455
2016-01-13,12.17,12.17,12.04,12.04,33389
2016-01-14,12.09,12.15,12.05,12.08,72976
2016-01-15,12.1,12.19,12.1,12.13,35607
2016-01-19,12.16,12.16,12.06,12.06,53618
2016-01-20,12.08,12.09,11.96,12.06,69277
2016-01-21,12.06,12.16,12.06,12.1,35846
2016-01-22,12.16,12.17,12.11,12.14,64296
2016-01-25,12.18,12.21,12.15,12.17,66089
2016-01-26,12.19,12.25,12.12,12.25,71423
2016-01-27,12.24,12.32,12.23,12.27,71398
2016-01-28,12.36,12.39,12.31,12.36,75059
2016-01-29,12.38,12.53,12.38,12.38,67382
2016-02-01,12.44,12.49,12.4,12.48,77534
2016-02-02,12.48,12.63,12.44,12.5,103485
2016-02-03,12.43,12.44,12.26,12.27,178076
2016-02-04,12.31,12.31,12.26,12.28,63007
2016-02-05,12.33,12.33,12.26,12.33,38450
2016-02-08,12.3,12.4,12.3,12.39,53814
2016-02-09,12.41,12.5,12.37,12.5,97451
2016-02-10,12.5,12.55,12.48,12.52,42409
2016-02-11,12.55,12.55,12.36,12.43,93858
2016-02-12,12.4,12.51,12.23,12.27,60015
2016-02-16,12.27,12.27,12.06,12.06,154691
2016-02-17,12.05,12.14,12.03,12.1,86271
2016-02-18,12.15,12.19,12.15,12.18,28309
2016-02-19,12.16,12.27,12.16,12.27,49215
2016-02-22,12.26,12.3,12.15,12.25,60812
2016-02-23,12.23,12.4,12.23,12.39,69687
2016-02-24,12.42,12.42,12.34,12.39,49281
2016-02-25,12.36,12.44,12.36,12.4,43583
2016-02-26,12.32,12.37,12.28,12.28,45358
2016-02-29,12.33,12.42,12.32,12.42,36416
2016-03-01,12.49,12.49,12.38,12.42,78009
2016-03-02,12.38,12.4,12.31,12.39,46418
2016-03-03,12.35,12.42,12.33,12.37,22442
2016-03-04,12.4,12.43,12.36,12.42,39950
2016-03-07,12.42,12.47,12.37,12.46,46435
2016-03-08,12.47,12.5,12.42,12.43,37765
2016-03-09,12.41,12.44,12.31,12.32,70035
2016-03-10,12.36,12.39,12.33,12.37,31926
2016-03-11,12.35,12.39,12.29,12.35,55088
2016-03-14,12.32,12.41,12.32,12.41,23649
2016-03-15,12.43,12.45,12.36,12.37,38269
2016-03-16,12.4,12.43,12.35,12.39,26219
2016-03-17,12.42,12.46,12.4,12.45,51441
2016-03-18,12.47,12.47,12.38,12.38,41056
2016-03-21,12.4,12.46,12.35,12.46,48324
2016-03-22,12.45,12.54,12.4,12.42,71014
2016-03-23,12.45,12.54,12.42,12.5,31907
2016-03-24,12.51,12.55,12.44,12.44,35515
2016-03-28,12.43,12.44,12.35,12.35,68799
2016-03-29,12.36,12.39,12.33,12.35,75750
2016-03-30,12.39,12.4,12.35,12.36,50433
2016-03-31,12.38,12.44,12.37,12.37,83579
2016-04-01,12.39,12.44,12.38,12.42,52378
2016-04-04,12.4,12.48,12.35,12.47,91737
2016-04-05,12.47,12.55,12.45,12.53,44523
2016-04-06,12.54,12.59,12.51,12.56,37699
2016-04-07,12.56,12.64,12.56,12.6,90650
2016-04-08,12.6,12.64,12.55,12.55,31689
2016-04-11,12.62,12.63,12.54,12.6,61213
2016-04-12,12.6,12.67,12.59,12.65,34298
2016-04-13,12.62,12.62,12.51,12.57,38524
2016-04-14,12.58,12.6,12.52,12.54,41011
2016-04-15,12.54,12.61,12.54,12.6,20544
2016-04-18,12.65,12.7,12.6,12.6,38329
2016-04-19,12.6,12.61,12.54,12.57,131952
2016-04-20,12.55,12.61,12.55,12.58,33796
2016-04-21,12.59,12.61,12.56,12.56,26177
2016-04-22,12.58,12.68,12.57,12.65,82967
2016-04-25,12.58,12.63,12.56,12.61,57675
2016-04-26,12.58,12.62,12.54,12.56,28696
2016-04-27,12.6,12.64,12.53,12.56,63883
2016-04-28,12.54,12.65,12.5,12.5,60374
2016-04-29,12.53,12.6,12.53,12.55,46746
2016-05-02,12.56,12.62,12.55,12.59,67621
2016-05-03,12.57,12.65,12.57,12.65,60669
2016-05-04,12.62,12.63,12.55,12.61,72149
2016-05-05,12.58,12.65,12.5,12.65,152782
2016-05-06,12.6,12.69,12.57,12.68,98321
2016-05-09,12.64,12.71,12.64,12.71,22595
2016-05-10,12.68,12.74,12.64,12.67,75657
2016-05-11,12.71,12.73,12.64,12.72,77998
2016-05-12,12.62,12.71,12.61,12.61,44026
2016-05-13,12.61,12.71,12.61,12.67,25068
2016-05-16,12.65,12.69,12.65,12.66,19092
2016-05-17,12.68,12.7,12.66,12.67,51760
2016-05-18,12.64,12.67,12.55,12.56,56356
2016-05-19,12.54,12.54,12.34,12.39,59034
2016-05-20,12.3,12.44,12.3,12.36,56784
2016-05-23,12.44,12.51,12.42,12.44,52258
2016-05-24,12.46,12.49,12.4,12.41,64330
2016-05-25,12.34,12.44,12.34,12.36,65330
2016-05-26,12.39,12.6,12.39,12.58,80407
2016-05-27,12.55,12.56,12.5,12.56,22230
2016-05-31,12.46,12.47,12.41,12.41,73333
2016-06-01,12.51,12.6,12.49,12.6,40769
2016-06-02,12.55,12.69,12.5,12.66,79829
2016-06-03,12.73,12.77,12.65,12.65,60111
2016-06-06,12.73,12.74,12.61,12.62,38594
2016-06-07,12.67,12.69,12.63,12.66,37022
2016-06-08,12.66,12.68,12.63,12.64,16140
2016-06-09,12.65,12.71,12.65,12.71,40432
2016-06-10,12.7,12.74,12.69,12.71,74048
2016-06-13,12.69,12.69,12.65,12.65,30436
2016-06-14,12.7,12.72,12.64,12.7,43562
2016-06-15,12.66,12.72,12.66,12.71,27642
2016-06-16,12.7,12.74,12.7,12.7,37245
2016-06-17,12.71,12.73,12.64,12.7,28547
2016-06-20,12.68,12.72,12.65,12.7,25828
2016-06-21,12.73,12.76,12.7,12.74,27782
2016-06-22,12.68,12.72,12.68,12.7,49567
2016-06-23,12.69,12.71,12.65,12.68,57349
2016-06-24,12.61,12.8,12.61,12.72,55260
2016-06-27,12.85,12.85,12.72,12.78,73302
2016-06-28,12.81,12.81,12.72,12.74,83725
2016-06-29,12.78,12.86,12.74,12.8,82573
2016-06-30,12.8,12.86,12.78,12.84,75686
2016-07-01,12.87,12.88,12.81,12.85,72493
2016-07-05,12.85,12.88,12.78,12.85,58342
2016-07-06,12.85,12.89,12.83,12.89,86501
2016-07-07,12.87,13.04,12.87,13.04,73905
2016-07-08,13.04,13.21,13.02,13.11,82736
2016-07-11,13.2,13.2,13.06,13.06,54882
2016-07-12,13.1,13.11,12.87,12.87,79961
2016-07-13,12.86,12.86,12.59,12.67,89647
2016-07-14,12.67,12.68,12.41,12.47,175842
2016-07-15,12.48,12.64,12.47,12.64,78903
2016-07-18,12.75,12.8,12.65,12.79,72438
2016-07-19,12.89,12.89,12.68,12.82,46386
2016-07-20,12.89,12.89,12.81,12.86,50701
2016-07-21,12.88,12.91,12.85,12.9,34351
2016-07-22,12.86,12.9,12.85,12.87,24405
2016-07-25,12.93,12.93,12.81,12.82,43426
2016-07-26,12.88,12.9,12.81,12.81,44364
2016-07-27,12.79,12.88,12.75,12.75,61545
2016-07-28,12.81,12.84,12.75,12.81,41247
2016-07-29,12.85,12.87,12.78,12.78,40216
2016-08-01,12.72,12.8,12.72,12.74,43228
2016-08-02,12.73,12.8,12.66,12.79,78073
2016-08-03,12.79,12.9,12.75,12.9,29382
2016-08-04,12.91,12.92,12.87,12.92,41910
2016-08-05,12.93,12.94,12.9,12.91,19182
2016-08-08,12.95,12.97,12.92,12.97,22207
2016-08-09,12.98,12.99,12.95,12.98,32630
2016-08-10,13.04,13.04,12.95,12.99,47875
2016-08-11,12.98,12.98,12.91,12.92,31170
2016-08-12,12.96,12.96,12.89,12.94,28565
2016-08-15,12.92,12.94,12.89,12.9,38093
2016-08-16,12.93,12.93,12.82,12.85,68053
2016-08-17,12.87,12.88,12.78,12.83,43163
2016-08-18,12.83,12.88,12.83,12.86,37116
2016-08-19,12.88,12.89,12.78,12.85,42184
2016-08-22,12.86,12.88,12.82,12.88,31985
2016-08-23,12.89,12.92,12.86,12.89,42131
2016-08-24,12.88,12.91,12.85,12.89,39649
2016-08-25,12.9,12.9,12.81,12.85,54411
2016-08-26,12.78,12.86,12.73,12.75,58953
2016-08-29,12.77,12.86,12.77,12.8,52150
2016-08-30,12.8,12.8,12.72,12.73,49584
2016-08-31,12.7,12.76,12.7,12.75,44162
2016-09-01,12.77,12.8,12.74,12.79,38739
2016-09-02,12.8,12.8,12.7,12.72,43921
2016-09-06,12.75,12.96,12.74,12.93,80257
2016-09-07,12.95,12.97,12.84,12.85,57609
2016-09-08,12.83,12.85,12.81,12.82,17240
2016-09-09,12.73,12.77,12.61,12.67,71875
2016-09-12,12.61,12.64,12.56,12.64,76292
2016-09-13,12.61,12.61,12.5,12.57,69121
2016-09-14,12.61,12.65,12.47,12.5,145103
2016-09-15,12.47,12.55,12.47,12.54,15099
2016-09-16,12.54,12.56,12.37,12.37,77897
2016-09-19,12.42,12.54,12.34,12.4,32585
2016-09-20,12.45,12.51,12.41,12.48,40666
2016-09-21,12.51,12.53,12.45,12.52,34834
2016-09-22,12.58,12.72,12.58,12.67,39919
2016-09-23,12.7,12.7,12.65,12.69,43182
2016-09-26,12.72,12.74,12.71,12.74,21335
2016-09-27,12.74,12.82,12.73,12.78,23080
2016-09-28,12.82,12.92,12.81,12.9,87243
2016-09-29,12.9,12.9,12.79,12.81,37750
2016-09-30,12.86,12.86,12.62,12.7,51463
2016-10-03,12.63,12.71,12.55,12.61,46971
2016-10-04,12.62,12.62,12.39,12.53,76787
2016-10-05,12.6,12.6,12.42,12.52,45347
2016-10-06,12.5,12.72,12.45,12.5,97065
2016-10-07,12.55,12.55,12.39,12.44,43045
2016-10-10,12.46,12.47,12.4,12.41,13585
2016-10-11,12.46,12.46,12.38,12.43,38679
2016-10-12,12.36,12.36,12.03,12.14,181416
2016-10-13,12.15,12.15,11.95,12.05,78153
2016-10-14,12.0,12.03,11.83,11.84,65387
2016-10-17,11.93,11.93,11.7,11.77,113244
2016-10-18,11.78,12.0,11.71,12.0,87479
2016-10-19,12.09,12.13,11.95,12.03,180914
2016-10-20,12.06,12.13,11.88,12.0,119948
2016-10-21,12.03,12.1,12.0,12.08,42067
2016-10-24,12.13,12.13,12.03,12.03,36909
2016-10-25,12.05,12.11,12.03,12.1,37953
2016-10-26,12.1,12.1,11.96,11.98,46365
2016-10-27,11.92,11.95,11.85,11.85,44750
2016-10-28,11.9,11.9,11.67,11.74,99510
2016-10-31,11.75,11.86,11.73,11.86,103113
2016-11-01,11.8,11.97,11.78,11.97,53470
2016-11-02,11.99,11.99,11.89,11.95,55536
2016-11-03,11.98,12.04,11.94,11.98,79276
2016-11-04,11.95,12.03,11.86,11.89,40693
2016-11-07,11.87,12.03,11.87,12.01,55802
2016-11-08,12.05,12.05,11.88,12.04,81565
2016-11-09,11.95,11.95,11.76,11.82,63611
2016-11-10,11.76,11.79,11.32,11.36,382090
2016-11-11,11.27,11.5,11.2,11.45,160406
2016-11-14,11.36,11.36,11.0,11.06,338227
2016-11-15,11.16,11.44,11.15,11.4,95357
2016-11-16,11.37,11.57,11.21,11.26,124126
2016-11-17,11.28,11.28,11.07,11.14,112526
2016-11-18,11.22,11.25,11.02,11.05,149083
2016-11-21,11.04,11.15,11.04,11.14,109518
2016-11-22,11.22,11.29,11.11,11.17,76599
2016-11-23,11.12,11.19,11.02,11.14,92562
2016-11-25,11.19,11.24,11.14,11.22,78002
2016-11-28,11.28,11.3,11.21,11.22,73214
2016-11-29,11.26,11.26,11.1,11.13,150433
2016-11-30,11.05,11.12,11.0,11.03,136509
2016-12-01,11.0,11.06,10.92,10.98,217481
2016-12-02,10.97,11.15,10.95,11.15,167017
2016-12-05,11.08,11.19,11.06,11.1,138134
2016-12-06,11.1,11.3,11.1,11.29,89538
2016-12-07,11.27,11.51,11.27,11.41,140357
2016-12-08,11.23,11.38,11.23,11.32,104777
2016-12-09,11.25,11.3,11.15,11.21,129300
2016-12-12,11.19,11.22,11.12,11.14,146420
2016-12-13,11.16,11.25,11.1,11.24,147063
2016-12-14,11.29,11.34,11.25,11.27,146713
2016-12-15,11.21,11.21,11.14,11.15,161823
2016-12-16,11.11,11.21,11.11,11.21,74037
2016-12-19,11.26,11.28,11.2,11.2,51050
2016-12-20,11.18,11.22,11.16,11.19,82361
2016-12-21,11.26,11.29,11.23,11.26,69044
2016-12-22,11.29,11.33,11.25,11.29,64726
2016-12-23,11.27,11.3,11.23,11.26,59778
2016-12-27,11.05,11.27,11.05,11.22,133747
2016-12-28,11.21,11.26,11.21,11.25,117774
2016-12-29,11.25,11.31,11.22,11.27,160661
2016-12-30,11.29,11.29,11.24,11.27,100790
2017-01-03,11.24,11.32,11.23,11.3,73650
2017-01-04,11.32,11.38,11.31,11.38,201025
2017-01-05,11.36,11.43,11.35,11.41,89533
2017-01-06,11.36,11.42,11.33,11.38,101717
2017-01-09,11.46,11.54,11.44,11.49,100412
2017-01-10,11.48,11.54,11.46,11.51,78973
2017-01-11,11.51,11.53,11.41,11.44,72675
2017-01-12,11.47,11.57,11.45,11.49,74584
2017-01-13,11.5,11.55,11.46,11.55,70369
2017-01-17,11.6,11.61,11.5,11.54,79093
2017-01-18,11.51,11.57,11.51,11.57,31889
2017-01-19,11.53,11.53,11.43,11.46,75075
2017-01-20,11.46,11.46,11.35,11.39,72487
2017-01-23,11.44,11.48,11.43,11.48,43716
2017-01-24,11.48,11.48,11.41,11.44,57846
2017-01-25,11.39,11.44,11.39,11.4,45294
2017-01-26,11.4,11.49,11.4,11.46,54808
2017-01-27,11.48,11.52,11.48,11.51,29618
2017-01-30,11.5,11.59,11.5,11.57,47187
2017-01-31,11.56,11.65,11.56,11.64,51502
2017-02-01,11.63,11.65,11.58,11.63,88728
2017-02-02,11.61,11.71,11.61,11.67,123403
2017-02-03,11.72,11.73,11.58,11.64,160912
2017-02-06,11.67,11.68,11.64,11.66,25302
2017-02-07,11.66,11.69,11.64,11.66,41725
2017-02-08,11.73,11.75,11.71,11.75,55626
2017-02-09,11.74,11.76,11.6,11.61,70805
2017-02-10,11.62,11.69,11.62,11.66,39692
2017-02-13,11.63,11.63,11.49,11.49,50923
2017-02-14,11.52,11.54,11.42,11.44,59093
2017-02-15,11.39,11.45,11.28,11.28,309855
2017-02-16,11.3,11.33,11.24,11.28,95436
2017-02-17,11.32,11.36,11.27,11.3,177926
2017-02-21,11.32,11.37,11.26,11.36,81975
2017-02-22,11.37,11.41,11.33,11.41,126680
2017-02-23,11.45,11.5,11.43,11.44,119615
2017-02-24,11.53,11.55,11.47,11.54,75938
2017-02-27,11.54,11.56,11.42,11.48,138496
2017-02-28,11.51,11.53,11.44,11.5,99210
2017-03-01,11.45,11.48,11.43,11.47,105631
2017-03-02,11.47,11.48,11.39,11.43,102945
2017-03-03,11.38,11.43,11.35,11.35,62330
2017-03-06,11.37,11.41,11.31,11.37,72209
2017-03-07,11.36,11.37,11.26,11.31,49079
2017-03-08,11.26,11.3,11.24,11.28,117341
2017-03-09,11.26,11.28,11.02,11.11,163096
2017-03-10,11.09,11.13,11.03,11.06,122811
2017-03-13,11.04,11.1,11.02,11.07,85522
2017-03-14,11.08,11.11,11.04,11.1,74323
2017-03-15,11.12,11.26,11.05,11.2,110399
2017-03-16,11.19,11.21,11.08,11.15,59367
2017-03-17,11.16,11.19,11.16,11.17,44546
2017-03-20,11.17,11.28,11.17,11.28,38945
2017-03-21,11.3,11.35,11.22,11.23,109112
2017-03-22,11.27,11.33,11.24,11.31,67804
2017-03-23,11.35,11.36,11.29,11.33,68835
2017-03-24,11.34,11.35,11.3,11.33,51900
2017-03-27,11.38,11.47,11.36,11.47,55061
2017-03-28,11.49,11.51,11.42,11.51,93105
2017-03-29,11.55,11.64,11.51,11.64,80216
2017-03-30,11.68,11.73,11.65,11.73,113289
2017-03-31,11.74,11.74,11.64,11.69,69014
2017-04-03,11.73,11.74,11.55,11.6,47714
2017-04-04,11.46,11.57,11.36,11.36,138176
2017-04-05,11.43,11.51,11.38,11.5,54040
2017-04-06,11.55,11.64,11.53,11.62,79592
2017-04-07,11.68,11.7,11.65,11.68,41483
2017-04-10,11.69,11.72,11.67,11.71,42614
2017-04-11,11.71,11.72,11.68,11.72,37626
2017-04-12,11.71,11.75,11.7,11.75,23751
2017-04-13,11.8,11.81,11.75,11.77,23957
2017-04-17,11.73,11.78,11.66,11.66,53088
2017-04-18,11.73,11.73,11.65,11.69,47876
2017-04-19,11.71,11.71,11.63,11.67,58345
2017-04-20,11.7,11.7,11.65,11.7,41676
2017-04-21,11.75,11.75,11.69,11.7,58968
2017-04-24,11.71,11.71,11.59,11.63,43868
2017-04-25,11.61,11.61,11.5,11.52,63631
2017-04-26,11.55,11.57,11.53,11.54,86363
2017-04-27,11.58,11.61,11.53,11.6,60945
2017-04-28,11.59,11.71,11.58,11.69,55043
2017-05-01,11.71,11.73,11.68,11.73,60527
2017-05-02,11.72,11.75,11.71,11.75,37602
2017-05-03,11.77,11.81,11.75,11.75,41476
2017-05-04,11.73,11.74,11.65,11.65,61621
2017-05-05,11.68,11.75,11.64,11.75,36023
2017-05-08,11.71,11.73,11.67,11.7,24644
2017-05-09,11.7,11.72,11.66,11.7,22712
2017-05-10,11.74,11.76,11.7,11.76,51121
2017-05-11,11.7,11.79,11.67,11.77,105482
2017-05-12,11.8,11.87,11.73,11.76,76985
2017-05-15,11.76,11.8,11.75,11.77,56814
