Date,Open,High,Low,Close,Volume
2016-01-04,14.02,14.11,14.02,14.06,22020
2016-01-05,14.09,14.12,14.07,14.09,37619
2016-01-06,14.07,14.12,14.07,14.12,57840
2016-01-07,14.15,14.16,14.11,14.15,21219
2016-01-08,14.15,14.16,14.1,14.16,20758
2016-01-11,14.16,14.16,14.08,14.1,6481
2016-01-12,14.13,14.17,14.1,14.16,16340
2016-01-13,14.1,14.1,14.04,14.04,12203
2016-01-14,14.03,14.05,13.97,14.0,31536
2016-01-15,13.94,14.28,13.94,14.14,53639
2016-01-19,14.1,14.19,13.99,14.02,67784
2016-01-20,13.98,14.03,13.87,13.9,38683
2016-01-21,13.96,14.09,13.96,14.08,12409
2016-01-22,14.1,14.19,14.08,14.18,7406
2016-01-25,14.19,14.19,14.08,14.08,13684
2016-01-26,14.12,14.17,14.09,14.14,7800
2016-01-27,14.14,14.14,14.1,14.1,12419
2016-01-28,14.15,14.2,14.15,14.2,19772
2016-01-29,14.22,14.41,14.2,14.41,62213
2016-02-01,14.42,14.42,14.37,14.41,22040
2016-02-02,14.39,14.45,14.39,14.4,12700
2016-02-03,14.4,14.4,14.35,14.35,26619
2016-02-04,14.36,14.38,14.33,14.38,30225
2016-02-05,14.36,14.42,14.34,14.4,46127
2016-02-08,14.43,14.47,14.37,14.46,20091
2016-02-09,14.46,14.5,14.25,14.32,185538
2016-02-10,14.34,14.43,14.34,14.38,26831
2016-02-11,14.38,14.39,14.29,14.29,30632
2016-02-12,14.28,14.32,14.18,14.18,28765
2016-02-16,14.21,14.21,14.14,14.15,14391
2016-02-17,14.16,14.18,14.11,14.15,13902
2016-02-18,14.1,14.26,14.1,14.26,52125
2016-02-19,14.28,14.28,14.21,14.25,25819
2016-02-22,14.32,14.32,14.23,14.27,26833
2016-02-23,14.29,14.39,14.27,14.39,40949
2016-02-24,14.4,14.43,14.4,14.43,11536
2016-02-25,14.46,14.54,14.43,14.43,23235
2016-02-26,14.44,14.44,14.35,14.35,10265
2016-02-29,14.4,14.51,14.4,14.45,14551
2016-03-01,14.52,14.56,14.45,14.47,21958
2016-03-02,14.53,14.53,14.41,14.43,11678
2016-03-03,14.48,14.52,14.4,14.46,25144
2016-03-04,14.49,14.49,14.31,14.31,28033
2016-03-07,14.31,14.41,14.27,14.32,22235
2016-03-08,14.37,14.4,14.3,14.31,18314
2016-03-09,14.34,14.41,14.3,14.31,24430
2016-03-10,14.36,14.41,14.32,14.34,29838
2016-03-11,14.29,14.36,14.28,14.28,15789
2016-03-14,14.3,14.35,14.27,14.32,20833
2016-03-15,14.33,14.33,14.25,14.25,14391
2016-03-16,14.28,14.3,14.25,14.3,24872
2016-03-17,14.32,14.32,14.27,14.28,30767
2016-03-18,14.3,14.44,14.26,14.27,20193
2016-03-21,14.3,14.3,14.25,14.26,9103
2016-03-22,14.3,14.41,14.3,14.34,21159
2016-03-23,14.37,14.53,14.37,14.53,31095
2016-03-24,14.45,14.55,14.41,14.55,28552
2016-03-28,14.49,14.55,14.43,14.43,15496
2016-03-29,14.52,14.57,14.49,14.51,34708
2016-03-30,14.53,14.53,14.46,14.49,17697
2016-03-31,14.53,14.58,14.52,14.58,24453
2016-04-01,14.54,14.67,14.54,14.67,20797
2016-04-04,14.67,14.72,14.65,14.71,29647
2016-04-05,14.76,14.77,14.7,14.74,21613
2016-04-06,14.77,14.82,14.72,14.75,24421
2016-04-07,14.78,14.82,14.78,14.79,29071
2016-04-08,14.83,14.9,14.73,14.73,11174
2016-04-11,14.82,14.82,14.75,14.8,10463
2016-04-12,14.83,14.86,14.81,14.86,15193
2016-04-13,14.72,14.81,14.72,14.79,15766
2016-04-14,14.74,14.81,14.74,14.76,16243
2016-04-15,14.79,14.82,14.77,14.77,14573
2016-04-18,14.75,14.82,14.75,14.79,50405
2016-04-19,14.82,14.82,14.74,14.76,26620
2016-04-20,14.81,14.82,14.78,14.81,22103
2016-04-21,14.79,14.82,14.78,14.81,13868
2016-04-22,14.81,14.87,14.81,14.87,13353
2016-04-25,14.8,14.88,14.68,14.72,59522
2016-04-26,14.75,14.77,14.74,14.76,4091
2016-04-27,14.8,14.82,14.68,14.72,50347
2016-04-28,14.74,14.75,14.73,14.75,6340
2016-04-29,14.75,14.8,14.74,14.77,9964
2016-05-02,14.82,14.83,14.76,14.82,16735
2016-05-03,14.85,14.89,14.81,14.88,26521
2016-05-04,14.88,14.9,14.85,14.88,16505
2016-05-05,14.9,14.91,14.74,14.84,41856
2016-05-06,14.84,14.89,14.72,14.89,140215
2016-05-09,14.91,14.95,14.86,14.88,48338
2016-05-10,14.88,15.0,14.88,14.96,47913
2016-05-11,14.99,15.02,14.94,15.01,11676
2016-05-12,14.94,15.01,14.9,14.95,18519
2016-05-13,14.98,15.05,14.97,14.99,13460
2016-05-16,14.98,15.03,14.96,14.96,9939
2016-05-17,14.98,15.0,14.94,14.98,8383
2016-05-18,15.01,15.01,14.65,14.74,30261
2016-05-19,14.8,14.8,14.57,14.6,51213
2016-05-20,14.64,14.7,14.64,14.68,20089
2016-05-23,14.7,14.79,14.68,14.77,24736
2016-05-24,14.79,14.85,14.75,14.83,44579
2016-05-25,14.79,14.9,14.79,14.83,19369
2016-05-26,14.89,14.97,14.88,14.95,14622
2016-05-27,14.99,15.11,14.87,15.11,87658
2016-05-31,15.09,15.09,14.87,15.06,33577
2016-06-01,15.1,15.23,15.04,15.18,25802
2016-06-02,15.14,15.27,15.1,15.23,23307
2016-06-03,15.21,15.34,15.21,15.33,23679
2016-06-06,15.33,15.35,15.29,15.3,16032
2016-06-07,15.31,15.34,15.26,15.27,15557
2016-06-08,15.27,15.34,15.25,15.31,36907
2016-06-09,15.36,15.36,15.29,15.32,8985
2016-06-10,15.3,15.4,15.3,15.37,8546
2016-06-13,15.34,15.39,15.31,15.36,20359
2016-06-14,15.37,15.47,15.33,15.44,22938
2016-06-15,15.44,15.46,15.39,15.46,31556
2016-06-16,15.5,15.62,15.42,15.51,31488
2016-06-17,15.47,15.5,15.4,15.4,26028
2016-06-20,15.36,15.44,15.29,15.29,17299
2016-06-21,15.29,15.35,15.28,15.28,26408
2016-06-22,15.31,15.43,15.26,15.29,39028
2016-06-23,15.3,15.3,15.21,15.24,27546
2016-06-24,15.21,15.35,15.21,15.33,25983
2016-06-27,15.28,15.54,15.28,15.45,24345
2016-06-28,15.41,15.5,15.41,15.49,4396
2016-06-29,15.52,15.65,15.5,15.65,52172
2016-06-30,15.57,15.65,15.53,15.62,25109
2016-07-01,15.62,15.62,15.56,15.62,27086
2016-07-05,15.62,15.62,15.56,15.61,11280
2016-07-06,15.62,15.7,15.56,15.69,27978
2016-07-07,15.72,15.79,15.57,15.79,71962
2016-07-08,15.81,16.1,15.81,15.94,30101
2016-07-11,16.02,16.08,15.86,15.86,32034
2016-07-12,15.94,15.94,15.61,15.67,35878
2016-07-13,15.62,15.78,15.5,15.62,25035
2016-07-14,15.66,15.86,15.37,15.71,55937
2016-07-15,15.64,15.88,15.6,15.88,19586
2016-07-18,15.96,16.1,15.68,15.81,36069
2016-07-19,15.87,15.87,15.72,15.75,9202
2016-07-20,15.83,15.85,15.76,15.83,14230
2016-07-21,15.86,15.96,15.77,15.8,58358
2016-07-22,15.84,15.96,15.78,15.86,47686
2016-07-25,15.95,16.0,15.82,15.82,15113
2016-07-26,15.91,15.99,15.87,15.91,20832
2016-07-27,15.99,15.99,15.87,15.89,14423
2016-07-28,16.0,16.02,15.88,15.89,15921
2016-07-29,15.99,16.2,15.99,16.09,22007
2016-08-01,16.1,16.1,15.96,15.97,25406
2016-08-02,15.98,16.03,15.9,16.03,22426
2016-08-03,16.05,16.43,15.97,16.36,24871
2016-08-04,16.39,16.5,16.25,16.32,33047
2016-08-05,16.37,16.42,16.14,16.16,43051
2016-08-08,16.2,16.2,15.92,16.01,29384
2016-08-09,16.01,16.01,15.81,15.86,34672
2016-08-10,15.9,15.9,15.77,15.78,21317
2016-08-11,15.76,15.8,15.65,15.66,14544
2016-08-12,15.69,15.76,15.68,15.71,7786
2016-08-15,15.68,15.77,15.65,15.65,12161
2016-08-16,15.71,15.71,15.51,15.52,28821
2016-08-17,15.49,15.56,15.41,15.5,41488
2016-08-18,15.51,15.61,15.5,15.54,26749
2016-08-19,15.47,15.54,15.47,15.47,31714
2016-08-22,15.53,15.55,15.47,15.5,19789
2016-08-23,15.5,15.58,15.5,15.56,32172
2016-08-24,15.52,15.54,15.48,15.52,22595
2016-08-25,15.47,15.5,15.36,15.42,21436
2016-08-26,15.41,15.43,15.33,15.37,18649
2016-08-29,15.42,15.48,15.38,15.44,26238
2016-08-30,15.45,15.45,15.33,15.33,15798
2016-08-31,15.4,15.4,15.27,15.29,26095
2016-09-01,15.33,15.5,15.28,15.39,49423
2016-09-02,15.42,15.47,15.38,15.43,10836
2016-09-06,15.44,15.61,15.44,15.57,29497
2016-09-07,15.63,15.63,15.54,15.55,11487
2016-09-08,15.6,15.6,15.49,15.49,24164
2016-09-09,15.49,15.49,15.07,15.11,52763
2016-09-12,15.03,15.12,15.01,15.12,13857
2016-09-13,15.06,15.1,15.01,15.05,22936
2016-09-14,15.07,15.16,15.06,15.09,11876
2016-09-15,15.16,15.16,15.03,15.15,10305
2016-09-16,15.17,15.17,15.02,15.04,15464
2016-09-19,15.08,15.12,15.06,15.06,12701
2016-09-20,15.14,15.15,15.07,15.12,14683
2016-09-21,15.15,15.16,15.11,15.15,13015
2016-09-22,15.23,15.3,15.23,15.29,11262
2016-09-23,15.33,15.33,15.22,15.24,11016
2016-09-26,15.31,15.31,15.22,15.27,22188
2016-09-27,15.32,15.35,15.27,15.35,8804
2016-09-28,15.37,15.49,15.36,15.49,19654
2016-09-29,15.49,15.49,15.31,15.31,17587
2016-09-30,15.44,15.44,15.29,15.29,10377
2016-10-03,15.26,15.33,15.23,15.23,13924
2016-10-04,15.27,15.28,14.93,15.01,38093
2016-10-05,15.01,15.17,14.91,14.94,9094
2016-10-06,14.89,15.03,14.89,15.02,13198
2016-10-07,15.04,15.11,14.98,15.04,8867
2016-10-10,15.04,15.05,15.02,15.05,10041
2016-10-11,15.08,15.1,14.98,14.99,58260
2016-10-12,14.97,14.97,14.84,14.86,7038
2016-10-13,14.86,14.86,14.59,14.59,13200
2016-10-14,14.6,14.6,14.37,14.37,26124
2016-10-17,14.43,14.43,14.14,14.22,32860
2016-10-18,14.28,14.4,14.21,14.3,49520
2016-10-19,14.37,14.54,14.37,14.45,25643
2016-10-20,14.57,14.62,14.46,14.55,45628
2016-10-21,14.6,14.67,14.6,14.61,18585
2016-10-24,14.74,14.74,14.63,14.64,11688
2016-10-25,14.71,14.71,14.63,14.64,15300
2016-10-26,14.69,14.69,14.51,14.53,29057
2016-10-27,14.52,14.55,14.35,14.39,15123
2016-10-28,14.41,14.41,14.2,14.22,16542
2016-10-31,14.25,14.32,14.21,14.25,28636
2016-11-01,14.22,14.27,14.17,14.27,10127
2016-11-02,14.3,14.32,14.26,14.32,13921
2016-11-03,14.34,14.37,14.33,14.37,7263
2016-11-04,14.37,14.39,14.37,14.38,8396
2016-11-07,14.38,14.38,14.28,14.34,24117
2016-11-08,14.39,14.46,14.31,14.46,21207
2016-11-09,14.4,14.4,14.35,14.4,20192
2016-11-10,14.32,14.32,13.8,13.8,62976
2016-11-11,13.75,13.89,13.53,13.85,57585
2016-11-14,13.85,13.85,13.23,13.38,54211
2016-11-15,13.4,13.66,13.24,13.64,53358
2016-11-16,13.7,13.74,13.55,13.56,24515
2016-11-17,13.62,13.62,13.45,13.47,23833
2016-11-18,13.47,13.55,13.42,13.48,36272
2016-11-21,13.54,13.55,13.49,13.5,10086
2016-11-22,13.58,13.85,13.54,13.64,29231
2016-11-23,13.61,13.67,13.5,13.63,35557
2016-11-25,13.68,13.76,13.56,13.68,9832
2016-11-28,13.66,13.75,13.66,13.7,6624
2016-11-29,13.69,13.76,13.67,13.76,7725
2016-11-30,13.74,13.74,13.6,13.68,12113
2016-12-01,13.59,13.63,13.53,13.56,14136
2016-12-02,13.5,13.59,13.35,13.51,59485
2016-12-05,13.56,13.66,13.47,13.66,37233
2016-12-06,13.58,13.8,13.54,13.76,22983
2016-12-07,13.73,14.18,13.73,14.18,36548
2016-12-08,14.0,14.0,13.85,13.89,14739
2016-12-09,13.92,13.92,13.75,13.81,8515
2016-12-12,13.86,13.86,13.72,13.73,19568
2016-12-13,13.7,13.82,13.7,13.82,22216
2016-12-14,13.85,13.9,13.78,13.88,30569
2016-12-15,13.79,13.82,13.71,13.75,19802
2016-12-16,13.76,13.84,13.75,13.8,29833
2016-12-19,13.76,13.86,13.76,13.8,21243
2016-12-20,13.72,13.8,13.71,13.75,37048
2016-12-21,13.75,13.85,13.75,13.83,19147
2016-12-22,13.86,13.86,13.8,13.8,6078
2016-12-23,13.85,13.85,13.76,13.76,14239
2016-12-27,13.32,13.86,13.32,13.82,22341
2016-12-28,13.73,13.85,13.73,13.85,6161
2016-12-29,13.85,13.93,13.85,13.92,19253
2016-12-30,13.93,13.96,13.86,13.94,27648
