Date,Open,High,Low,Close,Volume
2016-01-04,17.08,17.15,17.05,17.15,22656
2016-01-05,17.14,17.28,17.14,17.23,23705
2016-01-06,17.23,17.34,17.23,17.33,28212
2016-01-07,17.3,17.32,17.17,17.22,47201
2016-01-08,17.18,17.28,17.16,17.28,27318
2016-01-11,17.22,17.36,17.16,17.19,172369
2016-01-12,17.2,17.27,17.16,17.18,24558
2016-01-13,17.12,17.12,17.06,17.06,50574
2016-01-14,17.13,17.13,17.03,17.05,28212
2016-01-15,17.03,17.15,17.03,17.1,14190
2016-01-19,17.09,17.14,17.03,17.03,11188
2016-01-20,17.06,17.06,16.82,16.85,69026
2016-01-21,16.92,16.96,16.88,16.96,30394
2016-01-22,16.9,17.11,16.9,17.06,28167
2016-01-25,17.12,17.13,17.08,17.09,65298
2016-01-26,17.01,17.15,16.97,17.15,31192
2016-01-27,17.07,17.15,16.97,17.02,50947
2016-01-28,17.02,17.13,17.02,17.11,40338
2016-01-29,17.12,17.24,17.12,17.24,19156
2016-02-01,17.25,17.35,17.22,17.35,34468
2016-02-02,17.35,17.42,17.31,17.36,37059
2016-02-03,17.32,17.47,17.32,17.47,22108
2016-02-04,17.47,17.52,17.41,17.46,45556
2016-02-05,17.49,17.57,17.49,17.57,33704
2016-02-08,17.58,17.64,17.55,17.61,52360
2016-02-09,17.58,17.69,17.58,17.69,14038
2016-02-10,17.7,17.72,17.67,17.67,16806
2016-02-11,17.6,17.75,17.54,17.65,41482
2016-02-12,17.73,17.74,17.5,17.53,40415
2016-02-16,17.5,17.51,17.32,17.34,59154
2016-02-17,17.3,17.37,17.3,17.33,18473
2016-02-18,17.3,17.4,17.3,17.4,9130
2016-02-19,17.38,17.45,17.36,17.41,16753
2016-02-22,17.42,17.46,17.37,17.43,23145
2016-02-23,17.41,17.61,17.38,17.61,33821
2016-02-24,17.55,17.65,17.55,17.6,19354
2016-02-25,17.66,17.74,17.66,17.66,34501
2016-02-26,17.69,17.7,17.57,17.57,21282
2016-02-29,17.6,17.7,17.6,17.7,26583
2016-03-01,17.75,17.8,17.71,17.8,47446
2016-03-02,17.77,17.77,17.58,17.65,54220
2016-03-03,17.7,17.75,17.53,17.57,47435
2016-03-04,17.57,17.63,17.55,17.55,18545
2016-03-07,17.59,17.66,17.59,17.61,21447
2016-03-08,17.7,17.8,17.63,17.78,38404
2016-03-09,17.77,17.78,17.74,17.77,25465
2016-03-10,17.77,17.84,17.74,17.83,18077
2016-03-11,17.79,17.82,17.74,17.8,11571
2016-03-14,17.82,17.84,17.69,17.78,24411
2016-03-15,17.78,17.86,17.72,17.85,16236
2016-03-16,17.81,18.15,17.65,17.78,35293
2016-03-17,17.76,18.08,17.75,17.87,26301
2016-03-18,17.77,18.03,17.77,17.96,31327
2016-03-21,17.92,18.07,17.92,18.07,14518
2016-03-22,18.13,18.15,17.81,17.81,56722
2016-03-23,17.85,17.93,17.85,17.86,11048
2016-03-24,17.9,18.0,17.86,17.99,20078
2016-03-28,17.93,18.02,17.9,17.96,19144
2016-03-29,17.92,18.14,17.92,18.11,19165
2016-03-30,18.11,18.15,18.01,18.14,16113
2016-03-31,18.1,18.18,18.04,18.1,24940
2016-04-01,18.06,18.17,18.03,18.12,23708
2016-04-04,18.1,18.15,18.08,18.08,9527
2016-04-05,18.13,18.18,18.13,18.18,6627
2016-04-06,18.18,18.28,18.18,18.19,22719
2016-04-07,18.13,18.24,18.13,18.22,17512
2016-04-08,18.25,18.26,18.2,18.23,22698
2016-04-11,18.21,18.24,18.18,18.19,18474
2016-04-12,18.21,18.25,18.2,18.25,12991
2016-04-13,18.22,18.25,18.16,18.25,29169
2016-04-14,18.17,18.33,18.12,18.28,81652
2016-04-15,18.28,18.69,18.28,18.43,62987
2016-04-18,18.38,18.46,18.3,18.45,20437
2016-04-19,18.47,18.47,18.28,18.36,27910
2016-04-20,18.31,18.4,18.28,18.31,25593
2016-04-21,18.26,18.31,18.26,18.31,16092
2016-04-22,18.28,18.31,18.28,18.31,6713
2016-04-25,18.23,18.26,18.12,18.22,32681
2016-04-26,18.24,18.24,18.07,18.08,18271
2016-04-27,18.08,18.2,18.07,18.18,17869
2016-04-28,18.18,18.21,18.02,18.05,54547
2016-04-29,18.09,18.14,18.07,18.14,6936
2016-05-02,18.15,18.17,18.07,18.12,22459
2016-05-03,18.12,18.16,18.11,18.13,36445
2016-05-04,18.13,18.16,18.06,18.13,28791
2016-05-05,18.14,18.17,18.08,18.15,20481
2016-05-06,18.16,18.23,18.12,18.2,55840
2016-05-09,18.22,18.24,18.14,18.23,30328
2016-05-10,18.2,18.24,18.19,18.24,24091
2016-05-11,18.24,18.31,18.19,18.31,58041
2016-05-12,18.24,18.43,18.17,18.4,35076
2016-05-13,18.43,18.84,18.37,18.66,56045
2016-05-16,18.65,18.74,18.62,18.65,19126
2016-05-17,18.62,18.75,18.55,18.66,38687
2016-05-18,18.67,18.75,18.43,18.46,39345
2016-05-19,18.47,18.5,18.05,18.1,46870
2016-05-20,18.15,18.24,17.88,17.92,116429
2016-05-23,18.04,18.11,17.96,18.05,23395
2016-05-24,18.1,18.15,18.06,18.12,11209
2016-05-25,18.14,18.22,18.14,18.2,10143
2016-05-26,18.26,18.31,18.16,18.25,24869
2016-05-27,18.28,18.29,18.19,18.27,21815
2016-05-31,18.27,18.27,18.14,18.27,34266
2016-06-01,18.42,18.51,18.41,18.51,40935
2016-06-02,18.49,18.52,18.37,18.49,14597
2016-06-03,18.48,18.62,18.48,18.55,18502
2016-06-06,18.6,18.64,18.6,18.63,23812
2016-06-07,18.6,18.7,18.54,18.54,18714
2016-06-08,18.51,18.62,18.37,18.47,33313
2016-06-09,18.49,18.52,18.42,18.47,10908
2016-06-10,18.48,18.85,18.48,18.73,31570
2016-06-13,18.67,18.69,18.58,18.61,24739
2016-06-14,18.54,18.84,18.54,18.66,44200
2016-06-15,18.61,18.72,18.61,18.68,27441
2016-06-16,18.75,18.76,18.62,18.76,24232
2016-06-17,18.78,18.89,18.74,18.74,36327
2016-06-20,18.74,18.8,18.59,18.6,15003
2016-06-21,18.6,18.73,18.6,18.66,23435
2016-06-22,18.7,18.74,18.63,18.69,22440
2016-06-23,18.68,18.7,18.56,18.6,15973
2016-06-24,18.61,18.83,18.61,18.77,24003
2016-06-27,18.79,18.99,18.79,18.84,32841
2016-06-28,18.93,18.96,18.86,18.9,22690
2016-06-29,18.93,18.95,18.87,18.95,13478
2016-06-30,18.9,18.99,18.87,18.94,15446
2016-07-01,19.06,19.35,18.95,19.15,32406
2016-07-05,19.17,19.3,18.98,19.05,20956
2016-07-06,19.15,19.15,18.99,19.02,17225
2016-07-07,19.08,19.21,18.95,18.95,34904
2016-07-08,18.99,19.05,18.93,18.93,39795
2016-07-11,18.99,19.06,18.93,19.0,54944
2016-07-12,18.97,19.1,18.93,19.01,30524
2016-07-13,18.92,18.92,18.46,18.54,41401
2016-07-14,18.59,18.59,18.06,18.06,47161
2016-07-15,18.03,18.28,18.03,18.23,31810
2016-07-18,18.29,18.54,18.29,18.49,31853
2016-07-19,18.5,18.58,18.43,18.57,15414
2016-07-20,18.5,18.6,18.5,18.55,13058
2016-07-21,18.6,18.61,18.55,18.61,7519
