Date,Open,High,Low,Close,Volume
2016-01-04,14.48,14.58,14.48,14.55,56487
2016-01-05,14.57,14.63,14.52,14.62,40695
2016-01-06,14.59,14.7,14.59,14.63,52157
2016-01-07,14.7,14.7,14.58,14.6,24645
2016-01-08,14.63,14.68,14.57,14.62,49374
2016-01-11,14.65,14.7,14.54,14.59,85282
2016-01-12,14.62,14.62,14.52,14.58,12721
2016-01-13,14.55,14.55,14.42,14.43,23372
2016-01-14,14.46,14.51,14.37,14.49,28578
2016-01-15,14.51,14.73,14.42,14.43,94168
2016-01-19,14.48,14.54,14.43,14.48,45646
2016-01-20,14.5,14.56,14.45,14.51,107074
2016-01-21,14.58,14.62,14.33,14.37,86810
2016-01-22,14.45,14.45,14.32,14.36,92867
2016-01-25,14.39,14.39,14.33,14.33,38991
2016-01-26,14.37,14.41,14.28,14.41,35534
2016-01-27,14.42,14.46,14.38,14.43,32543
2016-01-28,14.49,14.53,14.43,14.53,28134
2016-01-29,14.58,14.64,14.56,14.62,36653
2016-02-01,14.64,14.7,14.63,14.66,36920
2016-02-02,14.74,14.84,14.68,14.84,87495
2016-02-03,14.84,15.02,14.81,14.97,90542
2016-02-04,14.99,15.01,14.97,14.98,58165
2016-02-05,15.0,15.03,14.97,15.0,32010
2016-02-08,15.0,15.03,14.81,14.84,65912
2016-02-09,14.82,15.04,14.82,14.94,71451
2016-02-10,15.03,15.15,15.0,15.15,87450
2016-02-11,15.06,15.15,15.05,15.14,47830
2016-02-12,15.15,15.15,14.92,14.97,48933
2016-02-16,14.88,14.96,14.82,14.85,75673
2016-02-17,14.82,14.85,14.77,14.81,33214
2016-02-18,14.85,14.88,14.81,14.88,38236
2016-02-19,14.89,14.99,14.89,14.93,28124
2016-02-22,15.01,15.01,14.93,14.96,24026
2016-02-23,14.96,15.09,14.89,14.97,163089
2016-02-24,15.04,15.07,15.01,15.03,36888
2016-02-25,15.06,15.16,15.06,15.07,61256
2016-02-26,15.07,15.09,14.97,14.98,66094
2016-02-29,15.04,15.16,15.03,15.08,43109
2016-03-01,15.1,15.13,15.04,15.09,84100
2016-03-02,15.08,15.1,15.02,15.02,45760
2016-03-03,15.01,15.08,14.98,15.0,31861
2016-03-04,14.97,15.04,14.94,14.94,50755
2016-03-07,14.97,15.01,14.92,14.96,40371
2016-03-08,15.0,15.07,14.92,15.01,19257
2016-03-09,15.04,15.08,14.99,15.03,36473
2016-03-10,15.05,15.09,14.95,15.01,60595
2016-03-11,14.98,14.98,14.79,14.79,56798
2016-03-14,14.85,14.92,14.8,14.85,19612
2016-03-15,14.88,14.94,14.8,14.86,39505
2016-03-16,14.89,14.95,14.87,14.95,49471
2016-03-17,14.94,14.97,14.94,14.97,27729
2016-03-18,14.98,15.02,14.95,14.96,25436
2016-03-21,14.93,15.11,14.93,15.08,59064
2016-03-22,15.07,15.1,15.07,15.08,29403
2016-03-23,15.09,15.1,14.99,15.03,37092
2016-03-24,15.05,15.05,14.95,14.95,31635
2016-03-28,15.02,15.09,14.93,15.06,22005
2016-03-29,15.08,15.08,15.04,15.07,40430
2016-03-30,15.04,15.06,14.93,14.97,29467
2016-03-31,15.0,15.04,14.95,15.03,43798
2016-04-01,15.07,15.08,14.94,14.97,54498
2016-04-04,15.01,15.04,14.98,14.98,34182
2016-04-05,15.01,15.11,15.01,15.11,47072
2016-04-06,15.09,15.2,15.05,15.17,85616
2016-04-07,15.18,15.18,15.08,15.12,36893
2016-04-08,15.17,15.24,15.07,15.12,51655
2016-04-11,15.08,15.22,15.05,15.21,43154
2016-04-12,15.22,15.26,15.1,15.26,62804
2016-04-13,15.16,15.16,15.01,15.01,93747
2016-04-14,15.04,15.05,14.95,14.97,84240
2016-04-15,14.94,15.07,14.92,15.07,76283
2016-04-18,15.09,15.31,15.06,15.24,102420
2016-04-19,15.2,15.2,15.08,15.16,32531
2016-04-20,15.2,15.32,15.18,15.21,72774
2016-04-21,15.2,15.23,15.14,15.18,44272
2016-04-22,15.23,15.29,15.18,15.24,33200
