Date,Open,High,Low,Close,Volume
2016-01-04,10.22,10.87,10.13,10.65,310629
2016-01-05,10.68,10.76,10.24,10.28,225661
2016-01-06,10.01,10.13,9.38,9.42,226604
2016-01-07,9.28,9.49,9.0,9.34,412647
2016-01-08,9.43,9.74,9.06,9.38,122645
2016-01-11,9.28,9.28,8.59,8.86,126414
2016-01-12,8.94,9.15,8.14,8.53,159684
2016-01-13,8.62,8.65,7.18,7.37,361196
2016-01-14,7.32,7.69,6.85,7.62,257349
2016-01-15,7.16,7.96,7.08,7.32,306963
2016-01-19,7.32,7.35,6.52,6.66,337424
2016-01-20,6.27,6.39,5.6,6.11,405076
2016-01-21,6.1,6.4,6.03,6.25,341704
2016-01-22,6.59,7.07,6.59,7.02,228253
2016-01-25,6.97,7.33,6.83,6.85,311182
2016-01-26,6.93,7.41,6.68,7.17,393292
2016-01-27,7.38,7.38,7.01,7.09,274469
2016-01-28,7.36,7.8,7.3,7.63,235394
2016-01-29,7.8,8.3,7.74,7.79,208235
2016-02-01,7.68,7.77,7.39,7.65,237684
2016-02-02,7.42,7.55,7.22,7.46,244455
2016-02-03,7.67,7.75,7.25,7.72,312137
2016-02-04,7.67,8.14,7.42,8.08,171155
2016-02-05,7.93,7.93,7.18,7.28,232836
2016-02-08,7.08,7.08,6.07,6.1,547386
2016-02-09,5.82,5.92,5.64,5.89,289373
2016-02-10,5.85,6.06,5.68,5.83,223587
2016-02-11,5.71,5.78,5.29,5.53,199988
2016-02-12,5.68,5.85,5.57,5.77,239661
2016-02-16,5.92,6.27,5.92,6.24,369603
2016-02-17,6.36,6.97,6.36,6.87,306636
2016-02-18,6.96,7.11,6.77,6.9,370667
2016-02-19,6.69,6.86,6.51,6.68,303641
2016-02-22,6.89,7.18,6.89,7.18,290264
2016-02-23,7.09,7.29,6.75,6.78,358179
2016-02-24,6.49,7.02,6.46,7.0,141541
2016-02-25,6.92,7.16,6.83,7.06,73571
2016-02-26,7.27,7.41,7.08,7.11,117352
2016-02-29,7.24,7.44,7.15,7.3,207744
2016-03-01,7.36,7.5,7.27,7.44,210049
2016-03-02,7.42,7.94,7.37,7.87,160253
2016-03-03,7.79,8.2,7.73,8.0,382449
2016-03-04,8.08,8.37,8.02,8.06,316313
2016-03-07,8.02,8.3,8.02,8.27,359557
2016-03-08,8.12,8.2,7.62,7.65,429209
2016-03-09,7.77,7.87,7.71,7.73,252343
2016-03-10,7.68,7.76,7.59,7.61,112860
2016-03-11,7.72,8.0,7.72,7.88,186415
2016-03-14,7.76,8.02,7.66,7.95,125999
2016-03-15,7.85,7.86,7.59,7.74,115815
2016-03-16,7.69,8.32,7.69,8.3,153137
2016-03-17,8.43,8.64,8.34,8.56,142546
2016-03-18,8.41,8.5,8.18,8.28,163933
2016-03-21,8.2,8.26,8.05,8.17,160664
2016-03-22,8.08,8.38,8.04,8.35,133463
2016-03-23,8.33,8.33,7.96,7.98,275447
2016-03-24,7.77,8.0,7.7,7.95,190684
2016-03-28,7.97,8.03,7.77,7.77,108770
2016-03-29,7.65,7.84,7.53,7.75,121778
2016-03-30,7.81,8.09,7.81,7.92,144866
2016-03-31,7.82,8.14,7.82,8.06,172859
2016-04-01,7.87,8.05,7.79,7.92,100231
2016-04-04,7.89,7.96,7.74,7.79,115531
2016-04-05,7.69,7.75,7.57,7.59,85379
2016-04-06,7.72,7.86,7.68,7.77,111568
2016-04-07,7.69,7.82,7.59,7.71,126484
2016-04-08,7.92,8.07,7.92,7.96,175748
2016-04-11,8.08,8.22,7.98,8.01,157529
