Date,Open,High,Low,Close,Volume
2016-01-04,13.96,14.04,13.94,14.03,41894
2016-01-05,14.01,14.13,14.01,14.1,71833
2016-01-06,14.09,14.2,14.09,14.16,51230
2016-01-07,14.12,14.22,14.12,14.18,36634
2016-01-08,14.15,14.21,14.11,14.21,30500
2016-01-11,14.21,14.21,14.01,14.1,132331
2016-01-12,14.1,14.13,14.09,14.1,31648
2016-01-13,14.08,14.08,13.94,13.96,24511
2016-01-14,13.93,13.98,13.9,13.95,57731
2016-01-15,13.97,14.04,13.96,14.04,31868
2016-01-19,14.06,14.06,13.9,13.92,41135
2016-01-20,13.92,13.92,13.8,13.83,63692
2016-01-21,13.85,13.92,13.81,13.85,69060
2016-01-22,13.86,13.98,13.86,13.91,31218
2016-01-25,13.96,14.0,13.9,13.9,31226
2016-01-26,13.91,14.01,13.86,13.92,109800
2016-01-27,13.95,14.0,13.89,13.89,57655
2016-01-28,13.91,14.05,13.91,14.05,28137
2016-01-29,14.07,14.2,14.06,14.2,71711
2016-02-01,14.21,14.24,14.17,14.21,41828
2016-02-02,14.2,14.28,14.18,14.18,40760
2016-02-03,14.18,14.4,14.18,14.32,103695
2016-02-04,14.34,14.37,14.28,14.36,66395
2016-02-05,14.36,14.4,14.3,14.4,69424
2016-02-08,14.39,14.43,14.35,14.4,57611
2016-02-09,14.42,14.42,14.34,14.4,35006
2016-02-10,14.43,14.44,14.39,14.42,31206
2016-02-11,14.44,14.44,14.33,14.33,124492
2016-02-12,14.34,14.39,14.21,14.23,47951
2016-02-16,14.22,14.22,14.08,14.1,43306
2016-02-17,14.09,14.13,14.07,14.08,34053
2016-02-18,14.13,14.19,14.13,14.19,25383
2016-02-19,14.12,14.16,14.09,14.09,76636
2016-02-22,14.11,14.13,14.05,14.07,41922
2016-02-23,14.09,14.16,14.05,14.16,32592
2016-02-24,14.16,14.2,14.12,14.18,48823
2016-02-25,14.19,14.23,14.14,14.14,37667
2016-02-26,14.14,14.2,14.11,14.11,28743
2016-02-29,14.13,14.2,14.1,14.2,36239
2016-03-01,14.24,14.27,14.13,14.13,54197
2016-03-02,14.13,14.2,14.13,14.18,19947
2016-03-03,14.24,14.3,14.21,14.3,38635
2016-03-04,14.3,14.31,14.25,14.25,61629
2016-03-07,14.25,14.31,14.25,14.3,35593
2016-03-08,14.37,14.39,14.3,14.3,21844
2016-03-09,14.31,14.37,14.31,14.35,36698
2016-03-10,14.34,14.44,14.34,14.43,62348
2016-03-11,14.39,14.39,14.36,14.37,37952
2016-03-14,14.4,14.43,14.33,14.39,23971
2016-03-15,14.37,14.41,14.35,14.36,23128
2016-03-16,14.38,14.43,14.34,14.43,21997
2016-03-17,14.43,14.47,14.42,14.47,48353
2016-03-18,14.46,14.47,14.37,14.37,84832
2016-03-21,14.4,14.46,14.4,14.42,34743
2016-03-22,14.45,14.49,14.39,14.4,60332
2016-03-23,14.43,14.48,14.43,14.48,43873
2016-03-24,14.48,14.5,14.42,14.48,27300
2016-03-28,14.46,14.49,14.45,14.46,45900
2016-03-29,14.48,14.53,14.47,14.48,73311
2016-03-30,14.5,14.6,14.5,14.55,46409
2016-03-31,14.58,14.65,14.55,14.56,51026
2016-04-01,14.58,14.64,14.51,14.52,28949
2016-04-04,14.53,14.58,14.5,14.52,29181
2016-04-05,14.56,14.78,14.56,14.59,117889
2016-04-06,14.62,14.78,14.62,14.74,41572
2016-04-07,14.77,14.81,14.76,14.81,14315
2016-04-08,14.85,14.9,14.82,14.84,92331
2016-04-11,14.88,14.91,14.85,14.9,52974
2016-04-12,14.91,14.97,14.91,14.95,112187
2016-04-13,14.95,15.02,14.93,14.95,71962
2016-04-14,14.97,15.0,14.77,14.85,57808
2016-04-15,14.89,14.99,14.89,14.99,31020
2016-04-18,14.98,15.03,14.97,15.01,36238
2016-04-19,15.05,15.05,14.95,15.04,53033
2016-04-20,15.07,15.09,15.05,15.09,32652
2016-04-21,15.07,15.14,15.05,15.14,59856
2016-04-22,15.1,15.14,14.99,14.99,33655
2016-04-25,14.99,15.0,14.93,14.93,21853
