Date,Open,High,Low,Close,Volume
2016-01-04,15.3,15.3,15.03,15.2,3976
2016-01-05,15.2,15.29,15.19,15.29,4438
2016-01-06,15.27,15.31,15.27,15.31,5368
2016-01-07,15.25,15.32,15.19,15.19,5052
2016-01-08,15.3,15.3,15.12,15.12,9499
2016-01-11,15.15,15.15,14.93,14.94,5158
2016-01-12,15.04,15.04,14.85,14.93,15901
2016-01-13,14.88,14.88,14.56,14.59,19159
2016-01-14,14.64,14.64,14.51,14.56,4631
2016-01-15,14.5,14.65,14.5,14.6,3551
2016-01-19,14.65,14.65,14.64,14.65,3449
2016-01-20,14.6,14.7,14.5,14.51,8884
2016-01-21,14.56,14.61,14.52,14.53,6016
2016-01-22,14.64,14.7,14.55,14.57,5964
2016-01-25,14.6,14.69,14.56,14.57,4049
2016-01-26,14.64,14.7,14.64,14.66,5406
2016-01-27,14.7,14.7,14.59,14.69,19136
2016-01-28,14.73,14.73,14.66,14.69,11102
2016-01-29,14.7,14.81,14.67,14.73,18526
2016-02-01,14.78,14.87,14.75,14.79,9326
2016-02-02,14.88,14.99,14.83,14.95,9378
2016-02-03,14.99,15.07,14.92,15.01,13495
2016-02-04,15.05,15.06,14.98,15.0,5467
2016-02-05,14.95,14.98,14.88,14.95,11648
2016-02-08,15.0,15.04,14.94,15.01,15255
2016-02-09,15.04,15.1,14.97,15.04,7574
2016-02-10,15.09,15.1,14.96,14.96,6876
2016-02-11,15.0,15.08,14.94,14.96,5705
2016-02-12,15.02,15.02,14.76,14.86,12264
2016-02-16,14.8,14.95,14.78,14.83,8802
2016-02-17,14.9,14.9,14.71,14.71,1712
2016-02-18,14.75,14.89,14.7,14.8,6906
2016-02-19,14.89,14.89,14.66,14.66,11001
2016-02-22,14.69,14.81,14.69,14.75,3621
2016-02-23,14.8,14.82,14.75,14.82,7882
2016-02-24,14.82,14.93,14.79,14.91,6315
2016-02-25,14.87,14.99,14.87,14.99,3881
2016-02-26,15.05,15.05,14.79,14.9,8888
2016-02-29,14.93,15.0,14.83,15.0,2849
2016-03-01,15.04,15.04,14.94,14.98,6270
2016-03-02,14.97,15.03,14.91,14.98,8653
2016-03-03,15.02,15.08,15.0,15.08,3017
2016-03-04,14.99,14.99,14.96,14.96,1616
2016-03-07,15.07,15.07,14.98,14.99,3545
2016-03-08,15.13,15.13,15.03,15.06,3627
2016-03-09,15.04,15.05,14.95,15.05,4912
2016-03-10,14.96,15.01,14.96,15.01,1723
2016-03-11,15.07,15.07,14.96,15.02,2417
2016-03-14,15.13,15.13,15.0,15.05,1520
2016-03-15,15.17,15.17,15.01,15.05,1126
2016-03-16,15.16,15.16,15.0,15.07,6596
2016-03-17,15.19,15.19,15.07,15.1,4795
2016-03-18,15.25,15.25,15.05,15.08,4168
2016-03-21,15.13,15.25,15.02,15.03,2740
2016-03-22,15.03,15.28,15.01,15.04,4519
2016-03-23,15.29,15.29,15.1,15.14,11937
2016-03-24,15.19,15.28,15.04,15.1,6963
2016-03-28,15.04,15.08,15.04,15.05,1692
2016-03-29,15.13,15.22,15.0,15.01,2871
2016-03-30,15.14,15.2,15.0,15.02,3554
2016-03-31,15.07,15.07,14.85,14.98,5208
2016-04-01,14.99,15.06,14.95,14.96,5290
2016-04-04,15.05,15.17,15.04,15.04,3811
