Date,Open,High,Low,Close,Volume
2016-01-04,15.4,15.4,15.32,15.38,12231
2016-01-05,15.38,15.49,15.38,15.43,12947
2016-01-06,15.44,15.55,15.43,15.51,30915
2016-01-07,15.58,15.59,15.52,15.56,24530
2016-01-08,15.59,15.6,15.52,15.55,23729
2016-01-11,15.52,15.55,15.48,15.52,22691
2016-01-12,15.53,15.54,15.49,15.52,15388
2016-01-13,15.47,15.48,15.4,15.4,10861
2016-01-14,15.4,15.41,15.33,15.4,10502
2016-01-15,15.34,15.49,15.34,15.42,23388
2016-01-19,15.41,15.51,15.38,15.43,31439
2016-01-20,15.43,15.43,15.18,15.2,35893
2016-01-21,15.3,15.39,15.24,15.3,20437
2016-01-22,15.32,15.45,15.32,15.45,35974
2016-01-25,15.45,15.5,15.38,15.4,25571
2016-01-26,15.41,15.57,15.38,15.57,38383
2016-01-27,15.58,15.59,15.51,15.52,20558
2016-01-28,15.53,15.61,15.51,15.6,28175
2016-01-29,15.58,15.66,15.58,15.62,28462
2016-02-01,15.67,15.7,15.58,15.65,33214
2016-02-02,15.64,15.69,15.62,15.63,14035
2016-02-03,15.62,15.77,15.62,15.77,40208
2016-02-04,15.72,15.99,15.72,15.97,39681
2016-02-05,16.0,16.01,15.88,15.9,24231
2016-02-08,15.88,15.98,15.88,15.93,26647
2016-02-09,15.83,16.05,15.83,16.03,30427
2016-02-10,16.07,16.1,15.94,15.94,22927
2016-02-11,15.85,16.02,15.8,15.8,17570
2016-02-12,15.85,15.93,15.55,15.6,47754
2016-02-16,15.58,15.58,15.5,15.56,25849
2016-02-17,15.55,15.71,15.55,15.71,57805
2016-02-18,15.72,15.89,15.65,15.72,31416
2016-02-19,15.66,15.82,15.64,15.71,17884
2016-02-22,15.68,15.75,15.68,15.71,7865
2016-02-23,15.72,15.91,15.71,15.83,24794
2016-02-24,15.84,15.92,15.81,15.84,15894
2016-02-25,15.92,15.98,15.88,15.89,24580
2016-02-26,15.92,15.93,15.78,15.78,24624
2016-02-29,15.82,15.9,15.82,15.85,11282
2016-03-01,15.88,15.95,15.85,15.91,23235
2016-03-02,15.91,15.94,15.65,15.84,36051
2016-03-03,15.87,15.91,15.85,15.91,11330
2016-03-04,15.91,15.95,15.86,15.94,17566
2016-03-07,15.95,16.03,15.95,16.03,15507
2016-03-08,16.0,16.06,16.0,16.06,6647
2016-03-09,16.05,16.13,16.05,16.06,16579
2016-03-10,16.13,16.13,16.07,16.12,11108
2016-03-11,16.07,16.1,16.02,16.02,23980
2016-03-14,16.09,16.12,16.02,16.08,13152
2016-03-15,16.08,16.1,16.02,16.02,8735
2016-03-16,16.06,16.13,16.05,16.1,14221
2016-03-17,16.12,16.19,16.01,16.18,11110
2016-03-18,16.2,16.28,16.16,16.16,10093
2016-03-21,16.14,16.19,16.01,16.01,11760
2016-03-22,16.09,16.2,16.07,16.1,23440
2016-03-23,16.06,16.17,16.06,16.15,16633
2016-03-24,16.18,16.2,16.08,16.19,6022
2016-03-28,16.13,16.26,16.13,16.19,20142
2016-03-29,16.21,16.26,16.13,16.17,14999
