Date,Open,High,Low,Close,Volume
2016-01-04,13.42,13.57,13.42,13.53,137295
2016-01-05,13.5,13.63,13.5,13.63,44964
2016-01-06,13.58,13.73,13.57,13.7,68374
2016-01-07,13.71,13.74,13.63,13.73,62344
2016-01-08,13.72,13.72,13.65,13.69,29603
2016-01-11,13.68,13.7,13.6,13.66,72922
2016-01-12,13.66,13.67,13.56,13.66,88316
2016-01-13,13.62,13.62,13.48,13.5,99663
2016-01-14,13.53,13.55,13.48,13.55,51107
2016-01-15,13.53,13.61,13.51,13.57,120699
2016-01-19,13.58,13.58,13.51,13.52,81764
2016-01-20,13.53,13.57,13.35,13.38,184984
2016-01-21,13.43,13.49,13.4,13.46,75178
2016-01-22,13.5,13.54,13.43,13.43,68905
2016-01-25,13.46,13.49,13.42,13.43,65508
2016-01-26,13.38,13.48,13.38,13.48,60265
2016-01-27,13.5,13.58,13.46,13.54,57196
2016-01-28,13.6,13.61,13.51,13.55,84886
2016-01-29,13.57,13.63,13.57,13.63,27055
2016-02-01,13.67,13.76,13.64,13.76,78963
2016-02-02,13.8,13.88,13.74,13.83,118161
2016-02-03,13.83,13.93,13.83,13.91,79692
2016-02-04,13.92,13.94,13.88,13.92,37981
2016-02-05,13.93,13.99,13.87,13.93,64930
2016-02-08,13.96,13.98,13.72,13.75,95815
2016-02-09,13.75,13.97,13.73,13.79,91521
2016-02-10,13.89,13.96,13.82,13.9,83992
2016-02-11,13.88,13.89,13.75,13.81,53408
2016-02-12,13.82,13.82,13.67,13.68,93986
2016-02-16,13.68,13.72,13.58,13.61,56208
2016-02-17,13.61,13.66,13.54,13.58,56226
2016-02-18,13.64,13.7,13.63,13.67,41576
2016-02-19,13.72,13.76,13.67,13.76,35369
2016-02-22,13.77,13.78,13.74,13.78,45326
2016-02-23,13.78,13.86,13.71,13.79,192370
2016-02-24,13.78,13.94,13.78,13.92,98123
2016-02-25,13.91,13.98,13.85,13.98,109101
2016-02-26,13.94,13.99,13.87,13.98,111435
2016-02-29,14.0,14.08,13.89,13.91,60571
2016-03-01,13.96,14.05,13.93,13.98,121625
2016-03-02,13.96,14.03,13.9,13.98,76869
2016-03-03,13.98,14.02,13.94,14.01,72893
2016-03-04,13.99,14.04,13.99,14.0,66608
2016-03-07,14.03,14.07,13.81,13.88,79119
2016-03-08,13.96,14.03,13.88,13.93,41827
2016-03-09,13.97,14.03,13.95,13.99,39253
2016-03-10,14.05,14.06,13.85,13.95,51045
2016-03-11,13.93,13.93,13.8,13.8,65934
2016-03-14,13.83,13.85,13.79,13.85,41520
2016-03-15,13.88,13.93,13.85,13.86,62166
2016-03-16,13.91,14.01,13.91,13.94,70393
2016-03-17,13.98,14.09,13.94,13.96,46022
2016-03-18,14.02,14.05,13.91,13.95,29081
2016-03-21,13.91,14.02,13.91,14.02,41954
2016-03-22,14.06,14.07,13.98,14.03,54916
2016-03-23,14.01,14.09,13.99,14.0,44489
2016-03-24,14.04,14.05,14.0,14.0,55401
2016-03-28,14.0,14.08,14.0,14.08,39971
2016-03-29,14.09,14.09,14.01,14.02,89211
2016-03-30,14.04,14.07,13.91,13.93,124026
2016-03-31,13.97,14.02,13.92,13.94,73302
2016-04-01,13.98,14.04,13.93,13.95,64113
2016-04-04,14.0,14.08,13.96,14.08,64635
2016-04-05,14.08,14.15,14.08,14.15,66576
2016-04-06,14.18,14.32,14.16,14.32,95871
2016-04-07,14.33,14.33,14.28,14.3,28592
2016-04-08,14.33,14.34,14.3,14.31,53726
2016-04-11,14.27,14.44,14.26,14.43,72898
2016-04-12,14.43,14.43,14.26,14.42,110326
2016-04-13,14.31,14.35,14.16,14.18,65410
2016-04-14,14.17,14.24,14.12,14.2,50337
2016-04-15,14.15,14.22,14.11,14.2,76151
2016-04-18,14.17,14.3,14.13,14.3,64637
2016-04-19,14.28,14.31,14.12,14.21,71570
2016-04-20,14.23,14.34,14.23,14.3,86938
2016-04-21,14.29,14.34,14.24,14.26,52359
2016-04-22,14.3,14.34,14.26,14.32,46082
2016-04-25,14.32,14.33,14.24,14.29,46695
2016-04-26,14.32,14.32,14.18,14.27,84916
2016-04-27,14.29,14.38,14.28,14.33,67561
2016-04-28,14.37,14.37,14.29,14.32,35008
2016-04-29,14.3,14.4,14.3,14.39,36433
2016-05-02,14.38,14.38,14.29,14.31,78651
2016-05-03,14.4,14.4,14.29,14.32,56311
2016-05-04,14.3,14.38,14.29,14.34,48333
2016-05-05,14.37,14.41,14.35,14.38,37610
2016-05-06,14.39,14.43,14.39,14.43,46159
2016-05-09,14.44,14.61,14.44,14.6,148271
2016-05-10,14.65,14.74,14.49,14.59,107485
2016-05-11,14.63,14.68,14.46,14.59,82336
2016-05-12,14.55,14.65,14.46,14.46,143211
2016-05-13,14.57,14.68,14.49,14.54,87996
2016-05-16,14.57,14.58,14.47,14.49,96035
2016-05-17,14.54,14.6,14.46,14.58,40070
2016-05-18,14.58,14.59,14.29,14.29,112192
2016-05-19,14.34,14.34,14.0,14.06,174582
2016-05-20,14.13,14.18,13.97,14.06,247991
2016-05-23,14.12,14.19,14.04,14.15,109698
2016-05-24,14.15,14.19,14.07,14.11,60261
2016-05-25,14.15,14.15,14.06,14.1,79807
2016-05-26,14.15,14.19,14.14,14.16,49186
2016-05-27,14.21,14.21,14.1,14.15,46084
2016-05-31,14.07,14.09,14.02,14.07,89308
2016-06-01,14.13,14.23,14.08,14.23,84323
2016-06-02,14.16,14.24,14.16,14.18,73902
2016-06-03,14.25,14.31,14.21,14.3,96423
2016-06-06,14.25,14.31,14.21,14.22,56319
2016-06-07,14.28,14.33,14.23,14.31,58780
2016-06-08,14.32,14.35,14.25,14.34,85074
2016-06-09,14.37,14.37,14.25,14.25,72846
2016-06-10,14.28,14.33,14.25,14.25,50977
2016-06-13,14.26,14.3,14.22,14.23,44822
2016-06-14,14.28,14.28,14.21,14.24,55807
2016-06-15,14.29,14.29,14.17,14.23,95585
2016-06-16,14.29,14.36,14.28,14.35,70377
2016-06-17,14.39,14.4,14.29,14.29,40897
2016-06-20,14.34,14.34,14.25,14.27,34019
2016-06-21,14.27,14.37,14.27,14.28,80377
2016-06-22,14.33,14.35,14.3,14.34,32631
2016-06-23,14.3,14.34,14.27,14.29,51934
2016-06-24,14.33,14.43,14.19,14.29,62517
2016-06-27,14.33,14.4,14.31,14.32,98858
2016-06-28,14.38,14.41,14.36,14.4,58707
2016-06-29,14.46,14.46,14.36,14.4,66466
2016-06-30,14.47,14.49,14.34,14.36,127927
2016-07-01,14.42,14.46,14.38,14.39,52179
2016-07-05,14.42,14.49,14.41,14.43,63450
2016-07-06,14.48,14.51,14.47,14.5,56363
2016-07-07,14.51,14.55,14.46,14.55,59054
2016-07-08,14.5,14.55,14.5,14.53,67114
2016-07-11,14.54,14.56,14.52,14.54,83037
2016-07-12,14.53,14.55,14.45,14.48,91633
2016-07-13,14.46,14.46,14.17,14.3,150282
2016-07-14,14.26,14.3,14.09,14.11,146933
2016-07-15,14.12,14.26,14.12,14.25,68281
2016-07-18,14.3,14.35,14.28,14.32,103086
