Date,Open,High,Low,Close,Volume
2016-01-04,4.98,5.08,4.93,5.03,1857306
2016-01-05,5.05,5.14,5.05,5.11,1158605
2016-01-06,5.04,5.08,4.99,5.07,793283
2016-01-07,5.01,5.04,4.94,4.94,417616
2016-01-08,4.99,5.0,4.79,4.81,661041
2016-01-11,4.81,4.84,4.75,4.79,591175
2016-01-12,4.73,4.77,4.66,4.68,504977
2016-01-13,4.68,4.7,4.52,4.52,539750
2016-01-14,4.54,4.56,4.48,4.52,481968
2016-01-15,4.41,4.44,4.32,4.35,480512
2016-01-19,4.35,4.38,4.21,4.26,534282
2016-01-20,4.2,4.21,3.98,4.09,891716
2016-01-21,4.09,4.17,4.06,4.13,294050
2016-01-22,4.2,4.34,4.2,4.25,707598
2016-01-25,4.24,4.32,4.2,4.21,360343
2016-01-26,4.22,4.33,4.22,4.29,262027
2016-01-27,4.31,4.36,4.26,4.28,331524
2016-01-28,4.36,4.43,4.31,4.41,1414463
2016-01-29,4.41,4.49,4.41,4.47,419373
2016-02-01,4.44,4.51,4.4,4.48,413679
2016-02-02,4.47,4.48,4.39,4.42,307913
2016-02-03,4.47,4.47,4.36,4.42,286056
2016-02-04,4.4,4.43,4.36,4.41,248105
2016-02-05,4.4,4.4,4.33,4.38,224313
2016-02-08,4.34,4.35,4.16,4.24,263865
2016-02-09,4.17,4.2,4.11,4.18,262246
2016-02-10,4.12,4.16,4.1,4.14,201080
2016-02-11,4.07,4.09,3.94,4.03,470687
2016-02-12,4.1,4.1,4.01,4.08,119568
2016-02-16,4.13,4.13,4.06,4.1,388239
2016-02-17,4.15,4.16,4.09,4.16,316382
2016-02-18,4.19,4.19,4.13,4.19,125558
2016-02-19,4.19,4.19,4.12,4.18,158588
2016-02-22,4.2,4.23,4.18,4.19,213883
2016-02-23,4.18,4.21,4.13,4.16,195828
2016-02-24,4.15,4.2,4.12,4.2,135295
2016-02-25,4.25,4.32,4.21,4.32,583174
2016-02-26,4.35,4.39,4.33,4.39,446863
2016-02-29,4.41,4.49,4.4,4.46,504202
2016-03-01,4.51,4.61,4.49,4.6,603242
2016-03-02,4.64,4.68,4.55,4.62,2875977
2016-03-03,4.61,4.69,4.58,4.61,468774
2016-03-04,4.65,4.72,4.63,4.71,459239
2016-03-07,4.71,4.73,4.65,4.7,225495
2016-03-08,4.72,4.74,4.68,4.69,422105
2016-03-09,4.66,4.67,4.63,4.66,309124
2016-03-10,4.71,4.72,4.65,4.67,281031
2016-03-11,4.72,4.75,4.68,4.74,189309
2016-03-14,4.73,4.75,4.7,4.72,196325
2016-03-15,4.73,4.73,4.67,4.71,228275
2016-03-16,4.71,4.79,4.69,4.78,249143
2016-03-17,4.8,4.87,4.78,4.87,240249
2016-03-18,4.9,4.94,4.87,4.88,287264
2016-03-21,4.9,4.91,4.87,4.89,149697
2016-03-22,4.89,4.95,4.88,4.93,280326
2016-03-23,4.93,4.93,4.82,4.84,342025
2016-03-24,4.85,4.85,4.77,4.78,253460
2016-03-28,4.83,4.83,4.76,4.76,208290
2016-03-29,4.76,4.81,4.73,4.81,142258
2016-03-30,4.86,4.88,4.81,4.81,196682
2016-03-31,4.84,4.9,4.84,4.88,310030
2016-04-01,4.87,4.92,4.86,4.9,228576
2016-04-04,4.91,4.93,4.9,4.91,369558
2016-04-05,4.88,4.91,4.86,4.88,187241
2016-04-06,4.93,4.93,4.9,4.92,251912
2016-04-07,4.82,4.87,4.8,4.8,326016
2016-04-08,4.81,4.86,4.81,4.84,181275
2016-04-11,4.84,4.88,4.84,4.87,260838
2016-04-12,4.9,4.91,4.88,4.91,163304
2016-04-13,4.93,4.94,4.92,4.93,114236
2016-04-14,4.95,5.0,4.93,4.99,353417
2016-04-15,4.99,5.02,4.97,4.98,163510
2016-04-18,4.99,5.02,4.97,5.0,215737
2016-04-19,5.02,5.03,5.0,5.01,264540
2016-04-20,5.03,5.07,5.03,5.06,291694
2016-04-21,5.08,5.11,5.07,5.1,291592
2016-04-22,5.12,5.16,5.12,5.14,356898
2016-04-25,5.16,5.17,5.13,5.14,145994
2016-04-26,5.14,5.19,5.14,5.19,226725
2016-04-27,5.19,5.21,5.18,5.19,298202
2016-04-28,5.21,5.27,5.18,5.19,397903
2016-04-29,5.21,5.22,5.14,5.16,349272
2016-05-02,5.21,5.25,5.17,5.17,558862
2016-05-03,5.18,5.19,5.1,5.18,440578
2016-05-04,5.16,5.16,5.06,5.12,184134
2016-05-05,5.15,5.16,5.1,5.13,207643
2016-05-06,5.13,5.13,5.08,5.12,212403
2016-05-09,5.11,5.16,5.11,5.13,296478
2016-05-10,5.1,5.11,5.02,5.03,336641
2016-05-11,5.03,5.03,4.93,4.95,344672
2016-05-12,4.99,5.07,4.99,5.07,191723
2016-05-13,5.05,5.06,5.01,5.03,164832
2016-05-16,5.03,5.07,5.02,5.06,141711
2016-05-17,5.07,5.11,5.03,5.06,253173
2016-05-18,5.08,5.14,5.07,5.1,317016
2016-05-19,5.1,5.1,5.01,5.08,293867
2016-05-20,5.09,5.1,5.08,5.08,105873
2016-05-23,5.11,5.15,5.1,5.12,309438
2016-05-24,5.12,5.18,5.12,5.14,252455
2016-05-25,5.17,5.21,5.16,5.21,286989
2016-05-26,5.21,5.25,5.18,5.22,385706
2016-05-27,5.23,5.25,5.22,5.23,195741
2016-05-31,5.23,5.29,5.21,5.27,455188
2016-06-01,5.29,5.33,5.27,5.31,441844
2016-06-02,5.26,5.29,5.22,5.25,1423933
2016-06-03,5.24,5.3,5.24,5.3,237057
2016-06-06,5.34,5.37,5.33,5.37,297068
2016-06-07,5.4,5.43,5.38,5.39,274342
2016-06-08,5.42,5.47,5.31,5.38,649863
2016-06-09,5.35,5.36,5.26,5.3,332375
2016-06-10,5.29,5.31,5.21,5.22,262144
2016-06-13,5.22,5.22,5.15,5.15,322835
2016-06-14,5.15,5.18,5.07,5.12,486661
2016-06-15,5.15,5.17,5.11,5.14,208754
2016-06-16,5.12,5.16,5.1,5.15,230116
2016-06-17,5.18,5.18,5.12,5.14,269682
2016-06-20,5.18,5.23,5.18,5.23,295857
2016-06-21,5.25,5.25,5.2,5.22,184010
2016-06-22,5.25,5.25,5.17,5.17,221615
2016-06-23,5.24,5.27,5.23,5.27,263314
2016-06-24,5.13,5.24,5.09,5.21,394272
2016-06-27,5.21,5.21,5.07,5.13,341536
2016-06-28,5.19,5.23,5.15,5.18,312722
2016-06-29,5.23,5.27,5.21,5.25,294871
2016-06-30,5.31,5.31,5.25,5.31,270726
2016-07-01,5.34,5.38,5.32,5.33,441578
2016-07-05,5.34,5.4,5.33,5.4,315817
2016-07-06,5.42,5.46,5.42,5.46,240232
2016-07-07,5.45,5.48,5.42,5.45,258156
2016-07-08,5.51,5.56,5.44,5.52,423197
2016-07-11,5.55,5.58,5.53,5.56,329381
2016-07-12,5.58,5.6,5.51,5.51,338762
2016-07-13,5.54,5.56,5.4,5.41,350388
2016-07-14,5.46,5.5,5.41,5.42,264520
2016-07-15,5.42,5.45,5.41,5.44,189015
2016-07-18,5.43,5.53,5.43,5.51,375607
2016-07-19,5.5,5.58,5.48,5.54,315079
2016-07-20,5.58,5.66,5.57,5.63,461506
2016-07-21,5.66,5.68,5.58,5.59,317153
2016-07-22,5.59,5.64,5.56,5.63,149043
2016-07-25,5.65,5.71,5.64,5.7,346022
2016-07-26,5.72,5.76,5.71,5.75,319978
2016-07-27,5.8,5.84,5.78,5.83,325375
2016-07-28,5.86,5.9,5.81,5.84,344391
2016-07-29,5.88,5.9,5.76,5.79,422850
2016-08-01,5.82,5.86,5.8,5.8,310485
2016-08-02,5.83,5.86,5.65,5.65,722331
2016-08-03,5.66,5.68,5.47,5.61,818205
2016-08-04,5.63,5.69,5.63,5.68,306204
2016-08-05,5.74,5.79,5.71,5.79,337190
2016-08-08,5.84,5.85,5.75,5.78,385982
2016-08-09,5.73,5.79,5.66,5.73,459988
2016-08-10,5.73,5.76,5.63,5.69,646723
2016-08-11,5.73,5.75,5.68,5.72,292506
2016-08-12,5.76,5.81,5.7,5.77,247572
2016-08-15,5.81,5.82,5.73,5.78,318045
2016-08-16,5.8,5.8,5.73,5.8,156380
2016-08-17,5.82,5.82,5.79,5.82,217431
2016-08-18,5.84,5.85,5.8,5.83,226791
2016-08-19,5.84,5.84,5.8,5.84,209214
2016-08-22,5.83,5.83,5.8,5.81,233753
2016-08-23,5.82,5.85,5.82,5.82,195144
2016-08-24,5.84,5.85,5.81,5.82,194546
2016-08-25,5.82,5.83,5.77,5.79,186272
2016-08-26,5.8,5.83,5.77,5.78,213044
2016-08-29,5.8,5.83,5.79,5.8,277916
2016-08-30,5.83,5.84,5.81,5.83,184978
2016-08-31,5.84,5.85,5.77,5.77,187447
2016-09-01,5.8,5.82,5.77,5.81,236395
2016-09-02,5.83,5.89,5.82,5.89,563011
2016-09-06,5.91,5.95,5.87,5.95,395873
2016-09-07,5.95,6.03,5.94,6.03,485398
2016-09-08,5.93,5.99,5.89,5.94,361126
2016-09-09,5.9,5.92,5.69,5.69,556818
2016-09-12,5.69,5.8,5.51,5.8,772589
2016-09-13,5.79,5.82,5.68,5.73,760490
2016-09-14,5.71,5.78,5.69,5.74,409416
2016-09-15,5.73,5.82,5.73,5.79,250890
2016-09-16,5.8,5.83,5.76,5.8,318791
2016-09-19,5.78,5.82,5.78,5.79,186056
2016-09-20,5.83,5.85,5.79,5.81,167745
2016-09-21,5.81,5.84,5.78,5.83,505392
2016-09-22,5.87,5.95,5.87,5.92,240960
2016-09-23,5.92,5.97,5.92,5.92,190938
2016-09-26,5.93,5.93,5.89,5.9,217852
2016-09-27,5.89,5.95,5.87,5.95,246390
2016-09-28,5.98,5.99,5.96,5.97,236482
2016-09-29,5.96,5.99,5.88,5.91,333686
2016-09-30,5.96,5.99,5.92,5.93,206116
2016-10-03,5.95,5.95,5.91,5.94,230679
2016-10-04,5.93,5.98,5.92,5.96,316259
2016-10-05,5.97,5.99,5.95,5.99,295517
2016-10-06,5.98,6.0,5.94,5.96,449005
