Date,Open,High,Low,Close,Volume
2016-01-04,17.75,17.83,17.47,17.83,99055
2016-01-05,17.88,17.99,17.74,17.88,105743
2016-01-06,17.75,17.75,17.59,17.66,99556
2016-01-07,17.36,17.45,17.23,17.34,73665
2016-01-08,17.35,17.43,17.07,17.13,81772
2016-01-11,17.17,17.26,16.77,16.96,111189
2016-01-12,17.09,17.2,16.83,17.05,149333
2016-01-13,17.1,17.1,16.55,16.59,78168
2016-01-14,16.59,16.85,16.44,16.8,108313
2016-01-15,16.38,16.48,16.25,16.38,123166
2016-01-19,16.48,16.55,16.26,16.34,80193
2016-01-20,16.04,16.04,15.58,15.86,206965
2016-01-21,15.93,16.29,15.93,16.15,142025
2016-01-22,16.36,16.62,16.36,16.58,91495
2016-01-25,16.45,16.46,16.36,16.37,49992
2016-01-26,16.42,16.66,16.39,16.66,83855
2016-01-27,16.59,16.71,16.42,16.49,73425
2016-01-28,16.58,16.64,16.46,16.63,45285
2016-01-29,16.63,17.0,16.63,16.97,74386
2016-02-01,16.88,17.02,16.81,17.01,49438
2016-02-02,16.93,16.93,16.67,16.73,49043
2016-02-03,16.86,16.87,16.5,16.8,42895
2016-02-04,16.78,16.92,16.58,16.58,58218
2016-02-05,16.61,16.63,16.37,16.38,76801
2016-02-08,16.23,16.28,16.06,16.23,56025
2016-02-09,16.02,16.41,16.0,16.2,84368
2016-02-10,16.3,16.35,16.12,16.13,53112
2016-02-11,15.96,16.11,15.84,16.07,112005
2016-02-12,16.2,16.33,16.13,16.32,88429
2016-02-16,16.42,16.55,16.35,16.52,94451
2016-02-17,16.68,16.87,16.55,16.86,92248
2016-02-18,16.9,16.93,16.76,16.88,92122
2016-02-19,16.85,16.85,16.75,16.83,67931
2016-02-22,16.93,16.93,16.85,16.88,70717
2016-02-23,16.91,16.91,16.79,16.87,75700
2016-02-24,16.78,16.95,16.62,16.93,61529
2016-02-25,17.01,17.33,16.96,17.33,270180
2016-02-26,17.49,17.5,17.38,17.48,141668
2016-02-29,17.46,17.48,17.4,17.43,59357
2016-03-01,17.46,17.73,17.42,17.73,90802
2016-03-02,17.66,17.79,17.57,17.79,144562
2016-03-03,17.73,17.85,17.61,17.76,87600
2016-03-04,17.83,18.06,17.82,18.01,103763
2016-03-07,18.0,18.01,17.83,17.84,80275
2016-03-08,17.84,17.84,17.71,17.77,112637
2016-03-09,17.82,17.91,17.79,17.87,101171
2016-03-10,17.59,17.65,17.45,17.52,67580
2016-03-11,17.64,17.71,17.58,17.69,68081
2016-03-14,17.67,17.7,17.63,17.7,56189
2016-03-15,17.58,17.89,17.54,17.78,80913
2016-03-16,17.8,17.83,17.74,17.8,77842
2016-03-17,17.76,17.95,17.76,17.93,63439
2016-03-18,17.97,18.09,17.93,18.05,69694
2016-03-21,18.04,18.05,17.95,18.03,93249
2016-03-22,18.0,18.06,17.97,18.01,83725
2016-03-23,18.01,18.1,17.96,18.03,136977
2016-03-24,18.02,18.04,17.79,17.86,131917
2016-03-28,17.96,17.97,17.87,17.87,68961
2016-03-29,17.84,18.08,17.84,18.06,72428
2016-03-30,18.17,18.25,18.09,18.24,91794
2016-03-31,18.21,18.27,18.16,18.19,87306
