Date,Open,High,Low,Close,Volume
2016-01-04,21.67,21.85,21.46,21.85,857976
2016-01-05,21.82,22.18,21.74,22.12,1044395
2016-01-06,21.92,22.16,21.88,22.04,1508896
2016-01-07,21.61,21.85,21.28,21.28,803201
2016-01-08,21.44,21.56,21.24,21.45,1235622
2016-01-11,21.49,21.69,21.28,21.63,1357389
2016-01-12,21.86,21.86,21.48,21.64,1595202
2016-01-13,21.66,22.05,21.56,21.66,1207725
2016-01-14,21.7,21.78,21.31,21.46,1118470
2016-01-15,21.16,21.17,20.6,20.78,1287100
2016-01-19,20.87,21.04,20.52,20.68,1184776
2016-01-20,20.49,20.52,19.52,20.04,1877095
2016-01-21,20.16,20.78,19.96,20.45,1317256
2016-01-22,20.6,21.13,20.53,21.11,876419
2016-01-25,21.4,21.58,21.06,21.36,1553797
2016-01-26,21.45,22.06,21.43,22.06,1394723
2016-01-27,21.94,22.11,21.68,21.87,989445
2016-01-28,21.99,22.39,21.88,22.19,1151032
2016-01-29,22.33,22.52,22.0,22.3,1445430
2016-02-01,22.16,22.83,22.01,22.58,918575
2016-02-02,22.51,22.55,22.14,22.17,1000137
2016-02-03,22.29,22.48,22.09,22.42,900970
2016-02-04,22.4,22.64,22.29,22.49,1287769
2016-02-05,22.42,22.53,22.24,22.26,874738
2016-02-08,22.11,22.14,21.4,21.93,1111216
2016-02-09,21.71,21.84,21.12,21.21,836919
2016-02-10,21.22,21.78,21.2,21.39,562575
2016-02-11,21.15,21.22,20.6,20.86,985949
2016-02-12,20.73,21.28,20.42,20.91,774024
2016-02-16,21.08,21.51,20.91,21.5,888698
2016-02-17,22.02,22.42,21.96,22.06,2161253
2016-02-18,22.06,22.47,21.93,22.44,1083390
2016-02-19,22.33,22.56,22.22,22.5,710820
2016-02-22,22.64,23.13,22.64,23.08,801709
2016-02-23,22.95,23.29,22.9,23.06,934251
2016-02-24,22.9,23.12,22.64,23.03,996724
2016-02-25,23.14,23.43,23.11,23.42,457588
2016-02-26,23.42,23.67,23.27,23.55,751030
2016-02-29,23.58,23.66,23.26,23.4,778940
