Date,Open,High,Low,Close,Volume
2016-01-04,17.62,17.62,17.34,17.54,99352
2016-01-05,17.59,17.7,17.45,17.5,62510
2016-01-06,17.34,17.34,16.86,16.92,137404
2016-01-07,16.81,16.95,16.5,16.5,127709
2016-01-08,16.6,16.75,16.3,16.3,118595
2016-01-11,16.43,16.43,15.76,15.8,118305
2016-01-12,16.06,16.14,15.54,15.8,176369
2016-01-13,16.01,16.18,15.35,15.43,181855
2016-01-14,15.66,16.22,15.43,16.06,151383
2016-01-15,15.58,15.89,15.38,15.68,211036
2016-01-19,15.73,15.78,15.16,15.34,112704
2016-01-20,15.02,15.25,14.29,14.99,313700
2016-01-21,15.08,15.62,14.81,15.46,190920
2016-01-22,16.15,16.16,15.8,15.95,117370
2016-01-25,15.75,15.96,15.27,15.27,106106
2016-01-26,15.37,15.9,15.37,15.89,129576
2016-01-27,15.86,16.19,15.69,15.82,52642
2016-01-28,16.35,16.61,16.1,16.4,86169
2016-01-29,16.33,16.69,16.23,16.66,128206
2016-02-01,16.47,16.5,16.15,16.5,152798
2016-02-02,16.18,16.18,15.85,16.04,118564
2016-02-03,16.15,16.62,15.83,16.58,116984
2016-02-04,16.59,16.99,16.58,16.64,150936
2016-02-05,16.58,16.61,16.19,16.19,115622
2016-02-08,15.98,16.18,15.74,16.09,147634
2016-02-09,15.95,15.98,15.52,15.69,89913
2016-02-10,15.74,15.92,15.52,15.62,92724
2016-02-11,15.41,15.69,15.24,15.66,106669
2016-02-12,15.91,16.08,15.71,15.96,59387
2016-02-16,16.18,16.25,15.95,16.12,49161
2016-02-17,16.3,16.86,16.3,16.73,104357
2016-02-18,16.95,16.95,16.54,16.63,71153
2016-02-19,16.47,16.55,16.24,16.55,66750
2016-02-22,16.77,16.94,16.74,16.85,80601
2016-02-23,16.73,16.73,16.29,16.4,65122
2016-02-24,16.11,16.48,16.03,16.46,50006
2016-02-25,16.46,16.65,16.18,16.5,92842
2016-02-26,16.73,16.84,16.58,16.61,59810
2016-02-29,16.67,16.85,16.5,16.52,88884
2016-03-01,16.68,17.01,16.53,17.0,118327
2016-03-02,16.89,17.31,16.78,17.28,86733
2016-03-03,17.27,17.57,17.18,17.5,68178
2016-03-04,17.65,17.88,17.4,17.6,75939
2016-03-07,17.49,18.07,17.49,18.05,88800
2016-03-08,17.93,17.93,17.34,17.36,31447
2016-03-09,17.47,17.83,17.42,17.63,72555
2016-03-10,17.52,17.72,17.42,17.72,81661
2016-03-11,17.94,18.2,17.94,17.96,57022
2016-03-14,17.88,18.3,17.73,17.97,79232
2016-03-15,17.8,17.85,17.6,17.79,46714
2016-03-16,17.83,18.15,17.83,18.1,31536
2016-03-17,18.17,18.44,18.16,18.3,100868
2016-03-18,18.4,18.46,18.19,18.3,107023
2016-03-21,18.32,18.38,18.2,18.23,82127
2016-03-22,18.1,18.35,18.1,18.26,36275
2016-03-23,18.17,18.17,17.75,17.75,100866
2016-03-24,17.67,17.86,17.48,17.85,113274
2016-03-28,17.75,17.87,17.68,17.81,38763
2016-03-29,17.65,17.92,17.44,17.87,84135
2016-03-30,17.98,18.14,17.91,17.99,59354
2016-03-31,17.93,18.13,17.93,17.99,116302
2016-04-01,17.66,17.88,17.55,17.87,86356
2016-04-04,17.77,17.93,17.54,17.65,67623
2016-04-05,17.45,17.53,17.38,17.45,152743
2016-04-06,17.61,17.87,17.49,17.86,81945
2016-04-07,17.69,17.78,17.52,17.75,53984
2016-04-08,17.98,18.18,17.98,18.09,60004
2016-04-11,18.19,18.23,18.0,18.14,81511
2016-04-12,18.14,18.6,18.11,18.6,112102
2016-04-13,18.54,18.73,18.44,18.68,101277
2016-04-14,18.84,18.84,18.54,18.73,86252
2016-04-15,18.63,18.65,18.41,18.48,64388
2016-04-18,18.18,18.72,18.15,18.62,105467
2016-04-19,18.78,19.08,18.76,18.98,102654
2016-04-20,18.89,19.24,18.88,19.07,95187
2016-04-21,19.15,19.2,19.02,19.02,53501
2016-04-22,19.07,19.29,19.07,19.25,51264
2016-04-25,19.14,19.26,18.93,19.01,53511
2016-04-26,19.14,19.4,19.14,19.39,62104
2016-04-27,19.43,19.74,19.43,19.7,85978
2016-04-28,19.57,19.73,19.35,19.41,67692
2016-04-29,19.44,19.58,19.17,19.3,77062
2016-05-02,19.32,19.36,19.07,19.34,118097
2016-05-03,19.07,19.11,18.82,18.91,65733
2016-05-04,18.87,18.96,18.58,18.66,83876
2016-05-05,18.92,19.02,18.65,18.75,48622
2016-05-06,18.58,18.82,18.58,18.69,38593
2016-05-09,18.61,18.63,18.24,18.38,66694
2016-05-10,18.51,18.7,18.51,18.65,55442
2016-05-11,18.61,18.8,18.47,18.67,74736
2016-05-12,18.84,18.92,18.61,18.66,67205
2016-05-13,18.62,18.75,18.47,18.56,74872
2016-05-16,18.73,18.88,18.7,18.84,52180
2016-05-17,18.79,19.05,18.7,18.87,45057
2016-05-18,18.85,18.89,18.53,18.63,61310
