Date,Open,High,Low,Close,Volume
2016-01-04,45.74,45.84,45.0,45.65,450033
2016-01-05,45.82,46.28,45.79,46.12,331604
2016-01-06,45.33,45.38,44.57,44.97,354518
2016-01-07,44.21,44.6,43.8,44.17,292385
2016-01-08,44.42,44.97,44.27,44.39,360254
2016-01-11,43.9,43.9,42.48,42.78,492187
2016-01-12,43.25,43.99,43.11,43.52,491176
2016-01-13,43.22,44.06,43.0,43.21,374851
2016-01-14,43.2,44.33,43.08,43.82,366553
2016-01-15,43.03,43.14,42.34,42.86,236319
2016-01-19,42.96,43.44,42.36,42.64,388876
2016-01-20,42.03,42.16,40.82,41.89,541377
2016-01-21,40.77,41.41,40.68,41.22,644116
2016-01-22,42.3,42.79,42.25,42.53,331613
2016-01-25,42.49,43.31,42.02,42.04,420043
2016-01-26,42.18,43.03,42.0,42.99,313381
2016-01-27,43.28,43.63,43.21,43.52,572981
2016-01-28,43.84,44.01,43.1,43.28,466024
2016-01-29,45.11,45.24,44.53,44.93,584818
2016-02-01,44.74,45.45,44.66,45.28,455732
2016-02-02,44.71,44.76,44.22,44.61,520072
2016-02-03,44.41,44.75,43.62,44.36,634431
2016-02-04,44.27,44.66,43.98,44.55,407864
2016-02-05,45.43,45.6,44.68,44.85,325123
2016-02-08,44.69,44.8,43.77,44.58,445282
2016-02-09,43.35,43.69,41.4,41.92,496241
2016-02-10,42.26,42.42,41.34,41.71,306651
2016-02-11,41.65,42.45,41.65,42.24,377093
2016-02-12,41.55,41.99,41.39,41.82,345010
2016-02-16,41.76,43.06,41.76,42.79,513664
2016-02-17,43.42,44.91,43.41,44.68,641500
2016-02-18,45.37,45.86,44.49,44.59,322743
2016-02-19,44.25,44.95,44.25,44.58,158444
2016-02-22,45.39,45.4,44.8,45.33,424688
2016-02-23,44.83,45.33,44.37,44.53,130445
2016-02-24,43.76,43.85,43.05,43.77,324026
2016-02-25,43.85,43.94,43.33,43.59,203868
2016-02-26,43.76,43.84,43.23,43.25,209192
2016-02-29,44.05,44.51,43.62,43.98,444067
2016-03-01,44.43,44.69,44.01,44.65,177759
2016-03-02,44.54,45.13,44.46,45.08,364555
2016-03-03,46.78,47.86,46.65,47.59,787362
2016-03-04,47.82,49.4,47.76,48.86,489346
2016-03-07,48.54,48.82,48.19,48.33,220672
2016-03-08,48.03,48.3,47.28,47.36,370977
2016-03-09,47.8,48.03,47.34,47.77,308313
2016-03-10,47.61,48.28,47.06,47.5,312502
2016-03-11,47.99,48.06,47.37,47.62,244421
2016-03-14,47.92,48.24,47.83,47.96,143494
2016-03-15,46.6,46.68,45.77,45.93,175725
2016-03-16,46.55,46.91,46.07,46.73,193245
2016-03-17,46.72,46.72,45.93,46.5,216790
2016-03-18,47.21,47.21,46.36,47.12,428977
2016-03-21,47.33,47.82,47.3,47.5,155894
2016-03-22,45.59,46.01,45.33,45.88,350149
2016-03-23,45.75,45.75,44.54,45.11,309342
2016-03-24,44.97,45.16,44.81,45.09,197789
2016-03-28,45.37,45.41,44.78,44.85,247062
2016-03-29,44.17,44.59,43.73,44.43,312032
2016-03-30,45.18,45.69,44.92,45.48,419693
2016-03-31,45.55,45.74,45.12,45.19,282613
2016-04-01,44.58,45.8,44.58,45.58,315393
2016-04-04,45.5,46.04,45.26,45.34,224471
2016-04-05,45.0,45.66,44.94,45.33,284122
2016-04-06,45.12,45.82,44.98,45.4,423631
2016-04-07,45.46,45.8,45.11,45.77,331181
2016-04-08,45.9,45.98,45.68,45.8,105433
2016-04-11,45.91,45.91,45.02,45.37,186727
2016-04-12,46.07,46.19,45.79,46.11,203748
2016-04-13,46.31,46.42,45.29,45.77,621717
2016-04-14,45.82,46.57,45.77,46.36,350713
2016-04-15,46.3,46.42,45.59,46.32,414774
2016-04-18,46.32,46.76,46.03,46.6,260814
2016-04-19,46.89,47.6,46.89,47.25,288413
2016-04-20,46.98,47.48,46.55,46.63,366317
2016-04-21,46.98,47.43,46.83,47.02,290283
2016-04-22,46.95,47.73,46.95,47.45,204568
2016-04-25,46.97,47.15,46.67,46.77,281972
2016-04-26,46.83,46.83,46.27,46.45,247491
2016-04-27,46.61,47.16,46.49,46.79,293010
2016-04-28,46.37,46.81,46.16,46.36,174158
2016-04-29,46.4,46.43,45.32,45.6,401100
2016-05-02,45.12,45.14,44.71,44.89,163700
2016-05-03,44.69,45.16,44.31,44.71,627504
2016-05-04,44.29,44.29,43.29,43.39,248473
2016-05-05,43.55,43.61,43.04,43.18,447886
2016-05-06,42.82,42.84,41.6,41.9,946247
2016-05-09,42.23,43.11,42.23,42.61,488174
2016-05-10,43.39,43.76,43.21,43.53,690383
2016-05-11,43.02,43.54,42.55,42.58,664605
2016-05-12,43.85,44.14,42.17,42.86,1104742
2016-05-13,42.97,43.84,42.85,43.17,425840
2016-05-16,44.52,45.01,44.42,45.0,534000
2016-05-17,44.76,45.12,44.55,44.92,358568
2016-05-18,44.78,45.43,44.78,45.19,377006
2016-05-19,44.63,44.98,44.25,44.67,268577
2016-05-20,44.85,45.13,44.53,44.78,183286
2016-05-23,44.78,45.14,44.65,44.77,184015
2016-05-24,44.88,45.03,44.39,44.71,196749
2016-05-25,45.07,45.85,44.94,45.63,275889
2016-05-26,46.03,46.03,45.5,45.66,154190
2016-05-27,46.4,46.64,46.25,46.29,184696
2016-05-31,47.22,47.78,47.04,47.16,427263
2016-06-01,47.05,47.13,46.88,46.9,181252
2016-06-02,46.88,47.36,46.88,47.07,260964
2016-06-03,47.16,47.16,46.32,46.97,168908
2016-06-06,46.89,47.0,46.66,46.95,159651
2016-06-07,46.96,47.38,46.77,47.31,150492
2016-06-08,47.12,47.24,46.81,46.87,131943
2016-06-09,45.99,46.14,45.76,45.79,120105
2016-06-10,45.46,46.04,45.02,45.1,410243
2016-06-13,45.52,46.16,45.52,45.65,201019
2016-06-14,45.64,45.81,45.11,45.44,209903
2016-06-15,45.68,45.98,45.54,45.71,124120
2016-06-16,45.12,45.73,44.96,45.62,365108
2016-06-17,44.74,45.56,44.74,45.1,363451
2016-06-20,45.63,45.95,45.41,45.84,257053
2016-06-21,45.56,45.72,45.31,45.6,186947
2016-06-22,46.16,47.03,45.96,46.5,305165
2016-06-23,47.07,47.98,47.07,47.98,177690
2016-06-24,46.68,47.64,46.68,47.24,702955
2016-06-27,47.5,47.99,47.35,47.79,521427
2016-06-28,48.45,49.03,48.27,49.02,483556
2016-06-29,49.03,49.76,48.92,49.57,601600
2016-06-30,50.0,51.3,49.78,51.23,613361
2016-07-01,52.11,53.08,51.86,52.99,454571
2016-07-05,51.8,52.62,51.68,52.18,735825
2016-07-06,52.01,52.45,51.58,52.36,481230
2016-07-07,52.73,53.22,52.6,52.9,403061
2016-07-08,53.38,53.77,53.12,53.69,221369
2016-07-11,54.4,54.73,54.34,54.45,246318
2016-07-12,54.0,54.21,53.81,53.85,296685
2016-07-13,54.27,54.27,53.59,53.6,233106
2016-07-14,53.52,54.05,53.49,53.91,227170
2016-07-15,53.79,53.81,53.35,53.63,200929
2016-07-18,53.3,53.6,53.25,53.51,247553
2016-07-19,53.48,53.86,53.37,53.51,222159
2016-07-20,54.55,54.58,54.06,54.27,442561
2016-07-21,53.93,54.0,53.22,53.33,221467
2016-07-22,53.41,53.62,53.15,53.34,177675
2016-07-25,51.98,52.39,51.72,52.1,372017
2016-07-26,49.01,49.07,42.52,44.11,5000209
2016-07-27,43.57,44.98,43.51,43.82,817201
2016-07-28,43.85,44.05,43.19,43.61,553122
2016-07-29,43.55,43.85,43.41,43.65,294650
2016-08-01,44.13,44.87,44.13,44.5,392695
2016-08-02,44.41,44.44,43.86,44.1,259539
2016-08-03,43.67,43.96,43.4,43.86,179051
2016-08-04,43.94,44.75,43.91,44.61,266172
2016-08-05,44.71,45.16,44.44,45.13,254332
2016-08-08,45.17,45.98,45.17,45.77,472722
2016-08-09,45.47,45.63,44.8,44.93,290566
2016-08-10,44.88,44.88,44.21,44.41,212704
2016-08-11,44.61,44.86,44.46,44.82,139162
2016-08-12,44.8,44.94,44.66,44.82,143069
2016-08-15,44.81,44.96,44.72,44.91,88848
2016-08-16,44.82,45.12,44.61,44.92,108743
2016-08-17,44.79,46.01,44.78,45.54,589004
2016-08-18,45.41,45.62,45.14,45.62,170494
2016-08-19,45.23,45.34,44.85,45.08,126623
2016-08-22,44.9,45.37,44.75,45.07,81019
2016-08-23,45.19,45.59,45.06,45.51,270752
2016-08-24,45.4,45.96,45.16,45.36,216684
2016-08-25,45.62,46.06,45.55,45.68,199344
2016-08-26,45.74,46.02,45.26,45.51,221081
2016-08-29,45.47,46.07,45.37,45.61,201885
2016-08-30,46.19,46.48,46.07,46.1,121457
2016-08-31,46.25,46.31,45.35,45.51,414209
2016-09-01,45.91,46.09,45.53,46.04,187325
2016-09-02,46.68,47.25,46.65,46.94,234240
2016-09-06,46.93,47.27,46.9,47.27,190371
2016-09-07,47.17,47.77,46.93,47.7,210200
2016-09-08,47.52,47.99,47.52,47.81,141265
2016-09-09,47.56,47.67,46.73,46.81,185414
2016-09-12,46.63,47.08,46.45,47.05,138551
2016-09-13,46.97,46.97,46.32,46.54,114465
2016-09-14,46.9,47.14,46.73,46.96,143000
2016-09-15,46.85,47.04,46.52,46.94,111419
2016-09-16,46.77,47.01,46.57,46.75,136632
2016-09-19,46.88,47.3,46.85,46.99,97822
2016-09-20,47.19,47.47,46.76,47.2,137833
2016-09-21,47.12,47.32,46.05,46.79,375040
2016-09-22,46.9,47.88,46.9,47.7,192358
2016-09-23,47.64,48.12,47.64,47.9,116537
2016-09-26,47.88,48.02,47.12,47.32,147063
2016-09-27,47.58,47.91,47.24,47.83,107980
2016-09-28,47.88,48.07,47.34,47.89,181249
2016-09-29,47.11,47.11,45.97,46.24,264204
2016-09-30,46.39,46.57,46.18,46.42,216015
2016-10-03,47.11,47.45,47.09,47.41,152733
2016-10-04,47.26,47.61,46.66,46.9,133303
2016-10-05,47.05,47.05,46.47,46.54,184150
2016-10-06,45.86,45.86,45.47,45.54,279086
2016-10-07,45.52,45.72,45.15,45.23,358573
2016-10-10,45.65,46.21,45.59,46.0,553895
2016-10-11,45.59,45.8,45.09,45.57,204119
2016-10-12,45.5,45.58,45.27,45.51,547094
2016-10-13,45.16,45.96,45.16,45.82,367659
2016-10-14,45.48,45.6,44.94,45.07,164540
2016-10-17,45.0,45.27,44.92,45.06,94133
2016-10-18,45.51,45.98,45.5,45.83,282713
2016-10-19,45.83,46.34,45.83,46.1,115618
2016-10-20,45.98,46.28,45.88,46.06,140243
2016-10-21,46.25,46.74,46.2,46.54,195200
2016-10-24,46.2,46.49,45.85,46.29,414761
2016-10-25,47.74,49.28,47.61,48.36,602489
2016-10-26,48.28,49.59,48.18,48.56,295526
2016-10-27,49.5,49.91,49.28,49.37,252329
2016-10-28,49.91,49.96,49.48,49.64,223438
2016-10-31,49.5,49.7,49.02,49.29,278193
2016-11-01,49.23,50.1,49.23,49.67,437708
2016-11-02,48.95,49.27,48.46,48.54,182970
2016-11-03,48.73,48.85,46.49,46.56,953946
2016-11-04,45.71,46.53,45.31,46.07,861736
2016-11-07,46.29,47.1,46.19,46.5,345757
2016-11-08,46.13,46.83,46.02,46.53,258971
2016-11-09,48.92,49.68,48.76,49.57,272479
2016-11-10,49.15,49.52,49.0,49.25,472033
2016-11-11,48.53,48.71,48.34,48.52,387033
2016-11-14,48.4,48.69,48.19,48.33,311034
2016-11-15,49.11,49.41,48.67,49.18,187868
2016-11-16,47.45,47.5,46.65,46.78,309320
2016-11-17,47.2,47.23,46.87,47.05,194309
2016-11-18,47.08,47.21,46.23,46.3,220778
2016-11-21,45.67,45.92,45.4,45.52,336891
2016-11-22,45.37,45.49,44.45,44.97,371793
2016-11-23,44.87,45.57,44.52,45.55,624271
2016-11-25,45.99,46.3,45.9,46.12,236906
2016-11-28,45.83,46.31,45.83,46.06,216181
2016-11-29,46.07,46.44,45.94,46.4,153945
2016-11-30,46.5,46.75,46.36,46.73,251083
2016-12-01,46.9,47.0,45.86,46.05,331797
2016-12-02,46.16,46.58,46.05,46.26,210864
2016-12-05,46.2,46.69,46.02,46.69,307281
2016-12-06,46.87,46.96,46.04,46.6,279730
2016-12-07,46.48,46.74,45.83,46.33,263660
2016-12-08,47.14,47.75,46.67,47.26,379921
2016-12-09,46.74,47.42,46.5,46.62,171555
2016-12-12,46.26,46.51,46.21,46.38,137424
2016-12-13,46.42,46.75,46.36,46.74,114448
2016-12-14,46.04,46.68,45.8,46.18,153647
