Date,Open,High,Low,Close,Volume
2016-01-04,12.54,12.54,12.41,12.46,127725
2016-01-05,12.5,12.57,12.5,12.51,45307
2016-01-06,12.46,12.55,12.42,12.47,70747
2016-01-07,12.36,12.4,12.2,12.2,58618
2016-01-08,12.33,12.36,12.06,12.06,53385
2016-01-11,12.11,12.2,12.05,12.05,85985
2016-01-12,12.12,12.12,11.98,11.98,55341
2016-01-13,12.03,12.07,11.78,11.79,78256
2016-01-14,11.81,11.86,11.75,11.76,82829
2016-01-15,11.66,11.66,11.56,11.56,82929
2016-01-19,11.7,11.7,11.49,11.49,71883
2016-01-20,11.44,11.61,10.82,11.18,141444
2016-01-21,11.23,11.39,11.2,11.2,70180
2016-01-22,11.36,11.77,11.36,11.77,32490
2016-01-25,11.75,11.75,11.6,11.6,35638
2016-01-26,11.69,11.82,11.69,11.78,42083
2016-01-27,11.73,11.75,11.62,11.64,46427
2016-01-28,11.77,11.78,11.65,11.66,40843
2016-01-29,11.7,11.92,11.69,11.9,37765
2016-02-01,11.88,12.1,11.81,12.04,67595
2016-02-02,11.99,11.99,11.81,11.89,59411
2016-02-03,11.94,12.0,11.82,11.95,50757
2016-02-04,11.87,12.04,11.82,11.99,49551
2016-02-05,12.02,12.02,11.69,11.69,49257
2016-02-08,11.63,11.67,11.23,11.31,52010
2016-02-09,11.18,11.28,11.13,11.18,36802
2016-02-10,11.25,11.34,11.16,11.17,40016
2016-02-11,11.01,11.05,10.92,11.0,48480
2016-02-12,11.07,11.26,11.07,11.24,33426
2016-02-16,11.26,11.36,11.12,11.31,64461
2016-02-17,11.42,11.52,11.41,11.48,48821
2016-02-18,11.57,11.57,11.46,11.51,42526
2016-02-19,11.5,11.59,11.47,11.56,29856
2016-02-22,11.68,11.76,11.64,11.72,24795
2016-02-23,11.68,11.81,11.67,11.77,29461
2016-02-24,11.73,11.76,11.7,11.75,40975
2016-02-25,11.76,11.94,11.76,11.94,39293
2016-02-26,11.9,11.99,11.88,11.99,21423
2016-02-29,11.97,12.03,11.9,11.97,25743
2016-03-01,11.98,12.18,11.93,12.18,35910
2016-03-02,12.17,12.33,12.12,12.24,52152
2016-03-03,12.29,12.42,12.28,12.42,26556
2016-03-04,12.37,12.48,12.36,12.42,26549
2016-03-07,12.38,12.48,12.28,12.46,39083
2016-03-08,12.48,12.5,12.44,12.46,49313
2016-03-09,12.5,12.62,12.41,12.55,36322
2016-03-10,12.63,12.7,12.36,12.39,61442
2016-03-11,12.5,12.84,12.5,12.63,44356
2016-03-14,12.6,12.68,12.55,12.65,26290
2016-03-15,12.65,12.85,12.65,12.81,46933
2016-03-16,12.82,12.93,12.66,12.82,56527
2016-03-17,12.8,13.04,12.79,12.97,44462
2016-03-18,12.76,12.78,12.61,12.72,32064
2016-03-21,12.66,12.77,12.61,12.73,48078
2016-03-22,12.72,12.8,12.52,12.63,38569
2016-03-23,12.63,12.76,12.62,12.65,28843
2016-03-24,12.65,12.65,12.52,12.57,61213
2016-03-28,12.68,12.77,12.67,12.73,34718
2016-03-29,12.73,13.02,12.73,12.83,58385
2016-03-30,12.9,12.97,12.85,12.97,45287
2016-03-31,13.03,13.24,12.83,13.09,88992
2016-04-01,13.03,13.1,13.02,13.04,75393
2016-04-04,13.08,13.08,13.02,13.06,39098
2016-04-05,13.01,13.17,13.0,13.11,52119
2016-04-06,13.08,13.1,12.97,13.0,38160
