Date,Open,High,Low,Close,Volume
2016-01-04,8.41,8.41,8.31,8.36,10025
2016-01-05,8.42,8.47,8.42,8.45,15315
2016-01-06,8.34,8.34,8.28,8.28,1673
2016-01-07,8.14,8.16,7.97,8.12,32484
2016-01-08,8.14,8.14,8.07,8.07,24849
2016-01-11,8.0,8.02,7.98,7.99,8189
2016-01-12,8.04,8.21,7.98,8.0,22057
2016-01-13,8.04,8.04,7.95,7.96,46564
2016-01-14,7.95,8.01,7.92,8.0,15272
2016-01-15,7.75,7.83,7.69,7.72,3393
2016-01-19,7.84,7.84,7.77,7.78,9134
2016-01-20,7.61,7.64,7.42,7.49,9915
2016-01-21,7.49,7.69,7.49,7.69,48996
2016-01-22,7.67,7.79,7.67,7.77,22377
2016-01-25,7.73,7.77,7.73,7.76,41839
2016-01-26,7.76,7.77,7.71,7.77,15460
2016-01-27,7.67,7.74,7.66,7.69,9369
2016-01-28,7.73,7.73,7.7,7.72,2541
2016-01-29,7.87,7.93,7.87,7.88,9934
2016-02-01,7.81,7.81,7.78,7.81,5853
2016-02-02,7.75,7.75,7.69,7.7,19124
2016-02-03,7.67,7.81,7.64,7.78,39105
2016-02-04,7.83,7.98,7.83,7.9,37666
2016-02-05,8.01,8.01,7.93,7.95,21652
2016-02-08,7.88,7.88,7.86,7.87,6008
2016-02-09,7.76,7.84,7.76,7.78,3409
2016-02-10,7.86,7.99,7.86,7.89,8776
2016-02-11,7.74,7.79,7.67,7.75,9985
2016-02-12,7.76,7.8,7.75,7.8,77839
2016-02-16,7.93,8.06,7.93,8.02,9454
2016-02-17,7.99,8.05,7.99,8.03,6271
2016-02-18,8.07,8.07,8.06,8.06,390
2016-02-19,8.0,8.09,8.0,8.08,6019
2016-02-22,8.16,8.18,8.12,8.16,22319
2016-02-23,8.2,8.2,8.09,8.09,8126
2016-02-24,7.87,8.04,7.87,8.01,27894
2016-02-25,8.12,8.12,8.02,8.05,19282
2016-02-26,8.15,8.15,8.06,8.06,10455
2016-02-29,8.14,8.2,8.14,8.16,4087
2016-03-01,8.25,8.34,8.24,8.3,8477
