Date,Open,High,Low,Close,Volume
2016-01-04,8.38,8.6,8.31,8.49,11279
2016-01-05,8.45,8.45,8.2,8.2,12059
2016-01-06,8.04,8.04,7.69,7.78,20569
2016-01-07,7.64,7.72,7.33,7.43,24946
2016-01-08,7.43,7.7,7.34,7.5,38400
2016-01-11,7.6,7.6,6.99,7.05,16626
2016-01-12,7.1,7.25,6.7,6.86,86159
2016-01-13,6.91,7.0,6.51,6.53,21219
2016-01-14,6.56,7.03,6.4,6.97,46097
2016-01-15,6.5,6.6,6.43,6.49,24782
2016-01-19,6.63,6.63,5.93,5.93,44494
2016-01-20,5.88,5.88,5.4,5.77,69309
2016-01-21,5.75,6.21,5.75,6.21,14559
2016-01-22,6.33,6.8,6.33,6.77,29687
2016-01-25,6.62,6.96,6.51,6.52,18181
2016-01-26,6.61,6.8,6.4,6.71,55791
2016-01-27,6.71,6.85,6.62,6.7,25028
2016-01-28,6.99,7.16,6.89,6.94,78833
2016-01-29,7.13,7.3,7.02,7.03,70157
2016-02-01,6.94,6.94,6.74,6.83,22081
2016-02-02,6.67,6.68,6.54,6.58,13660
2016-02-03,6.66,6.86,6.43,6.84,20583
2016-02-04,6.83,7.09,6.8,6.98,29121
2016-02-05,6.91,6.93,6.82,6.9,17818
2016-02-08,6.76,6.82,6.2,6.43,45191
2016-02-09,6.25,6.31,6.04,6.2,18590
2016-02-10,6.11,6.28,6.11,6.18,11759
2016-02-11,5.99,6.09,5.87,5.91,12493
2016-02-12,6.05,6.24,5.97,6.24,12677
2016-02-16,6.36,6.42,6.28,6.35,17522
2016-02-17,6.49,6.68,6.46,6.62,21050
2016-02-18,6.73,6.73,6.54,6.61,15493
2016-02-19,6.54,6.54,6.44,6.46,5876
2016-02-22,6.66,6.67,6.61,6.66,6805
2016-02-23,6.55,6.61,6.31,6.34,24670
2016-02-24,6.24,6.42,6.15,6.41,16489
2016-02-25,6.37,6.46,6.24,6.39,14662
2016-02-26,6.46,6.63,6.46,6.55,20105
2016-02-29,6.62,6.67,6.55,6.63,15744
2016-03-01,6.64,6.78,6.59,6.71,8534
2016-03-02,6.64,6.91,6.62,6.9,42907
2016-03-03,6.92,7.13,6.89,6.99,51659
2016-03-04,7.02,7.28,6.92,7.18,104489
2016-03-07,7.11,7.37,7.11,7.37,30673
2016-03-08,7.29,7.29,6.98,7.01,43521
2016-03-09,7.13,7.23,7.08,7.2,29591
2016-03-10,7.25,7.25,7.1,7.11,23308
2016-03-11,7.24,7.35,7.24,7.3,15439
2016-03-14,7.31,7.31,7.17,7.26,15629
2016-03-15,7.21,7.21,6.97,7.15,14496
2016-03-16,7.21,7.33,7.18,7.33,13191
2016-03-17,7.38,7.66,7.38,7.57,19477
2016-03-18,7.61,7.72,7.5,7.55,20016
2016-03-21,7.54,7.54,7.39,7.45,6146
2016-03-22,7.43,7.53,7.39,7.51,9794
2016-03-23,7.41,7.41,7.26,7.27,7400
2016-03-24,7.21,7.25,7.11,7.23,19226
2016-03-28,7.21,7.24,7.13,7.16,9882
2016-03-29,7.08,7.23,7.08,7.23,8055
2016-03-30,7.33,7.47,7.27,7.43,14935
2016-03-31,7.42,7.5,7.42,7.47,28992
2016-04-01,7.33,7.43,7.26,7.35,16846
2016-04-04,7.38,7.38,7.25,7.25,11224
2016-04-05,7.26,7.27,7.18,7.22,13269
2016-04-06,7.32,7.41,7.29,7.41,18826
2016-04-07,7.32,7.36,7.31,7.32,6362
2016-04-08,7.46,7.54,7.34,7.45,63158
2016-04-11,7.52,7.72,7.52,7.6,35180
2016-04-12,7.65,7.89,7.65,7.81,92311
2016-04-13,7.72,7.89,7.7,7.78,62905
2016-04-14,7.88,7.88,7.69,7.72,18474
2016-04-15,7.69,7.75,7.67,7.67,17129
2016-04-18,7.57,7.82,7.44,7.76,22311
2016-04-19,7.77,8.09,7.77,8.05,43039
2016-04-20,8.02,8.39,8.02,8.31,43571
2016-04-21,8.26,8.37,8.23,8.31,28097
2016-04-22,8.31,8.46,8.31,8.44,20564
2016-04-25,8.45,8.45,8.06,8.21,54103
2016-04-26,8.17,8.29,8.1,8.28,52545
2016-04-27,8.4,8.71,8.39,8.61,116192
2016-04-28,8.62,8.91,8.6,8.78,102678
2016-04-29,8.82,9.05,8.78,9.01,74325
2016-05-02,9.08,9.08,8.85,9.02,32383
2016-05-03,8.9,9.02,8.62,8.74,34510
