Date,Open,High,Low,Close,Volume
2016-01-04,15.62,15.83,15.34,15.43,605545
2016-01-05,15.44,15.68,15.24,15.57,1044222
2016-01-06,15.27,15.31,14.46,14.96,1701161
2016-01-07,14.66,14.81,14.5,14.64,525907
2016-01-08,14.77,14.86,14.4,14.5,625583
2016-01-11,14.48,14.64,14.28,14.61,595625
2016-01-12,14.72,14.78,14.37,14.55,543373
2016-01-13,14.56,14.58,13.78,13.83,428058
2016-01-14,12.74,13.76,12.74,13.41,1339078
2016-01-15,13.07,13.2,12.76,13.02,741616
2016-01-19,13.09,13.14,12.03,12.15,1090489
2016-01-20,12.02,12.54,11.62,12.43,805056
2016-01-21,12.46,13.0,12.37,12.91,614921
2016-01-22,13.11,13.48,12.95,13.23,887960
2016-01-25,13.15,13.31,12.66,12.75,482643
2016-01-26,12.79,13.25,12.79,13.08,344481
2016-01-27,13.02,13.1,12.78,12.79,459400
2016-01-28,12.94,13.17,12.43,12.44,781292
2016-01-29,12.39,13.04,12.39,12.81,1049359
2016-02-01,12.76,13.06,12.59,12.79,1424192
2016-02-02,12.69,12.69,12.0,12.06,845208
2016-02-03,12.16,12.49,11.8,12.47,486061
2016-02-04,12.46,13.02,12.44,13.0,749654
2016-02-05,12.95,13.05,12.67,13.0,439476
2016-02-08,12.76,12.77,12.45,12.55,632271
2016-02-09,12.4,12.6,11.31,11.83,1884768
2016-02-10,11.96,12.31,11.17,11.54,1294036
2016-02-11,11.36,11.61,10.56,10.95,1461819
2016-02-12,10.99,11.43,10.99,11.42,961147
2016-02-16,11.45,11.77,11.28,11.61,526487
2016-02-17,11.73,12.74,11.72,12.19,1180016
2016-02-18,12.21,12.67,12.2,12.52,1110626
2016-02-19,12.43,12.5,12.17,12.26,416543
2016-02-22,12.29,12.98,12.2,12.8,1295850
2016-02-23,12.76,14.09,12.42,13.75,1388928
2016-02-24,13.46,14.2,13.25,14.07,1852277
2016-02-25,14.17,14.7,14.01,14.52,1689231
2016-02-26,14.79,15.08,14.52,14.53,983046
2016-02-29,14.49,14.94,14.42,14.78,910048
2016-03-01,14.87,15.19,14.79,14.95,1808945
2016-03-02,14.97,15.05,14.8,14.88,749857
2016-03-03,14.87,15.35,14.87,15.09,1065997
2016-03-04,14.95,15.16,14.82,14.82,1124359
2016-03-07,14.69,15.36,14.66,15.15,680397
2016-03-08,15.09,15.16,14.53,14.62,444187
2016-03-09,14.72,14.87,14.35,14.72,447751
2016-03-10,14.8,14.8,14.46,14.67,383518
2016-03-11,14.89,15.22,14.76,15.13,387995
2016-03-14,15.18,15.5,15.0,15.19,301995
2016-03-15,15.12,15.65,15.0,15.43,778759
2016-03-16,15.43,15.58,15.29,15.38,377041
2016-03-17,15.41,15.44,15.12,15.2,513802
2016-03-18,15.3,15.73,15.19,15.3,774433
2016-03-21,15.36,15.81,15.36,15.78,508385
2016-03-22,15.71,15.83,15.56,15.79,511338
2016-03-23,15.76,15.8,15.02,15.17,782114
2016-03-24,15.09,15.42,14.81,15.4,277198
2016-03-28,15.51,15.85,15.34,15.72,343910
2016-03-29,15.76,16.09,15.51,16.01,820743
2016-03-30,16.19,16.25,16.0,16.19,537978
2016-03-31,16.24,16.53,16.1,16.3,850906
2016-04-01,16.1,16.16,15.7,15.83,593761
2016-04-04,15.88,15.96,15.59,15.6,367506
2016-04-05,15.46,15.48,15.17,15.33,498009
2016-04-06,15.38,15.68,15.25,15.66,284913
2016-04-07,15.56,15.91,15.56,15.7,238244
2016-04-08,15.84,15.89,15.66,15.79,245299
2016-04-11,15.92,16.04,15.77,15.9,132917
2016-04-12,15.94,16.42,15.83,16.34,498386
2016-04-13,16.37,16.44,16.15,16.34,526704
2016-04-14,16.43,16.46,15.98,16.02,396791
2016-04-15,16.01,16.18,15.84,15.94,453015
2016-04-18,15.84,16.01,15.66,15.89,477638
2016-04-19,15.99,16.22,15.76,15.92,589484
2016-04-20,15.9,16.01,15.77,15.89,345147
2016-04-21,15.83,15.86,15.51,15.55,429775
2016-04-22,15.53,15.67,15.21,15.43,433079
2016-04-25,15.41,15.74,15.32,15.39,1342508
2016-04-26,16.0,16.47,15.58,16.1,829385
2016-04-27,16.08,16.11,15.76,15.77,342761
2016-04-28,15.71,15.96,15.43,15.83,407632
2016-04-29,15.9,15.98,15.47,15.65,280724
2016-05-02,15.7,15.89,15.57,15.67,460080
2016-05-03,15.51,15.65,15.37,15.4,434980
2016-05-04,15.27,15.43,15.08,15.24,450682
2016-05-05,15.36,15.36,15.01,15.21,485945
2016-05-06,15.0,15.16,14.89,15.13,220496
2016-05-09,15.14,15.16,14.92,15.05,326205
2016-05-10,15.1,15.58,14.94,15.46,496650
2016-05-11,15.41,15.43,14.95,14.95,311059
2016-05-12,15.05,15.13,14.64,14.68,307910
2016-05-13,14.61,14.77,14.38,14.44,304745
2016-05-16,14.51,14.69,13.97,14.0,850037
2016-05-17,13.99,14.39,13.96,14.08,494104
2016-05-18,14.01,14.14,13.84,13.97,295432
2016-05-19,13.8,13.93,13.29,13.7,1326683
2016-05-20,13.73,13.87,13.48,13.53,482358
2016-05-23,13.52,13.83,13.44,13.57,504371
2016-05-24,14.09,14.62,13.5,13.89,334808
2016-05-25,13.99,14.21,13.81,14.05,499546
2016-05-26,14.06,14.06,13.64,13.79,390251
2016-05-27,13.83,14.27,13.73,14.2,465385
2016-05-31,14.31,14.38,14.18,14.26,401017
2016-06-01,14.16,14.51,14.16,14.48,345818
2016-06-02,14.44,15.06,14.43,15.06,347766
2016-06-03,15.06,15.06,14.59,14.79,413574
2016-06-06,14.8,14.92,14.65,14.84,258463
2016-06-07,14.85,15.02,14.73,14.91,486419
2016-06-08,15.0,15.23,14.84,15.16,248379
2016-06-09,15.04,15.35,15.02,15.12,379686
2016-06-10,14.97,15.08,14.84,15.0,659315
2016-06-13,14.89,15.25,14.89,15.08,627066
2016-06-14,14.98,15.08,14.55,14.67,694894
2016-06-15,14.69,15.04,14.66,14.77,386747
2016-06-16,14.68,14.97,14.25,14.89,285884
2016-06-17,14.94,15.18,14.86,14.92,645088
2016-06-20,15.15,15.3,14.96,14.97,340117
2016-06-21,14.95,15.13,14.88,14.92,270676
2016-06-22,14.92,15.16,14.92,14.94,389097
2016-06-23,15.16,15.3,15.11,15.26,329124
2016-06-24,14.67,14.79,14.48,14.55,1749291
2016-06-27,14.42,14.42,13.56,13.64,1067224
2016-06-28,13.94,14.28,13.74,14.23,620721
2016-06-29,14.48,14.97,14.46,14.86,323556
2016-06-30,14.92,14.98,14.65,14.95,423363
2016-07-01,15.03,15.28,14.93,15.14,288781
2016-07-05,14.99,15.12,14.52,14.85,418525
2016-07-06,14.69,14.74,14.31,14.45,1184468
2016-07-07,14.45,14.84,14.45,14.67,373919
2016-07-08,14.84,15.41,14.84,15.36,491993
2016-07-11,15.51,15.7,15.3,15.47,313141
2016-07-12,15.64,15.85,15.38,15.74,443502
2016-07-13,15.77,15.77,15.36,15.37,519937
2016-07-14,15.56,15.56,15.25,15.25,302771
2016-07-15,15.23,15.23,15.03,15.15,312742
2016-07-18,15.16,15.36,15.16,15.34,383195
2016-07-19,15.25,15.26,15.05,15.09,346367
2016-07-20,15.2,15.2,14.93,14.98,919770
2016-07-21,14.97,15.36,14.97,15.09,1177257
2016-07-22,15.11,15.48,15.06,15.39,359381
2016-07-25,15.4,15.52,15.32,15.33,221533
2016-07-26,15.32,15.42,15.25,15.26,192154
2016-07-27,15.26,15.26,14.89,14.9,537259
2016-07-28,14.76,14.99,14.08,14.32,1366452
2016-07-29,14.2,14.3,14.03,14.16,679875
2016-08-01,14.11,14.26,13.96,14.09,739926
2016-08-02,13.98,14.12,13.71,13.86,755794
2016-08-03,13.83,14.04,13.66,13.8,728930
2016-08-04,13.86,13.94,13.75,13.86,183453
2016-08-05,14.0,14.54,13.9,14.41,457502
2016-08-08,14.51,14.58,14.11,14.18,498566
2016-08-09,13.91,14.02,13.71,13.92,365903
2016-08-10,13.95,14.16,13.91,14.16,571647
2016-08-11,14.2,14.25,14.06,14.08,195622
2016-08-12,14.1,14.25,13.97,14.18,249687
2016-08-15,14.21,14.4,14.18,14.24,342556
2016-08-16,14.17,14.26,14.07,14.17,399228
2016-08-17,14.13,14.14,13.96,14.05,168210
2016-08-18,14.0,14.32,14.0,14.31,387348
2016-08-19,14.29,14.51,14.23,14.44,921834
2016-08-22,14.41,14.58,14.33,14.47,539508
2016-08-23,14.59,14.79,14.55,14.71,439817
2016-08-24,14.71,14.83,14.54,14.58,296446
2016-08-25,14.48,14.61,14.27,14.31,311661
2016-08-26,14.34,14.44,14.2,14.29,200757
2016-08-29,14.25,14.42,14.25,14.3,242409
2016-08-30,14.21,14.37,14.08,14.28,737987
2016-08-31,14.25,14.36,14.12,14.15,319962
2016-09-01,14.13,14.31,14.13,14.26,254185
2016-09-02,14.32,14.39,14.18,14.25,470135
2016-09-06,14.26,14.39,14.17,14.26,225988
2016-09-07,14.23,14.49,14.22,14.41,284743
2016-09-08,14.48,14.48,14.23,14.46,824626
2016-09-09,14.3,14.32,13.87,13.87,243021
2016-09-12,13.78,14.14,13.75,14.11,291394
2016-09-13,13.97,14.12,13.77,13.91,337978
2016-09-14,13.88,14.05,13.85,14.0,353984
2016-09-15,14.0,14.42,13.98,14.27,347292
2016-09-16,14.2,14.53,14.16,14.4,638510
2016-09-19,14.42,14.78,14.42,14.58,785911
2016-09-20,14.69,14.79,14.59,14.67,580859
2016-09-21,14.76,14.87,14.54,14.81,1516747
2016-09-22,14.9,15.0,14.67,14.71,406359
2016-09-23,14.7,14.97,14.6,14.73,512204
2016-09-26,14.55,14.58,14.27,14.37,397356
2016-09-27,14.39,14.44,14.09,14.19,576257
2016-09-28,14.28,14.48,14.12,14.47,536336
2016-09-29,14.4,14.91,14.4,14.53,456612
2016-09-30,14.24,14.37,14.06,14.2,4965741
2016-10-03,14.15,14.57,14.03,14.16,1448596
2016-10-04,14.21,14.31,14.03,14.08,1529878
2016-10-05,14.09,14.16,13.85,14.06,1733449
2016-10-06,14.03,14.05,13.84,13.84,914131
2016-10-07,13.85,14.0,13.65,13.81,865147
2016-10-10,13.83,13.95,13.83,13.85,651940
2016-10-11,13.78,13.88,13.31,13.37,764159
2016-10-12,13.41,13.49,13.23,13.29,735781
2016-10-13,13.08,13.48,13.0,13.36,910049
2016-10-14,13.48,13.7,13.39,13.42,1132243
2016-10-17,13.35,13.52,13.29,13.47,786033
2016-10-18,13.68,13.75,13.56,13.7,492828
2016-10-19,13.77,13.77,13.63,13.65,488615
2016-10-20,13.59,13.65,13.33,13.38,600514
2016-10-21,13.34,13.46,13.26,13.38,698025
2016-10-24,13.51,13.67,13.26,13.26,1200167
2016-10-25,14.24,14.24,13.42,13.87,1340628
2016-10-26,13.72,13.72,13.3,13.64,792376
2016-10-27,13.63,13.74,13.46,13.54,507255
2016-10-28,13.72,14.07,13.59,13.92,1084044
2016-10-31,13.92,14.38,13.92,14.3,738271
2016-11-01,14.26,14.38,13.81,13.97,366785
2016-11-02,13.98,14.12,13.89,13.98,417379
2016-11-03,14.05,14.16,13.77,13.79,1456959
2016-11-04,13.66,14.12,13.6,14.07,671475
2016-11-07,14.3,14.34,14.11,14.12,401193
2016-11-08,14.26,14.38,14.06,14.2,692475
2016-11-09,14.06,14.78,13.86,14.74,863467
2016-11-10,14.78,15.15,14.73,15.09,796544
2016-11-11,14.97,15.13,14.77,14.8,644982
2016-11-14,14.8,15.33,14.76,15.26,851113
2016-11-15,14.75,15.16,14.75,15.1,3875703
2016-11-16,15.07,15.25,15.0,15.16,770961
2016-11-17,15.22,15.35,15.05,15.18,1408846
2016-11-18,15.24,15.45,15.18,15.38,753632
2016-11-21,15.4,15.54,15.25,15.34,730776
2016-11-22,15.4,15.62,15.29,15.41,871641
2016-11-23,15.35,15.74,15.27,15.67,931779
2016-11-25,15.68,15.92,15.67,15.68,889510
2016-11-28,15.76,15.79,15.48,15.51,858257
2016-11-29,15.55,15.7,15.47,15.6,773072
2016-11-30,15.7,15.71,15.48,15.56,701284
2016-12-01,15.6,16.1,15.57,16.08,1327941
2016-12-02,16.03,16.05,15.72,15.94,886786
2016-12-05,16.4,16.47,16.05,16.25,1574656
2016-12-06,16.37,16.5,16.22,16.5,2137554
2016-12-07,16.51,16.87,16.51,16.84,1238524
2016-12-08,16.66,17.08,16.64,16.84,777196
2016-12-09,16.9,16.96,16.75,16.93,748622
2016-12-12,17.03,17.03,16.57,16.82,490261
2016-12-13,16.33,16.49,16.28,16.39,3021073
2016-12-14,16.42,16.47,16.07,16.14,1079146
2016-12-15,16.79,16.95,16.28,16.4,1790908
2016-12-16,16.5,16.6,16.33,16.5,1979121
2016-12-19,16.47,16.73,16.39,16.58,1904741
2016-12-20,16.55,16.74,16.37,16.43,1484878
2016-12-21,16.36,16.6,16.27,16.34,2028708
2016-12-22,16.37,16.54,16.14,16.2,1473892
2016-12-23,16.18,16.4,16.0,16.27,1345438
2016-12-27,16.33,16.39,16.15,16.18,698870
2016-12-28,16.22,16.27,15.97,16.02,847730
2016-12-29,16.1,16.28,16.01,16.15,861553
2016-12-30,16.17,16.26,16.01,16.15,437795
2017-01-03,16.22,16.37,15.84,15.9,1359157
2017-01-04,16.01,16.14,15.9,15.98,1797300
2017-01-05,16.27,16.46,15.9,15.95,1536425
2017-01-06,16.06,16.17,15.88,15.94,2157664
2017-01-09,15.95,16.1,15.77,15.77,2195368
2017-01-10,15.8,15.86,15.66,15.83,2051675
2017-01-11,15.84,15.85,15.7,15.77,1159208
2017-01-12,15.71,15.86,15.48,15.6,1510299
2017-01-13,15.65,15.76,15.58,15.62,1128038
2017-01-17,15.52,15.73,15.46,15.5,1023586
2017-01-18,15.61,15.86,15.43,15.75,1626179
2017-01-19,15.89,16.09,15.82,16.01,1834389
2017-01-20,16.04,16.2,15.97,16.02,1002239
2017-01-23,16.02,16.04,15.95,16.0,957801
2017-01-24,16.08,16.3,16.06,16.16,1031271
2017-01-25,16.72,16.72,16.22,16.3,2502330
2017-01-26,16.35,16.74,16.26,16.53,1740643
2017-01-27,16.6,16.66,16.47,16.58,1550531
2017-01-30,16.5,16.6,16.12,16.15,1180754
2017-01-31,16.14,16.27,15.96,16.21,2039306
2017-02-01,16.24,16.75,16.24,16.69,1942540
2017-02-02,16.71,16.93,16.58,16.85,1781361
2017-02-03,17.02,17.18,16.95,17.16,3407253
2017-02-06,17.16,17.33,17.11,17.26,1123024
2017-02-07,17.3,17.41,17.22,17.26,1882771
2017-02-08,17.21,17.32,17.19,17.3,1247013
2017-02-09,17.37,17.4,17.22,17.26,882880
2017-02-10,17.3,17.47,17.25,17.32,645314
2017-02-13,17.42,17.5,17.3,17.5,498785
2017-02-14,17.51,17.52,17.31,17.37,516614
2017-02-15,17.38,17.84,17.2,17.79,1285188
2017-02-16,17.87,17.87,17.58,17.61,711685
2017-02-17,17.58,17.59,17.32,17.43,500969
2017-02-21,17.48,17.67,17.31,17.45,853362
2017-02-22,17.4,17.5,17.24,17.41,608595
2017-02-23,17.49,17.52,17.13,17.37,1669428
2017-02-24,17.3,17.44,17.21,17.32,1027061
2017-02-27,17.26,17.36,17.2,17.3,1295810
2017-02-28,17.47,17.83,16.97,17.3,2711613
2017-03-01,17.39,17.56,17.28,17.28,1699426
2017-03-02,17.2,17.24,16.98,17.14,1229264
2017-03-03,17.15,17.36,17.05,17.35,2485462
2017-03-06,17.24,17.43,17.14,17.27,844959
2017-03-07,16.82,17.0,16.77,16.91,9403722
2017-03-08,16.86,16.91,16.52,16.67,1969721
2017-03-09,16.74,16.76,16.38,16.41,1568832
2017-03-10,16.28,16.7,16.22,16.66,2093234
2017-03-13,16.66,16.87,16.57,16.64,1084724
