Date,Open,High,Low,Close,Volume
2016-01-04,17.75,17.85,17.44,17.56,50413
2016-01-05,17.67,17.67,17.4,17.42,90210
2016-01-06,17.34,17.34,16.85,16.93,77012
2016-01-07,16.5,16.64,15.86,16.12,160463
2016-01-08,16.12,16.36,16.01,16.1,115345
2016-01-11,16.14,16.14,15.49,15.58,100374
2016-01-12,15.71,15.87,15.24,15.73,79397
2016-01-13,15.69,16.23,15.53,15.67,77676
2016-01-14,15.55,15.7,15.01,15.58,126371
2016-01-15,15.08,15.4,14.88,15.29,111724
2016-01-19,15.44,15.56,14.79,15.14,74761
2016-01-20,14.71,14.97,13.69,14.77,152724
2016-01-21,14.7,15.09,14.59,14.7,98937
2016-01-22,14.84,15.4,14.84,15.34,94543
2016-01-25,15.35,15.38,15.01,15.02,74494
2016-01-26,14.98,15.36,14.95,15.33,54770
2016-01-27,15.28,15.38,15.03,15.04,75942
2016-01-28,15.18,15.6,15.17,15.6,51398
2016-01-29,15.55,16.52,15.55,16.46,152621
2016-02-01,16.42,16.6,16.1,16.55,93710
2016-02-02,16.47,16.47,16.13,16.31,69394
2016-02-03,16.41,16.42,16.02,16.18,75384
2016-02-04,16.21,16.44,16.1,16.35,59998
2016-02-05,16.35,16.38,16.12,16.31,67967
2016-02-08,15.96,15.96,15.41,15.68,99859
2016-02-09,15.49,15.88,15.4,15.75,60806
2016-02-10,15.85,16.07,15.71,15.72,43283
2016-02-11,15.14,15.29,15.0,15.23,54186
2016-02-12,15.33,15.96,15.27,15.82,43846
2016-02-16,16.02,16.04,15.62,15.7,70142
2016-02-17,15.8,16.18,15.8,16.03,40419
2016-02-18,16.09,16.45,16.0,16.21,40947
2016-02-19,16.2,16.41,16.0,16.32,28364
2016-02-22,16.61,16.94,16.5,16.9,54358
2016-02-23,16.74,17.12,16.7,17.07,136230
2016-02-24,16.99,17.2,16.71,17.12,95909
2016-02-25,17.21,17.28,17.1,17.21,68252
2016-02-26,17.34,17.42,17.06,17.08,63701
2016-02-29,17.11,17.33,16.86,16.86,62543
2016-03-01,16.91,17.46,16.77,17.21,65397
2016-03-02,17.17,17.32,17.07,17.24,43283
2016-03-03,17.21,17.27,17.06,17.06,46342
2016-03-04,17.17,17.43,16.96,17.24,50243
2016-03-07,17.17,17.47,17.12,17.28,34174
2016-03-08,17.16,17.47,17.12,17.38,36131
2016-03-09,17.37,17.5,17.19,17.42,55138
2016-03-10,17.51,17.62,17.31,17.33,25447
2016-03-11,17.53,17.68,17.46,17.66,20451
2016-03-14,17.63,17.74,17.52,17.74,14051
2016-03-15,17.57,17.57,17.33,17.49,30743
2016-03-16,17.5,17.78,17.42,17.78,41141
2016-03-17,17.66,17.75,17.5,17.52,47167
2016-03-18,17.44,17.63,17.37,17.37,72886
2016-03-21,17.42,17.62,17.4,17.43,47467
2016-03-22,17.4,17.64,17.27,17.62,57473
2016-03-23,17.68,17.68,17.41,17.46,26461
2016-03-24,17.44,17.44,17.04,17.09,51320
2016-03-28,17.16,17.2,17.0,17.02,33722
2016-03-29,17.0,17.45,17.0,17.36,47967
2016-03-30,17.49,17.9,17.43,17.87,53985
2016-03-31,17.86,18.0,17.62,18.0,48976
2016-04-01,17.9,18.05,17.67,18.0,23701
2016-04-04,17.99,18.0,17.65,17.81,29657
2016-04-05,17.92,18.08,17.63,17.66,48722
2016-04-06,17.84,17.98,17.48,17.75,58701
2016-04-07,17.72,17.79,17.28,17.54,46822
2016-04-08,17.68,17.92,17.42,17.56,26058
2016-04-11,17.7,17.85,17.42,17.5,24218
2016-04-12,17.53,17.77,17.35,17.66,39996
2016-04-13,17.78,17.93,17.58,17.58,61351
2016-04-14,17.6,17.88,17.58,17.73,29400
2016-04-15,17.63,17.71,17.5,17.54,16053
2016-04-18,17.48,17.84,17.4,17.71,33549
2016-04-19,17.66,17.7,17.43,17.5,42586
2016-04-20,17.37,17.56,17.24,17.46,74343
2016-04-21,17.38,17.56,17.16,17.28,82459
2016-04-22,17.27,17.42,17.12,17.15,43585
2016-04-25,17.09,17.22,17.02,17.05,42105
2016-04-26,17.11,17.24,17.07,17.16,27366
2016-04-27,17.04,17.34,17.04,17.2,64064
2016-04-28,17.11,17.28,17.11,17.17,46608
2016-04-29,17.16,17.18,16.82,17.01,44758
2016-05-02,16.95,17.05,16.55,16.57,84502
2016-05-03,16.55,16.74,16.38,16.41,118294
2016-05-04,16.41,16.53,16.02,16.28,85020
2016-05-05,16.25,16.57,16.22,16.47,101110
2016-05-06,16.45,16.77,16.38,16.48,46641
2016-05-09,16.59,16.7,16.45,16.62,55302
2016-05-10,16.69,16.88,16.51,16.62,77170
2016-05-11,16.62,16.71,16.47,16.6,46699
2016-05-12,16.49,16.49,15.95,16.03,69450
2016-05-13,16.03,16.23,15.89,15.97,102651
2016-05-16,15.95,16.08,15.94,16.07,73008
2016-05-17,16.05,16.1,15.65,15.66,93453
2016-05-18,15.65,15.9,15.55,15.59,64105
2016-05-19,15.58,15.87,15.32,15.49,118242
2016-05-20,15.61,15.81,15.57,15.64,61738
2016-05-23,15.72,15.91,15.64,15.76,120274
2016-05-24,15.86,16.3,15.81,16.19,137218
2016-05-25,16.48,16.7,16.37,16.43,97558
2016-05-26,16.42,16.59,16.39,16.49,55024
2016-05-27,16.48,16.75,16.38,16.7,59493
2016-05-31,16.74,16.9,16.71,16.88,47404
2016-06-01,16.87,17.12,16.74,17.09,93875
2016-06-02,17.0,17.15,16.96,17.14,53951
2016-06-03,17.12,17.12,16.68,16.97,88700
2016-06-06,16.87,17.06,16.76,16.83,136375
2016-06-07,16.82,16.95,16.72,16.78,95059
2016-06-08,16.8,16.91,16.68,16.76,107757
2016-06-09,16.78,16.97,16.7,16.86,88598
2016-06-10,16.86,17.16,16.69,16.8,87666
2016-06-13,16.83,16.92,16.69,16.72,42046
2016-06-14,16.71,16.72,16.47,16.53,64412
2016-06-15,16.64,16.69,16.32,16.43,96004
2016-06-16,16.34,16.42,16.15,16.4,52409
2016-06-17,16.4,16.48,16.09,16.37,44221
2016-06-20,16.44,16.62,16.39,16.39,70781
2016-06-21,16.49,16.58,16.42,16.58,38477
2016-06-22,16.61,16.64,16.5,16.58,41172
2016-06-23,16.68,16.68,16.52,16.59,86078
2016-06-24,16.05,16.37,16.02,16.19,115046
2016-06-27,15.94,16.27,15.77,15.98,96512
2016-06-28,16.02,16.33,15.83,16.16,104508
2016-06-29,16.25,16.55,16.11,16.5,49185
2016-06-30,16.52,16.66,16.42,16.58,53855
2016-07-01,16.59,16.68,16.51,16.62,75298
2016-07-05,16.52,16.52,15.84,16.03,92043
2016-07-06,16.01,16.35,15.92,16.3,32817
2016-07-07,16.31,16.65,16.06,16.41,77702
2016-07-08,16.63,16.63,16.37,16.39,74003
2016-07-11,16.53,16.71,16.49,16.58,70718
2016-07-12,16.69,16.85,16.6,16.84,66953
2016-07-13,16.81,16.86,16.61,16.63,40781
2016-07-14,16.77,16.86,16.58,16.64,72972
2016-07-15,16.62,16.76,16.53,16.62,41956
2016-07-18,16.75,16.89,16.72,16.84,34897
2016-07-19,16.74,16.97,16.74,16.95,48209
2016-07-20,16.99,17.31,16.95,17.31,73426
2016-07-21,17.29,17.35,17.23,17.28,55376
2016-07-22,17.3,17.5,17.25,17.48,70457
2016-07-25,17.45,17.8,17.43,17.8,123201
2016-07-26,17.84,17.95,17.71,17.76,98768
2016-07-27,17.84,17.95,17.83,17.95,44391
2016-07-28,17.94,18.08,17.92,18.02,55334
2016-07-29,18.02,18.1,17.92,18.05,41519
2016-08-01,18.0,18.1,17.76,17.83,52399
2016-08-02,17.73,17.8,17.4,17.52,57028
2016-08-03,17.51,17.72,17.29,17.56,56761
2016-08-04,17.55,17.7,17.43,17.63,38822
