Date,Open,High,Low,Close,Volume
2016-01-04,14.19,14.19,13.97,14.13,31899
2016-01-05,14.16,14.27,14.02,14.11,11973
2016-01-06,13.88,14.1,13.82,13.85,29519
2016-01-07,13.64,13.81,13.5,13.5,21705
2016-01-08,13.55,13.74,13.49,13.51,11167
2016-01-11,13.5,13.57,13.1,13.2,60411
2016-01-12,13.34,13.5,13.02,13.22,53148
2016-01-13,13.24,13.26,12.7,12.75,65842
2016-01-14,12.75,13.0,12.46,12.94,43160
2016-01-15,12.66,12.66,12.15,12.43,41959
2016-01-19,12.4,12.47,11.9,12.05,30370
2016-01-20,12.05,12.06,11.43,11.77,62025
2016-01-21,11.93,12.16,11.76,12.11,12196
2016-01-22,12.3,12.86,12.3,12.82,18428
2016-01-25,12.67,12.85,12.33,12.33,31765
2016-01-26,12.36,12.76,12.36,12.67,15016
2016-01-27,12.56,12.84,12.33,12.53,17172
2016-01-28,12.77,13.12,12.71,12.82,24041
2016-01-29,12.83,13.06,12.83,13.01,15184
2016-02-01,12.89,12.95,12.73,12.94,16280
2016-02-02,12.7,12.74,12.51,12.64,19679
2016-02-03,12.8,12.91,12.33,12.76,17482
2016-02-04,12.94,13.18,12.78,12.94,36734
2016-02-05,12.88,12.95,12.69,12.86,18015
2016-02-08,12.58,12.58,12.11,12.4,25426
2016-02-09,12.1,12.17,11.79,11.92,28643
2016-02-10,11.55,11.87,11.46,11.56,13108
2016-02-11,11.38,11.49,11.11,11.24,18644
2016-02-12,11.26,11.52,11.18,11.45,26266
2016-02-16,11.52,11.79,11.52,11.76,17487
2016-02-17,11.81,12.35,11.81,12.28,44386
2016-02-18,12.68,12.68,12.1,12.21,40097
2016-02-19,12.01,12.08,11.74,11.87,10868
2016-02-22,12.0,12.22,12.0,12.08,21046
2016-02-23,12.1,12.1,11.79,11.8,15012
2016-02-24,11.7,12.01,11.56,11.95,25838
2016-02-25,11.9,12.01,11.84,12.01,12180
2016-02-26,12.12,12.38,12.12,12.24,12856
2016-02-29,12.28,12.55,12.28,12.42,10046
2016-03-01,12.36,12.71,12.36,12.7,9963
2016-03-02,12.57,12.88,12.45,12.79,17753
2016-03-03,12.67,13.17,12.67,13.17,18632
2016-03-04,13.13,13.57,13.04,13.26,38514
2016-03-07,13.11,13.5,13.11,13.45,22908
2016-03-08,13.35,13.43,13.12,13.32,24589
2016-03-09,13.57,13.62,13.4,13.51,21691
2016-03-10,13.43,13.61,13.31,13.31,7280
2016-03-11,13.32,13.63,13.32,13.59,32481
2016-03-14,13.51,13.56,13.38,13.48,17493
2016-03-15,13.35,13.42,13.19,13.31,27433
2016-03-16,13.35,13.71,13.31,13.69,21455
2016-03-17,13.73,14.1,13.73,14.06,17287
2016-03-18,13.9,14.09,13.9,13.97,14183
2016-03-21,14.01,14.02,13.91,14.0,8664
2016-03-22,13.79,14.19,13.79,14.05,15658
2016-03-23,14.04,14.09,13.81,13.81,20775
2016-03-24,13.73,14.01,13.58,14.01,16619
2016-03-28,13.98,13.98,13.7,13.92,15086
2016-03-29,13.79,14.06,13.78,13.97,9152
2016-03-30,13.93,14.3,13.93,14.06,15531
2016-03-31,13.93,14.06,13.91,14.01,9087
2016-04-01,13.83,13.96,13.8,13.88,10020
2016-04-04,13.86,14.0,13.83,13.88,6898
2016-04-05,13.8,13.94,13.76,13.76,10316
2016-04-06,13.83,13.83,13.75,13.78,8216
2016-04-07,13.83,13.83,13.63,13.64,13348
2016-04-08,13.81,14.02,13.81,13.93,7555
2016-04-11,14.0,14.14,13.91,13.91,6683
2016-04-12,13.89,14.28,13.89,14.2,20724
2016-04-13,14.15,14.41,14.15,14.37,41471
2016-04-14,14.38,14.44,14.37,14.41,10923
2016-04-15,14.26,14.45,14.26,14.36,16446
2016-04-18,14.27,14.75,14.11,14.7,23528
2016-04-19,14.66,15.0,14.66,14.72,38661
2016-04-20,14.8,15.72,14.8,15.29,53347
2016-04-21,15.27,15.61,15.17,15.17,28044
2016-04-22,15.17,15.5,15.17,15.34,11801
2016-04-25,15.17,15.26,15.02,15.1,43976
2016-04-26,15.01,15.33,15.01,15.13,101493
2016-04-27,15.21,15.76,14.93,15.61,18936
2016-04-28,15.36,15.7,15.2,15.31,21780
2016-04-29,15.22,15.58,15.22,15.36,12995
2016-05-02,15.3,15.47,15.04,15.33,31353
2016-05-03,15.05,15.1,14.87,15.08,34166
2016-05-04,14.95,15.03,14.87,14.94,32932
2016-05-05,15.02,15.19,14.96,15.04,44067
2016-05-06,14.89,15.07,14.89,14.98,27045
2016-05-09,14.95,14.95,14.49,14.75,35164
2016-05-10,14.76,14.86,14.69,14.81,26340
2016-05-11,14.71,14.98,14.67,14.88,22591
2016-05-12,15.0,15.12,14.86,14.91,28761
2016-05-13,14.82,14.86,14.69,14.75,37104
2016-05-16,14.85,15.27,14.85,15.06,45961
2016-05-17,15.07,15.16,15.04,15.16,20499
2016-05-18,15.15,15.2,14.92,15.02,8517
2016-05-19,14.89,15.23,14.74,14.99,13926
2016-05-20,15.2,15.28,14.98,15.28,15693
2016-05-23,14.96,15.48,14.96,15.06,22499
2016-05-24,15.1,15.23,14.88,15.12,33415
2016-05-25,15.27,15.51,15.09,15.15,25193
2016-05-26,15.15,15.4,15.15,15.32,66795
2016-05-27,15.25,15.47,15.23,15.27,23605
2016-05-31,15.37,15.46,15.3,15.32,31874
2016-06-01,15.19,15.41,15.19,15.28,21446
