Date,Open,High,Low,Close,Volume
2016-10-06,21.0,22.57,20.55,21.95,3629177
2016-10-07,22.01,22.49,21.81,21.95,143654
2016-10-10,22.01,22.52,21.96,22.4,79048
2016-10-11,22.75,23.64,22.52,23.1,215205
2016-10-12,23.1,24.6,23.07,23.98,150959
2016-10-13,23.63,24.43,22.06,22.27,230613
2016-10-14,22.7,22.8,21.76,22.48,75568
2016-10-17,22.7,22.74,22.45,22.63,29949
2016-10-18,22.63,23.28,22.53,23.01,52058
2016-10-19,22.9,23.46,22.8,23.2,207440
2016-10-20,23.13,23.56,23.13,23.43,90960
2016-10-21,23.45,24.2,23.44,24.05,196841
2016-10-24,24.2,24.51,23.62,23.8,113157
2016-10-25,23.8,23.8,21.68,21.97,121281
2016-10-26,22.14,23.56,21.82,22.43,229208
2016-10-27,22.32,23.08,22.22,22.52,220492
2016-10-28,22.35,23.02,21.85,22.0,119197
2016-10-31,22.0,22.68,21.14,21.23,240407
2016-11-01,21.12,22.08,21.12,21.6,149896
2016-11-02,21.68,21.8,21.29,21.55,23530
2016-11-03,21.4,21.58,21.19,21.35,42498
2016-11-04,21.05,21.49,20.94,20.94,101917
2016-11-07,21.0,21.0,19.83,20.13,185326
2016-11-08,20.2,20.52,20.19,20.19,157117
2016-11-09,19.79,20.41,19.79,20.15,105538
2016-11-10,20.2,20.45,19.77,19.91,251082
2016-11-11,19.69,20.5,19.62,20.16,63314
2016-11-14,20.32,20.32,19.37,19.6,92561
2016-11-15,19.7,20.11,19.65,19.97,124168
2016-11-16,20.03,20.83,20.0,20.79,656272
2016-11-17,20.45,21.75,20.31,21.23,140317
2016-11-18,21.05,22.22,20.58,21.75,247931
2016-11-21,21.67,22.64,21.5,22.53,90149
2016-11-22,22.34,23.36,22.08,23.16,146524
2016-11-23,22.99,23.22,22.07,23.1,78602
2016-11-25,23.02,23.1,22.73,23.0,14648
2016-11-28,23.0,23.0,22.5,22.86,47302
2016-11-29,22.92,23.21,22.67,23.0,106061
2016-11-30,22.91,23.38,22.6,23.25,135736
2016-12-01,23.14,24.0,23.04,23.83,237172
2016-12-02,23.95,23.99,23.5,23.63,63790
2016-12-05,23.65,23.88,23.04,23.61,84250
2016-12-06,23.69,24.0,23.44,23.48,104741
2016-12-07,23.39,23.65,23.25,23.25,24766
2016-12-08,23.36,23.98,23.12,23.79,30693
2016-12-09,23.69,24.38,23.68,23.91,74008
2016-12-12,23.85,24.35,23.85,24.05,55787
2016-12-13,24.08,24.22,23.44,23.8,51091
2016-12-14,23.83,23.84,22.27,22.78,60000
2016-12-15,22.78,24.2,22.78,24.2,195332
2016-12-16,23.95,26.33,23.95,25.03,871295
2016-12-19,25.15,26.11,24.47,25.87,139123
2016-12-20,25.73,26.05,24.89,25.07,86291
2016-12-21,25.21,26.18,23.84,25.81,128066
2016-12-22,25.6,25.75,24.39,25.57,108606
2016-12-23,25.44,25.72,24.97,25.7,25068
2016-12-27,25.52,25.7,25.28,25.5,72633
2016-12-28,25.31,25.69,24.88,24.88,50881
2016-12-29,24.95,25.37,24.01,24.29,42496
2016-12-30,24.4,24.8,24.29,24.53,14495
2017-01-03,24.15,24.15,21.32,22.06,345332
2017-01-04,21.91,22.21,21.5,21.85,186485
2017-01-05,21.97,22.03,20.21,20.85,264203
2017-01-06,20.82,20.96,20.07,20.21,224529
2017-01-09,20.2,20.47,19.82,20.32,144078
2017-01-10,20.2,20.24,19.43,19.62,212720
2017-01-11,19.6,19.7,19.33,19.55,219368
2017-01-12,19.55,19.64,19.08,19.14,127753
2017-01-13,19.15,19.42,19.12,19.17,47985
2017-01-17,19.18,19.91,19.15,19.77,151905
2017-01-18,19.82,20.48,19.44,20.07,88244
2017-01-19,19.99,20.32,19.95,20.02,99146
2017-01-20,20.02,20.32,20.02,20.1,34315
2017-01-23,20.39,20.48,19.98,20.04,60098
2017-01-24,20.01,20.34,19.98,20.06,68973
2017-01-25,20.08,20.31,19.46,19.7,114755
2017-01-26,19.79,19.79,18.84,19.17,78032
2017-01-27,19.2,19.75,18.87,19.45,179972
2017-01-30,19.49,19.49,18.88,19.2,47855
2017-01-31,19.12,19.46,18.86,19.28,42593
2017-02-01,19.44,19.61,19.3,19.4,72658
2017-02-02,19.4,20.0,19.3,19.89,45777
2017-02-03,19.98,20.33,19.58,20.28,43977
2017-02-06,20.3,20.3,19.42,19.5,45505
2017-02-07,19.47,19.59,18.89,18.96,86163
2017-02-08,18.95,20.67,18.62,18.67,81144
2017-02-09,18.65,18.94,18.42,18.81,83649
2017-02-10,18.91,19.12,18.35,18.44,19809
2017-02-13,18.68,18.75,17.75,17.78,85257
2017-02-14,17.75,18.21,16.2,16.8,183065
2017-02-15,16.3,17.72,16.0,17.38,368699
2017-02-16,17.44,17.44,17.06,17.3,174769
2017-02-17,17.35,17.35,16.76,17.06,199737
2017-02-21,17.04,17.39,16.71,17.32,61948
2017-02-22,17.23,18.18,17.2,18.01,111580
2017-02-23,19.23,20.21,16.7,17.05,420504
2017-02-24,17.03,17.27,16.66,17.0,91911
2017-02-27,16.98,17.18,16.58,17.14,104324
2017-02-28,17.08,17.08,16.28,16.5,79431
2017-03-01,16.57,16.81,16.36,16.52,81291
2017-03-02,16.4,16.78,16.3,16.44,69885
2017-03-03,16.51,16.6,16.26,16.49,41463
2017-03-06,16.44,16.44,15.08,15.28,110135
2017-03-07,15.32,15.36,14.33,14.44,238369
2017-03-08,14.7,15.29,14.3,14.53,541370
2017-03-09,14.56,14.96,14.53,14.92,116997
2017-03-10,14.9,15.8,14.64,15.52,109303
2017-03-13,15.53,16.39,15.4,16.17,140763
2017-03-14,16.11,16.81,15.88,16.49,353202
2017-03-15,16.58,17.38,16.05,17.25,164317
2017-03-16,17.27,17.49,16.85,17.16,360947
2017-03-17,17.06,18.52,17.06,18.02,268867
2017-03-20,18.0,18.15,17.19,17.3,226161
2017-03-21,17.34,17.48,16.68,17.0,204539
