Date,Open,High,Low,Close,Volume
2016-01-04,,,,1.78,0
2016-01-05,1.93,1.93,1.74,1.75,2279
2016-01-06,1.71,1.78,1.66,1.68,23732
2016-01-07,1.67,1.67,1.62,1.63,1962
2016-01-08,1.62,1.62,1.61,1.62,3325
2016-01-11,1.61,1.62,1.6,1.6,9214
2016-01-12,1.59,1.59,1.55,1.58,8528
2016-01-13,1.53,1.57,1.53,1.57,1010
2016-01-14,1.53,1.57,1.46,1.47,21461
2016-01-15,1.42,1.42,1.4,1.41,907
2016-01-19,1.36,1.4,1.35,1.35,20238
2016-01-20,1.29,1.29,1.26,1.29,17954
2016-01-21,1.33,1.33,1.21,1.21,387
2016-01-22,1.27,1.27,1.21,1.25,2523
2016-01-25,1.18,1.31,1.12,1.21,18199
2016-01-26,,,,1.21,0
2016-01-27,1.14,1.17,1.14,1.17,791
2016-01-28,,,,1.17,0
2016-01-29,1.16,1.19,1.16,1.17,16782
2016-02-01,,,,1.17,0
2016-02-02,,,,1.17,0
2016-02-03,1.17,1.17,1.17,1.17,200
2016-02-04,1.17,1.18,1.13,1.18,11166
2016-02-05,1.13,1.16,1.13,1.16,660
2016-02-08,,,,1.16,0
2016-02-09,,,,1.16,0
2016-02-10,1.15,1.15,1.11,1.15,3489
2016-02-11,,,,1.15,0
2016-02-12,,,,1.15,0
2016-02-16,1.1,1.18,1.09,1.18,14551
2016-02-17,1.17,1.17,1.17,1.17,198
2016-02-18,,,,1.17,0
2016-02-19,1.14,1.14,1.14,1.14,171
2016-02-22,1.08,1.08,1.03,1.03,282
2016-02-23,1.07,1.07,1.06,1.07,2431
2016-02-24,1.1,1.1,1.1,1.1,996
2016-02-25,1.07,1.12,1.07,1.11,6850
2016-02-26,1.09,1.09,1.05,1.05,10222
2016-02-29,,,,1.05,0
2016-03-01,1.1,1.1,1.08,1.08,2337
2016-03-02,,,,1.08,0
2016-03-03,1.1,1.28,1.1,1.2,18709
2016-03-04,1.2,1.2,1.12,1.12,2005
2016-03-07,1.13,1.15,1.13,1.15,304
2016-03-08,1.2,1.27,1.17,1.25,13379
2016-03-09,,,,1.25,0
2016-03-10,1.28,1.28,1.23,1.23,219
2016-03-11,1.28,1.28,1.2,1.22,6285
2016-03-14,1.23,1.25,1.23,1.25,259
2016-03-15,1.26,1.26,1.26,1.26,100
2016-03-16,1.24,1.28,1.23,1.28,3175
2016-03-17,1.23,1.25,1.23,1.24,808
2016-03-18,,,,1.24,0
2016-03-21,,,,1.24,0
2016-03-22,1.28,1.28,1.24,1.24,200
2016-03-23,1.24,1.24,1.2,1.2,2953
2016-03-24,1.2,1.2,1.2,1.2,137
2016-03-28,1.2,1.2,1.2,1.2,190
2016-03-29,,,,1.2,0
2016-03-30,1.2,1.25,1.2,1.25,331
2016-03-31,1.29,1.29,1.29,1.29,1354
2016-04-01,,,,1.29,0
2016-04-04,1.4,1.4,1.28,1.31,3681
2016-04-05,1.25,1.25,1.25,1.25,100
2016-04-06,1.2,1.2,1.2,1.2,115
2016-04-07,,,,1.2,0
2016-04-08,,,,1.2,0
2016-04-11,1.2,1.21,1.2,1.2,1216
2016-04-12,1.2,1.22,1.2,1.22,900
2016-04-13,1.23,1.23,1.22,1.22,6108
2016-04-14,,,,1.22,0
2016-04-15,1.27,1.39,1.25,1.32,11092
2016-04-18,,,,1.32,0
2016-04-19,,,,1.32,0
2016-04-20,1.24,1.24,1.2,1.24,4980
2016-04-21,1.24,1.24,1.24,1.24,504
2016-04-22,1.23,1.23,1.21,1.23,1808
2016-04-25,1.23,1.27,1.23,1.27,3713
2016-04-26,1.28,1.28,1.28,1.28,1924
2016-04-27,1.23,1.23,1.23,1.23,201
2016-04-28,1.23,1.25,1.23,1.23,5100
2016-04-29,,,,1.23,0
2016-05-02,1.2,1.25,1.2,1.25,7001
2016-05-03,1.23,1.23,1.2,1.2,818
2016-05-04,1.15,1.15,1.15,1.15,3100
2016-05-05,1.17,1.17,1.13,1.13,21868
2016-05-06,1.2,1.2,1.13,1.14,16202
2016-05-09,1.13,1.14,1.11,1.13,19375
2016-05-10,1.08,1.1,1.01,1.08,40808
2016-05-11,1.06,1.06,1.06,1.06,714
2016-05-12,1.05,1.06,1.01,1.06,21993
2016-05-13,1.01,1.05,1.01,1.05,5700
2016-05-16,,,,1.05,0
2016-05-17,,,,1.05,0
2016-05-18,,,,1.05,0
2016-05-19,1.04,1.07,1.04,1.07,4801
2016-05-20,1.06,1.17,1.06,1.11,25303
2016-05-23,1.1,1.13,1.09,1.1,76857
2016-05-24,1.15,1.15,1.08,1.09,16529
2016-05-25,1.09,1.12,1.07,1.1,24300
2016-05-26,1.13,1.13,1.02,1.07,16082
2016-05-27,1.08,1.08,1.07,1.08,1881
2016-05-31,,,,1.08,0
2016-06-01,1.07,1.08,1.07,1.08,3006
2016-06-02,1.14,1.14,1.07,1.07,2369
2016-06-03,1.06,1.06,1.05,1.05,11480
2016-06-06,1.12,1.13,1.07,1.07,17856
2016-06-07,1.1,1.1,1.03,1.06,32511
2016-06-08,1.06,1.09,1.06,1.07,1217
2016-06-09,1.1,1.1,1.1,1.1,130
2016-06-10,,,,1.1,0
2016-06-13,1.05,1.09,1.05,1.09,5136
2016-06-14,,,,1.09,0
2016-06-15,1.06,1.06,1.06,1.06,1208
2016-06-17,1.05,1.24,1.05,1.23,6595
2016-06-20,1.2,1.21,1.2,1.21,872
2016-06-21,1.24,1.24,1.14,1.15,52817
2016-06-22,,,,1.15,0
2016-06-23,1.15,1.15,1.0,1.0,9043
2016-06-24,1.06,1.08,1.05,1.05,23819
2016-06-27,1.05,1.05,0.93,1.05,39708
2016-06-28,,,,1.05,0
2016-06-29,1.08,1.08,1.08,1.08,569
2016-06-30,,,,1.08,0
2016-07-01,,,,1.08,0
2016-07-05,1.02,1.03,0.81,1.01,6944
2016-07-06,1.05,1.05,1.0,1.02,4711
2016-07-07,,,,1.02,0
2016-07-08,,,,1.02,0
2016-07-11,0.92,1.06,0.92,1.02,4371
2016-07-12,,,,1.02,0
2016-07-14,1.0,1.05,1.0,1.02,1724
2016-07-15,1.06,1.06,1.06,1.06,253
2016-07-18,1.08,3.65,1.08,2.06,11474878
2016-07-19,1.89,2.0,1.65,1.65,588650
2016-07-20,1.6,2.22,1.55,1.84,1630573
2016-07-21,1.8,2.16,1.72,1.81,635913
2016-07-22,1.84,2.1,1.55,1.7,444008
2016-07-25,1.7,1.87,1.69,1.71,112559
2016-07-26,1.76,1.77,1.62,1.68,101109
2016-07-27,1.68,1.81,1.66,1.76,164878
2016-07-28,1.75,1.85,1.6,1.83,144730
2016-07-29,1.79,1.79,1.65,1.66,48296
2016-08-01,1.6,1.85,1.55,1.73,85676
2016-08-02,1.72,1.75,1.66,1.66,28943
2016-08-03,1.69,1.7,1.64,1.65,8959
2016-08-04,1.74,1.8,1.7,1.71,70545
2016-08-05,1.71,1.83,1.66,1.68,89518
2016-08-08,1.7,1.8,1.68,1.72,25161
2016-08-09,1.77,1.77,1.57,1.64,18809
2016-08-10,1.62,1.72,1.58,1.58,41614
2016-08-11,1.59,1.7,1.48,1.64,135190
2016-08-12,1.59,1.68,1.58,1.6,5796
2016-08-15,1.69,1.69,1.56,1.57,27911
2016-08-16,1.55,1.6,1.55,1.55,3334
2016-08-17,1.57,1.62,1.5,1.51,46457
2016-08-18,1.57,1.6,1.5,1.5,14401
2016-08-19,1.47,1.52,1.47,1.47,17539
2016-08-22,1.47,1.48,1.42,1.44,13602
2016-08-23,1.43,1.43,1.3,1.38,14483
2016-08-24,1.35,1.35,1.31,1.31,43448
2016-08-25,1.3,1.32,1.29,1.31,28418
2016-08-26,1.34,1.37,1.31,1.32,4062
2016-08-29,,,,1.32,0
2016-08-30,1.33,1.33,1.32,1.32,1811
2016-08-31,1.35,1.66,1.35,1.41,143541
2016-09-01,1.4,1.41,1.31,1.36,12501
2016-09-02,1.33,1.4,1.32,1.32,5311
2016-09-06,1.33,1.36,1.32,1.32,7943
2016-09-07,1.31,1.36,1.31,1.34,22221
2016-09-08,1.33,1.55,1.29,1.47,121281
2016-09-09,1.52,1.52,1.32,1.43,69716
2016-09-12,1.4,1.5,1.39,1.48,15989
2016-09-13,1.52,1.55,1.49,1.52,27926
2016-09-14,1.47,1.55,1.47,1.54,20914
