Date,Open,High,Low,Close,Volume
2017-04-28,6.65,6.79,6.2,6.4,3767069
2017-05-01,6.7,8.38,6.6,7.65,1693655
2017-05-02,7.67,7.97,7.04,7.87,827340
2017-05-03,7.87,7.97,7.61,7.87,159853
2017-05-04,7.9,7.9,7.64,7.81,125892
2017-05-05,7.76,7.92,7.44,7.57,137063
2017-05-08,7.55,7.64,7.47,7.57,96786
2017-05-09,7.52,8.2,7.52,8.02,318692
2017-05-10,8.15,8.3,7.6,7.76,324481
2017-05-11,7.78,8.08,7.77,7.94,168538
2017-05-12,7.98,8.03,7.81,7.88,125105
2017-05-15,7.88,7.9,7.56,7.86,145161
2017-05-16,7.9,7.97,7.5,7.55,187696
2017-05-17,7.49,7.63,7.3,7.53,125475
2017-05-18,7.48,7.71,7.35,7.35,45586
2017-05-19,7.29,7.44,7.0,7.24,85369
2017-05-22,7.18,7.55,6.85,7.43,226425
2017-05-23,7.37,7.49,7.25,7.39,56606
2017-05-24,7.35,7.4,7.25,7.28,151271
2017-05-25,7.12,7.25,6.99,7.06,180019
2017-05-26,7.15,7.15,6.98,7.07,127660
