Date,Open,High,Low,Close,Volume
2016-01-04,89.67,89.71,88.46,89.11,522786
2016-01-05,89.22,90.72,89.12,90.34,213646
2016-01-06,89.71,90.53,89.29,89.73,195738
2016-01-07,88.09,88.82,86.76,86.76,354667
2016-01-08,87.13,87.62,85.51,85.57,354097
2016-01-11,85.55,86.14,84.43,84.5,752023
2016-01-12,84.99,85.0,83.05,83.54,595116
2016-01-13,83.71,84.08,81.16,81.28,480495
2016-01-14,81.45,81.87,80.23,81.01,657204
2016-01-15,79.92,80.63,79.35,80.16,729366
2016-01-19,88.92,82.75,80.0,80.37,732769
2016-01-20,79.41,79.49,74.96,76.45,891806
2016-01-21,76.94,77.64,76.3,76.42,753220
2016-01-22,77.31,78.5,77.15,78.3,451093
2016-01-25,78.26,79.4,77.35,77.47,416879
2016-01-26,77.72,79.02,77.72,78.67,610988
2016-01-27,78.31,78.78,77.49,77.82,386907
2016-01-28,78.24,79.02,77.12,77.66,695124
2016-01-29,78.55,79.61,77.66,79.18,855426
2016-02-01,78.27,79.59,78.06,78.15,714431
2016-02-02,78.9,79.87,76.21,76.26,594003
2016-02-03,76.58,76.89,75.22,76.2,475440
2016-02-04,76.06,78.09,75.88,76.91,442743
2016-02-05,76.57,77.22,76.19,76.55,593320
2016-02-08,76.16,76.23,73.71,74.61,389685
2016-02-09,73.86,74.17,72.07,72.1,472568
2016-02-10,72.48,73.34,71.93,72.85,451186
2016-02-11,72.25,72.51,71.33,71.65,711641
2016-02-12,72.68,72.85,70.69,71.85,437208
2016-02-16,72.33,74.39,71.96,74.0,536070
2016-02-17,74.1,75.53,74.01,74.34,333687
2016-02-18,74.44,75.68,73.64,74.76,567474
2016-02-19,74.32,75.64,74.08,74.97,268237
2016-02-22,75.73,76.53,75.65,76.3,274062
2016-02-23,75.92,77.01,74.52,76.3,363554
2016-02-24,75.72,76.49,75.24,76.3,220309
2016-02-25,76.7,78.66,76.7,78.5,472028
2016-02-26,78.34,79.33,77.85,78.74,431338
2016-02-29,78.75,79.35,78.28,79.16,619154
2016-03-01,79.64,81.32,79.2,81.29,422979
2016-03-02,80.96,81.3,80.28,81.14,362344
2016-03-03,81.05,82.74,80.67,82.73,330182
2016-03-04,82.5,83.69,82.04,83.67,360112
2016-03-07,83.56,83.65,81.03,83.37,309497
2016-03-08,83.4,83.74,82.41,83.08,450918
2016-03-09,83.22,84.0,82.69,83.65,266840
2016-03-10,84.27,84.54,83.1,83.96,328233
2016-03-11,84.61,85.51,83.91,85.4,484638
2016-03-14,85.32,85.8,83.91,85.76,263181
2016-03-15,85.09,87.35,85.09,86.98,458313
2016-03-16,86.54,87.63,85.83,87.57,249969
2016-03-17,87.75,89.51,87.44,89.34,310811
2016-03-18,88.76,90.04,88.21,88.32,973140
2016-03-21,88.0,88.71,87.1,88.0,622890
2016-03-22,87.44,88.58,87.25,88.58,560486
2016-03-23,88.21,88.7,87.61,88.5,856324
2016-03-24,88.11,88.52,87.45,88.52,463080
2016-03-28,88.68,90.16,88.22,90.07,551182
2016-03-29,89.3,90.93,88.79,90.88,518653
2016-03-30,91.12,91.25,90.02,90.35,259484
2016-03-31,90.31,91.14,90.12,90.89,344271
2016-04-01,90.43,90.82,89.7,90.56,353722
2016-04-04,90.79,91.12,90.23,91.02,290316
2016-04-05,90.51,91.09,90.3,91.0,379418
2016-04-06,90.8,90.89,89.64,90.34,316033
2016-04-07,90.03,90.55,89.43,89.79,382263
2016-04-08,90.32,91.8,90.24,90.97,306597
2016-04-11,91.12,91.75,90.78,90.79,200766
2016-04-12,91.13,92.88,91.04,92.53,479333
2016-04-13,92.76,92.76,91.44,92.05,440142
2016-04-14,92.13,92.59,91.18,92.41,300318
2016-04-15,92.48,94.0,92.33,93.86,450504
2016-04-18,93.85,94.2,93.38,93.79,234952
2016-04-19,93.92,94.49,93.32,93.81,230026
2016-04-20,93.77,93.77,91.84,92.01,413477
2016-04-21,92.11,93.33,90.34,91.09,523110
2016-04-22,91.35,93.23,90.82,92.7,654942
2016-04-25,92.41,93.41,91.95,93.21,484940
2016-04-26,93.4,94.18,93.01,93.48,340596
2016-04-27,93.63,94.1,92.48,93.73,324685
2016-04-28,93.15,94.1,92.85,93.84,294675
2016-04-29,93.28,93.83,92.37,92.95,1171720
2016-05-02,92.73,94.98,92.41,94.16,973532
2016-05-03,93.05,93.91,92.47,93.69,572808
2016-05-04,92.65,95.52,92.65,95.4,620796
2016-05-05,95.19,95.66,94.61,95.61,513693
2016-05-06,95.4,95.72,93.74,95.65,470721
2016-05-09,95.99,96.73,95.36,96.46,560790
2016-05-10,96.55,96.69,95.57,96.03,662076
2016-05-11,96.0,96.0,93.57,93.98,592491
2016-05-12,94.13,94.41,93.28,93.72,476909
2016-05-13,93.7,95.33,93.3,94.85,940451
2016-05-16,94.78,96.88,94.71,96.31,619068
2016-05-17,95.88,96.51,93.98,94.84,580732
2016-05-18,94.76,95.78,93.29,94.29,1985221
2016-05-19,93.4,93.78,92.47,93.53,379760
2016-05-20,93.94,95.68,93.38,95.63,617069
2016-05-23,95.93,96.05,95.1,95.72,554189
2016-05-24,96.42,98.38,95.42,98.0,2218609
2016-05-25,98.04,98.39,97.24,98.26,500994
2016-05-26,98.26,98.26,96.46,96.47,846328
2016-05-27,96.54,97.4,96.42,96.58,764068
2016-05-31,96.56,97.17,94.98,96.9,3620729
2016-06-01,96.32,96.91,95.28,96.47,501656
2016-06-02,96.48,97.33,95.87,97.29,446645
2016-06-03,97.46,98.96,97.29,97.66,489934
2016-06-06,97.92,98.44,96.04,96.51,532355
2016-06-07,96.9,97.4,96.37,96.54,461927
2016-06-08,96.47,97.35,96.13,97.09,429970
2016-06-09,97.0,98.29,96.51,98.16,574143
2016-06-10,97.62,99.15,97.04,98.6,672177
2016-06-13,98.77,99.66,98.22,98.52,551234
2016-06-14,98.35,98.74,97.8,97.89,377684
2016-06-15,98.04,98.97,97.43,98.46,418898
2016-06-16,98.12,98.77,97.46,98.61,344011
2016-06-17,98.3,99.01,97.68,98.11,687757
2016-06-20,98.9,99.52,97.79,97.92,358597
2016-06-21,97.95,98.74,97.61,97.92,510110
2016-06-22,98.17,98.61,97.53,98.46,318228
2016-06-23,98.94,99.52,98.74,99.24,385771
2016-06-24,97.43,100.03,96.63,99.36,649109
2016-06-27,98.92,99.35,97.6,99.13,522140
2016-06-28,98.74,99.88,98.31,99.86,374245
2016-06-29,100.32,101.84,100.32,101.79,369120
2016-06-30,101.73,103.6,101.32,103.52,497400
2016-07-01,103.82,104.75,103.61,104.24,430306
2016-07-05,104.18,105.03,103.68,105.03,315207
2016-07-06,104.57,105.4,104.3,105.33,364904
2016-07-07,101.3,102.0,100.53,101.27,3589068
2016-07-08,101.82,103.13,101.53,102.79,935402
2016-07-11,103.13,103.89,102.18,103.73,466807
2016-07-12,103.8,103.91,102.6,103.09,743174
2016-07-13,103.56,104.44,101.47,104.42,680548
2016-07-14,103.83,104.8,103.32,103.76,389567
2016-07-15,103.37,103.87,101.31,103.67,386951
2016-07-18,103.75,104.65,103.09,104.53,511135
2016-07-19,104.53,105.11,102.64,104.92,448660
2016-07-20,105.25,106.39,104.77,106.31,604644
2016-07-21,105.56,107.3,105.56,107.19,522386
2016-07-22,106.92,109.02,106.75,108.81,724040
2016-07-25,108.99,109.43,108.48,109.29,692548
2016-07-26,109.59,109.99,109.05,109.26,762916
2016-07-27,108.92,110.0,108.36,108.8,902931
2016-07-28,108.69,111.39,108.69,111.03,532933
2016-07-29,111.16,112.97,110.97,112.3,844733
2016-08-01,112.35,113.06,111.77,112.55,611383
2016-08-02,112.1,112.92,107.54,109.48,781828
2016-08-03,109.51,111.18,108.73,110.77,517472
2016-08-04,111.24,112.44,110.64,112.38,503936
2016-08-05,112.5,112.56,110.69,111.41,533962
2016-08-08,111.3,112.99,111.0,112.14,555682
2016-08-09,111.97,112.78,111.2,112.71,437989
2016-08-10,112.8,113.28,110.47,111.12,749430
2016-08-11,111.65,111.65,109.98,110.72,544208
2016-08-12,110.8,112.55,110.74,112.45,1353660
2016-08-15,112.68,113.2,110.34,110.75,637519
2016-08-16,110.52,111.16,109.44,109.84,572857
2016-08-17,109.98,110.18,109.15,109.54,480653
2016-08-18,109.62,110.3,109.53,110.2,393231
