Date,Open,High,Low,Close,Volume
2016-01-04,35.8,36.08,35.37,36.06,2340258
2016-01-05,36.12,36.5,36.06,36.48,2235324
2016-01-06,35.94,36.32,35.9,36.14,2905406
2016-01-07,35.57,35.72,35.08,35.18,2889188
2016-01-08,35.46,35.5,34.82,34.89,2572778
2016-01-11,34.94,35.17,34.16,34.58,5576066
2016-01-12,34.89,35.52,34.84,35.3,4443240
2016-01-13,35.44,35.5,34.23,34.32,3472264
2016-01-14,34.31,34.58,33.66,34.41,3098458
2016-01-15,33.43,34.56,33.25,34.48,4476088
2016-01-19,34.72,35.18,34.2,34.67,4680548
2016-01-20,33.78,34.6,33.34,34.3,3743166
2016-01-21,34.1,34.42,33.52,33.53,2913958
2016-01-22,33.9,34.43,33.69,34.38,2596258
2016-01-25,34.16,34.38,33.1,33.32,3455012
2016-01-26,33.5,34.04,33.36,33.92,1656300
2016-01-27,33.74,33.82,32.86,33.05,6258198
2016-01-28,31.5,33.64,31.5,33.45,5250598
2016-01-29,33.34,33.6,32.88,33.42,4696110
2016-02-01,33.22,33.71,32.93,33.6,2881520
2016-02-02,33.25,33.26,32.68,32.79,3390494
2016-02-03,32.81,33.16,32.42,33.06,2476968
2016-02-04,33.31,34.07,33.1,33.92,3221728
2016-02-05,33.68,33.88,32.4,32.61,3625290
2016-02-08,32.4,32.4,31.15,31.94,4361470
2016-02-09,31.8,32.82,31.64,32.58,4260404
2016-02-10,32.62,33.12,32.46,32.63,3019288
2016-02-11,32.22,32.35,31.75,32.04,1994928
2016-02-12,32.28,32.79,32.15,32.58,2451684
2016-02-16,32.96,33.23,32.54,33.13,2487298
2016-02-17,33.42,33.64,33.02,33.56,3041644
2016-02-18,33.46,33.68,33.22,33.26,2426368
2016-02-19,33.12,33.16,32.58,33.03,2491548
2016-02-22,33.36,33.74,33.1,33.24,1567048
2016-02-23,32.99,33.26,32.77,33.02,2291866
2016-02-24,32.72,33.5,32.62,33.45,1956326
2016-02-25,33.34,33.48,32.96,33.42,3049278
2016-02-26,33.6,33.88,33.32,33.5,2054076
2016-02-29,33.44,33.76,33.12,33.12,2379086
2016-03-01,33.44,34.16,33.13,33.95,3412822
2016-03-02,33.8,34.34,33.68,34.04,2330138
2016-03-03,33.88,34.4,33.85,34.34,1809638
2016-03-04,34.24,34.32,33.9,34.09,2108642
2016-03-07,33.88,34.04,33.42,33.63,3027358
2016-03-08,33.35,33.91,33.3,33.71,2322730
2016-03-09,33.56,33.99,33.56,33.75,1808792
2016-03-10,33.41,33.76,33.2,33.59,2211420
2016-03-11,33.94,34.64,33.68,34.51,4606738
2016-03-14,34.36,34.79,34.17,34.38,3220850
2016-03-15,34.03,34.62,33.93,34.29,2310966
2016-03-16,34.2,34.94,34.14,34.84,1719740
2016-03-17,34.92,35.99,34.92,35.8,2649952
2016-03-18,35.92,35.96,35.16,35.18,6252950
2016-03-21,35.1,35.14,34.75,34.94,2482694
2016-03-22,34.8,35.47,34.78,35.26,3068518
2016-03-23,35.28,35.58,35.16,35.24,1647742
2016-03-24,35.06,35.27,34.78,35.12,1301950
2016-03-28,35.26,35.34,34.92,35.18,1088024
2016-03-29,35.16,35.54,35.0,35.5,1079794
2016-03-30,35.68,35.7,35.26,35.45,1075344
2016-03-31,35.82,35.96,35.54,35.64,2693848
2016-04-01,35.54,35.86,35.16,35.8,2678568
2016-04-04,35.72,35.96,35.24,35.3,1625462
2016-04-05,35.14,35.43,34.62,35.26,2961858
2016-04-06,35.26,35.67,35.2,35.64,2531510
2016-04-07,35.44,35.66,35.16,35.32,3863420
2016-04-08,35.56,35.56,35.16,35.4,2652242
2016-04-11,35.46,35.64,35.0,35.24,2575096
2016-04-12,35.31,35.66,35.13,35.58,1909326
2016-04-13,35.75,35.97,35.22,35.94,2434784
2016-04-14,35.72,35.96,35.62,35.92,1953754
2016-04-15,35.92,36.22,35.78,36.14,2720590
2016-04-18,35.94,37.33,35.94,37.32,4452736
2016-04-19,37.38,37.7,37.3,37.5,3254366
2016-04-20,37.44,37.84,37.26,37.66,1774428
2016-04-21,37.6,37.73,37.14,37.58,2391952
2016-04-22,37.57,38.15,37.43,37.92,2628502
2016-04-25,38.04,38.34,37.3,37.35,4321330
2016-04-26,37.46,37.58,37.17,37.53,2629146
2016-04-27,37.6,37.62,37.16,37.43,3505688
2016-04-28,36.6,37.16,35.93,36.46,6682126
2016-04-29,36.23,36.38,35.38,35.69,5289210
2016-05-02,35.68,36.16,35.61,36.02,4930174
2016-05-03,36.15,36.18,35.3,35.78,3186868
2016-05-04,35.46,36.06,35.42,36.02,2835368
2016-05-05,36.04,36.11,35.87,35.92,2184848
2016-05-06,35.88,36.0,35.48,35.72,1926744
2016-05-09,35.63,36.22,35.44,36.01,3092396
2016-05-10,36.05,36.31,35.93,36.08,3926356
2016-05-11,36.15,36.41,35.96,36.08,1459152
2016-05-12,36.4,36.68,36.18,36.42,1910164
2016-05-13,36.26,36.4,36.0,36.07,1922042
2016-05-16,36.08,36.66,36.08,36.56,1808842
2016-05-17,36.5,36.55,35.75,35.86,1561398
2016-05-18,35.7,36.24,35.42,35.88,2606996
