Date,Open,High,Low,Close,Volume
2016-01-04,52.53,52.77,52.09,52.71,4156815
2016-01-05,52.64,53.09,52.22,52.59,3061649
2016-01-06,51.82,52.36,51.32,51.56,3210589
2016-01-07,50.79,51.8,50.46,50.6,4824102
2016-01-08,50.99,51.17,49.88,49.97,3604432
2016-01-11,50.46,50.8,50.02,50.49,3912214
2016-01-12,50.97,51.36,50.36,51.0,3418712
2016-01-13,51.44,51.68,49.16,49.4,4358516
2016-01-14,49.06,50.43,48.19,50.16,5631336
2016-01-15,48.65,49.41,48.44,49.16,4036431
2016-01-19,49.78,49.88,48.5,48.91,2957043
2016-01-20,47.86,49.29,47.29,48.75,3925321
2016-01-21,48.78,49.53,48.29,48.42,4576566
2016-01-22,48.86,49.45,48.23,48.59,4094114
2016-01-25,48.31,48.59,47.48,47.59,4939092
2016-01-26,48.05,48.58,47.8,48.39,4376930
2016-01-27,48.5,49.62,48.18,48.72,6127832
2016-01-28,46.08,46.99,44.82,44.83,12584527
2016-01-29,44.99,45.96,44.67,45.79,10781821
2016-02-01,45.79,46.32,44.65,46.05,5964317
2016-02-02,45.11,45.14,44.7,45.03,5157014
2016-02-03,45.2,45.49,43.73,45.4,6169045
2016-02-04,45.29,46.41,45.14,46.31,6493147
2016-02-05,46.25,46.78,45.81,46.25,5332819
2016-02-08,45.65,45.68,44.42,45.11,4683207
2016-02-09,44.51,46.2,44.36,45.87,4281383
2016-02-10,46.02,46.57,45.48,45.77,4951637
2016-02-11,44.14,44.14,42.86,43.25,6535656
2016-02-12,43.9,44.53,43.48,44.52,4046810
2016-02-16,45.18,45.76,45.0,45.67,2663625
2016-02-17,46.11,46.85,46.11,46.44,3241105
2016-02-18,46.44,46.86,45.98,46.39,2437878
2016-02-19,46.28,46.33,45.76,46.15,1978387
2016-02-22,46.49,47.37,46.24,47.34,2803581
2016-02-23,47.0,47.29,46.09,46.46,2901434
2016-02-24,46.09,46.82,45.27,46.71,2664560
2016-02-25,46.75,47.16,46.25,47.16,2133912
2016-02-26,47.56,47.76,47.03,47.15,2365210
2016-02-29,47.17,47.38,46.41,46.42,2893785
