Date,Open,High,Low,Close,Volume
2016-01-04,91.06,91.9,90.93,91.68,4384416
2016-01-05,91.74,92.13,91.1,91.85,2850953
2016-01-06,90.78,91.41,90.07,90.78,3683427
2016-01-07,89.29,90.0,88.16,88.45,4510314
2016-01-08,88.7,89.68,88.29,88.5,3347608
2016-01-11,88.85,89.1,87.61,88.45,3332419
2016-01-12,89.63,89.63,87.4,88.55,2897740
2016-01-13,89.17,89.21,86.39,86.52,2959952
2016-01-14,86.57,87.8,85.81,87.31,3054453
2016-01-15,85.94,86.41,85.07,85.19,4856536
2016-01-19,86.35,86.61,84.65,85.61,3358632
2016-01-20,84.46,85.65,83.5,85.0,4700038
2016-01-21,84.59,85.07,83.85,84.43,3847672
2016-01-22,85.55,85.71,84.72,85.35,3553566
2016-01-25,85.37,85.65,84.24,84.38,3104989
2016-01-26,82.89,84.95,81.25,84.68,6550819
2016-01-27,84.68,85.57,83.65,84.25,4834087
2016-01-28,84.78,85.08,84.0,84.47,3570280
2016-01-29,85.04,86.72,84.5,86.65,4478710
2016-02-01,86.42,86.54,85.31,85.96,2729018
2016-02-02,84.85,85.15,84.04,84.37,2686873
2016-02-03,85.12,85.47,83.55,85.04,2460327
2016-02-04,84.86,86.7,84.81,86.45,3053981
2016-02-05,86.03,86.35,84.66,85.04,3010624
2016-02-08,84.53,84.85,82.87,84.14,4492483
2016-02-09,83.27,85.93,83.05,85.19,2506115
2016-02-10,85.72,86.83,85.03,85.21,2167714
2016-02-11,83.61,84.64,82.86,83.59,2837228
2016-02-12,84.36,84.96,83.77,84.92,2557705
2016-02-16,86.18,86.79,85.81,86.49,2816602
2016-02-17,87.04,87.45,86.64,87.07,2582061
2016-02-18,86.61,87.19,86.48,86.67,1712661
2016-02-19,86.57,86.99,86.03,86.65,2626666
2016-02-22,87.5,88.08,87.35,87.75,2276248
2016-02-23,87.33,87.89,86.77,87.32,1789940
2016-02-24,86.84,87.52,86.32,87.2,2746358
2016-02-25,87.2,88.28,86.92,88.26,2124815
2016-02-26,88.55,89.27,88.3,89.07,3088332
2016-02-29,88.86,89.88,88.62,89.27,4389806
2016-03-01,89.87,90.78,89.64,90.6,3890684
2016-03-02,90.37,91.58,90.14,90.49,3318446
2016-03-03,90.86,91.14,90.27,90.83,2628478
2016-03-04,90.98,91.49,90.25,90.71,3447070
2016-03-07,90.23,90.54,89.9,90.24,3353755
2016-03-08,89.86,90.04,88.79,88.95,2986276
2016-03-09,89.43,89.44,88.3,88.47,2623080
2016-03-10,89.17,89.57,88.32,89.21,2816902
2016-03-11,90.17,90.89,89.82,90.61,2864123
2016-03-14,90.56,91.8,90.05,91.48,2760662
2016-03-15,91.24,92.16,91.1,91.71,2689806
2016-03-16,91.65,91.71,90.84,91.29,2334974
2016-03-17,91.4,93.83,91.24,93.55,4153726
2016-03-18,94.02,95.29,93.54,95.29,7323820
2016-03-21,95.0,95.27,94.32,94.86,2178329
2016-03-22,93.8,95.16,93.65,94.93,2657920
2016-03-23,94.96,95.0,94.4,94.84,1933189
2016-03-24,94.42,94.84,94.12,94.78,2987521
