Date,Open,High,Low,Close,Volume
2016-01-04,62.88,63.07,62.33,62.75,1889866
2016-01-05,63.49,63.89,62.71,63.89,2077506
2016-01-06,62.83,63.6,62.56,62.92,2001050
2016-01-07,62.28,63.16,62.07,62.48,2587021
2016-01-08,62.65,63.39,61.88,62.01,1958180
2016-01-11,62.39,62.66,61.59,61.96,2096511
2016-01-12,62.32,62.6,61.4,62.51,2116665
2016-01-13,62.48,63.18,61.83,61.86,2864128
2016-01-14,61.85,62.01,60.2,61.67,2592739
2016-01-15,60.58,60.94,58.97,60.23,1691230
2016-01-19,61.02,61.51,60.35,60.83,1762971
2016-01-20,59.92,60.33,57.95,59.67,2160515
2016-01-21,59.5,60.74,58.89,60.32,2696539
2016-01-22,60.9,62.23,60.77,61.93,1840324
2016-01-25,62.1,62.59,61.31,61.47,2435174
2016-01-26,61.2,62.69,60.91,62.66,2065202
2016-01-27,62.25,63.16,61.81,62.59,2723962
2016-01-28,62.56,63.98,62.26,63.26,2442069
2016-01-29,62.7,63.24,61.59,63.06,2593401
2016-02-01,62.84,63.88,62.06,63.33,1985081
2016-02-02,62.65,63.38,61.69,62.15,2378910
2016-02-03,62.35,62.51,60.54,61.93,1679089
2016-02-04,61.65,62.09,61.0,61.52,1704140
2016-02-05,61.2,61.45,58.81,58.99,2429400
2016-02-08,58.7,59.81,58.22,59.54,2171754
2016-02-09,58.7,59.15,57.98,58.48,3289008
2016-02-10,59.0,59.08,57.58,57.59,2556122
2016-02-11,57.08,57.94,55.77,57.14,3803249
2016-02-12,57.63,59.04,57.19,58.67,1364907
2016-02-16,58.81,59.99,58.66,59.54,1323239
2016-02-17,59.64,61.65,59.4,61.54,2362271
2016-02-18,61.22,61.86,60.62,61.52,1630774
2016-02-19,61.53,61.83,60.26,61.19,1515502
2016-02-22,61.57,62.45,61.34,62.14,1229773
2016-02-23,62.37,63.86,62.01,62.86,2167414
2016-02-24,62.42,63.47,61.45,63.32,2040493
2016-02-25,63.37,63.88,62.86,63.74,884388
2016-02-26,63.69,64.36,63.45,63.74,1597376
2016-02-29,63.47,64.23,63.19,63.88,1117758
2016-03-01,64.31,64.66,63.94,64.25,1241558
2016-03-02,63.96,64.73,63.92,64.68,1233544
2016-03-03,64.51,65.0,63.52,64.82,1652242
2016-03-04,64.51,64.95,64.16,64.93,1005231
2016-03-07,64.76,65.34,64.5,65.15,1141875
2016-03-08,64.79,65.22,64.46,64.58,1165425
2016-03-09,67.0,68.0,66.01,66.93,4647876
2016-03-10,67.07,67.4,66.41,67.12,1907157
2016-03-11,67.44,68.26,67.22,67.57,2053967
2016-03-14,67.5,68.01,67.13,67.78,1124464
2016-03-15,67.5,67.77,66.67,66.84,1261825
2016-03-16,66.87,67.95,66.19,67.56,1075779
2016-03-17,67.36,67.99,66.81,67.58,1451416
2016-03-18,67.55,68.15,67.18,67.29,2536862
2016-03-21,67.29,67.5,66.95,67.22,1057548
2016-03-22,67.19,67.36,66.42,66.65,1040050
2016-03-23,66.78,67.19,66.3,66.52,957863
2016-03-24,66.47,66.47,65.29,65.77,1302032
2016-03-28,66.09,66.97,65.94,66.47,1021600
2016-03-29,66.47,66.82,66.12,66.63,1248773
2016-03-30,67.14,67.21,65.94,66.58,1430966
2016-03-31,66.38,66.76,65.59,66.3,1936830
2016-04-01,66.16,67.36,66.16,67.04,1720088
2016-04-04,67.41,68.62,66.49,67.34,3297840
2016-04-05,66.62,66.62,64.34,64.8,3903787
2016-04-06,65.25,66.39,64.9,64.99,3455115
2016-04-07,64.85,66.43,64.33,64.68,2972603
2016-04-08,65.01,65.01,64.0,64.79,2309696
2016-04-11,65.25,66.1,64.73,64.74,3571877
2016-04-12,64.8,66.11,64.8,65.88,2567115
2016-04-13,66.0,66.39,65.25,65.58,1726937
2016-04-14,65.48,65.66,64.55,64.85,2107215
2016-04-15,64.98,65.15,64.1,64.2,2723608
2016-04-18,64.5,64.96,64.31,64.79,1511349
2016-04-19,63.72,63.9,62.75,63.19,2581646
2016-04-20,63.28,63.89,63.07,63.14,1909023
2016-04-21,63.45,64.15,62.79,62.79,1989639
2016-04-22,62.75,63.41,62.51,63.3,1713767
2016-04-25,63.14,63.6,63.03,63.46,832164
2016-04-26,63.47,64.02,63.42,63.86,1367101
2016-04-27,63.69,63.98,63.2,63.64,1599036
2016-04-28,63.04,63.63,62.11,63.15,1703510
2016-04-29,63.07,63.36,61.99,62.25,1421851
2016-05-02,62.41,63.65,62.27,63.61,1785674
2016-05-03,63.29,64.1,63.15,63.48,1479296
2016-05-04,63.19,64.1,63.16,63.93,888495
2016-05-05,63.53,64.02,62.82,62.97,1300223
2016-05-06,62.88,63.09,61.9,62.49,1817733
2016-05-09,62.49,64.65,62.46,64.45,1311716
2016-05-10,64.47,64.7,63.79,64.66,1261706
2016-05-11,64.43,64.65,62.99,63.12,1419073
2016-05-12,63.36,64.15,62.96,63.81,1381917
2016-05-13,63.55,64.06,62.87,63.31,1501260
2016-05-16,63.12,63.43,62.74,63.28,1529890
2016-05-17,63.9,64.73,63.44,63.9,2678168
2016-05-18,63.51,64.08,62.3,63.04,2792292
2016-05-19,62.89,65.91,62.89,65.9,3373596
2016-05-20,66.0,66.43,65.46,66.15,2047235
2016-05-23,66.17,66.21,64.96,65.0,2990495
2016-05-24,65.1,66.04,64.95,65.8,1260132
2016-05-25,65.87,66.54,65.3,66.25,1348493
2016-05-26,66.7,67.66,66.54,67.28,1976371
