Date,Open,High,Low,Close,Volume
2016-01-04,68.81,68.89,68.28,68.67,1817780
2016-01-05,68.72,69.54,68.72,69.12,1239432
2016-01-06,68.22,69.19,67.92,68.16,2706412
2016-01-07,67.36,68.1,67.3,67.62,1914765
2016-01-08,67.75,68.59,67.6,67.67,1950534
2016-01-11,67.72,68.3,66.67,67.23,2125802
2016-01-12,67.49,68.42,66.62,67.45,1151178
2016-01-13,67.4,67.73,65.95,66.13,1535013
2016-01-14,66.15,67.83,65.79,67.45,1769500
2016-01-15,66.29,66.87,65.69,66.47,1550169
2016-01-19,66.81,67.11,64.91,65.71,1336768
2016-01-20,64.98,65.89,63.38,65.41,1177872
2016-01-21,65.48,65.97,64.71,65.2,974479
2016-01-22,65.79,67.05,65.66,66.89,1011395
2016-01-25,66.72,67.17,65.88,65.95,740227
2016-01-26,66.24,66.63,65.72,66.52,528029
2016-01-27,66.68,66.98,65.18,65.72,997455
2016-01-28,66.11,66.51,64.32,64.45,1216444
2016-01-29,64.82,67.12,64.56,67.12,2112878
2016-02-01,66.73,67.5,66.45,67.41,883400
2016-02-02,66.95,67.13,65.9,66.26,1033798
2016-02-03,66.48,66.53,64.54,65.44,1534430
2016-02-04,65.05,65.83,64.78,65.45,1121663
2016-02-05,65.13,65.34,63.65,63.9,906695
2016-02-08,63.28,63.31,61.89,62.24,2263888
2016-02-09,61.83,62.83,61.75,62.25,1166852
2016-02-10,62.75,64.19,62.73,63.66,1275024
2016-02-11,62.5,63.43,62.44,62.57,1837726
2016-02-12,61.62,64.21,61.36,62.56,2347412
2016-02-16,62.74,62.74,61.92,62.64,2013594
2016-02-17,62.86,64.14,62.66,64.09,1296665
2016-02-18,64.45,64.98,63.93,64.5,1011757
2016-02-19,64.44,64.47,63.55,63.8,1586846
2016-02-22,64.23,64.91,64.0,64.85,769830
2016-02-23,64.59,64.9,64.15,64.28,1060610
2016-02-24,63.7,64.19,62.96,64.14,838669
2016-02-25,64.46,65.35,64.15,65.33,896105
2016-02-26,65.67,66.89,65.27,66.46,1321622
2016-02-29,66.29,66.8,65.89,65.97,1668211
2016-03-01,66.55,68.21,66.3,68.21,1400898
2016-03-02,67.83,68.46,67.1,68.18,1048614
2016-03-03,68.1,70.29,68.1,70.08,1836683
2016-03-04,70.18,70.89,69.56,70.51,1572909
2016-03-07,70.17,71.28,69.95,70.93,928233
2016-03-08,70.65,71.08,69.62,69.75,1303789
2016-03-09,70.21,70.27,69.61,70.17,1009960
2016-03-10,70.46,71.08,69.3,69.84,638685
2016-03-11,70.52,71.16,70.16,71.05,785218
2016-03-14,70.96,71.9,70.61,70.92,1033097
2016-03-15,70.4,70.75,69.48,69.82,1402073
2016-03-16,69.59,70.53,69.27,70.16,1067113
2016-03-17,70.17,71.06,69.48,70.95,1373469
2016-03-18,71.24,73.16,71.06,72.74,1613884
2016-03-21,72.4,72.73,71.78,72.29,685255
2016-03-22,72.08,72.95,71.84,72.69,802796
2016-03-23,72.68,73.0,71.79,72.32,616669
2016-03-24,71.62,72.01,71.06,71.55,673920
2016-03-28,71.55,71.94,71.14,71.5,420388
2016-03-29,71.53,72.78,71.12,72.71,640237
2016-03-30,73.03,73.32,72.47,73.03,529187
2016-03-31,72.88,74.18,72.88,73.38,1127709
2016-04-01,73.05,74.08,72.54,73.97,823183
2016-04-04,74.18,74.46,73.2,73.47,1060445
2016-04-05,73.03,73.42,72.31,73.03,1472619
2016-04-06,73.13,74.69,73.12,74.53,851523
2016-04-07,74.3,74.94,73.68,73.95,752134
2016-04-08,74.4,74.9,73.85,74.1,814834
