Date,Open,High,Low,Close,Volume
2016-01-04,59.52,59.97,58.99,59.91,2160937
2016-01-05,60.19,61.09,59.67,60.29,2283615
2016-01-06,59.36,59.73,58.9,59.18,1743722
2016-01-07,58.5,59.61,58.08,59.19,2160638
2016-01-08,59.52,59.66,58.04,58.13,1960841
2016-01-11,58.61,59.27,58.07,58.94,1726304
2016-01-12,59.96,60.19,58.94,59.99,2757544
2016-01-13,60.21,60.7,58.93,59.12,2525772
2016-01-14,59.41,60.62,58.93,60.3,3068161
2016-01-15,58.57,59.27,57.62,58.46,2990825
2016-01-19,59.15,59.34,58.3,58.71,1340415
2016-01-20,57.92,58.35,56.8,57.89,2399129
2016-01-21,58.14,58.94,57.67,58.05,2661905
2016-01-22,59.06,59.55,58.93,59.45,1972818
2016-01-25,59.17,59.65,58.76,58.85,1267170
2016-01-26,59.01,60.09,58.72,60.04,1269137
2016-01-27,59.87,60.38,58.45,58.81,2092222
2016-01-28,59.3,59.46,58.06,58.21,1654714
2016-01-29,58.6,59.76,58.31,59.73,2185729
2016-02-01,59.38,61.04,59.21,60.67,1809977
2016-02-02,60.0,60.12,59.3,59.52,1611133
2016-02-03,59.6,59.95,58.86,59.65,1523243
2016-02-04,59.46,60.26,59.46,60.15,1448277
2016-02-05,59.85,60.4,58.29,58.54,1913258
2016-02-08,57.74,57.74,55.1,56.04,4210837
2016-02-09,57.65,59.24,56.38,57.93,5489631
2016-02-10,57.89,58.68,57.32,57.4,3098642
2016-02-11,56.2,56.88,55.99,56.44,1955747
2016-02-12,57.1,57.63,56.83,57.57,1518664
2016-02-16,58.5,58.97,58.22,58.65,2762560
2016-02-17,59.11,59.55,58.83,59.54,2643344
2016-02-18,59.51,59.76,58.93,59.17,1233499
2016-02-19,59.17,59.75,58.66,59.71,1690068
2016-02-22,59.91,60.7,59.66,59.99,1766165
2016-02-23,59.66,59.99,58.9,58.98,1747276
2016-02-24,58.51,59.23,57.8,59.18,1560831
2016-02-25,59.33,60.07,58.93,60.04,1556002
2016-02-26,60.18,60.61,59.4,59.49,1806546
2016-02-29,59.43,59.69,58.23,58.25,2484259
2016-03-01,58.81,60.01,58.7,60.0,2165345
2016-03-02,59.96,59.99,59.13,59.92,1565434
2016-03-03,59.85,60.47,59.43,60.33,2195541
2016-03-04,60.33,60.84,59.95,60.81,2523269
2016-03-07,60.44,60.66,59.84,60.07,1848063
2016-03-08,59.53,59.76,59.13,59.18,1465922
2016-03-09,59.52,60.05,59.11,60.02,1873272
2016-03-10,60.24,61.75,60.07,61.56,4338544
2016-03-11,61.82,63.01,61.26,62.81,3868634
2016-03-14,62.74,62.92,62.17,62.8,2366504
2016-03-15,62.04,62.7,61.82,62.43,1397450
2016-03-16,62.32,63.0,62.21,62.76,1524852
2016-03-17,62.73,63.37,62.53,63.06,2292656
2016-03-18,61.93,62.84,61.25,62.54,9130763
2016-03-21,62.36,62.93,62.19,62.75,2202836
2016-03-22,62.5,62.75,62.37,62.45,1445332
2016-03-23,62.49,63.03,62.2,62.89,2277035
2016-03-24,62.67,62.72,61.95,62.62,1567778
2016-03-28,63.0,63.0,62.25,62.42,1044979
2016-03-29,62.23,62.95,62.05,62.92,1105290
2016-03-30,63.0,63.41,62.92,63.18,1397306
2016-03-31,63.03,63.74,62.84,63.31,1409342
2016-04-01,63.64,65.11,63.39,65.01,2796026
2016-04-04,65.11,65.35,64.25,64.34,1467944
2016-04-05,63.99,64.18,63.37,63.44,1204903
2016-04-06,63.34,64.58,63.3,64.5,1450022
2016-04-07,64.05,64.38,63.48,63.89,1480746
2016-04-08,64.4,64.44,63.75,63.98,1746186
2016-04-11,64.23,64.82,63.91,64.11,1735555
