Date,Open,High,Low,Close,Volume
2016-01-04,175.79,177.19,173.76,177.14,3707930
2016-01-05,176.71,177.5,172.92,174.09,4521610
2016-01-06,171.31,172.02,169.1,169.84,5539404
2016-01-07,166.67,169.5,163.6,164.62,5687935
2016-01-08,166.75,168.42,163.63,163.94,4929788
2016-01-11,165.0,166.46,163.34,165.73,4386469
2016-01-12,166.89,168.18,163.3,165.71,4441260
2016-01-13,166.46,167.1,157.92,158.99,5237253
2016-01-14,160.3,162.51,156.76,161.39,4258169
2016-01-15,156.7,157.99,153.81,155.61,6203854
2016-01-19,157.56,158.76,155.28,156.82,5808308
2016-01-20,154.1,158.37,151.65,153.75,9357170
2016-01-21,153.97,155.16,151.49,151.65,5730858
2016-01-22,154.58,156.99,153.86,156.86,5578403
2016-01-25,156.4,156.53,151.12,151.12,5032853
2016-01-26,151.41,156.1,151.19,154.45,5235343
2016-01-27,153.59,158.43,153.19,153.72,5131935
2016-01-28,155.01,158.05,152.53,157.06,4291373
2016-01-29,158.64,161.59,157.78,161.56,4857101
2016-02-01,160.41,161.0,158.45,159.65,2954905
2016-02-02,157.0,157.0,150.16,151.7,6295296
2016-02-03,152.5,153.84,147.01,152.68,5883135
2016-02-04,152.3,157.95,152.01,156.49,4566644
2016-02-05,157.57,159.7,155.69,156.47,4586715
2016-02-08,153.83,153.83,145.25,149.25,8670187
2016-02-09,145.52,149.95,145.1,148.25,6806169
2016-02-10,150.0,153.38,147.21,147.23,7598348
2016-02-11,143.41,144.41,139.05,140.69,10228293
2016-02-12,143.75,146.51,143.7,146.13,9003074
2016-02-16,149.6,150.48,147.45,149.02,9502466
2016-02-17,150.8,151.87,150.31,150.94,5574966
2016-02-18,151.25,152.0,147.37,147.73,5885387
2016-02-19,147.0,147.73,145.43,146.91,5253878
2016-02-22,149.2,149.99,148.23,148.79,4280517
2016-02-23,148.0,148.05,144.05,144.91,4228936
2016-02-24,143.08,145.64,140.26,145.56,5348020
2016-02-25,146.0,149.06,145.23,148.25,4296310
2016-02-26,149.72,151.97,149.01,150.25,5923467
2016-02-29,149.75,150.29,148.32,149.53,5502921
2016-03-01,150.95,154.77,150.68,154.65,6185825
2016-03-02,154.75,155.41,153.45,154.2,5046364
2016-03-03,154.0,155.66,153.36,155.33,3615460
2016-03-04,156.37,158.85,155.29,156.84,5247913
2016-03-07,156.0,156.37,154.41,155.35,2770012
2016-03-08,154.0,154.23,151.5,151.6,3819148
2016-03-09,152.11,152.5,149.18,149.91,3248501
2016-03-10,150.41,153.6,148.84,151.02,4326883
2016-03-11,153.28,154.16,152.37,153.94,4050568
2016-03-14,153.66,154.45,152.13,153.49,3317819
2016-03-15,152.65,152.74,150.9,152.03,3731425
2016-03-16,150.92,152.85,149.71,150.54,4288798
2016-03-17,150.39,153.98,148.75,152.91,4420731
2016-03-18,153.91,158.18,153.87,157.6,7407795
2016-03-21,157.24,158.9,155.75,156.29,4406666
2016-03-22,155.5,155.59,153.36,154.2,3513932
2016-03-23,154.25,155.55,153.59,154.08,3625283
2016-03-24,152.4,153.04,150.13,153.0,3693114
2016-03-28,153.14,154.64,152.38,153.84,2308523
2016-03-29,152.87,155.35,151.5,155.03,2918290
2016-03-30,156.13,158.02,154.89,156.5,3126766
2016-03-31,156.18,157.48,156.06,156.98,2922971
2016-04-01,156.46,160.01,155.08,159.82,3371445
2016-04-04,159.97,160.0,157.39,157.77,2476691
2016-04-05,156.44,156.53,154.55,155.35,2817086
