Date,Open,High,Low,Close,Volume
2016-01-04,199.55,202.13,197.77,202.12,704399
2016-01-05,202.73,203.43,197.76,199.68,730639
2016-01-06,197.41,201.13,196.32,199.05,727762
2016-01-07,197.18,198.8,194.09,197.13,544390
2016-01-08,198.14,198.83,194.38,194.79,722872
2016-01-11,194.16,194.34,187.76,189.12,1192373
2016-01-12,189.6,191.88,185.02,187.65,1166336
2016-01-13,188.65,191.42,184.88,185.6,866656
2016-01-14,185.62,190.84,183.5,188.96,693891
2016-01-15,185.25,189.93,183.53,189.42,1336421
2016-01-19,190.41,191.98,184.65,186.58,786396
2016-01-20,185.11,185.44,176.85,182.78,1139606
2016-01-21,183.1,186.52,182.0,185.53,843733
2016-01-22,187.81,190.48,184.67,187.23,1095718
2016-01-25,187.18,187.37,182.75,185.53,1057803
2016-01-26,196.71,197.0,182.57,186.0,1494362
2016-01-27,186.77,188.68,183.0,185.12,1071461
2016-01-28,185.86,192.63,185.5,192.18,1051176
2016-01-29,193.08,197.36,193.08,196.69,1020253
2016-02-01,195.36,199.0,193.63,197.7,826450
2016-02-02,195.16,195.7,191.9,192.93,447973
2016-02-03,195.23,198.9,189.57,197.65,784692
2016-02-04,201.37,212.65,199.35,208.48,1494808
2016-02-05,208.0,212.14,205.93,208.31,1203586
2016-02-08,206.84,212.93,205.38,210.32,1244003
2016-02-09,207.99,212.03,206.21,209.79,1478317
2016-02-10,211.05,212.0,203.88,204.08,1115558
2016-02-11,200.55,205.95,197.66,204.37,910432
2016-02-12,206.23,211.78,204.42,211.09,740037
2016-02-16,212.2,217.01,209.69,213.97,937933
2016-02-17,216.25,218.72,214.11,216.36,903636
2016-02-18,217.74,217.95,215.22,215.85,634299
2016-02-19,215.06,217.41,212.32,217.27,696044
2016-02-22,218.57,224.18,217.64,220.53,900597
2016-02-23,220.7,221.47,217.49,217.9,668121
2016-02-24,214.5,216.81,212.4,215.97,861270
2016-02-25,217.53,217.88,213.72,217.5,702815
2016-02-26,218.98,219.41,215.27,217.95,732800
2016-02-29,218.07,218.74,215.05,216.9,693670
2016-03-01,219.01,225.86,215.21,223.68,864815
2016-03-02,223.0,223.88,219.52,220.61,617065
2016-03-03,221.11,223.25,219.6,221.71,836633
2016-03-04,220.79,222.69,215.18,221.96,715314
2016-03-07,221.62,225.68,220.89,224.29,457536
2016-03-08,223.86,225.95,222.05,224.79,608089
2016-03-09,226.0,226.18,217.59,218.94,907597
2016-03-10,219.37,220.4,216.0,217.94,816745
2016-03-11,219.49,220.54,214.73,217.27,902775
2016-03-14,217.5,218.83,215.26,217.43,530969
2016-03-15,215.23,218.28,214.08,217.92,425948
2016-03-16,218.11,221.32,216.22,220.64,661382
2016-03-17,220.35,232.0,218.32,226.6,1322119
2016-03-18,227.53,227.83,225.2,225.59,980027
2016-03-21,225.59,227.94,224.18,227.45,406450
2016-03-22,227.29,230.32,227.19,228.47,541749
2016-03-23,228.2,230.29,227.46,229.11,469786
2016-03-24,228.05,231.0,228.05,229.15,502564
2016-03-28,229.78,230.0,227.37,228.2,324598
2016-03-29,227.19,230.84,226.58,230.61,310250
2016-03-30,232.31,234.29,230.24,233.5,469706
2016-03-31,233.33,234.77,231.83,233.43,461596
2016-04-01,230.38,234.57,226.97,234.38,488940
2016-04-04,233.85,234.61,230.6,231.26,392221
2016-04-05,231.66,234.76,229.52,233.65,706691
2016-04-06,231.95,233.0,226.31,232.84,621758
2016-04-07,232.02,233.82,229.1,229.97,511715
2016-04-08,231.34,234.58,229.88,230.64,579839
2016-04-11,232.13,234.75,232.0,232.41,511124
