Date,Open,High,Low,Close,Volume
2016-01-04,86.4,87.69,85.96,87.65,1325701
2016-01-05,87.88,89.25,87.21,88.17,1175544
2016-01-06,87.25,88.58,86.98,87.37,1971151
2016-01-07,85.85,87.62,85.52,86.24,2098271
2016-01-08,86.5,87.72,85.8,85.84,2067144
2016-01-11,86.6,87.46,85.39,86.94,1273931
2016-01-12,87.32,89.17,86.46,88.91,1948313
2016-01-13,88.88,89.35,85.25,85.4,1440245
2016-01-14,85.53,85.54,84.25,84.49,1533594
2016-01-15,82.72,84.34,82.25,84.25,1633594
2016-01-19,84.99,85.46,83.2,84.34,1168914
2016-01-20,83.27,84.14,81.57,83.58,1271799
2016-01-21,83.69,84.56,82.43,82.85,1081292
2016-01-22,84.01,84.12,82.7,84.06,2095327
2016-01-25,83.9,84.76,83.41,84.13,1608346
2016-01-26,84.29,85.72,84.17,85.62,985690
2016-01-27,85.23,87.02,84.56,84.84,1186701
2016-01-28,85.04,85.49,83.95,84.79,890326
2016-01-29,85.28,87.11,84.96,86.97,1326564
2016-02-01,86.08,87.14,85.78,86.72,1395134
2016-02-02,84.01,84.09,77.03,78.24,6298513
2016-02-03,77.53,78.86,77.25,77.89,3180129
2016-02-04,77.72,79.82,77.58,78.84,1452053
2016-02-05,78.84,78.84,74.92,75.68,1790037
2016-02-08,74.8,75.27,71.76,73.02,2036531
2016-02-09,72.2,73.72,72.08,72.73,1223943
2016-02-10,73.26,73.67,72.4,72.72,1298326
2016-02-11,71.72,72.4,70.97,71.71,1062035
2016-02-12,72.5,72.52,71.22,72.06,929101
2016-02-16,73.05,73.55,72.53,73.46,1073059
2016-02-17,73.8,74.63,73.66,74.26,808350
2016-02-18,74.35,76.1,74.22,74.35,724754
2016-02-19,74.51,75.39,73.74,75.18,1123258
2016-02-22,75.81,76.83,75.81,76.44,994959
2016-02-23,76.0,76.36,75.32,75.4,794482
2016-02-24,74.94,75.66,74.48,75.46,791239
2016-02-25,75.93,76.36,75.21,76.14,752288
2016-02-26,76.53,76.98,76.18,76.54,850219
2016-02-29,77.46,79.74,77.43,78.02,1684820
2016-03-01,78.77,80.23,77.73,79.4,1532282
2016-03-02,79.14,81.22,79.0,80.15,911226
2016-03-03,79.75,80.68,79.57,80.47,848856
2016-03-04,80.56,81.89,80.54,81.15,944115
2016-03-07,80.55,80.65,78.89,79.33,1187176
2016-03-08,78.75,79.43,77.18,78.17,1478290
2016-03-09,78.77,80.19,78.31,79.76,1090536
2016-03-10,79.9,81.13,78.79,79.64,852248
2016-03-11,80.13,80.63,78.95,80.42,956661
2016-03-14,80.0,80.54,79.53,79.59,867559
2016-03-15,78.63,79.53,76.73,77.66,1468302
2016-03-16,77.6,78.53,77.27,78.36,920611
2016-03-17,78.3,79.19,77.93,78.52,1003426
2016-03-18,78.89,79.57,78.52,78.9,1221099
2016-03-21,78.53,78.93,77.93,78.56,950128
2016-03-22,78.24,80.32,78.18,79.62,1162370
2016-03-23,79.48,79.5,78.5,79.04,934494
2016-03-24,78.6,79.35,77.8,78.16,780776
2016-03-28,78.41,78.54,77.6,77.84,715114
2016-03-29,77.86,78.66,77.11,78.48,650934
2016-03-30,78.84,79.1,77.8,78.71,913648
2016-03-31,78.63,79.1,77.34,77.86,1351099
2016-04-01,77.39,78.0,75.57,77.8,1885893
2016-04-04,77.82,77.93,76.94,76.99,939126
2016-04-05,76.34,76.39,75.01,75.06,1463984
2016-04-06,75.15,76.57,74.65,76.49,1459137
2016-04-07,76.21,76.81,75.72,76.33,1480228
2016-04-08,76.71,77.71,76.55,76.71,1033570
2016-04-11,77.04,77.54,76.43,76.45,853293
2016-04-12,76.42,76.93,75.8,76.72,1038640
2016-04-13,77.16,78.42,77.16,78.34,730521
2016-04-14,78.18,78.46,77.52,77.65,939894
2016-04-15,77.37,77.67,76.73,77.39,833262
2016-04-18,77.33,77.8,77.05,77.69,962735
2016-04-19,77.7,78.81,77.5,78.79,997633
2016-04-20,78.66,79.51,78.05,79.3,941990
2016-04-21,79.45,79.88,78.69,78.95,733231
2016-04-22,78.84,80.35,78.84,79.83,782777
2016-04-25,79.5,79.53,78.3,78.77,547781
2016-04-26,79.01,79.65,78.84,79.47,641621
2016-04-27,79.24,80.87,79.24,80.76,650096
2016-04-28,80.23,80.72,79.81,80.05,690230
2016-04-29,79.83,80.25,79.1,80.01,1009509
2016-05-02,80.13,80.95,79.51,80.86,1643389
2016-05-03,77.19,78.36,76.15,76.43,2249705
2016-05-04,75.7,76.1,73.32,74.4,2138738
2016-05-05,74.49,74.86,73.89,74.78,1038039
2016-05-06,74.59,74.82,73.72,74.59,932174
2016-05-09,74.66,76.19,74.66,75.67,1351590
2016-05-10,75.83,76.6,75.33,76.6,790093
2016-05-11,76.5,76.54,75.67,76.05,1024877
2016-05-12,76.28,76.56,75.61,76.11,633909
2016-05-13,75.9,76.42,75.42,75.92,728531
2016-05-16,75.9,77.41,75.71,77.07,711231
2016-05-17,76.93,77.86,76.75,77.49,1078008
2016-05-18,77.32,78.13,76.91,77.48,1041262
2016-05-19,76.86,77.57,76.55,77.51,848827
2016-05-20,78.06,78.84,77.62,78.74,692253
2016-05-23,78.74,78.8,78.15,78.33,490208
2016-05-24,78.54,79.15,78.26,78.98,541320
2016-05-25,79.04,79.79,78.69,79.36,592818
2016-05-26,79.5,80.22,79.5,79.76,736353
2016-05-27,79.17,79.69,79.1,79.43,738148
2016-05-31,79.31,79.31,77.56,78.77,1208084
2016-06-01,78.35,79.72,78.26,79.56,494599
2016-06-02,79.56,79.85,79.17,79.77,473951
2016-06-03,79.7,80.2,79.07,79.99,555624
2016-06-06,80.0,81.46,79.44,80.93,932505
2016-06-07,81.07,81.88,81.07,81.35,741877
2016-06-08,81.4,82.16,81.25,81.87,839983
2016-06-09,81.49,81.93,81.04,81.22,543436
2016-06-10,81.26,82.0,80.76,81.0,929124
2016-06-13,80.7,81.62,80.52,80.61,1031134
2016-06-14,80.48,81.24,80.31,80.98,1264435
2016-06-15,81.19,81.61,80.84,81.21,1198154
2016-06-16,80.65,82.08,80.25,81.99,1254427
2016-06-17,82.04,83.0,81.41,81.91,1627332
2016-06-20,83.0,83.54,82.76,83.17,1398141
2016-06-21,83.05,83.97,83.05,83.5,1239903
2016-06-22,83.73,84.28,83.23,83.39,898382
2016-06-23,84.38,84.75,83.65,84.14,766559
2016-06-24,82.04,82.62,80.93,80.98,1460808
2016-06-27,80.02,80.2,78.42,78.49,1426213
2016-06-28,79.56,80.34,78.67,80.3,1281965
2016-06-29,80.93,82.21,80.79,82.09,729915
2016-06-30,82.47,83.45,81.62,83.44,1025271
2016-07-01,83.5,83.92,82.29,82.59,710054
2016-07-05,82.01,82.07,81.24,81.54,794778
2016-07-06,81.38,82.59,80.78,82.44,822137
2016-07-07,82.75,83.13,82.1,82.27,515844
2016-07-08,83.22,84.47,82.74,84.2,829570
2016-07-11,84.32,84.7,83.57,84.41,440582
2016-07-12,84.91,85.44,84.7,84.96,471593
2016-07-13,85.15,85.47,84.92,85.33,406511
2016-07-14,86.0,86.22,85.5,85.56,557998
2016-07-15,85.83,85.93,85.12,85.27,617669
2016-07-18,85.16,85.48,84.99,85.05,497733
2016-07-19,84.82,85.41,84.7,85.32,444513
2016-07-20,85.64,86.23,85.38,86.03,647049
2016-07-21,86.02,86.36,85.64,85.93,457946
2016-07-22,85.94,86.66,85.84,86.56,391214
2016-07-25,86.27,86.5,85.29,85.5,693004
2016-07-26,85.42,86.47,85.32,86.32,673383
