Date,Open,High,Low,Close,Volume
2016-01-04,50.45,50.63,49.67,50.28,8115355
2016-01-05,51.66,51.81,50.81,51.52,6751475
2016-01-06,51.0,51.35,50.58,51.06,5233920
2016-01-07,50.09,51.74,50.05,50.83,6183720
2016-01-08,51.13,51.4,49.94,50.05,4808660
2016-01-11,50.39,50.82,49.96,50.53,4436715
2016-01-12,51.0,51.18,50.11,50.77,3620205
2016-01-13,50.88,50.93,48.83,49.32,4274990
2016-01-14,49.65,50.29,49.05,50.01,3651805
2016-01-15,48.64,50.31,48.61,49.09,7006040
2016-01-19,49.86,50.26,49.45,49.81,5435385
2016-01-20,49.05,49.45,48.25,48.57,6236210
2016-01-21,48.91,49.22,48.07,48.42,4790075
2016-01-22,49.02,50.34,48.71,50.26,5003950
2016-01-25,50.51,50.72,49.28,49.75,4520765
2016-01-26,50.1,50.34,49.82,50.33,4884010
2016-01-27,50.22,51.24,50.01,50.56,5450920
2016-01-28,50.98,51.25,50.27,50.91,5300750
2016-01-29,51.33,52.81,50.94,52.76,9071365
2016-02-01,52.66,53.78,52.33,53.39,7805105
2016-02-02,53.15,53.15,52.46,52.9,6050750
2016-02-03,53.11,53.33,51.49,52.62,6074555
2016-02-04,52.78,52.93,48.36,49.22,14840415
2016-02-05,48.93,49.27,46.8,47.24,8840810
2016-02-08,46.72,48.0,45.79,47.8,9604850
2016-02-09,47.67,48.83,47.39,48.56,5936790
2016-02-10,48.76,49.01,47.24,47.29,4805230
2016-02-11,46.13,47.24,45.7,46.64,6407370
2016-02-12,47.31,47.31,46.21,47.26,4125065
2016-02-16,47.72,48.1,47.02,47.58,4842850
2016-02-17,47.71,49.54,47.71,49.28,4936500
2016-02-18,49.2,49.4,48.51,48.79,2688460
2016-02-19,48.67,49.94,48.31,49.61,3817840
2016-02-22,50.21,50.74,49.08,49.34,3655560
2016-02-23,49.46,49.7,47.95,48.33,4658370
2016-02-24,48.0,48.99,47.63,48.87,3189665
2016-02-25,48.87,49.34,48.31,49.01,3210390
2016-02-26,49.05,49.19,47.91,47.99,6365975
2016-02-29,47.79,48.16,47.1,47.69,3529465
2016-03-01,46.56,46.7,45.54,46.42,13457660
2016-03-02,46.81,46.81,45.86,46.39,8085055
2016-03-03,46.09,47.45,46.09,47.39,4444605
2016-03-04,47.44,48.07,46.97,47.8,4383515
2016-03-07,47.26,47.55,46.47,46.86,3657240
2016-03-08,46.32,47.2,46.31,46.61,3973195
2016-03-09,46.7,46.77,45.44,45.99,6540885
2016-03-10,46.28,46.64,45.91,46.42,3913660
2016-03-11,46.65,47.54,46.65,47.2,3835160
2016-03-14,46.9,47.51,46.9,47.27,2100150
2016-03-15,46.86,47.59,46.86,47.31,2230600
2016-03-16,47.34,47.44,46.53,46.63,2672605
2016-03-17,46.78,47.41,46.62,47.22,3249080
2016-03-18,47.41,47.59,46.72,47.5,5290770
2016-03-21,47.41,47.85,47.27,47.42,2423565
2016-03-22,47.0,47.58,46.9,47.04,2261465
2016-03-23,47.07,47.61,46.95,47.31,2368105
2016-03-24,47.08,47.29,46.58,46.87,2598380
2016-03-28,46.88,47.38,46.8,47.0,2391660
2016-03-29,46.97,47.1,46.39,46.94,2776970
2016-03-30,47.16,47.37,46.51,46.64,3560585
2016-03-31,46.4,47.18,46.24,47.03,5882895
2016-04-01,46.97,47.57,46.71,47.14,3053235
2016-04-04,47.05,47.37,46.57,47.3,4322215
2016-04-05,47.08,47.76,46.75,47.44,4575125
2016-04-06,47.38,47.61,46.72,47.57,4569275
2016-04-07,47.33,47.81,46.62,46.9,3965105
2016-04-08,47.04,47.19,46.57,46.7,3190220
2016-04-11,46.85,47.01,46.34,46.5,2497745
2016-04-12,46.67,46.82,45.88,46.6,2993905
2016-04-13,47.05,47.55,46.42,47.5,3324495
2016-04-14,47.38,47.8,47.17,47.36,3414365
2016-04-15,47.42,47.88,47.3,47.7,2504390
2016-04-18,47.59,48.12,47.54,47.89,2904500
2016-04-19,47.76,48.44,47.67,48.42,3483615
2016-04-20,48.54,48.67,48.08,48.52,2620020
2016-04-21,48.32,48.48,47.96,48.03,2532455
2016-04-22,48.07,48.51,47.98,48.23,2892360
2016-04-25,48.13,48.3,47.93,48.08,2896925
2016-04-26,48.25,48.9,48.0,48.88,2367560
2016-04-27,48.76,48.93,48.25,48.7,1999820
2016-04-28,48.29,48.71,48.03,48.17,1737835
2016-04-29,47.9,48.16,47.63,48.01,3009510
2016-05-02,48.11,48.95,47.88,48.94,4452295
2016-05-03,48.45,48.76,47.62,48.2,3403080
2016-05-04,51.0,52.54,51.0,51.7,14335985
2016-05-05,51.8,52.02,50.77,50.8,7107010
2016-05-06,50.79,51.71,50.56,51.63,3986600
2016-05-09,51.74,52.48,51.68,52.1,5616630
2016-05-10,52.11,52.52,51.86,52.2,5001320
2016-05-11,52.17,52.32,51.52,51.71,2986660
2016-05-12,52.02,52.66,51.67,52.43,2766685
2016-05-13,52.22,52.66,51.98,52.0,3518190
2016-05-16,52.13,52.62,51.86,52.32,3592380
2016-05-17,52.2,52.5,51.26,51.52,3748580
2016-05-18,51.4,52.33,51.24,52.29,3055050
2016-05-19,52.3,52.6,51.91,52.13,4611660
2016-05-20,52.45,53.12,52.35,52.6,5795945
2016-05-23,52.46,52.93,52.3,52.8,3199455
2016-05-24,52.9,54.29,52.8,54.14,6396455
2016-05-25,54.16,54.34,53.88,54.0,3890550
2016-05-26,53.9,54.05,53.42,53.6,3203360
2016-05-27,53.88,54.14,53.6,54.04,2844665
2016-05-31,54.24,54.39,53.88,54.22,3266320
2016-06-01,53.75,53.94,53.21,53.82,3999590
2016-06-02,53.57,53.79,53.11,53.45,3801465
2016-06-03,53.01,53.18,52.6,53.1,4876045
2016-06-06,53.06,53.16,52.35,52.9,4610010
2016-06-07,52.9,53.41,52.86,53.06,3856050
2016-06-08,52.92,53.03,52.63,52.96,2272570
2016-06-09,52.68,52.79,52.27,52.5,3510635
2016-06-10,52.22,52.51,52.03,52.26,2980315
2016-06-13,52.0,52.55,51.68,52.11,3665735
2016-06-14,51.79,52.18,51.41,51.6,3986665
2016-06-15,51.64,52.05,51.19,51.31,3974725
2016-06-16,50.93,51.45,50.68,51.31,2927065
2016-06-17,51.35,51.36,50.66,50.73,3280725
2016-06-20,51.13,51.63,50.4,50.44,4078385
2016-06-21,50.49,50.69,50.14,50.19,3463780
2016-06-22,50.29,50.47,49.92,50.4,3392450
2016-06-23,50.83,51.24,50.72,51.21,3844685
2016-06-24,49.56,50.44,49.15,49.28,12361620
2016-06-27,49.06,49.06,48.15,48.44,4479215
2016-06-28,48.82,49.67,48.44,49.67,5460390
2016-06-29,50.03,50.72,49.87,50.55,4377025
2016-06-30,50.6,51.35,50.32,51.19,4279825
2016-07-01,50.98,51.55,50.49,50.55,2740430
2016-07-05,50.21,51.06,50.18,50.97,2731475
2016-07-06,50.64,51.04,50.45,50.98,3859160
2016-07-07,50.97,51.2,50.27,50.79,3344590
2016-07-08,50.85,51.71,50.85,51.38,2346395
2016-07-11,51.39,51.69,51.12,51.59,1897390
2016-07-12,51.91,52.23,51.66,52.1,3095475
2016-07-13,52.41,52.41,51.72,51.92,1821450
2016-07-14,52.4,52.51,52.11,52.51,1977915
2016-07-15,52.7,52.7,52.5,52.61,2297370
2016-07-18,52.64,52.89,52.44,52.58,2019875
2016-07-19,52.3,53.03,52.25,52.83,1545140
2016-07-20,53.0,53.0,52.47,52.54,3431955
2016-07-21,52.38,52.51,52.15,52.49,1479755
2016-07-22,52.73,52.73,52.52,52.63,1402055
2016-07-25,52.59,52.71,52.31,52.68,1520320
2016-07-26,52.55,52.73,52.22,52.42,1285935
2016-07-27,52.42,52.93,52.42,52.81,1866540
2016-07-28,52.71,53.21,52.62,53.05,2935805
2016-07-29,52.97,53.23,52.81,52.84,1873575
2016-08-01,52.94,53.04,52.67,52.93,2237030
2016-08-02,52.85,52.85,52.45,52.79,3098725
2016-08-03,54.21,56.65,54.0,55.6,10269435
2016-08-04,55.7,56.0,55.35,55.67,3667720
2016-08-05,56.01,56.05,55.26,55.61,3286680
2016-08-08,55.48,55.48,54.91,55.36,2953070
2016-08-09,55.46,55.51,55.2,55.39,1960025
2016-08-10,55.35,55.46,55.13,55.37,1937200
2016-08-11,55.62,55.75,55.23,55.72,1798230
2016-08-12,55.36,55.79,55.26,55.73,1717190
2016-08-15,55.93,56.06,55.73,56.0,2393630
2016-08-16,55.8,56.12,55.62,55.62,1932345
2016-08-17,55.72,56.36,55.67,56.3,2057650
2016-08-18,56.28,56.38,56.15,56.27,1989090
2016-08-19,56.21,56.38,55.83,56.07,1828335
2016-08-22,56.07,56.16,55.82,55.9,1675960
2016-08-23,56.26,56.26,55.73,55.78,1542150
2016-08-24,55.65,55.75,55.31,55.43,2213810
2016-08-25,55.33,55.5,55.21,55.44,1891100
2016-08-26,55.56,55.87,55.21,55.54,1678040
2016-08-29,55.54,56.08,55.46,55.71,2274290
2016-08-30,55.77,56.03,55.36,55.99,2975195
2016-08-31,55.85,56.43,55.75,56.4,3155815
2016-09-01,56.51,57.29,56.33,56.87,3703655
2016-09-02,57.04,57.11,56.7,57.07,1918370
2016-09-06,57.14,57.4,56.76,56.97,3947770
2016-09-07,56.62,56.79,56.33,56.73,2363815
2016-09-08,56.61,56.7,56.32,56.51,2682860
2016-09-09,56.34,56.67,56.07,56.45,4113700
2016-09-12,55.76,57.15,55.76,57.0,4145260
2016-09-13,56.62,56.83,56.13,56.33,4094925
2016-09-14,56.16,56.45,55.92,55.96,4206200
2016-09-15,55.97,56.52,55.96,56.34,2574015
2016-09-16,56.14,56.41,55.84,56.3,3187130
2016-09-19,56.45,56.69,56.22,56.45,1802960
2016-09-20,56.55,56.77,56.04,56.04,1459140
2016-09-21,56.17,56.5,56.0,56.45,1707070
2016-09-22,56.65,56.72,55.91,56.14,1952065
2016-09-23,56.07,56.07,55.22,55.22,2997735
2016-09-26,55.15,55.28,54.66,54.81,2608240
2016-09-27,54.68,54.98,54.48,54.71,2403105
2016-09-28,54.77,54.88,53.89,54.19,3870825
2016-09-29,54.01,54.5,53.42,53.68,2953725
2016-09-30,53.97,54.21,53.8,53.87,3410605
2016-10-03,53.67,53.92,53.44,53.53,4497090
2016-10-04,53.6,54.05,53.48,53.55,2449245
2016-10-05,53.59,53.73,53.33,53.66,3207710
2016-10-06,53.51,53.68,53.35,53.54,1793760
