Date,Open,High,Low,Close,Volume
2016-01-04,94.19,94.89,93.14,94.38,2801824
2016-01-05,95.34,96.12,94.58,95.95,1859409
2016-01-06,94.43,96.48,94.16,96.29,2433171
2016-01-07,94.5,96.42,93.24,94.44,2477736
2016-01-08,94.94,96.0,93.02,93.14,2004696
2016-01-11,93.82,94.26,93.14,94.0,1889891
2016-01-12,94.69,95.16,93.56,94.85,1300807
2016-01-13,95.11,95.6,91.57,91.7,1886125
2016-01-14,92.31,95.47,91.14,94.32,2536493
2016-01-15,91.43,92.93,90.58,91.49,2766356
2016-01-19,92.84,93.14,90.04,90.88,2465099
2016-01-20,89.53,92.88,88.66,91.99,2904422
2016-01-21,92.8,93.67,91.21,91.95,1461686
2016-01-22,93.07,94.0,92.2,93.61,1076526
2016-01-25,93.47,93.66,91.59,91.73,1305787
2016-01-26,91.94,92.71,91.03,92.64,1139657
2016-01-27,92.41,93.26,90.45,90.77,932638
2016-01-28,91.73,92.22,90.7,92.02,1141639
2016-01-29,92.72,95.63,92.09,95.51,2109458
2016-02-01,95.28,96.97,94.36,96.37,1317309
2016-02-02,95.31,95.66,93.97,94.15,2432889
2016-02-03,95.0,96.41,94.0,95.89,1864201
2016-02-04,95.78,96.93,94.85,96.75,1647482
2016-02-05,96.09,96.25,91.24,91.79,2891074
2016-02-08,90.91,91.23,88.88,90.92,2743019
2016-02-09,90.08,92.14,89.49,90.13,1921493
2016-02-10,91.28,92.41,89.95,90.26,1884226
2016-02-11,88.17,92.07,88.17,91.41,1981761
2016-02-12,92.97,94.7,91.5,94.56,2162646
2016-02-16,93.7,95.81,93.68,95.36,2223238
2016-02-17,95.82,98.68,95.41,98.36,1710246
2016-02-18,97.79,98.66,96.1,96.47,1753623
2016-02-19,96.52,97.61,95.31,97.19,1900056
2016-02-22,98.18,98.71,97.0,98.25,1619540
2016-02-23,97.54,98.12,96.24,97.36,1853752
2016-02-24,96.35,98.98,95.41,98.83,2177169
2016-02-25,99.1,100.16,97.94,100.07,2315701
2016-02-26,100.91,101.0,94.1,95.75,3809518
2016-02-29,95.37,97.32,94.96,96.64,2653280
2016-03-01,97.67,98.86,96.58,98.86,2194725
2016-03-02,98.53,99.64,98.06,98.63,1607892
2016-03-03,98.06,98.48,96.39,97.71,1851487
2016-03-04,98.11,99.26,97.05,99.18,1902238
2016-03-07,98.15,99.75,97.58,99.38,1996810
2016-03-08,98.64,100.25,98.4,99.27,1978838
2016-03-09,99.39,100.01,98.9,99.47,1548830
2016-03-10,99.55,100.27,96.85,98.02,1677855
2016-03-11,98.78,100.28,98.05,99.96,1466801
2016-03-14,99.61,100.17,99.21,99.43,1181398
2016-03-15,99.14,99.69,98.71,99.33,1012639
2016-03-16,99.4,100.54,98.74,100.29,1215845
2016-03-17,100.11,101.22,99.6,100.83,1383591
2016-03-18,101.34,102.29,100.03,102.01,3010632
2016-03-21,101.46,102.01,100.93,102.01,966445
2016-03-22,101.67,102.52,101.29,102.15,1162110
2016-03-23,101.67,102.05,101.06,101.7,1623870
2016-03-24,101.38,102.12,100.69,101.89,1328727
2016-03-28,101.87,102.31,101.54,102.05,997798
2016-03-29,101.59,102.93,101.19,102.57,938000
2016-03-30,103.0,103.4,102.51,103.18,968338
2016-03-31,102.75,104.51,102.47,104.01,2229869
2016-04-01,103.77,104.78,103.52,104.69,844901
2016-04-04,104.91,105.28,104.63,104.96,892100
2016-04-05,104.43,104.86,103.78,103.9,956616
2016-04-06,103.92,105.32,103.6,105.13,806376
2016-04-07,104.33,104.44,102.64,103.17,1257970
2016-04-08,103.86,104.11,102.92,103.38,654122
2016-04-11,104.06,104.06,102.3,102.62,997799
2016-04-12,102.64,103.1,101.84,102.71,1451255
2016-04-13,102.97,103.55,102.71,103.31,1358635
2016-04-14,103.96,104.05,102.82,102.93,1270595
2016-04-15,103.17,103.65,102.09,102.83,1626196
2016-04-18,102.56,104.0,102.35,103.79,1157535
2016-04-19,104.09,104.34,103.1,103.92,767200
2016-04-20,104.25,104.51,103.55,103.74,880896
2016-04-21,103.74,103.93,102.28,102.3,1218857
2016-04-22,102.04,102.44,100.76,102.33,1609204
2016-04-25,102.15,102.59,101.89,102.36,888904
2016-04-26,104.59,105.0,103.12,103.92,1233331
2016-04-27,103.96,104.47,102.58,103.51,1026811
