Date,Open,High,Low,Close,Volume
2016-01-04,26.8,26.88,26.31,26.84,1080220
2016-01-05,26.91,27.37,26.75,27.33,783041
2016-01-06,27.08,27.26,26.93,27.12,800595
2016-01-07,26.73,26.81,26.11,26.22,824330
2016-01-08,26.38,26.62,25.51,25.62,1659400
2016-01-11,25.71,26.04,25.44,25.91,1159953
2016-01-12,26.07,26.14,25.17,25.37,1076032
2016-01-13,25.41,25.78,25.04,25.06,930493
2016-01-14,25.09,25.39,24.71,25.11,1260359
2016-01-15,24.7,24.99,24.32,24.84,1139026
2016-01-19,25.11,25.15,24.54,24.83,1002991
2016-01-20,24.57,24.84,23.64,24.56,1450338
2016-01-21,24.67,25.34,24.39,24.87,1183369
2016-01-22,25.17,25.7,25.15,25.51,1123378
2016-01-25,25.48,25.49,25.16,25.27,1369703
2016-01-26,25.46,25.82,25.35,25.81,1949050
2016-01-27,25.71,26.21,25.6,25.83,1191159
2016-01-28,26.13,26.38,25.87,26.1,903149
2016-01-29,26.4,27.65,26.21,27.54,3914885
2016-02-01,27.24,27.41,26.92,27.08,1458702
2016-02-02,26.9,26.99,26.35,26.62,1158361
2016-02-03,26.81,27.16,26.29,27.1,1530923
2016-02-04,27.13,27.55,26.91,27.35,1654223
2016-02-05,27.02,27.15,26.72,27.0,1479627
2016-02-08,26.76,26.81,26.08,26.67,3330202
2016-02-09,26.41,26.76,26.27,26.56,3524321
2016-02-10,26.59,27.0,26.45,26.73,1488333
2016-02-11,26.24,26.75,26.16,26.61,1511983
2016-02-12,26.79,27.43,26.73,27.4,1033253
2016-02-16,27.72,28.64,27.49,28.63,1423391
2016-02-17,28.7,29.18,28.29,29.06,1016292
2016-02-18,28.86,29.47,28.67,29.27,1160231
2016-02-19,29.09,29.19,28.56,28.95,965367
2016-02-22,29.26,29.53,28.95,29.45,866385
2016-02-23,29.37,29.64,29.13,29.26,874130
2016-02-24,29.11,29.17,28.8,29.13,1180494
2016-02-25,29.32,29.95,28.79,29.93,1150950
2016-02-26,29.85,30.0,29.43,29.56,906073
2016-02-29,29.6,29.97,29.27,29.38,1365090
2016-03-01,29.52,30.03,29.51,29.97,1310848
2016-03-02,29.89,30.0,29.52,29.99,1231446
2016-03-03,29.5,30.29,29.16,30.2,1531259
2016-03-04,30.19,30.56,29.86,29.99,1011978
2016-03-07,29.77,30.84,29.69,30.83,1362146
2016-03-08,30.7,31.05,30.54,30.94,1569008
2016-03-09,31.04,31.57,30.72,31.46,1848599
2016-03-10,31.5,31.61,30.32,30.6,1703318
2016-03-11,30.93,31.83,30.67,31.79,1365443
2016-03-14,31.77,31.96,31.13,31.68,1002193
2016-03-15,31.44,31.62,31.07,31.19,875921
2016-03-16,31.07,31.59,30.91,31.48,1056046
2016-03-17,31.62,32.68,31.51,32.62,1481140
2016-03-18,32.66,33.17,32.38,32.78,2273675
2016-03-21,32.57,32.6,31.93,32.39,890325
2016-03-22,32.26,32.99,32.18,32.96,1206329
2016-03-23,32.89,32.99,32.64,32.85,1182222
2016-03-24,32.7,32.82,32.38,32.77,801700
2016-03-28,32.83,33.36,32.81,33.09,768812
2016-03-29,33.0,33.52,32.46,33.5,1129760
2016-03-30,33.59,33.85,33.4,33.61,795452
2016-03-31,33.58,34.15,33.5,33.91,1219146
2016-04-01,33.26,33.55,32.27,32.73,2170774
2016-04-04,32.72,32.8,32.48,32.72,1104556
2016-04-05,32.61,32.81,32.35,32.62,1203801
2016-04-06,32.59,32.59,32.12,32.51,783994
2016-04-07,32.39,32.54,32.21,32.28,916266
2016-04-08,32.5,32.84,32.46,32.68,1501012
2016-04-11,32.8,33.08,32.68,32.8,1187402
2016-04-12,32.92,33.2,32.75,33.16,1031075
2016-04-13,33.32,33.32,32.95,33.2,1355451
2016-04-14,33.1,33.28,32.92,33.27,1823098
2016-04-15,33.19,33.71,32.9,33.57,1689936
2016-04-18,34.04,35.07,33.91,34.75,2874166
2016-04-19,34.75,35.23,34.48,35.01,3093198
2016-04-20,35.1,35.48,35.02,35.05,3439456
2016-04-21,35.1,35.25,34.51,35.21,10329526
2016-04-22,35.17,35.88,35.1,35.57,3864373
2016-04-25,35.44,35.52,35.25,35.5,1869483
2016-04-26,35.68,36.0,35.52,35.97,2284994
2016-04-27,35.97,36.28,35.76,36.02,2288516
2016-04-28,35.85,36.62,35.84,36.24,2933969
2016-04-29,36.31,36.55,36.15,36.53,3519703
2016-05-02,37.36,37.61,36.5,36.6,12644055
2016-05-03,36.52,36.56,36.12,36.5,11239791
2016-05-04,36.36,37.29,36.36,37.1,3540319
2016-05-05,37.27,37.38,36.95,37.27,1442155
2016-05-06,37.19,38.08,37.12,38.0,2087266
2016-05-09,37.93,38.64,37.93,38.15,2642357
2016-05-10,38.15,38.25,37.69,38.09,2866509
2016-05-11,38.05,38.05,37.3,37.49,2593096
2016-05-12,37.5,38.21,37.5,38.08,1696207
2016-05-13,38.02,38.12,37.58,37.89,1286965
2016-05-16,37.95,38.23,37.81,38.05,1863945
2016-05-17,37.98,38.15,37.45,37.7,1839784
2016-05-18,37.56,37.58,36.26,36.6,2651499
2016-05-19,36.32,36.5,35.76,36.33,2541690
2016-05-20,36.54,36.67,36.03,36.19,1967092
2016-05-23,36.16,36.2,35.71,36.0,1713147
2016-05-24,36.22,36.73,36.1,36.62,1855463
2016-05-25,36.79,36.88,36.41,36.55,1198692
2016-05-26,36.65,37.0,36.65,36.82,1595394
2016-05-27,36.82,37.31,36.54,36.8,3476698
2016-05-31,36.8,36.89,36.35,36.74,5351856
2016-06-01,36.55,36.84,36.46,36.65,2354837
2016-06-02,36.12,36.65,36.1,36.62,2141188
2016-06-03,36.81,37.08,36.43,36.71,2229353
2016-06-06,36.78,36.9,36.4,36.43,2424150
2016-06-07,36.66,36.85,36.6,36.7,2020506
2016-06-08,36.69,37.09,36.63,37.03,2123004
2016-06-09,36.98,37.15,36.67,37.11,1563838
2016-06-10,36.88,37.27,36.72,37.19,2448336
2016-06-13,37.22,38.14,37.15,37.94,3078956
2016-06-14,37.79,38.23,37.58,38.04,2580967
2016-06-15,38.06,38.6,37.93,38.56,2233588
2016-06-16,38.36,38.47,38.04,38.35,1562785
2016-06-17,38.25,38.41,37.9,38.25,1810620
2016-06-20,38.25,38.49,38.06,38.11,1232891
2016-06-21,38.26,38.4,38.05,38.23,1070933
2016-06-22,38.2,38.41,38.17,38.27,989957
2016-06-23,38.55,38.74,38.44,38.6,873985
2016-06-24,37.36,37.94,37.36,37.73,4617073
2016-06-27,37.6,38.05,37.28,37.98,1752883
2016-06-28,38.24,38.72,38.18,38.57,1861950
2016-06-29,38.76,39.61,38.76,39.55,1933347
2016-06-30,39.55,39.84,39.34,39.83,1802252
2016-07-01,39.92,40.0,39.72,39.94,1795939
2016-07-05,39.91,40.56,39.91,40.44,1821639
2016-07-06,40.32,40.61,39.68,40.0,2164306
2016-07-07,40.02,40.07,39.22,39.28,1543765
2016-07-08,39.6,40.09,39.25,39.85,3934106
2016-07-11,40.0,40.33,39.86,40.31,1091395
2016-07-12,40.5,41.04,40.3,40.96,1475513
2016-07-13,41.08,41.18,40.37,40.52,1246842
2016-07-14,40.77,41.06,40.21,40.26,1123750
2016-07-15,40.22,40.29,39.55,39.84,1887912
2016-07-18,39.92,39.94,39.67,39.71,737425
2016-07-19,39.68,40.09,39.53,39.99,2199684
2016-07-20,40.03,40.19,39.96,40.19,903506
2016-07-21,40.09,40.28,39.99,40.27,585103
2016-07-22,40.33,41.18,40.25,41.06,1135341
2016-07-25,41.01,41.14,40.72,41.11,1288688
2016-07-26,41.13,41.29,40.91,41.25,1355504
2016-07-27,41.13,41.24,40.68,41.0,1088056
2016-07-28,40.87,41.3,40.51,41.24,974404
2016-07-29,41.15,41.44,40.99,41.21,3015919
2016-08-01,41.23,41.5,40.92,41.02,1267597
2016-08-02,40.89,41.23,40.26,40.48,1097860
2016-08-03,40.5,40.54,39.93,40.24,1995677
2016-08-04,40.21,40.33,37.76,37.95,3371424
2016-08-05,38.07,38.16,37.13,37.78,3741797
2016-08-08,37.79,37.79,36.65,36.79,2595766
2016-08-09,36.84,36.86,36.38,36.77,2020824
2016-08-10,36.86,37.24,36.54,36.7,2016883
2016-08-11,36.77,37.08,36.48,37.04,2339286
2016-08-12,37.04,37.58,37.04,37.16,1280868
2016-08-15,37.16,37.39,37.04,37.09,1243123
2016-08-16,37.06,37.13,36.82,36.87,1124600
2016-08-17,37.03,37.17,36.57,36.96,1485508
2016-08-18,36.87,37.44,36.87,37.43,1346803
2016-08-19,37.46,37.71,37.41,37.67,1897394
2016-08-22,37.69,37.96,37.27,37.94,1289055
2016-08-23,38.07,38.23,37.92,38.11,1313833
2016-08-24,38.02,38.08,37.72,38.0,1270262
2016-08-25,38.02,38.51,38.02,38.39,1490857
2016-08-26,38.43,38.96,37.99,38.25,2749422
2016-08-29,38.33,38.63,38.26,38.46,1130295
2016-08-30,38.45,38.52,38.28,38.4,1422216
2016-08-31,38.33,38.52,38.05,38.41,2909195
2016-09-01,38.48,38.71,38.3,38.55,2144430
2016-09-02,38.7,39.46,38.59,38.79,1233987
2016-09-06,38.89,39.6,38.86,39.58,1587199
2016-09-07,39.59,39.75,39.31,39.62,1415141
2016-09-08,39.02,39.04,38.21,38.28,3019638
2016-09-09,37.88,37.89,36.41,36.41,2250169
2016-09-12,36.32,36.97,36.25,36.77,2048215
2016-09-13,36.56,36.56,35.95,36.01,1948036
2016-09-14,36.09,36.37,35.52,35.63,1918281
2016-09-15,35.56,36.2,35.42,36.05,2193201
2016-09-16,35.78,36.09,35.65,35.82,5534787
2016-09-19,36.03,36.52,35.92,36.49,1181472
2016-09-20,36.69,36.94,36.59,36.6,1387127
2016-09-21,36.68,36.98,36.05,36.92,1191625
2016-09-22,37.19,37.59,37.19,37.42,1227048
2016-09-23,37.39,37.82,37.1,37.65,989710
2016-09-26,37.6,38.04,37.4,37.86,1058342
2016-09-27,37.9,38.16,37.71,37.96,1200870
2016-09-28,38.07,38.47,37.78,38.44,1390930
2016-09-29,38.23,38.23,37.54,37.75,1148715
2016-09-30,37.88,38.01,37.52,37.53,1322164
2016-10-03,37.51,37.51,36.48,36.52,1339561
2016-10-04,36.48,36.5,35.13,35.39,1822246
2016-10-05,35.52,35.75,34.26,34.27,2230228
2016-10-06,34.07,34.21,33.58,33.87,2328482
2016-10-07,34.04,34.47,33.37,33.57,1852054
2016-10-10,33.64,33.95,33.56,33.91,1486031
2016-10-11,33.9,34.08,33.63,33.69,1817507
2016-10-12,33.74,34.64,33.59,34.61,2147698
2016-10-13,34.52,35.37,34.34,35.22,1939044
2016-10-14,35.22,35.29,34.38,34.39,1877661
2016-10-17,34.41,34.47,34.1,34.12,1449146
2016-10-18,34.42,34.42,33.98,34.15,1454316
2016-10-19,34.25,34.41,33.67,34.25,2416800
2016-10-20,34.28,34.34,33.78,34.05,755052
2016-10-21,33.79,34.17,33.7,33.97,821429
2016-10-24,34.08,34.31,33.86,34.23,1320085
2016-10-25,34.21,34.38,34.05,34.25,668785
2016-10-26,34.16,34.16,33.74,34.01,741969
2016-10-27,33.98,33.99,32.55,32.76,1918860
2016-10-28,32.83,33.33,32.72,32.83,1063066
2016-10-31,33.0,33.91,32.85,33.73,1655801
2016-11-01,33.29,34.65,32.88,33.17,2377817
2016-11-02,33.17,33.25,32.07,32.11,1892529
2016-11-03,32.11,32.26,31.57,32.1,1781939
2016-11-04,32.2,32.61,32.01,32.44,1247885
2016-11-07,32.87,33.32,32.75,33.29,1223088
2016-11-08,33.36,33.87,33.21,33.69,1275327
2016-11-09,32.82,33.08,32.23,32.78,2302641
2016-11-10,32.75,32.87,31.4,31.46,2543288
2016-11-11,31.47,31.86,31.23,31.54,2258747
2016-11-14,31.53,31.7,30.75,31.67,2364641
2016-11-15,31.87,32.36,31.44,31.82,1800134
2016-11-16,31.7,32.29,31.41,32.24,1318423
2016-11-17,32.15,32.32,31.83,32.0,1297685
2016-11-18,31.97,31.98,31.29,31.55,1780242
2016-11-21,31.79,32.85,31.77,32.59,1618272
2016-11-22,32.79,33.12,32.71,33.08,1291466
2016-11-23,32.78,33.25,32.73,33.1,882868
2016-11-25,33.14,33.86,33.14,33.66,568441
2016-11-28,33.64,34.0,33.25,33.28,1383296
2016-11-29,33.29,33.94,33.18,33.73,1837443
2016-11-30,33.7,33.72,32.65,33.0,2912691
2016-12-01,32.99,32.99,32.25,32.52,2084052
2016-12-02,32.6,33.8,32.6,33.72,1877393
2016-12-05,33.73,33.99,33.4,33.97,1561902
2016-12-06,34.02,34.19,33.72,33.8,995476
2016-12-07,33.84,34.73,33.46,34.72,2122834
2016-12-08,34.56,35.08,34.49,34.99,1251213
2016-12-09,34.95,35.08,34.56,34.65,1154710
2016-12-12,34.37,34.38,33.8,34.14,1814553
2016-12-13,33.53,33.57,33.01,33.16,1695951
2016-12-14,33.13,33.2,32.15,32.22,2474408
2016-12-15,31.94,31.95,31.39,31.75,3207050
2016-12-16,31.85,32.22,31.77,32.06,3880775
2016-12-19,31.79,32.26,31.78,31.98,1410490
2016-12-20,31.8,32.07,31.63,31.97,1181729
2016-12-21,32.1,32.61,32.02,32.24,1397079
2016-12-22,32.22,32.52,31.97,32.41,986910
2016-12-23,32.4,32.58,32.3,32.54,824392
2016-12-27,32.71,32.77,32.32,32.45,646203
2016-12-28,32.46,32.6,32.04,32.12,768837
2016-12-29,32.15,32.53,31.9,32.38,922000
2016-12-30,32.45,32.79,32.28,32.48,1995605
2017-01-03,32.81,33.11,32.27,33.1,1812084
2017-01-04,33.2,33.96,32.87,33.91,1346347
2017-01-05,33.72,34.07,33.6,33.98,1465313
2017-01-06,33.98,34.0,33.36,33.5,1101969
2017-01-09,33.6,33.6,33.03,33.26,1271662
2017-01-10,33.15,33.35,32.69,33.3,1076952
2017-01-11,33.34,33.54,33.06,33.19,1220504
2017-01-12,33.18,33.72,33.12,33.69,842330
2017-01-13,33.59,33.75,33.12,33.4,863693
2017-01-17,33.5,34.0,33.4,33.95,799064
2017-01-18,33.8,34.34,33.73,34.1,880955
2017-01-19,34.05,34.1,33.58,33.92,932002
2017-01-20,33.95,34.72,33.84,34.68,1610565
2017-01-23,34.54,35.04,34.42,34.97,1169698
2017-01-24,35.0,35.38,34.94,35.31,1508835
2017-01-25,35.36,35.39,35.06,35.31,1547146
2017-01-26,35.23,36.17,35.23,36.17,1561765
2017-01-27,36.26,36.28,35.97,36.18,1313267
2017-01-30,36.08,36.08,35.55,35.79,1976642
2017-01-31,35.82,36.08,35.72,35.8,3226422
2017-02-01,35.79,36.07,35.3,35.98,2156817
2017-02-02,35.95,36.27,35.83,36.2,935877
2017-02-03,36.39,36.73,36.31,36.59,1249174
2017-02-06,36.58,36.7,36.38,36.67,1407580
2017-02-07,36.69,36.89,36.61,36.71,1635416
2017-02-08,36.59,36.83,36.49,36.8,1239743
2017-02-09,36.8,37.18,36.67,37.03,1261553
2017-02-10,37.0,37.5,36.81,37.39,899071
2017-02-13,37.42,37.75,37.23,37.62,1110822
2017-02-14,37.5,37.62,37.02,37.05,1199698
2017-02-15,36.88,37.36,36.86,37.26,932378
2017-02-16,37.15,37.47,36.91,37.0,1776259
