Date,Open,High,Low,Close,Volume
2016-01-04,32.92,33.41,32.87,33.29,3314349
2016-01-05,33.26,33.48,32.7,32.89,3283061
2016-01-06,32.07,32.59,31.86,32.58,5867713
2016-01-07,31.91,32.23,31.61,31.75,3120534
2016-01-08,31.96,32.18,31.63,31.7,3259162
2016-01-11,31.76,31.96,31.46,31.71,3598855
2016-01-12,32.25,32.77,31.76,32.01,4440831
2016-01-13,32.68,33.03,31.06,31.21,3151267
2016-01-14,31.29,31.95,31.0,31.64,3916195
2016-01-15,30.9,31.85,30.9,31.72,4012654
2016-01-19,32.27,32.27,31.56,31.96,4565414
2016-01-20,30.94,31.5,30.3,31.23,4571388
2016-01-21,31.19,31.83,30.95,31.4,2977463
2016-01-22,31.8,32.2,31.61,32.03,2124423
2016-01-25,34.41,36.01,33.58,35.76,22863130
2016-01-26,35.2,35.86,34.65,35.58,8051218
2016-01-27,35.54,36.38,35.04,35.2,6545683
2016-01-28,35.61,35.8,34.96,35.06,4597898
2016-01-29,35.91,36.4,35.54,36.01,4959346
2016-02-01,35.8,36.12,35.21,35.69,3567805
2016-02-02,35.35,35.43,35.12,35.34,4366724
2016-02-03,35.63,36.2,35.38,35.9,5171325
2016-02-04,35.59,36.67,35.47,36.34,4517966
2016-02-05,36.27,36.65,36.09,36.63,5090573
2016-02-08,36.32,36.49,35.99,36.37,3079219
2016-02-09,36.08,36.49,36.01,36.28,3203086
2016-02-10,36.34,36.65,35.65,35.71,4315509
2016-02-11,35.2,35.46,34.47,34.82,2849542
2016-02-12,35.11,35.2,34.55,35.1,4823276
2016-02-16,35.6,35.97,35.31,35.81,3198023
2016-02-17,35.81,36.71,35.77,36.6,3348912
2016-02-18,36.61,36.7,36.06,36.13,3830712
2016-02-19,36.06,36.13,34.71,35.15,7676838
2016-02-22,35.2,35.86,35.2,35.78,4195252
2016-02-23,35.6,36.0,35.27,35.41,3167317
2016-02-24,35.13,36.07,34.57,36.02,4623357
2016-02-25,36.18,36.53,35.65,36.52,4810685
2016-02-26,36.65,37.15,36.59,37.08,3618431
2016-02-29,37.01,37.1,36.71,36.84,5404294
2016-03-01,37.11,37.72,37.04,37.72,4043794
2016-03-02,37.7,37.81,37.39,37.56,2452377
2016-03-03,37.4,37.86,37.36,37.82,2223143
2016-03-04,37.82,38.09,37.6,38.01,2901074
2016-03-07,37.87,38.13,37.63,38.04,1899129
