Date,Open,High,Low,Close,Volume
2016-01-04,20.68,20.97,20.52,20.96,1305376
2016-01-05,20.88,21.06,20.52,20.66,1263948
2016-01-06,20.24,20.45,20.15,20.26,1723258
2016-01-07,19.94,20.15,19.64,19.72,2149866
2016-01-08,19.8,19.98,19.3,19.38,2140782
2016-01-11,19.43,19.58,19.0,19.2,2737348
2016-01-12,19.45,19.58,19.14,19.53,2411146
2016-01-13,19.7,19.82,18.92,19.12,2745512
2016-01-14,19.28,19.4,18.8,19.19,1750836
2016-01-15,18.56,18.9,18.38,18.82,2643338
2016-01-19,19.0,19.1,18.13,18.22,2539808
2016-01-20,17.94,18.6,17.6,18.39,4054292
2016-01-21,18.44,18.72,18.18,18.31,1968244
2016-01-22,18.7,19.2,18.45,18.7,1886166
2016-01-25,18.56,18.85,18.32,18.36,1663356
2016-01-26,18.44,18.74,18.27,18.73,3524692
2016-01-27,18.7,19.16,18.5,18.73,2420790
2016-01-28,18.94,19.04,18.69,18.86,1397818
2016-01-29,18.91,19.62,18.72,19.62,2501042
2016-02-01,19.4,19.61,19.08,19.56,2165908
2016-02-02,19.06,19.46,19.06,19.33,3456662
2016-02-03,19.42,19.42,18.1,18.68,6135546
2016-02-04,18.61,19.14,18.56,18.7,3864460
2016-02-05,18.63,18.98,18.41,18.52,3408698
2016-02-08,18.24,18.31,17.48,17.86,2490604
2016-02-09,17.68,17.89,17.55,17.75,2556894
2016-02-10,17.84,18.01,17.7,17.7,1864206
2016-02-11,17.46,17.79,17.38,17.53,2887602
2016-02-12,17.68,18.08,17.48,18.04,2216014
2016-02-16,18.4,18.61,18.02,18.6,2034852
2016-02-17,18.84,19.42,18.84,19.22,2151028
2016-02-18,19.34,19.4,18.79,19.0,1353162
2016-02-19,18.72,19.06,18.34,19.0,1641418
2016-02-22,19.23,19.6,19.23,19.32,1785654
2016-02-23,19.22,19.56,19.02,19.12,1389912
2016-02-24,18.84,19.27,18.64,19.26,1181920
2016-02-25,19.34,19.5,18.96,19.24,926098
2016-02-26,19.43,19.58,19.3,19.43,1340242
2016-02-29,19.42,19.55,19.13,19.32,1588266
2016-03-01,19.44,19.87,19.38,19.83,1267110
2016-03-02,19.74,20.05,19.66,19.99,1040590
2016-03-03,20.02,20.35,19.98,20.29,1234098
2016-03-04,20.35,20.42,20.08,20.36,2152746
2016-03-07,20.29,20.96,20.29,20.88,2309198
2016-03-08,20.7,20.8,20.2,20.38,1718524
2016-03-09,20.54,20.54,20.24,20.38,1199424
2016-03-10,20.41,20.48,19.94,20.3,1138142
2016-03-11,20.46,20.96,20.44,20.88,1418698
2016-03-14,20.74,20.84,20.46,20.74,1019064
2016-03-15,20.52,20.78,20.43,20.68,1244140
2016-03-16,20.61,21.32,20.57,21.19,1918484
2016-03-17,21.19,21.99,21.16,21.93,2672304
2016-03-18,21.99,22.28,21.86,22.04,1635624
2016-03-21,21.96,22.09,21.83,22.07,969672
2016-03-22,22.06,22.38,21.96,22.3,1323758
2016-03-23,22.15,22.2,21.82,21.83,1227534
2016-03-24,21.68,21.7,21.46,21.64,1401306
2016-03-28,21.75,21.78,21.38,21.51,1381072
2016-03-29,21.44,21.76,21.26,21.76,1520282
2016-03-30,21.98,22.0,21.74,21.88,961524
2016-03-31,21.86,21.9,21.7,21.78,1255616
2016-04-01,21.54,21.88,21.25,21.88,1973962
2016-04-04,21.86,21.88,21.47,21.52,1130866
2016-04-05,21.28,21.44,21.12,21.22,1817242
2016-04-06,21.26,21.35,20.96,21.14,2810666
2016-04-07,20.92,20.99,20.46,20.5,2904862
2016-04-08,20.74,21.02,20.52,20.6,1005904
2016-04-11,20.73,20.94,20.6,20.74,1388870
2016-04-12,20.72,21.04,20.68,20.9,1943390
2016-04-13,20.98,21.53,20.97,21.48,1115622
