Date,Open,High,Low,Close,Volume
2016-01-04,27.19,27.43,26.83,27.41,5217187
2016-01-05,27.57,27.73,27.21,27.55,7589299
2016-01-06,27.11,27.14,26.61,26.78,4873446
2016-01-07,26.36,26.81,25.98,26.09,6599530
2016-01-08,26.25,26.3,25.67,25.72,4727617
2016-01-11,25.91,26.14,25.62,26.01,3737890
2016-01-12,26.29,26.34,25.69,26.25,4664696
2016-01-13,26.33,26.51,25.51,25.66,4546211
2016-01-14,25.68,26.37,25.44,26.16,5008745
2016-01-15,25.54,25.86,25.39,25.74,7161603
2016-01-19,25.71,25.83,25.35,25.74,5837793
2016-01-20,25.26,25.94,25.03,25.59,12489091
2016-01-21,25.82,26.16,25.57,25.64,8794579
2016-01-22,26.05,26.17,25.94,26.12,5151459
2016-01-25,26.11,26.22,25.86,26.19,5310489
2016-01-26,26.21,26.75,26.21,26.65,5426942
2016-01-27,26.5,26.67,26.24,26.54,6192805
2016-01-28,23.76,24.0,21.95,22.46,28935698
2016-01-29,22.95,23.6,22.8,23.6,16556697
2016-02-01,23.31,24.35,23.16,24.33,15482669
2016-02-02,24.03,24.23,23.81,24.0,15220412
2016-02-03,24.08,24.14,23.7,23.92,11297184
2016-02-04,23.9,24.06,23.6,23.73,8279956
2016-02-05,23.63,23.8,22.88,22.9,7406392
2016-02-08,22.54,22.65,21.62,21.97,8885879
2016-02-09,21.77,22.44,21.69,21.99,4581251
2016-02-10,22.19,22.38,21.6,21.62,6354822
2016-02-11,21.49,22.06,21.49,21.7,6173031
2016-02-12,21.99,22.01,21.57,21.84,6911920
2016-02-16,22.01,23.25,22.01,23.21,6609809
2016-02-17,23.35,23.6,23.3,23.57,3618761
2016-02-18,23.74,24.1,23.67,24.0,4865359
2016-02-19,24.0,24.65,23.94,24.57,8358816
2016-02-22,24.67,25.0,24.62,24.78,4665853
2016-02-23,24.71,25.0,24.39,24.56,4774172
2016-02-24,24.17,24.87,24.08,24.84,5493671
2016-02-25,24.91,25.13,24.77,24.96,5047029
2016-02-26,24.91,25.04,24.42,24.6,5661038
2016-02-29,24.59,25.1,24.48,24.7,3984511
2016-03-01,24.75,25.0,24.52,24.93,4448618
2016-03-02,24.83,25.0,24.72,24.94,3154292
2016-03-03,24.65,24.93,24.5,24.9,3489137
2016-03-04,24.99,25.25,24.7,25.25,4916782
2016-03-07,25.02,25.36,24.96,25.19,3355396
2016-03-08,25.05,25.37,24.8,25.03,4419560
2016-03-09,25.19,25.5,24.82,25.23,4476837
2016-03-10,25.27,25.72,25.16,25.31,8859157
2016-03-11,25.51,26.24,25.48,26.21,7205884
2016-03-14,25.94,26.1,25.7,25.9,4991988
2016-03-15,25.8,25.86,25.44,25.71,4930668
2016-03-16,24.77,25.76,24.76,25.7,6857298
2016-03-17,25.75,26.48,25.71,26.33,6302872
2016-03-18,26.36,26.46,26.02,26.39,6279414
2016-03-21,25.85,26.27,25.7,25.8,10654142
2016-03-22,25.67,26.1,25.64,25.93,7239656
2016-03-23,25.96,26.02,25.62,25.64,6842839
2016-03-24,25.52,25.55,24.96,25.36,5852227
2016-03-28,25.47,25.54,25.26,25.45,4982260
2016-03-29,25.52,25.8,25.38,25.66,4538172
2016-03-30,25.85,26.02,25.47,25.51,4297765
2016-03-31,25.52,25.71,25.42,25.51,4631828
2016-04-01,25.4,25.69,25.36,25.56,3898277
2016-04-04,25.45,25.51,24.92,25.19,4532021
2016-04-05,25.05,25.38,24.97,25.23,5625499
2016-04-06,25.28,25.56,25.16,25.49,3768537
2016-04-07,25.29,25.4,24.87,24.94,3385661
2016-04-08,25.24,25.28,24.87,24.93,2060102
2016-04-11,24.9,25.36,24.8,24.89,4390659
2016-04-12,23.13,23.21,22.4,23.06,23670317
2016-04-13,23.15,23.88,23.12,23.82,9238109
2016-04-14,23.89,23.92,23.56,23.57,6858131
2016-04-15,23.64,23.97,23.51,23.64,5786309
2016-04-18,23.52,23.86,23.42,23.6,4185103
2016-04-19,23.59,23.67,23.33,23.47,6962458
2016-04-20,23.18,23.55,22.87,23.26,11789878
2016-04-21,23.2,23.57,23.2,23.38,6434127
2016-04-22,23.35,23.87,23.17,23.75,6464052
2016-04-25,23.69,23.87,23.44,23.54,2838038
