Date,Open,High,Low,Close,Volume
2016-01-04,46.91,49.56,46.35,49.55,5204782
2016-01-05,49.74,50.23,49.35,49.78,5211952
2016-01-06,49.02,50.18,48.91,50.05,4830057
2016-01-07,49.4,52.06,49.25,50.86,7691598
2016-01-08,50.82,51.3,47.55,47.88,6493688
2016-01-11,49.29,50.75,48.41,50.08,9715153
2016-01-12,50.39,51.63,49.44,50.23,4542680
2016-01-13,49.48,50.71,48.9,49.98,3864013
2016-01-14,50.08,50.55,48.71,49.2,4463550
2016-01-15,48.17,48.56,47.26,48.15,3708896
2016-01-19,48.66,48.66,45.96,46.38,4559580
2016-01-20,45.44,45.95,44.19,45.65,3992686
2016-01-21,45.74,47.48,45.61,46.99,2801229
2016-01-22,47.16,48.22,47.16,48.16,2278184
2016-01-25,48.19,48.37,47.23,47.36,1940022
2016-01-26,47.56,48.98,47.34,48.59,2125087
2016-01-27,48.62,49.71,48.46,48.71,2936447
2016-01-28,48.98,49.09,47.19,47.99,2985414
2016-01-29,48.4,49.88,48.09,49.75,2632248
2016-02-01,49.07,49.4,47.41,49.08,4462590
2016-02-02,49.68,50.56,48.85,50.38,5544874
2016-02-03,50.47,51.39,49.26,51.13,3346409
2016-02-04,43.5,45.2,40.95,41.52,22549613
2016-02-05,41.03,42.88,40.94,42.06,6688928
2016-02-08,41.51,43.8,41.48,42.61,5207602
2016-02-09,42.34,42.99,41.11,41.4,3396090
2016-02-10,41.49,41.52,39.44,40.09,4263898
2016-02-11,39.72,40.5,39.23,39.69,2277585
2016-02-12,39.91,40.88,39.45,40.81,1965746
2016-02-16,41.52,42.82,41.19,42.62,2518640
2016-02-17,42.82,44.13,42.6,43.9,3343132
2016-02-18,43.84,45.03,43.21,44.82,3051886
2016-02-19,44.29,44.86,43.34,44.38,2591532
2016-02-22,44.47,45.5,44.47,44.95,2416517
2016-02-23,45.35,45.49,44.73,44.94,2510142
2016-02-24,44.79,45.65,43.94,45.46,3541704
2016-02-25,47.01,47.21,44.2,46.67,5732442
2016-02-26,47.07,47.4,46.15,46.82,3838180
2016-02-29,46.41,46.9,45.82,46.67,2572023
2016-03-01,46.9,47.25,45.73,46.51,2335066
2016-03-02,46.4,47.23,46.28,46.64,3186275
2016-03-03,46.4,46.98,46.04,46.74,3029427
2016-03-04,46.75,47.64,46.12,47.48,3599428
2016-03-07,47.32,49.18,47.0,48.59,3582608
2016-03-08,48.65,49.11,48.17,48.7,3116090
2016-03-09,49.02,49.82,48.74,49.07,3411400
2016-03-10,49.53,49.75,48.73,49.46,2431919
2016-03-11,49.96,49.96,48.77,49.08,2252694
2016-03-14,48.87,49.75,48.8,49.46,1518687
2016-03-15,49.15,49.68,47.35,47.7,3420562
2016-03-16,47.73,48.02,47.42,47.73,2214658
2016-03-17,47.86,48.46,47.59,48.25,2577471
2016-03-18,48.41,48.95,47.8,48.17,3680581
2016-03-21,48.31,48.49,47.91,47.91,1887810
2016-03-22,47.88,48.08,46.38,47.07,2686548
2016-03-23,46.84,47.12,46.49,46.71,1926753
2016-03-24,46.26,46.31,45.57,45.93,2909427
2016-03-28,46.05,47.31,46.0,46.79,1946441
2016-03-29,46.99,47.02,46.11,46.55,2266946
2016-03-30,46.49,46.76,45.76,46.05,2295017
2016-03-31,45.85,46.7,45.3,46.61,2314736
2016-04-01,46.47,46.69,45.48,45.74,2180243
2016-04-04,45.92,46.41,44.98,45.1,1583122
2016-04-05,44.95,45.22,44.41,44.91,1889444
2016-04-06,45.21,45.22,44.14,44.86,2338438
2016-04-07,44.58,44.86,43.68,43.99,2837488
2016-04-08,44.02,44.29,43.06,43.37,2638495
2016-04-11,43.44,43.69,42.5,42.54,3284400
2016-04-12,42.44,42.99,41.72,42.68,2323394
2016-04-13,42.86,43.45,42.59,43.25,2514686
2016-04-14,43.25,43.4,42.5,42.9,2038548
2016-04-15,42.9,43.4,42.65,43.37,2408829
2016-04-18,43.0,44.09,43.0,44.09,2690769
2016-04-19,44.14,44.92,44.12,44.85,3148442
2016-04-20,45.0,46.26,44.99,46.13,3552835
2016-04-21,46.2,46.5,45.24,45.43,2015288
2016-04-22,45.27,46.05,45.22,45.46,1269175
2016-04-25,45.24,45.54,44.42,44.96,2000468
