Date,Open,High,Low,Close,Volume
2016-01-04,74.69,75.57,74.5,75.28,5853654
2016-01-05,75.44,76.47,74.91,75.44,5198874
2016-01-06,74.51,74.75,73.4,73.94,5326477
2016-01-07,72.84,73.88,71.75,72.07,6401595
2016-01-08,72.67,72.8,70.68,70.88,5325901
2016-01-11,71.45,73.09,71.29,72.68,5443251
2016-01-12,73.28,74.28,72.37,73.27,4649509
2016-01-13,73.64,73.73,69.54,69.9,7731191
2016-01-14,69.85,70.61,67.65,69.91,8323009
2016-01-15,67.75,70.36,67.74,68.99,7980071
2016-01-19,70.81,71.04,68.79,69.46,6642931
2016-01-20,68.87,69.52,66.93,68.07,9831215
2016-01-21,68.57,69.94,68.25,69.32,7615550
2016-01-22,70.36,70.9,70.19,70.5,5715558
2016-01-25,70.66,71.0,69.84,69.9,5622945
2016-01-26,70.67,70.69,69.6,70.0,4638363
2016-01-27,70.02,70.95,69.02,69.55,5337447
2016-01-28,69.89,70.0,68.92,69.23,5036198
2016-01-29,70.0,71.77,69.55,71.66,6108541
2016-02-01,70.54,72.89,70.54,72.66,5208631
2016-02-02,72.3,72.63,71.31,71.87,4829252
2016-02-03,71.38,71.38,65.06,67.42,17605092
2016-02-04,67.84,68.32,66.3,67.96,8969453
2016-02-05,68.08,68.52,65.52,65.84,7480174
2016-02-08,65.38,65.39,62.62,63.55,8300772
2016-02-09,63.07,64.86,62.9,64.15,5860907
2016-02-10,64.45,65.4,64.0,64.06,4219137
2016-02-11,63.08,63.97,62.68,63.4,4714715
2016-02-12,64.02,64.93,63.41,64.87,4249783
2016-02-16,66.9,67.7,65.55,67.43,7724968
2016-02-17,68.0,68.28,67.56,68.0,6142030
2016-02-18,68.28,68.33,66.94,67.72,5887628
2016-02-19,67.78,68.57,66.84,68.52,4965568
2016-02-22,69.05,69.87,68.82,69.47,6001393
2016-02-23,71.46,71.48,67.84,67.9,10954218
2016-02-24,66.09,69.25,64.85,68.62,12532486
2016-02-25,68.62,69.63,67.9,68.7,5839632
2016-02-26,69.4,69.85,68.83,69.1,5287939
2016-02-29,68.84,69.75,67.47,67.53,5958794
2016-03-01,68.18,69.13,66.92,69.04,5590259
2016-03-02,68.85,69.53,68.47,69.09,4285542
2016-03-03,68.59,69.97,68.5,69.93,4530681
2016-03-04,69.69,70.98,69.48,70.39,5019162
2016-03-07,69.85,71.2,69.83,70.77,4727908
2016-03-08,70.32,71.88,70.15,70.99,5687454
2016-03-09,71.09,71.66,70.5,70.85,3358293
2016-03-10,71.25,71.73,69.84,70.7,3966222
2016-03-11,71.36,72.24,71.22,72.12,3889378
2016-03-14,72.0,73.1,71.96,72.75,4118967
2016-03-15,72.3,74.32,72.22,73.1,5604625
2016-03-16,72.68,74.24,72.56,73.78,5087370
2016-03-17,73.52,74.23,73.18,74.02,4146580
2016-03-18,74.08,75.16,73.97,74.93,6426325
2016-03-21,74.65,75.36,74.3,75.22,5376194
2016-03-22,74.73,75.6,74.73,75.25,5420883
2016-03-23,75.26,75.52,74.64,74.78,3760459
2016-03-24,74.35,74.88,73.83,74.77,3502189
2016-03-28,74.87,75.29,74.69,74.99,2922184
2016-03-29,75.04,75.97,74.79,75.67,3265400
2016-03-30,75.89,76.27,75.68,76.02,3143203
2016-03-31,76.0,76.38,75.61,75.75,3665264
2016-04-01,75.63,76.74,75.34,76.5,3536411
2016-04-04,77.5,77.5,76.05,76.18,3840372
2016-04-05,75.65,76.53,75.55,75.87,4074157
